CCOSTAC
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      2.1923
1999/ 1/ 2      2.9506
1999/ 1/ 3      3.7573
1999/ 1/ 4      4.0873
1999/ 1/ 5      4.0069
1999/ 1/ 6      3.8667
1999/ 1/ 7      3.7246
1999/ 1/ 8      2.8827
1999/ 1/ 9      3.0567
1999/ 1/10      3.2813
1999/ 1/11      2.9669
1999/ 1/12      2.4641
1999/ 1/13      2.6990
1999/ 1/14      2.8916
1999/ 1/15      3.3692
1999/ 1/16      9.9855
1999/ 1/17      6.8206
1999/ 1/18     14.9920
1999/ 1/19     24.1007
1999/ 1/20     28.6113
1999/ 1/21     15.8437
1999/ 1/22      8.3571
1999/ 1/23     19.1508
1999/ 1/24     13.7334
1999/ 1/25      6.5487
1999/ 1/26     13.9867
1999/ 1/27     10.9541
1999/ 1/28      7.1786
1999/ 1/29      5.8378
1999/ 1/30      6.2199
1999/ 1/31     53.0112
1999/ 2/ 1     15.9534
1999/ 2/ 2      7.5923
1999/ 2/ 3      5.7145
1999/ 2/ 4      5.0673
1999/ 2/ 5      4.6838
1999/ 2/ 6      5.8837
1999/ 2/ 7     77.0660
1999/ 2/ 8     46.5179
1999/ 2/ 9    244.3940
1999/ 2/10     74.0438
1999/ 2/11     39.1897
1999/ 2/12     28.6463
1999/ 2/13     23.0234
1999/ 2/14     24.1938
1999/ 2/15     20.3731
1999/ 2/16     22.9344
1999/ 2/17     72.8250
1999/ 2/18     32.5723
1999/ 2/19     56.7173
1999/ 2/20     51.8346
1999/ 2/21     73.2367
1999/ 2/22     60.5153
1999/ 2/23     38.0639
1999/ 2/24     30.2849
1999/ 2/25     50.4497
1999/ 2/26     36.8889
1999/ 2/27     27.1447
1999/ 2/28     23.8344
1999/ 3/ 1     18.0461
1999/ 3/ 2     14.2540
1999/ 3/ 3     14.3443
1999/ 3/ 4     11.4666
1999/ 3/ 5     10.6039
1999/ 3/ 6     10.0838
1999/ 3/ 7      8.4947
1999/ 3/ 8     10.4462
1999/ 3/ 9     26.0411
1999/ 3/10     15.2715
1999/ 3/11      8.0068
1999/ 3/12      6.0338
1999/ 3/13      5.9350
1999/ 3/14      8.0076
1999/ 3/15     11.8225
1999/ 3/16      8.8282
1999/ 3/17      5.5562
1999/ 3/18      6.2099
1999/ 3/19      6.1783
1999/ 3/20     23.9826
1999/ 3/21      9.7938
1999/ 3/22      5.3950
1999/ 3/23      5.0704
1999/ 3/24      4.7380
1999/ 3/25     38.3991
1999/ 3/26     12.4350
1999/ 3/27      5.5618
1999/ 3/28      3.7399
1999/ 3/29      3.1373
1999/ 3/30      3.2951
1999/ 3/31      2.6073
1999/ 4/ 1      2.2781
1999/ 4/ 2      1.8274
1999/ 4/ 3      1.9436
1999/ 4/ 4      1.7351
1999/ 4/ 5      3.6612
1999/ 4/ 6     26.7067
1999/ 4/ 7     16.4609
1999/ 4/ 8     24.0463
1999/ 4/ 9     11.3387
1999/ 4/10      7.4296
1999/ 4/11     41.8380
1999/ 4/12     20.4293
1999/ 4/13     10.1081
1999/ 4/14      5.2513
1999/ 4/15      3.8165
1999/ 4/16      3.3999
1999/ 4/17      3.0505
1999/ 4/18      2.8103
1999/ 4/19      2.6188
1999/ 4/20      2.5086
1999/ 4/21      2.2654
1999/ 4/22      2.0600
1999/ 4/23      1.8036
1999/ 4/24      2.0480
1999/ 4/25      2.2458
1999/ 4/26      2.1856
1999/ 4/27      1.9186
1999/ 4/28      1.8474
1999/ 4/29      1.6613
1999/ 4/30      1.6282
1999/ 5/ 1      1.8153
1999/ 5/ 2      2.9455
1999/ 5/ 3      3.3534
1999/ 5/ 4      1.8035
1999/ 5/ 5      1.5584
1999/ 5/ 6      1.5420
1999/ 5/ 7      1.3885
1999/ 5/ 8      1.3720
1999/ 5/ 9      1.3674
1999/ 5/10      1.4814
1999/ 5/11      1.3686
1999/ 5/12      1.3530
1999/ 5/13      1.3585
1999/ 5/14      1.3512
1999/ 5/15      1.3456
1999/ 5/16      1.3294
1999/ 5/17      1.3383
1999/ 5/18      1.3331
1999/ 5/19      1.4903
1999/ 5/20      1.3846
1999/ 5/21      1.3066
1999/ 5/22      1.1626
1999/ 5/23      1.2273
1999/ 5/24      1.2998
1999/ 5/25      1.2951
1999/ 5/26      1.2801
1999/ 5/27      1.2882
1999/ 5/28      1.2722
1999/ 5/29      1.2912
1999/ 5/30      1.2793
1999/ 5/31      1.2579
1999/ 6/ 1      1.2860
1999/ 6/ 2      1.3988
1999/ 6/ 3      1.4638
1999/ 6/ 4      1.2208
1999/ 6/ 5      1.1962
