CCOSTAW
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      5.4501
1999/ 1/ 2      5.2125
1999/ 1/ 3      5.9335
1999/ 1/ 4      6.1198
1999/ 1/ 5      5.9731
1999/ 1/ 6      5.8018
1999/ 1/ 7      5.6356
1999/ 1/ 8      4.7361
1999/ 1/ 9      5.0426
1999/ 1/10      5.1855
1999/ 1/11      4.8077
1999/ 1/12      4.3154
1999/ 1/13      4.6110
1999/ 1/14      4.7186
1999/ 1/15     31.2387
1999/ 1/16     39.9898
1999/ 1/17     25.1732
1999/ 1/18    244.7571
1999/ 1/19    166.4035
1999/ 1/20    143.6294
1999/ 1/21     36.0446
1999/ 1/22     40.4112
1999/ 1/23    179.6369
1999/ 1/24     40.0370
1999/ 1/25     30.4604
1999/ 1/26     55.1270
1999/ 1/27     32.9933
1999/ 1/28     26.7657
1999/ 1/29     26.8732
1999/ 1/30     28.1981
1999/ 1/31    220.0582
1999/ 2/ 1     40.9627
1999/ 2/ 2     31.4853
1999/ 2/ 3     27.5370
1999/ 2/ 4     25.1241
1999/ 2/ 5     23.2430
1999/ 2/ 6    350.5494
1999/ 2/ 7    831.3525
1999/ 2/ 8    310.3803
1999/ 2/ 9    380.3299
1999/ 2/10    149.1262
1999/ 2/11    117.5615
1999/ 2/12    105.5097
1999/ 2/13    108.4408
1999/ 2/14     92.9032
1999/ 2/15     77.1769
1999/ 2/16    421.1527
1999/ 2/17    546.0928
1999/ 2/18    251.8976
1999/ 2/19    156.7290
1999/ 2/20    303.1112
1999/ 2/21    243.4277
1999/ 2/22    154.4031
1999/ 2/23    132.0894
1999/ 2/24    117.9389
1999/ 2/25    285.4750
1999/ 2/26    114.1008
1999/ 2/27     99.2575
1999/ 2/28     93.4619
1999/ 3/ 1     70.3252
1999/ 3/ 2     65.6568
1999/ 3/ 3     84.9085
1999/ 3/ 4     56.4147
1999/ 3/ 5     54.2431
1999/ 3/ 6     51.2749
1999/ 3/ 7     43.7093
1999/ 3/ 8    129.8846
1999/ 3/ 9    104.1912
1999/ 3/10     56.1360
1999/ 3/11     43.9083
1999/ 3/12     38.2947
1999/ 3/13     36.6707
1999/ 3/14    130.9507
1999/ 3/15     85.1112
1999/ 3/16     49.8524
1999/ 3/17     42.1045
1999/ 3/18     42.8391
1999/ 3/19     46.5011
1999/ 3/20     33.5642
1999/ 3/21     26.2605
1999/ 3/22     24.2449
1999/ 3/23     33.2181
1999/ 3/24     67.4772
1999/ 3/25     98.6139
1999/ 3/26     34.5888
1999/ 3/27     27.2475
1999/ 3/28     22.8670
1999/ 3/29     20.4954
1999/ 3/30     23.0057
1999/ 3/31     34.3398
1999/ 4/ 1     18.9218
1999/ 4/ 2     14.7023
1999/ 4/ 3     13.7684
1999/ 4/ 4     12.6138
