EBAYC
RCHRES3
FLOW

Date          DSN 1001
1999/ 1/ 1      1.3675
1999/ 1/ 2      0.9343
1999/ 1/ 3      1.0147
1999/ 1/ 4      1.2231
1999/ 1/ 5      1.2956
1999/ 1/ 6      1.3178
1999/ 1/ 7      1.3216
1999/ 1/ 8      1.0247
1999/ 1/ 9      1.0297
1999/ 1/10      1.2094
1999/ 1/11      1.1584
1999/ 1/12      0.9489
1999/ 1/13      1.0238
1999/ 1/14      1.2004
1999/ 1/15      1.5192
1999/ 1/16     38.0266
1999/ 1/17     20.8000
1999/ 1/18     30.0372
1999/ 1/19     74.6233
1999/ 1/20    195.6518
1999/ 1/21     79.7553
1999/ 1/22     39.3250
1999/ 1/23     88.6363
1999/ 1/24     43.5554
1999/ 1/25     18.1543
1999/ 1/26     15.8941
1999/ 1/27     14.4319
1999/ 1/28      9.4369
1999/ 1/29      5.4839
1999/ 1/30      4.4341
1999/ 1/31      3.8626
1999/ 2/ 1     31.9839
1999/ 2/ 2     29.7732
1999/ 2/ 3     12.9401
1999/ 2/ 4      6.4504
1999/ 2/ 5      3.9220
1999/ 2/ 6      3.5846
1999/ 2/ 7      3.7239
1999/ 2/ 8    128.1944
1999/ 2/ 9    375.6395
1999/ 2/10     67.7383
1999/ 2/11     33.9523
1999/ 2/12     17.5398
1999/ 2/13     10.5416
1999/ 2/14      7.9722
1999/ 2/15      6.5647
1999/ 2/16      9.9411
1999/ 2/17    356.2078
1999/ 2/18     84.7299
1999/ 2/19     45.7341
1999/ 2/20     27.7559
1999/ 2/21     15.9408
1999/ 2/22    117.3596
1999/ 2/23     69.5381
1999/ 2/24     32.8313
1999/ 2/25     33.9069
1999/ 2/26     21.9998
1999/ 2/27     14.8606
1999/ 2/28     10.9269
1999/ 3/ 1      8.8612
1999/ 3/ 2      6.9145
1999/ 3/ 3     16.6912
1999/ 3/ 4     15.6511
1999/ 3/ 5      9.3583
1999/ 3/ 6      7.0258
1999/ 3/ 7      5.6324
1999/ 3/ 8      5.8026
1999/ 3/ 9     92.6302
1999/ 3/10     64.3484
1999/ 3/11     27.7218
1999/ 3/12     13.2241
1999/ 3/13      7.9196
1999/ 3/14      6.8386
1999/ 3/15     48.5407
1999/ 3/16     47.6197
1999/ 3/17     21.3555
1999/ 3/18     11.7107
1999/ 3/19      8.0682
1999/ 3/20      5.7244
1999/ 3/21      4.1221
1999/ 3/22      8.2654
1999/ 3/23     44.5318
1999/ 3/24     20.7649
1999/ 3/25     65.1302
1999/ 3/26     30.2886
1999/ 3/27     13.6386
1999/ 3/28      6.9371
1999/ 3/29      4.3037
1999/ 3/30      3.4168
1999/ 3/31      3.6988
1999/ 4/ 1      2.8144
1999/ 4/ 2      1.8911
1999/ 4/ 3      1.6086
1999/ 4/ 4      1.4244
1999/ 4/ 5      2.4650
1999/ 4/ 6     77.2411
1999/ 4/ 7     32.6780
1999/ 4/ 8     14.7007
1999/ 4/ 9     13.5944
1999/ 4/10     10.7345
1999/ 4/11     44.5044
1999/ 4/12     24.5950
1999/ 4/13     10.5998
1999/ 4/14      4.3698
1999/ 4/15      1.6421
1999/ 4/16      0.9524
1999/ 4/17      0.8834
1999/ 4/18      0.8190
1999/ 4/19      0.8374
1999/ 4/20      0.8427
1999/ 4/21      0.8179
1999/ 4/22      0.7999
1999/ 4/23      0.7713
1999/ 4/24      0.9439
1999/ 4/25      1.3323
1999/ 4/26      1.4077
1999/ 4/27      1.0894
1999/ 4/28      1.0046
1999/ 4/29      0.9599
1999/ 4/30      1.0100
1999/ 5/ 1      1.4426
1999/ 5/ 2      2.1758
1999/ 5/ 3      3.0470
1999/ 5/ 4      2.0376
1999/ 5/ 5      1.1554
1999/ 5/ 6      0.9861
1999/ 5/ 7      0.9454
1999/ 5/ 8      0.9319
1999/ 5/ 9      0.9518
1999/ 5/10      1.0440
1999/ 5/11      1.0296
1999/ 5/12      1.1259
1999/ 5/13      1.0293
1999/ 5/14      1.0552
1999/ 5/15      1.0681
1999/ 5/16      1.0695
1999/ 5/17      1.1170
1999/ 5/18      1.1557
1999/ 5/19      1.4723
1999/ 5/20      1.7110
1999/ 5/21      1.2728
