EBAYN
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      2.6384
1999/ 1/ 2      1.2031
1999/ 1/ 3      1.2793
1999/ 1/ 4      1.2728
1999/ 1/ 5      1.2666
1999/ 1/ 6      1.2606
1999/ 1/ 7      1.2549
1999/ 1/ 8      1.1832
1999/ 1/ 9      1.2553
1999/ 1/10      1.2501
1999/ 1/11      1.2192
1999/ 1/12      1.1926
1999/ 1/13      1.2488
1999/ 1/14      1.2440
1999/ 1/15     28.0581
1999/ 1/16      6.1986
1999/ 1/17     13.6891
1999/ 1/18    132.3592
1999/ 1/19     88.8679
1999/ 1/20     52.2456
1999/ 1/21      2.4717
1999/ 1/22     24.4413
1999/ 1/23     59.0762
1999/ 1/24      2.8636
1999/ 1/25      2.5196
1999/ 1/26     15.3352
1999/ 1/27      2.4616
1999/ 1/28      2.4554
1999/ 1/29      2.6243
1999/ 1/30      2.7910
1999/ 1/31     96.3860
1999/ 2/ 1      3.2933
1999/ 2/ 2      2.8358
1999/ 2/ 3      2.6464
1999/ 2/ 4      2.5482
1999/ 2/ 5      2.4793
1999/ 2/ 6    174.8598
1999/ 2/ 7    201.3788
1999/ 2/ 8     82.5054
1999/ 2/ 9     69.7888
1999/ 2/10     10.7496
1999/ 2/11      8.0659
1999/ 2/12      7.5158
1999/ 2/13     15.5855
1999/ 2/14      6.9596
1999/ 2/15      6.1972
1999/ 2/16    183.6373
1999/ 2/17     83.0259
1999/ 2/18     38.8841
1999/ 2/19     11.2223
1999/ 2/20     94.6117
1999/ 2/21     23.2207
1999/ 2/22     11.4583
1999/ 2/23     10.2707
1999/ 2/24      9.7601
1999/ 2/25     78.2171
1999/ 2/26      9.9871
1999/ 2/27      9.0239
1999/ 2/28      8.9018
1999/ 3/ 1      6.9825
1999/ 3/ 2      6.8821
1999/ 3/ 3     16.7413
1999/ 3/ 4      6.2042
1999/ 3/ 5      6.2822
1999/ 3/ 6      6.3220
1999/ 3/ 7      5.1303
1999/ 3/ 8     54.2599
1999/ 3/ 9     20.6430
1999/ 3/10      6.1750
1999/ 3/11      5.0360
1999/ 3/12      4.8722
1999/ 3/13      4.9561
1999/ 3/14     55.2545
1999/ 3/15     15.8172
1999/ 3/16      5.7442
1999/ 3/17      4.9263
1999/ 3/18      5.6095
1999/ 3/19      7.7666
1999/ 3/20      4.0516
1999/ 3/21      3.8746
1999/ 3/22      3.8892
1999/ 3/23      7.3235
1999/ 3/24     43.3743
1999/ 3/25     19.4945
1999/ 3/26      4.3488
1999/ 3/27      3.7865
1999/ 3/28      3.5720
1999/ 3/29      3.4382
1999/ 3/30      9.1232
1999/ 3/31      6.6797
1999/ 4/ 1      3.1927
1999/ 4/ 2      3.0818
1999/ 4/ 3      3.3076
1999/ 4/ 4      2.9013
1999/ 4/ 5     67.3025
1999/ 4/ 6     16.0034
1999/ 4/ 7      4.4335
1999/ 4/ 8     35.0583
1999/ 4/ 9      3.3771
1999/ 4/10      7.9184
1999/ 4/11     91.9126
1999/ 4/12      4.4126
1999/ 4/13      3.7119
1999/ 4/14      3.0632
1999/ 4/15      2.8858
1999/ 4/16      2.9292
1999/ 4/17      2.6857
1999/ 4/18      2.6200
1999/ 4/19      2.7492
1999/ 4/20      2.6853
1999/ 4/21      2.6139
1999/ 4/22      2.6825
1999/ 4/23      2.7846
1999/ 4/24      3.0707
1999/ 4/25      3.6307
1999/ 4/26      3.3209
1999/ 4/27      3.0092
1999/ 4/28      3.0731
1999/ 4/29      3.1439
1999/ 4/30      3.4326
1999/ 5/ 1      4.0721
1999/ 5/ 2      4.4693
1999/ 5/ 3      4.1615
1999/ 5/ 4      3.0930
1999/ 5/ 5      2.9930
1999/ 5/ 6      3.1434
1999/ 5/ 7      3.0250
1999/ 5/ 8      3.0865
1999/ 5/ 9      3.1413
1999/ 5/10      3.3772
1999/ 5/11      3.2263
1999/ 5/12      3.8513
1999/ 5/13      3.3040
1999/ 5/14      3.3414
1999/ 5/15      3.3767
1999/ 5/16      3.4127
1999/ 5/17      3.6509
1999/ 5/18      3.4830
1999/ 5/19      4.3215
1999/ 5/20      4.3043
1999/ 5/21      3.4434
1999/ 5/22      3.4824
1999/ 5/23      3.7291
1999/ 5/24      3.9588
1999/ 5/25      3.9566
1999/ 5/26      4.1717
1999/ 5/27      4.8109
1999/ 5/28      4.9992
1999/ 5/29      5.1560
1999/ 5/30      3.6615
1999/ 5/31      3.4596
1999/ 6/ 1      4.5001
1999/ 6/ 2      3.6346
1999/ 6/ 3      4.0202
1999/ 6/ 4      3.6488
1999/ 6/ 5      3.5714
1999/ 6/ 6      3.2023
1999/ 6/ 7      3.2141
1999/ 6/ 8      3.2238
1999/ 6/ 9      3.2287
1999/ 6/10      3.4086
1999/ 6/11      3.4325
1999/ 6/12      3.2379
1999/ 6/13      3.2368
1999/ 6/14      4.0084
1999/ 6/15      3.7947
1999/ 6/16      3.5877
1999/ 6/17      3.3743
1999/ 6/18      3.3914
1999/ 6/19      3.3819
1999/ 6/20      3.1816
1999/ 6/21      3.1923
1999/ 6/22      3.1671
1999/ 6/23      3.1833
1999/ 6/24      3.5545
1999/ 6/25      3.3403
1999/ 6/26      3.1297
1999/ 6/27      3.1117
1999/ 6/28      3.1173
1999/ 6/29      3.1206
1999/ 6/30      3.1224
1999/ 7/ 1      3.1390
1999/ 7/ 2      3.1508
1999/ 7/ 3      3.1364
1999/ 7/ 4      3.0866
1999/ 7/ 5      3.0564
1999/ 7/ 6      3.6167
1999/ 7/ 7      3.0228
1999/ 7/ 8      3.0096
1999/ 7/ 9      3.1918
1999/ 7/10      3.1770
1999/ 7/11      2.9785
1999/ 7/12      2.9769
1999/ 7/13      2.8449
1999/ 7/14      2.9561
1999/ 7/15      3.1071
1999/ 7/16      3.7445
1999/ 7/17      3.2017
1999/ 7/18      2.9944
1999/ 7/19      3.3250
1999/ 7/20      2.9739
1999/ 7/21      2.9105
1999/ 7/22      3.0381
1999/ 7/23      3.1779
1999/ 7/24      3.1466
1999/ 7/25      3.1112
1999/ 7/26      3.0913
1999/ 7/27      3.0589
1999/ 7/28      2.9008
1999/ 7/29      2.5790
1999/ 7/30      2.7219
1999/ 7/31      2.8514
1999/ 8/ 1      2.6919
1999/ 8/ 2      2.6661
1999/ 8/ 3      2.9277
1999/ 8/ 4      3.4569
1999/ 8/ 5      3.9144
1999/ 8/ 6      2.9474
1999/ 8/ 7      2.7450
1999/ 8/ 8      2.6796
1999/ 8/ 9      3.0969
1999/ 8/10      3.3972
