SCLARAVC
RCHRES4
FLOW

Date          DSN 1001
1999/ 1/ 1     20.0560
1999/ 1/ 2     23.8597
1999/ 1/ 3     26.6693
1999/ 1/ 4     27.4178
1999/ 1/ 5     26.1120
1999/ 1/ 6     24.4376
1999/ 1/ 7     22.7823
1999/ 1/ 8     18.7910
1999/ 1/ 9     18.1596
1999/ 1/10     18.1054
1999/ 1/11     16.3730
1999/ 1/12     14.0437
1999/ 1/13     13.9194
1999/ 1/14     13.8539
1999/ 1/15     13.4574
1999/ 1/16     21.8108
1999/ 1/17     13.2484
1999/ 1/18    374.4565
1999/ 1/19    405.0431
1999/ 1/20    981.0347
1999/ 1/21     58.7369
1999/ 1/22     20.9166
1999/ 1/23    827.5811
1999/ 1/24     39.4952
1999/ 1/25    691.2361
1999/ 1/26     56.4967
1999/ 1/27     24.4625
1999/ 1/28     17.0871
1999/ 1/29     15.8248
1999/ 1/30     16.4158
1999/ 1/31   1009.7720
1999/ 2/ 1     35.6479
1999/ 2/ 2     20.8108
1999/ 2/ 3     16.2602
1999/ 2/ 4     14.2409
1999/ 2/ 5     12.9114
1999/ 2/ 6     90.6444
1999/ 2/ 7    930.4775
1999/ 2/ 8    189.2463
1999/ 2/ 9     38.3704
1999/ 2/10     22.7248
1999/ 2/11     17.4379
1999/ 2/12     17.1197
1999/ 2/13     15.2655
1999/ 2/14     15.2837
1999/ 2/15     13.5210
1999/ 2/16     84.3608
1999/ 2/17    143.4909
1999/ 2/18    239.1716
1999/ 2/19     45.3915
1999/ 2/20     29.8074
1999/ 2/21    310.9249
1999/ 2/22     29.1211
1999/ 2/23     16.4536
1999/ 2/24     13.3675
1999/ 2/25    242.4221
1999/ 2/26     26.4972
1999/ 2/27     15.3697
1999/ 2/28     12.9506
1999/ 3/ 1      9.9770
1999/ 3/ 2      8.0655
1999/ 3/ 3      8.4434
1999/ 3/ 4      6.4225
1999/ 3/ 5      6.3926
1999/ 3/ 6      6.3767
1999/ 3/ 7      5.2116
1999/ 3/ 8     13.7152
1999/ 3/ 9    449.9932
1999/ 3/10     26.7443
1999/ 3/11     21.9425
1999/ 3/12     11.1599
1999/ 3/13      7.8726
1999/ 3/14      9.7805
1999/ 3/15    754.7480
1999/ 3/16     32.8284
1999/ 3/17     17.1632
1999/ 3/18     15.0747
1999/ 3/19    230.9164
1999/ 3/20    376.1579
1999/ 3/21     41.0521
1999/ 3/22     20.9445
1999/ 3/23     71.5083
1999/ 3/24     34.2899
1999/ 3/25     18.3080
1999/ 3/26     12.1829
1999/ 3/27      9.5710
1999/ 3/28      8.1084
1999/ 3/29      7.2612
1999/ 3/30      7.1558
1999/ 3/31     73.4761
1999/ 4/ 1     27.5721
1999/ 4/ 2      9.3370
1999/ 4/ 3      5.3722
1999/ 4/ 4      3.7886
1999/ 4/ 5    357.4954
1999/ 4/ 6    625.0176
1999/ 4/ 7     30.4142
1999/ 4/ 8    349.9404
1999/ 4/ 9     33.8112
1999/ 4/10     22.0207
1999/ 4/11     20.1921
1999/ 4/12     14.2031
1999/ 4/13     10.3275
1999/ 4/14      8.0287
1999/ 4/15      7.0848
1999/ 4/16      6.4860
1999/ 4/17      5.6114
1999/ 4/18      4.8891
1999/ 4/19      4.4999
1999/ 4/20      4.6485
1999/ 4/21      4.3543
1999/ 4/22      4.1389
1999/ 4/23      3.8832
1999/ 4/24      4.6318
1999/ 4/25      5.8305
1999/ 4/26      6.2250
1999/ 4/27      5.6723
1999/ 4/28      5.1063
1999/ 4/29      4.7931
1999/ 4/30      4.6957
1999/ 5/ 1      5.6300
1999/ 5/ 2      8.3697
1999/ 5/ 3      8.7012
1999/ 5/ 4      5.5629
1999/ 5/ 5      4.5400
1999/ 5/ 6      4.4760
1999/ 5/ 7      4.2098
1999/ 5/ 8      4.0965
1999/ 5/ 9      4.2246
1999/ 5/10      4.7239
1999/ 5/11      4.5440
1999/ 5/12      4.6223
1999/ 5/13      4.7238
1999/ 5/14      4.7339
1999/ 5/15      4.8715
1999/ 5/16      4.8090
1999/ 5/17      4.9315
1999/ 5/18      5.0732
1999/ 5/19      5.8029
1999/ 5/20      5.6824
1999/ 5/21      5.0777
1999/ 5/22      4.5940
1999/ 5/23      4.8312
1999/ 5/24      5.2332
1999/ 5/25      5.2187
1999/ 5/26      5.1743
1999/ 5/27      5.3204
1999/ 5/28      5.2752
1999/ 5/29      5.7983
1999/ 5/30      5.5859
1999/ 5/31      5.5024
1999/ 6/ 1      5.9224
1999/ 6/ 2      6.2798
1999/ 6/ 3      7.1956
1999/ 6/ 4      5.4126
1999/ 6/ 5      4.3430
1999/ 6/ 6      4.0570
1999/ 6/ 7      4.1451
1999/ 6/ 8      4.1525
1999/ 6/ 9      4.1554
1999/ 6/10      3.9780
1999/ 6/11      3.7468
1999/ 6/12      4.0267
1999/ 6/13      4.0528
1999/ 6/14      3.9657
1999/ 6/15      4.2218
1999/ 6/16      4.4383
1999/ 6/17      4.3296
1999/ 6/18      4.5062
1999/ 6/19      4.3685
1999/ 6/20      4.3425
1999/ 6/21      4.1305
1999/ 6/22      3.9634
1999/ 6/23      4.2237
1999/ 6/24      4.3239
1999/ 6/25      4.6518
1999/ 6/26      4.4203
1999/ 6/27      4.2172
1999/ 6/28      4.1182
1999/ 6/29      4.1941
1999/ 6/30      4.1387
1999/ 7/ 1      4.1057
1999/ 7/ 2      4.3913
1999/ 7/ 3      4.5005
1999/ 7/ 4      4.1689
1999/ 7/ 5      3.6128
1999/ 7/ 6      3.4663
1999/ 7/ 7      3.6669
1999/ 7/ 8      3.3946
1999/ 7/ 9      3.4888
1999/ 7/10      3.5482
1999/ 7/11      3.6147
1999/ 7/12      3.5955
1999/ 7/13      4.3146
1999/ 7/14      4.4647
1999/ 7/15      4.7330
1999/ 7/16      4.7104
1999/ 7/17      4.1980
1999/ 7/18      3.9337
1999/ 7/19      4.2339
1999/ 7/20      4.3564
1999/ 7/21      4.1422
1999/ 7/22      4.0538
1999/ 7/23      4.3068
1999/ 7/24      4.4768
1999/ 7/25      4.1745
1999/ 7/26      3.9161
1999/ 7/27      4.0083
1999/ 7/28      3.8905
1999/ 7/29      3.9270
1999/ 7/30      4.1484
1999/ 7/31      4.2938
1999/ 8/ 1      4.2817
1999/ 8/ 2      4.0769
1999/ 8/ 3      4.0683
1999/ 8/ 4      4.3711
1999/ 8/ 5      4.7501
1999/ 8/ 6      5.1871
1999/ 8/ 7      4.5818
1999/ 8/ 8      4.5291
1999/ 8/ 9      4.6227
1999/ 8/10      4.6467
1999/ 8/11      5.2855
1999/ 8/12      4.1902
1999/ 8/13      3.8933
1999/ 8/14      3.7029
1999/ 8/15      3.7992
1999/ 8/16      3.7780
1999/ 8/17      3.8401
1999/ 8/18      3.8993
1999/ 8/19      3.8750
1999/ 8/20      3.8408
1999/ 8/21      3.9516
1999/ 8/22      3.9075
1999/ 8/23      3.8597
1999/ 8/24      3.8801
1999/ 8/25      3.9396
1999/ 8/26      5.2545
1999/ 8/27      4.3680
1999/ 8/28      3.9901
1999/ 8/29      3.9302
1999/ 8/30      3.7242
1999/ 8/31      3.7600
1999/ 9/ 1      3.9873
1999/ 9/ 2      4.0010
1999/ 9/ 3      3.9673
1999/ 9/ 4      3.9139
1999/ 9/ 5      3.8815
1999/ 9/ 6      3.7448
1999/ 9/ 7      3.6457
1999/ 9/ 8      3.9651
1999/ 9/ 9      4.2964
1999/ 9/10      4.0562
1999/ 9/11      4.2799
1999/ 9/12      4.1443
1999/ 9/13      3.9541
1999/ 9/14      3.9479
1999/ 9/15      4.3460
1999/ 9/16      4.3884
1999/ 9/17      4.3096
1999/ 9/18      4.2110
1999/ 9/19      4.1154
1999/ 9/20      4.0275
1999/ 9/21      3.9478
1999/ 9/22      4.5694
1999/ 9/23      4.0962
1999/ 9/24      3.7411
1999/ 9/25      3.6252
1999/ 9/26      3.2792
1999/ 9/27      2.7461
1999/ 9/28      2.7089
1999/ 9/29      3.2198
1999/ 9/30      3.5883
1999/10/ 1      3.8828
1999/10/ 2      3.9823
1999/10/ 3      3.9379
1999/10/ 4      4.0399
1999/10/ 5      4.0949
1999/10/ 6      4.4743
1999/10/ 7      3.3561
1999/10/ 8      3.3389
1999/10/ 9      3.2372
1999/10/10      3.4426
1999/10/11      3.2907
1999/10/12      3.3691
1999/10/13      3.4599
1999/10/14      3.4283
1999/10/15      2.6869
1999/10/16      2.3319
1999/10/17      2.9703
1999/10/18      3.3963
1999/10/19      3.4594
1999/10/20      3.3159
1999/10/21      3.4318
1999/10/22      3.3074
1999/10/23      3.2242
1999/10/24      3.1629
1999/10/25      3.1106
1999/10/26      3.2487
1999/10/27      3.8073
1999/10/28      7.0011
1999/10/29      5.1452
1999/10/30      3.5512
1999/10/31      2.9352
1999/11/ 1      2.6854
1999/11/ 2      2.7339
1999/11/ 3      2.9039
1999/11/ 4      3.3037
1999/11/ 5      3.0464
1999/11/ 6      3.2193
1999/11/ 7    882.4355
1999/11/ 8    488.7120
1999/11/ 9     29.1552
1999/11/10     14.4617
1999/11/11     10.0806
1999/11/12      8.3969
1999/11/13      7.6423
1999/11/14      7.6993
1999/11/15      7.2306
1999/11/16     61.4432
1999/11/17     81.5952
1999/11/18     19.2270
1999/11/19    244.6400
1999/11/20    198.5689
1999/11/21     84.2582
1999/11/22     27.2381
1999/11/23     11.4062
1999/11/24      7.2480
1999/11/25      6.1509
1999/11/26      5.5785
1999/11/27      6.1832
1999/11/28      6.3078
1999/11/29      5.9910
1999/11/30      9.1622
1999/12/ 1    230.6840
1999/12/ 2     18.3339
1999/12/ 3      7.5607
1999/12/ 4      4.9579
1999/12/ 5      4.3670
1999/12/ 6      4.2162
1999/12/ 7      3.4562
1999/12/ 8      3.1579
1999/12/ 9    283.2766
1999/12/10    118.0180
1999/12/11     26.9386
1999/12/12     10.5166
1999/12/13      6.5132
1999/12/14      4.8496
1999/12/15      4.2147
1999/12/16      3.8502
1999/12/17      3.5682
1999/12/18      3.5963
1999/12/19      3.0983
1999/12/20      2.8965
1999/12/21      2.8272
1999/12/22      2.7814
1999/12/23      2.7435
1999/12/24      2.7096
1999/12/25      2.6786
1999/12/26      2.6501
1999/12/27      2.6239
1999/12/28      2.5998
1999/12/29      2.5775
1999/12/30      2.5570
1999/12/31      2.5381
2000/ 1/ 1      2.9699
2000/ 1/ 2      2.4253
2000/ 1/ 3      2.2965
2000/ 1/ 4      2.6306
2000/ 1/ 5      2.1561
2000/ 1/ 6      2.4144
2000/ 1/ 7      2.4804
2000/ 1/ 8      2.7628
2000/ 1/ 9      2.8454
2000/ 1/10      2.5359
2000/ 1/11      3.1148
2000/ 1/12      3.0173
2000/ 1/13      2.3966
2000/ 1/14      2.4697
2000/ 1/15      2.7152
2000/ 1/16      1.9564
2000/ 1/17      2.8508
2000/ 1/18      2.4976
2000/ 1/19    470.0063
2000/ 1/20     33.6824
2000/ 1/21     11.3277
2000/ 1/22      6.0278
2000/ 1/23      5.1099
2000/ 1/24   3017.6080
2000/ 1/25   1764.8550
2000/ 1/26    126.7242
2000/ 1/27     62.5121
2000/ 1/28     60.2527
2000/ 1/29     52.6004
2000/ 1/30    349.9680
2000/ 1/31     80.2785
2000/ 2/ 1     48.4175
2000/ 2/ 2     39.8770
2000/ 2/ 3    679.2649
2000/ 2/ 4     75.6690
2000/ 2/ 5    167.9631
2000/ 2/ 6     49.8656
2000/ 2/ 7     38.7487
2000/ 2/ 8     33.0668
2000/ 2/ 9     29.2749
2000/ 2/10     29.0178
2000/ 2/11     27.3171
2000/ 2/12     24.0882
2000/ 2/13     21.7907
2000/ 2/14   1159.8060
2000/ 2/15     88.0379
2000/ 2/16    213.0800
2000/ 2/17     50.9063
2000/ 2/18     36.9219
2000/ 2/19     31.1041
2000/ 2/20    499.3688
2000/ 2/21    199.6392
2000/ 2/22    252.9119
2000/ 2/23   2421.2420
2000/ 2/24    168.4590
2000/ 2/25    139.3331
2000/ 2/26    122.4234
2000/ 2/27   1879.2880
2000/ 2/28    255.6386
2000/ 2/29    464.2148
2000/ 3/ 1    184.9571
2000/ 3/ 2    179.7328
2000/ 3/ 3    123.3532
2000/ 3/ 4     98.0619
2000/ 3/ 5    475.3968
2000/ 3/ 6    101.8260
2000/ 3/ 7    122.6731
2000/ 3/ 8   1025.4050
2000/ 3/ 9    612.6917
2000/ 3/10    164.7814
2000/ 3/11    128.7239
