SCLARAVW
R1
FLOW
Simulated flow (cfs)
Date          DSN 1001
1999/ 1/ 1     26.9879
1999/ 1/ 2     33.3290
1999/ 1/ 3     36.1472
1999/ 1/ 4     34.0849
1999/ 1/ 5     30.6358
1999/ 1/ 6     27.5297
1999/ 1/ 7     24.7677
1999/ 1/ 8     18.7785
1999/ 1/ 9     19.1840
1999/ 1/10     18.1566
1999/ 1/11     15.4260
1999/ 1/12     12.7431
1999/ 1/13     12.9820
1999/ 1/14     12.2791
1999/ 1/15     11.4141
1999/ 1/16     33.3094
1999/ 1/17     19.3147
1999/ 1/18     38.0586
1999/ 1/19     63.9025
1999/ 1/20    107.8069
1999/ 1/21     24.6996
1999/ 1/22     14.9257
1999/ 1/23     30.5689
1999/ 1/24     16.6175
1999/ 1/25      9.2162
1999/ 1/26     10.5804
1999/ 1/27     11.1511
1999/ 1/28      8.7695
1999/ 1/29      7.4831
1999/ 1/30      7.6976
1999/ 1/31     83.6845
1999/ 2/ 1     11.4488
1999/ 2/ 2      7.2204
1999/ 2/ 3      6.3408
1999/ 2/ 4      5.6996
1999/ 2/ 5      5.1876
1999/ 2/ 6      6.2889
1999/ 2/ 7    554.4866
1999/ 2/ 8    191.7942
1999/ 2/ 9    427.0361
1999/ 2/10    105.9563
1999/ 2/11     70.0427
1999/ 2/12     54.7812
1999/ 2/13     40.4169
1999/ 2/14     46.6048
1999/ 2/15     35.5825
1999/ 2/16     43.2327
1999/ 2/17    716.4188
1999/ 2/18    158.6054
1999/ 2/19     94.0042
1999/ 2/20     77.7169
1999/ 2/21    277.9017
1999/ 2/22    104.6266
1999/ 2/23     74.7471
1999/ 2/24     57.8951
1999/ 2/25     89.0759
1999/ 2/26     55.7766
1999/ 2/27     41.1722
1999/ 2/28     37.7013
1999/ 3/ 1     27.4213
1999/ 3/ 2     22.8420
1999/ 3/ 3     21.1574
1999/ 3/ 4     16.7457
1999/ 3/ 5     15.9925
1999/ 3/ 6     14.4751
1999/ 3/ 7     11.5298
1999/ 3/ 8     13.9825
1999/ 3/ 9    108.9303
1999/ 3/10     22.0854
1999/ 3/11     11.8024
1999/ 3/12      9.4410
1999/ 3/13      8.6438
1999/ 3/14     10.4931
1999/ 3/15     25.4386
1999/ 3/16     15.3833
1999/ 3/17      7.9674
1999/ 3/18      8.3901
1999/ 3/19      7.4182
1999/ 3/20     70.4699
1999/ 3/21     13.3965
1999/ 3/22      7.9161
1999/ 3/23      7.0233
1999/ 3/24      6.4057
1999/ 3/25    260.7540
1999/ 3/26     28.9652
1999/ 3/27     19.3964
1999/ 3/28     14.8687
1999/ 3/29     12.4960
1999/ 3/30     11.1206
1999/ 3/31      9.2833
1999/ 4/ 1      8.0602
1999/ 4/ 2      5.9208
1999/ 4/ 3      5.3890
1999/ 4/ 4      4.6465
1999/ 4/ 5      6.8365
1999/ 4/ 6     80.2784
1999/ 4/ 7     23.1226
1999/ 4/ 8     58.1418
1999/ 4/ 9     20.2329
1999/ 4/10     14.7560
1999/ 4/11    120.0512
1999/ 4/12     23.3826
1999/ 4/13     14.4975
1999/ 4/14     11.4350
1999/ 4/15      9.7197
1999/ 4/16      8.4839
1999/ 4/17      7.2769
1999/ 4/18      6.3905
1999/ 4/19      6.0182
1999/ 4/20      5.8484
1999/ 4/21      5.4442
1999/ 4/22      4.9227
1999/ 4/23      4.3972
1999/ 4/24      5.1598
1999/ 4/25      5.5896
1999/ 4/26      5.7100
1999/ 4/27      5.0314
1999/ 4/28      4.6703
1999/ 4/29      4.1689
1999/ 4/30      4.1694
1999/ 5/ 1      4.8220
1999/ 5/ 2      6.4717
1999/ 5/ 3      5.8913
1999/ 5/ 4      3.5772
1999/ 5/ 5      3.2355
1999/ 5/ 6      3.2229
1999/ 5/ 7      3.0084
1999/ 5/ 8      3.0933
1999/ 5/ 9      3.1335
1999/ 5/10      3.4359
1999/ 5/11      3.1722
1999/ 5/12      3.2243
1999/ 5/13      3.2579
1999/ 5/14      3.2582
1999/ 5/15      3.2407
1999/ 5/16      3.1833
1999/ 5/17      3.2351
1999/ 5/18      3.2309
1999/ 5/19      3.5595
1999/ 5/20      3.2931
1999/ 5/21      3.0536
1999/ 5/22      2.8042
1999/ 5/23      3.0218
1999/ 5/24      3.1369
1999/ 5/25      3.1169
1999/ 5/26      3.0596
1999/ 5/27      3.0719
1999/ 5/28      3.0198
1999/ 5/29      3.0949
1999/ 5/30      2.9747
1999/ 5/31      2.9394
1999/ 6/ 1      3.0206
1999/ 6/ 2      3.1446
1999/ 6/ 3      3.3641
1999/ 6/ 4      2.7366
1999/ 6/ 5      2.6019
1999/ 6/ 6      2.5535
1999/ 6/ 7      2.5753
1999/ 6/ 8      2.5928
1999/ 6/ 9      2.5678
1999/ 6/10      2.4043
1999/ 6/11      2.2890
1999/ 6/12      2.4531
1999/ 6/13      2.3973
1999/ 6/14      2.2964
1999/ 6/15      2.4576
1999/ 6/16      2.4341
1999/ 6/17      2.4275
1999/ 6/18      2.4123
1999/ 6/19      2.4052
1999/ 6/20      2.3578
1999/ 6/21      2.2312
1999/ 6/22      2.1574
1999/ 6/23      2.2478
1999/ 6/24      2.2464
1999/ 6/25      2.2801
1999/ 6/26      2.2076
1999/ 6/27      2.1562
1999/ 6/28      2.1246
1999/ 6/29      2.1319
1999/ 6/30      2.1079
1999/ 7/ 1      2.1316
1999/ 7/ 2      2.1706
1999/ 7/ 3      2.1734
1999/ 7/ 4      2.1681
1999/ 7/ 5      2.0443
1999/ 7/ 6      2.0491
1999/ 7/ 7      2.0488
1999/ 7/ 8      1.9544
1999/ 7/ 9      1.9724
1999/ 7/10      1.9875
1999/ 7/11      1.9497
1999/ 7/12      1.9414
1999/ 7/13      2.3183
1999/ 7/14      2.2207
1999/ 7/15      2.2296
1999/ 7/16      2.2022
1999/ 7/17      1.9247
1999/ 7/18      1.9284
1999/ 7/19      2.0854
1999/ 7/20      2.0889
1999/ 7/21      1.9505
1999/ 7/22      1.9446
1999/ 7/23      2.0499
1999/ 7/24      2.0672
1999/ 7/25      1.8990
1999/ 7/26      1.8074
1999/ 7/27      1.8445
1999/ 7/28      1.8295
1999/ 7/29      1.8083
1999/ 7/30      1.9064
1999/ 7/31      1.9630
1999/ 8/ 1      1.9406
1999/ 8/ 2      1.8253
1999/ 8/ 3      1.8623
1999/ 8/ 4      1.9705
1999/ 8/ 5      1.9591
1999/ 8/ 6      2.0742
1999/ 8/ 7      1.8781
1999/ 8/ 8      1.8500
1999/ 8/ 9      1.8454
1999/ 8/10      1.8446
1999/ 8/11      2.1541
1999/ 8/12      1.7189
1999/ 8/13      1.6854
1999/ 8/14      1.6375
1999/ 8/15      1.6721
1999/ 8/16      1.6805
1999/ 8/17      1.6823
1999/ 8/18      1.6635
1999/ 8/19      1.6671
1999/ 8/20      1.6830
1999/ 8/21      1.6642
1999/ 8/22      1.6277
1999/ 8/23      1.6292
1999/ 8/24      1.6686
1999/ 8/25      1.6500
1999/ 8/26      2.1582
1999/ 8/27      1.7625
1999/ 8/28      1.6319
1999/ 8/29      1.6331
1999/ 8/30      1.5834
1999/ 8/31      1.6055
1999/ 9/ 1      1.6607
1999/ 9/ 2      1.6626
1999/ 9/ 3      1.6525
1999/ 9/ 4      1.6315
1999/ 9/ 5      1.5966
1999/ 9/ 6      1.5836
1999/ 9/ 7      1.5884
1999/ 9/ 8      1.7032
1999/ 9/ 9      1.7650
1999/ 9/10      1.5588
1999/ 9/11      1.5475
1999/ 9/12      1.4849
1999/ 9/13      1.4645
1999/ 9/14      1.4538
1999/ 9/15      1.5539
1999/ 9/16      1.5303
1999/ 9/17      1.5139
1999/ 9/18      1.4949
1999/ 9/19      1.4774
1999/ 9/20      1.4582
1999/ 9/21      1.4523
1999/ 9/22      1.7249
1999/ 9/23      1.5952
1999/ 9/24      1.3179
1999/ 9/25      1.2902
1999/ 9/26      1.1688
1999/ 9/27      1.1140
1999/ 9/28      1.1123
1999/ 9/29      1.2514
1999/ 9/30      1.3498
1999/10/ 1      1.3860
1999/10/ 2      1.4106
1999/10/ 3      1.4123
1999/10/ 4      1.4858
1999/10/ 5      1.5104
1999/10/ 6      1.7294
1999/10/ 7      1.2252
1999/10/ 8      1.1846
1999/10/ 9      1.1951
1999/10/10      1.2863
1999/10/11      1.2602
1999/10/12      1.3112
1999/10/13      1.3433
1999/10/14      1.3385
1999/10/15      1.0798
1999/10/16      0.9733
1999/10/17      1.3019
1999/10/18      1.4182
1999/10/19      1.4300
1999/10/20      1.3696
1999/10/21      1.4480
1999/10/22      1.4196
1999/10/23      1.3901
1999/10/24      1.3700
1999/10/25      1.3575
1999/10/26      1.4356
1999/10/27      1.7005
1999/10/28     66.4948
1999/10/29     13.7500
1999/10/30      2.3547
1999/10/31      1.6183
1999/11/ 1      1.4448
1999/11/ 2      1.3835
1999/11/ 3      1.4264
1999/11/ 4      1.5533
1999/11/ 5      1.4226
1999/11/ 6      1.5267
1999/11/ 7      1.3766
1999/11/ 8    127.7041
1999/11/ 9      6.2958
1999/11/10      2.4384
1999/11/11      2.3172
1999/11/12      1.8375
1999/11/13      1.7180
1999/11/14      1.8111
1999/11/15      1.8913
1999/11/16      1.7823
1999/11/17     54.9495
1999/11/18     13.5876
1999/11/19      3.0083
1999/11/20    172.6478
1999/11/21     79.8178
1999/11/22     15.7580
1999/11/23      4.5308
1999/11/24      3.6101
1999/11/25      3.4997
1999/11/26      3.2364
1999/11/27      3.7096
1999/11/28      3.6625
1999/11/29      3.4460
1999/11/30      5.7889
1999/12/ 1     24.3179
1999/12/ 2      8.0883
1999/12/ 3      9.0737
1999/12/ 4      5.2722
1999/12/ 5      2.7391
1999/12/ 6      2.5310
1999/12/ 7      2.0921
1999/12/ 8      1.9841
1999/12/ 9      6.8919
1999/12/10     17.2376
1999/12/11      6.8211
1999/12/12      2.4952
1999/12/13      2.0041
1999/12/14      1.8735
1999/12/15      1.7417
1999/12/16      1.6649
1999/12/17      1.6105
1999/12/18      1.7252
1999/12/19      1.5541
1999/12/20      1.5936
1999/12/21      1.6029
1999/12/22      1.5984
1999/12/23      1.5962
1999/12/24      1.5904
1999/12/25      1.5846
1999/12/26      1.5795
1999/12/27      1.5749
1999/12/28      1.5708
1999/12/29      1.5672
1999/12/30      1.5640
