SOLANOW
R2
FLOW
Simulated flow (cfs)
Date          DSN 2001
1999/ 1/ 1     20.1227
1999/ 1/ 2     38.3946
1999/ 1/ 3     47.2024
1999/ 1/ 4     50.6779
1999/ 1/ 5     49.1192
1999/ 1/ 6     45.6949
1999/ 1/ 7     41.7537
1999/ 1/ 8     35.4176
1999/ 1/ 9     31.5341
1999/ 1/10     29.7304
1999/ 1/11     26.6895
1999/ 1/12     22.8969
1999/ 1/13     20.8834
1999/ 1/14     19.8281
1999/ 1/15     18.5303
1999/ 1/16     32.3485
1999/ 1/17     35.8673
1999/ 1/18     43.8413
1999/ 1/19     87.6522
1999/ 1/20    160.4354
1999/ 1/21     57.3754
1999/ 1/22     36.1490
1999/ 1/23     38.6871
1999/ 1/24     35.4314
1999/ 1/25     23.0699
1999/ 1/26     18.5424
1999/ 1/27     17.3338
1999/ 1/28     15.6204
1999/ 1/29     12.7757
1999/ 1/30     11.8007
1999/ 1/31     90.0548
1999/ 2/ 1     37.5499
1999/ 2/ 2     22.2679
1999/ 2/ 3     14.8763
1999/ 2/ 4     11.0730
1999/ 2/ 5      8.9396
1999/ 2/ 6      8.7038
1999/ 2/ 7    756.7896
1999/ 2/ 8    246.2239
1999/ 2/ 9    651.4451
1999/ 2/10    173.0475
1999/ 2/11     96.2116
1999/ 2/12     77.6477
1999/ 2/13     63.9466
1999/ 2/14     64.5642
1999/ 2/15     59.4222
1999/ 2/16     59.0313
1999/ 2/17    883.9441
1999/ 2/18    344.8013
1999/ 2/19    147.6718
1999/ 2/20    114.5075
1999/ 2/21    365.4241
1999/ 2/22    197.6674
1999/ 2/23    109.6865
1999/ 2/24     85.7344
1999/ 2/25    137.3280
1999/ 2/26     82.4024
1999/ 2/27     66.3468
1999/ 2/28     58.7865
1999/ 3/ 1     50.5576
1999/ 3/ 2     41.1811
1999/ 3/ 3     36.1651
1999/ 3/ 4     30.2756
1999/ 3/ 5     26.5237
1999/ 3/ 6     23.5971
1999/ 3/ 7     20.4617
1999/ 3/ 8     19.8541
1999/ 3/ 9    127.2441
1999/ 3/10     52.4539
1999/ 3/11     33.1859
1999/ 3/12     22.5793
1999/ 3/13     17.1438
1999/ 3/14     15.9282
1999/ 3/15     25.7123
1999/ 3/16     28.2857
1999/ 3/17     18.7742
1999/ 3/18     14.7980
1999/ 3/19     12.6464
1999/ 3/20     70.1130
1999/ 3/21     38.7766
1999/ 3/22     23.4863
1999/ 3/23     16.2996
1999/ 3/24     12.2840
1999/ 3/25    343.2355
1999/ 3/26     59.7922
1999/ 3/27     41.6273
1999/ 3/28     30.7834
1999/ 3/29     23.6375
1999/ 3/30     19.5126
1999/ 3/31     16.1350
1999/ 4/ 1     13.8179
1999/ 4/ 2     10.5788
1999/ 4/ 3      8.6002
1999/ 4/ 4      7.1937
1999/ 4/ 5      8.1257
1999/ 4/ 6     75.5523
1999/ 4/ 7     51.1120
1999/ 4/ 8     74.5610
1999/ 4/ 9     47.8025
1999/ 4/10     32.2762
1999/ 4/11    152.8235
1999/ 4/12     52.8893
1999/ 4/13     35.1394
1999/ 4/14     24.6973
1999/ 4/15     18.5009
1999/ 4/16     14.7623
1999/ 4/17     12.1131
1999/ 4/18     10.1442
1999/ 4/19      9.2221
1999/ 4/20      8.9301
1999/ 4/21      8.6822
1999/ 4/22      8.3413
1999/ 4/23      7.6392
1999/ 4/24      8.4012
1999/ 4/25      9.4042
1999/ 4/26     10.1406
1999/ 4/27      9.8464
1999/ 4/28      9.3622
1999/ 4/29      8.6580
1999/ 4/30      8.4096
1999/ 5/ 1      9.1401
1999/ 5/ 2     11.2390
1999/ 5/ 3     11.9740
1999/ 5/ 4      9.3074
1999/ 5/ 5      7.3482
1999/ 5/ 6      6.6072
1999/ 5/ 7      5.9714
1999/ 5/ 8      5.8103
1999/ 5/ 9      5.9705
1999/ 5/10      6.5754
1999/ 5/11      6.5423
1999/ 5/12      6.5814
1999/ 5/13      6.8128
1999/ 5/14      6.9317
1999/ 5/15      7.0056
1999/ 5/16      6.9620
1999/ 5/17      6.9254
1999/ 5/18      7.0247
1999/ 5/19      7.5576
1999/ 5/20      7.4645
1999/ 5/21      6.9968
1999/ 5/22      6.3122
1999/ 5/23      6.2193
1999/ 5/24      6.6360
1999/ 5/25      6.7383
1999/ 5/26      6.6824
1999/ 5/27      6.6590
1999/ 5/28      6.5820
1999/ 5/29      6.7055
1999/ 5/30      6.6659
1999/ 5/31      6.4770
1999/ 6/ 1      6.5454
1999/ 6/ 2      6.8511
1999/ 6/ 3      7.1052
1999/ 6/ 4      6.4972
1999/ 6/ 5      5.8510
1999/ 6/ 6      5.3793
1999/ 6/ 7      5.1257
1999/ 6/ 8      5.0945
1999/ 6/ 9      5.0722
1999/ 6/10      4.9085
1999/ 6/11      4.5655
1999/ 6/12      4.5290
1999/ 6/13      4.6519
1999/ 6/14      4.4859
1999/ 6/15      4.5473
1999/ 6/16      4.7945
1999/ 6/17      4.6878
1999/ 6/18      4.8099
1999/ 6/19      4.6432
1999/ 6/20      4.6245
1999/ 6/21      4.3226
1999/ 6/22      4.0701
1999/ 6/23      4.0986
1999/ 6/24      4.1471
1999/ 6/25      4.2913
1999/ 6/26      4.2755
1999/ 6/27      4.0546
1999/ 6/28      3.8420
1999/ 6/29      3.6799
1999/ 6/30      3.5745
1999/ 7/ 1      3.5683
1999/ 7/ 2      3.7086
1999/ 7/ 3      3.8546
1999/ 7/ 4      3.9749
1999/ 7/ 5      3.7326
1999/ 7/ 6      3.5239
1999/ 7/ 7      3.5315
1999/ 7/ 8      3.2962
1999/ 7/ 9      3.1782
1999/ 7/10      3.2475
1999/ 7/11      3.1838
1999/ 7/12      3.0526
1999/ 7/13      3.6603
1999/ 7/14      3.8843
1999/ 7/15      4.0897
1999/ 7/16      4.0080
1999/ 7/17      3.6732
1999/ 7/18      3.3541
1999/ 7/19      3.4002
1999/ 7/20      3.5426
1999/ 7/21      3.4187
1999/ 7/22      3.1453
1999/ 7/23      3.2026
1999/ 7/24      3.2777
1999/ 7/25      3.1453
1999/ 7/26      2.8668
1999/ 7/27      2.8227
1999/ 7/28      2.8410
1999/ 7/29      2.7826
1999/ 7/30      2.7996
1999/ 7/31      2.9395
1999/ 8/ 1      2.9278
1999/ 8/ 2      2.8149
1999/ 8/ 3      2.6748
1999/ 8/ 4      2.8454
1999/ 8/ 5      3.0863
1999/ 8/ 6      3.4442
1999/ 8/ 7      3.3601
1999/ 8/ 8      3.1694
1999/ 8/ 9      3.1500
1999/ 8/10      3.1758
1999/ 8/11      3.5333
1999/ 8/12      3.1095
1999/ 8/13      2.6334
1999/ 8/14      2.3389
1999/ 8/15      2.2652
1999/ 8/16      2.2547
1999/ 8/17      2.2192
1999/ 8/18      2.2462
