SOLANOW
R3
FLOW
Simulated flow (cfs)
Date          DSN 3001
1999/ 1/ 1      5.7825
1999/ 1/ 2     16.6182
1999/ 1/ 3     35.5887
1999/ 1/ 4     40.7652
1999/ 1/ 5     38.9579
1999/ 1/ 6     35.5099
1999/ 1/ 7     31.9215
1999/ 1/ 8     25.9819
1999/ 1/ 9     23.4375
1999/ 1/10     22.3101
1999/ 1/11     19.6391
1999/ 1/12     16.4166
1999/ 1/13     15.2142
1999/ 1/14     14.5287
1999/ 1/15     13.8013
1999/ 1/16     13.9745
1999/ 1/17     13.5334
1999/ 1/18     13.5123
1999/ 1/19     15.8954
1999/ 1/20     22.4410
1999/ 1/21     20.4040
1999/ 1/22     16.9724
1999/ 1/23     17.3586
1999/ 1/24     15.3333
1999/ 1/25     13.0871
1999/ 1/26     12.5988
1999/ 1/27     12.0809
1999/ 1/28     11.1925
1999/ 1/29     10.3756
1999/ 1/30      9.8367
1999/ 1/31     11.9633
1999/ 2/ 1     11.6119
1999/ 2/ 2     10.7110
1999/ 2/ 3      9.8159
1999/ 2/ 4      8.9574
1999/ 2/ 5      8.1556
1999/ 2/ 6      7.6922
1999/ 2/ 7     83.9453
1999/ 2/ 8    104.3283
1999/ 2/ 9    220.3969
1999/ 2/10    178.9718
1999/ 2/11    114.6897
1999/ 2/12     79.7291
1999/ 2/13     57.9844
1999/ 2/14     49.9092
1999/ 2/15     42.1068
1999/ 2/16     40.6834
1999/ 2/17    256.4658
1999/ 2/18    315.6553
1999/ 2/19    179.6231
1999/ 2/20    114.9694
1999/ 2/21    128.7129
1999/ 2/22    149.8659
1999/ 2/23    107.2605
1999/ 2/24     78.6666
1999/ 2/25     71.7570
1999/ 2/26     65.2057
1999/ 2/27     51.6158
1999/ 2/28     44.4413
1999/ 3/ 1     35.5202
1999/ 3/ 2     27.8127
1999/ 3/ 3     24.6069
1999/ 3/ 4     20.0345
1999/ 3/ 5     17.6596
1999/ 3/ 6     15.7396
1999/ 3/ 7     14.3948
1999/ 3/ 8     13.4757
1999/ 3/ 9     21.8480
1999/ 3/10     20.8693
1999/ 3/11     15.3875
1999/ 3/12     13.0204
1999/ 3/13     12.0678
1999/ 3/14     11.5950
1999/ 3/15     11.5547
1999/ 3/16     11.5917
1999/ 3/17     10.8485
1999/ 3/18     10.2838
1999/ 3/19      9.7579
1999/ 3/20     11.3524
1999/ 3/21     11.7106
1999/ 3/22     10.9931
1999/ 3/23     10.2748
1999/ 3/24      9.4360
1999/ 3/25     51.2363
1999/ 3/26     39.6669
1999/ 3/27     27.6976
1999/ 3/28     20.4615
1999/ 3/29     16.1993
1999/ 3/30     14.3761
1999/ 3/31     12.9856
1999/ 4/ 1     12.1600
1999/ 4/ 2     10.8271
1999/ 4/ 3      9.5929
1999/ 4/ 4      8.4828
1999/ 4/ 5      8.0038
1999/ 4/ 6      9.3813
1999/ 4/ 7     11.5566
1999/ 4/ 8     14.2880
1999/ 4/ 9     16.4598
1999/ 4/10     16.0351
1999/ 4/11     30.9839
1999/ 4/12     27.8986
1999/ 4/13     20.1239
1999/ 4/14     15.9449
1999/ 4/15     13.5199
1999/ 4/16     12.4215
1999/ 4/17     11.4243
1999/ 4/18     10.3627
1999/ 4/19      9.3903
1999/ 4/20      8.5423
1999/ 4/21      7.7520
1999/ 4/22      6.9734
1999/ 4/23      6.1284
1999/ 4/24      5.6218
1999/ 4/25      5.3559
1999/ 4/26      5.1885
1999/ 4/27      4.8943
1999/ 4/28      4.5315
1999/ 4/29      4.1028
1999/ 4/30      3.7421
1999/ 5/ 1      3.5868
1999/ 5/ 2      3.8091
1999/ 5/ 3      4.0552
1999/ 5/ 4      3.7015
1999/ 5/ 5      3.2329
1999/ 5/ 6      2.8719
1999/ 5/ 7      2.5096
1999/ 5/ 8      2.2212
1999/ 5/ 9      2.0330
1999/ 5/10      1.9690
1999/ 5/11      1.8627
