# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 13:54:03 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11164500 SAN FRANCISQUITO C A STANFORD UNIVERSITY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11164500
#            TS   parameter     statistic     Description
#          8850       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8850_00060_00003	8850_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11164500	1999-01-01	4.2	A
USGS	11164500	1999-01-02	4.2	A
USGS	11164500	1999-01-03	4.0	A
USGS	11164500	1999-01-04	3.9	A
USGS	11164500	1999-01-05	3.8	A
USGS	11164500	1999-01-06	3.8	A
USGS	11164500	1999-01-07	3.9	A
USGS	11164500	1999-01-08	3.8	A
USGS	11164500	1999-01-09	3.8	A
USGS	11164500	1999-01-10	3.6	A
USGS	11164500	1999-01-11	3.6	A
USGS	11164500	1999-01-12	3.6	A
USGS	11164500	1999-01-13	3.6	A
USGS	11164500	1999-01-14	3.4	A
USGS	11164500	1999-01-15	3.5	A
USGS	11164500	1999-01-16	6.4	A
USGS	11164500	1999-01-17	5.3	A
USGS	11164500	1999-01-18	172	A
USGS	11164500	1999-01-19	208	A
USGS	11164500	1999-01-20	579	A
USGS	11164500	1999-01-21	138	A
USGS	11164500	1999-01-22	46	A
USGS	11164500	1999-01-23	203	A
USGS	11164500	1999-01-24	70	A
USGS	11164500	1999-01-25	40	A
USGS	11164500	1999-01-26	56	A
USGS	11164500	1999-01-27	42	A
USGS	11164500	1999-01-28	29	A
USGS	11164500	1999-01-29	23	A
USGS	11164500	1999-01-30	21	A
USGS	11164500	1999-01-31	106	A
USGS	11164500	1999-02-01	44	A
USGS	11164500	1999-02-02	30	A
USGS	11164500	1999-02-03	25	A
USGS	11164500	1999-02-04	21	A
USGS	11164500	1999-02-05	19	A
USGS	11164500	1999-02-06	62	A
USGS	11164500	1999-02-07	1260	A
USGS	11164500	1999-02-08	391	A
USGS	11164500	1999-02-09	1010	A
USGS	11164500	1999-02-10	269	A
USGS	11164500	1999-02-11	123	A
USGS	11164500	1999-02-12	84	A
USGS	11164500	1999-02-13	65	A
USGS	11164500	1999-02-14	58	A
USGS	11164500	1999-02-15	46	A
USGS	11164500	1999-02-16	183	A
USGS	11164500	1999-02-17	485	A
USGS	11164500	1999-02-18	195	A
USGS	11164500	1999-02-19	143	A
USGS	11164500	1999-02-20	154	A
USGS	11164500	1999-02-21	341	A
USGS	11164500	1999-02-22	130	A
USGS	11164500	1999-02-23	95	A
USGS	11164500	1999-02-24	82	A
USGS	11164500	1999-02-25	172	A
USGS	11164500	1999-02-26	91	A
USGS	11164500	1999-02-27	73	A
USGS	11164500	1999-02-28	63	A
USGS	11164500	1999-03-01	55	A
USGS	11164500	1999-03-02	43	A
USGS	11164500	1999-03-03	56	A
USGS	11164500	1999-03-04	45	A
USGS	11164500	1999-03-05	41	A
USGS	11164500	1999-03-06	38	A
USGS	11164500	1999-03-07	37	A
USGS	11164500	1999-03-08	40	A
USGS	11164500	1999-03-09	136	A
USGS	11164500	1999-03-10	63	A
USGS	11164500	1999-03-11	47	A
USGS	11164500	1999-03-12	37	A
USGS	11164500	1999-03-13	33	A
USGS	11164500	1999-03-14	43	A
USGS	11164500	1999-03-15	88	A
USGS	11164500	1999-03-16	48	A
USGS	11164500	1999-03-17	37	A
USGS	11164500	1999-03-18	34	A
USGS	11164500	1999-03-19	38	A
USGS	11164500	1999-03-20	36	A
USGS	11164500	1999-03-21	34	A
USGS	11164500	1999-03-22	31	A
USGS	11164500	1999-03-23	41	A
USGS	11164500	1999-03-24	34	A
USGS	11164500	1999-03-25	129	A
USGS	11164500	1999-03-26	61	A
USGS	11164500	1999-03-27	44	A
USGS	11164500	1999-03-28	36	A
USGS	11164500	1999-03-29	33	A
USGS	11164500	1999-03-30	32	A
USGS	11164500	1999-03-31	52	A
USGS	11164500	1999-04-01	35	A
USGS	11164500	1999-04-02	30	A
USGS	11164500	1999-04-03	26	A
USGS	11164500	1999-04-04	25	A
USGS	11164500	1999-04-05	88	A
USGS	11164500	1999-04-06	162	A
USGS	11164500	1999-04-07	74	A
USGS	11164500	1999-04-08	147	A
USGS	11164500	1999-04-09	94	A
USGS	11164500	1999-04-10	63	A
USGS	11164500	1999-04-11	183	A
USGS	11164500	1999-04-12	98	A
USGS	11164500	1999-04-13	68	A
USGS	11164500	1999-04-14	59	A
USGS	11164500	1999-04-15	50	A
USGS	11164500	1999-04-16	41	A
USGS	11164500	1999-04-17	35	A
USGS	11164500	1999-04-18	33	A
USGS	11164500	1999-04-19	30	A
USGS	11164500	1999-04-20	29	A
USGS	11164500	1999-04-21	25	A
USGS	11164500	1999-04-22	20	A
USGS	11164500	1999-04-23	19	A
USGS	11164500	1999-04-24	18	A
USGS	11164500	1999-04-25	17	A
USGS	11164500	1999-04-26	17	A
USGS	11164500	1999-04-27	15	A
USGS	11164500	1999-04-28	15	A
USGS	11164500	1999-04-29	14	A
USGS	11164500	1999-04-30	15	A
USGS	11164500	1999-05-01	14	A
USGS	11164500	1999-05-02	14	A
USGS	11164500	1999-05-03	15	A
USGS	11164500	1999-05-04	14	A
USGS	11164500	1999-05-05	13	A
USGS	11164500	1999-05-06	13	A
USGS	11164500	1999-05-07	12	A
USGS	11164500	1999-05-08	12	A
USGS	11164500	1999-05-09	12	A
USGS	11164500	1999-05-10	11	A
USGS	11164500	1999-05-11	11	A
USGS	11164500	1999-05-12	11	A
USGS	11164500	1999-05-13	11	A
USGS	11164500	1999-05-14	10	A
USGS	11164500	1999-05-15	9.3	A
USGS	11164500	1999-05-16	9.2	A
USGS	11164500	1999-05-17	8.7	A
USGS	11164500	1999-05-18	8.3	A
USGS	11164500	1999-05-19	8.4	A
USGS	11164500	1999-05-20	8.5	A
USGS	11164500	1999-05-21	8.6	A
USGS	11164500	1999-05-22	8.1	A
USGS	11164500	1999-05-23	7.7	A
USGS	11164500	1999-05-24	7.0	A
USGS	11164500	1999-05-25	6.4	A
USGS	11164500	1999-05-26	6.4	A
USGS	11164500	1999-05-27	6.4	A
USGS	11164500	1999-05-28	6.7	A
USGS	11164500	1999-05-29	6.9	A
USGS	11164500	1999-05-30	7.3	A
USGS	11164500	1999-05-31	7.1	A
USGS	11164500	1999-06-01	7.3	A
USGS	11164500	1999-06-02	7.8	A
USGS	11164500	1999-06-03	7.5	A
USGS	11164500	1999-06-04	8.8	A
USGS	11164500	1999-06-05	7.9	A
USGS	11164500	1999-06-06	7.8	A
USGS	11164500	1999-06-07	7.4	A
USGS	11164500	1999-06-08	7.1	A
USGS	11164500	1999-06-09	7.1	A
USGS	11164500	1999-06-10	6.9	A
USGS	11164500	1999-06-11	6.9	A
USGS	11164500	1999-06-12	6.8	A
USGS	11164500	1999-06-13	6.8	A
USGS	11164500	1999-06-14	6.7	A
USGS	11164500	1999-06-15	6.1	A
USGS	11164500	1999-06-16	5.7	A
USGS	11164500	1999-06-17	5.4	A
USGS	11164500	1999-06-18	5.1	A
USGS	11164500	1999-06-19	4.8	A
USGS	11164500	1999-06-20	4.6	A
USGS	11164500	1999-06-21	4.5	A
USGS	11164500	1999-06-22	4.1	A
USGS	11164500	1999-06-23	4.0	A
USGS	11164500	1999-06-24	3.8	A
USGS	11164500	1999-06-25	3.3	A
USGS	11164500	1999-06-26	3.1	A
USGS	11164500	1999-06-27	2.9	A
USGS	11164500	1999-06-28	2.7	A
USGS	11164500	1999-06-29	2.3	A
USGS	11164500	1999-06-30	2.1	A
USGS	11164500	1999-07-01	1.9	A
USGS	11164500	1999-07-02	1.6	A
USGS	11164500	1999-07-03	1.8	A
USGS	11164500	1999-07-04	1.5	A
USGS	11164500	1999-07-05	1.4	A
USGS	11164500	1999-07-06	1.4	A
USGS	11164500	1999-07-07	1.5	A
USGS	11164500	1999-07-08	1.2	A
USGS	11164500	1999-07-09	1.3	A
USGS	11164500	1999-07-10	1.2	A
USGS	11164500	1999-07-11	1.2	A
USGS	11164500	1999-07-12	1.3	A
USGS	11164500	1999-07-13	0.97	A
USGS	11164500	1999-07-14	1.1	A
USGS	11164500	1999-07-15	1.1	A
USGS	11164500	1999-07-16	1.1	A
USGS	11164500	1999-07-17	1.1	A
USGS	11164500	1999-07-18	0.99	A
USGS	11164500	1999-07-19	1.1	A
USGS	11164500	1999-07-20	1.1	A
USGS	11164500	1999-07-21	1.1	A
USGS	11164500	1999-07-22	1.1	A
USGS	11164500	1999-07-23	1.0	A
USGS	11164500	1999-07-24	1.0	A
USGS	11164500	1999-07-25	1.0	A
USGS	11164500	1999-07-26	1.0	A
USGS	11164500	1999-07-27	1.0	A
USGS	11164500	1999-07-28	1.0	A
USGS	11164500	1999-07-29	1.0	A
USGS	11164500	1999-07-30	1.0	A
USGS	11164500	1999-07-31	0.84	A
USGS	11164500	1999-08-01	0.87	A
USGS	11164500	1999-08-02	0.84	A
USGS	11164500	1999-08-03	0.84	A
USGS	11164500	1999-08-04	0.80	A
USGS	11164500	1999-08-05	0.76	A
USGS	11164500	1999-08-06	0.91	A
USGS	11164500	1999-08-07	0.91	A
USGS	11164500	1999-08-08	0.88	A
USGS	11164500	1999-08-09	0.84	A
USGS	11164500	1999-08-10	0.88	A
USGS	11164500	1999-08-11	0.89	A
USGS	11164500	1999-08-12	0.95	A
USGS	11164500	1999-08-13	0.84	A
USGS	11164500	1999-08-14	0.78	A
USGS	11164500	1999-08-15	0.71	A
USGS	11164500	1999-08-16	0.69	A
USGS	11164500	1999-08-17	0.69	A
USGS	11164500	1999-08-18	0.70	A
USGS	11164500	1999-08-19	0.78	A
USGS	11164500	1999-08-20	0.69	A
USGS	11164500	1999-08-21	0.68	A
USGS	11164500	1999-08-22	0.62	A
USGS	11164500	1999-08-23	0.52	A
USGS	11164500	1999-08-24	0.57	A
USGS	11164500	1999-08-25	0.62	A
USGS	11164500	1999-08-26	0.62	A
USGS	11164500	1999-08-27	0.65	A
USGS	11164500	1999-08-28	0.51	A
USGS	11164500	1999-08-29	0.47	A
USGS	11164500	1999-08-30	0.43	A
USGS	11164500	1999-08-31	0.39	A
USGS	11164500	1999-09-01	0.39	A
USGS	11164500	1999-09-02	0.43	A
USGS	11164500	1999-09-03	0.60	A
USGS	11164500	1999-09-04	0.61	A
USGS	11164500	1999-09-05	0.58	A
USGS	11164500	1999-09-06	0.45	A
USGS	11164500	1999-09-07	0.45	A
USGS	11164500	1999-09-08	0.48	A
USGS	11164500	1999-09-09	0.81	A
USGS	11164500	1999-09-10	0.66	A
USGS	11164500	1999-09-11	0.65	A
USGS	11164500	1999-09-12	0.51	A
USGS	11164500	1999-09-13	0.45	A
USGS	11164500	1999-09-14	0.45	A
USGS	11164500	1999-09-15	0.45	A
USGS	11164500	1999-09-16	0.45	A
USGS	11164500	1999-09-17	0.45	A
USGS	11164500	1999-09-18	0.45	A
USGS	11164500	1999-09-19	0.45	A
USGS	11164500	1999-09-20	0.45	A
USGS	11164500	1999-09-21	0.45	A
USGS	11164500	1999-09-22	0.52	A
USGS	11164500	1999-09-23	0.63	A
USGS	11164500	1999-09-24	0.52	A
USGS	11164500	1999-09-25	0.45	A
USGS	11164500	1999-09-26	0.41	A
USGS	11164500	1999-09-27	0.33	A
USGS	11164500	1999-09-28	0.29	A
USGS	11164500	1999-09-29	0.26	A
USGS	11164500	1999-09-30	0.49	A
USGS	11164500	1999-10-01	0.58	A
USGS	11164500	1999-10-02	0.46	A
USGS	11164500	1999-10-03	0.39	A
USGS	11164500	1999-10-04	0.39	A
USGS	11164500	1999-10-05	0.39	A
