# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 14:05:10 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11169000 GUADALUPE R A SAN JOSE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11169000
#            TS   parameter     statistic     Description
#          8877       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8877_00060_00003	8877_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11169000	1999-01-01	18	A
USGS	11169000	1999-01-02	18	A
USGS	11169000	1999-01-03	17	A
USGS	11169000	1999-01-04	18	A
USGS	11169000	1999-01-05	16	A
USGS	11169000	1999-01-06	16	A
USGS	11169000	1999-01-07	14	A
USGS	11169000	1999-01-08	14	A
USGS	11169000	1999-01-09	13	A
USGS	11169000	1999-01-10	14	A
USGS	11169000	1999-01-11	15	A
USGS	11169000	1999-01-12	15	A
USGS	11169000	1999-01-13	16	A
USGS	11169000	1999-01-14	16	A
USGS	11169000	1999-01-15	21	A
USGS	11169000	1999-01-16	59	A
USGS	11169000	1999-01-17	21	A
USGS	11169000	1999-01-18	153	A
USGS	11169000	1999-01-19	154	A
USGS	11169000	1999-01-20	185	A
USGS	11169000	1999-01-21	60	A
USGS	11169000	1999-01-22	33	A
USGS	11169000	1999-01-23	295	A
USGS	11169000	1999-01-24	69	A
USGS	11169000	1999-01-25	53	A
USGS	11169000	1999-01-26	284	A
USGS	11169000	1999-01-27	70	A
USGS	11169000	1999-01-28	47	A
USGS	11169000	1999-01-29	26	A
USGS	11169000	1999-01-30	25	A
USGS	11169000	1999-01-31	315	A
USGS	11169000	1999-02-01	49	A
USGS	11169000	1999-02-02	37	A
USGS	11169000	1999-02-03	27	A
USGS	11169000	1999-02-04	24	A
USGS	11169000	1999-02-05	23	A
USGS	11169000	1999-02-06	74	A
USGS	11169000	1999-02-07	166	A
USGS	11169000	1999-02-08	92	A
USGS	11169000	1999-02-09	665	A
USGS	11169000	1999-02-10	175	A
