# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 14:03:14 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11169025 GUADALUPE R ABV HWY 101 A SAN JOSE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11169025
#            TS   parameter     statistic     Description
#          8878       00060     00003     Discharge, cubic feet per second (Mean)
#          8879       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#          8880       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#          8881       00010     00011     Temperature, water, degrees Celsius (Instantaneous)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8878_00060_00003	8878_00060_00003_cd	8879_80154_00003	8879_80154_00003_cd	8880_80155_00003	8880_80155_00003_cd	8881_00010_00011	8881_00010_00011_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	11169025	2002-05-23	29	A						
USGS	11169025	2002-05-24	28	A						
USGS	11169025	2002-05-25	26	A						
USGS	11169025	2002-05-26	26	A						
USGS	11169025	2002-05-27	26	A						
USGS	11169025	2002-05-28	26	A						
USGS	11169025	2002-05-29	26	A						
USGS	11169025	2002-05-30	26	A						
USGS	11169025	2002-05-31	25	A						
USGS	11169025	2002-06-01	25	A						
USGS	11169025	2002-06-02	23	A						
USGS	11169025	2002-06-03	24	A						
USGS	11169025	2002-06-04	26	A						
USGS	11169025	2002-06-05	24	A						
USGS	11169025	2002-06-06	24	A						
USGS	11169025	2002-06-07	24	A						
USGS	11169025	2002-06-08	22	A						
USGS	11169025	2002-06-09	22	A						
USGS	11169025	2002-06-10	24	A						
USGS	11169025	2002-06-11	24	A						
USGS	11169025	2002-06-12	24	A						
USGS	11169025	2002-06-13	27	A						
USGS	11169025	2002-06-14	23	A						
USGS	11169025	2002-06-15	22	A						
USGS	11169025	2002-06-16	21	A						
USGS	11169025	2002-06-17	22	A						
USGS	11169025	2002-06-18	22	A						
USGS	11169025	2002-06-19	22	A						
USGS	11169025	2002-06-20	22	A						
USGS	11169025	2002-06-21	22	A						
USGS	11169025	2002-06-22	21	A						
USGS	11169025	2002-06-23	22	A						
USGS	11169025	2002-06-24	22	A						
USGS	11169025	2002-06-25	22	A						
USGS	11169025	2002-06-26	22	A						
USGS	11169025	2002-06-27	22	A						
USGS	11169025	2002-06-28	22	A						
USGS	11169025	2002-06-29	22	A						
USGS	11169025	2002-06-30	21	A						
USGS	11169025	2002-07-01	21	A						
USGS	11169025	2002-07-02	21	A						
USGS	11169025	2002-07-03	21	A						
USGS	11169025	2002-07-04	21	A						
USGS	11169025	2002-07-05	21	A						
USGS	11169025	2002-07-06	21	A						
USGS	11169025	2002-07-07	21	A						
USGS	11169025	2002-07-08	21	A						
USGS	11169025	2002-07-09	21	A						
USGS	11169025	2002-07-10	21	A						
USGS	11169025	2002-07-11	21	A						
USGS	11169025	2002-07-12	20	A						
USGS	11169025	2002-07-13	21	A						
USGS	11169025	2002-07-14	20	A						
USGS	11169025	2002-07-15	20	A						
USGS	11169025	2002-07-16	19	A						
USGS	11169025	2002-07-17	20	A						
USGS	11169025	2002-07-18	21	A						
USGS	11169025	2002-07-19	21	A						
USGS	11169025	2002-07-20	21	A						
USGS	11169025	2002-07-21	21	A						
USGS	11169025	2002-07-22	21	A						
USGS	11169025	2002-07-23	20	A						
USGS	11169025	2002-07-24	21	A						
USGS	11169025	2002-07-25	22	A						
USGS	11169025	2002-07-26	22	A						
USGS	11169025	2002-07-27	21	A						
USGS	11169025	2002-07-28	21	A						
USGS	11169025	2002-07-29	21	A						
USGS	11169025	2002-07-30	20	A						
USGS	11169025	2002-07-31	20	A						
USGS	11169025	2002-08-01	20	A						
USGS	11169025	2002-08-02	22	A						
USGS	11169025	2002-08-03	22	A						
USGS	11169025	2002-08-04	23	A						
USGS	11169025	2002-08-05	22	A						
USGS	11169025	2002-08-06	22	A						
USGS	11169025	2002-08-07	22	A						
USGS	11169025	2002-08-08	21	A						
USGS	11169025	2002-08-09	20	A						
USGS	11169025	2002-08-10	20	A						
USGS	11169025	2002-08-11	21	A						
USGS	11169025	2002-08-12	21	A						
USGS	11169025	2002-08-13	22	A						
USGS	11169025	2002-08-14	21	A						
USGS	11169025	2002-08-15	21	A						
USGS	11169025	2002-08-16	22	A						
USGS	11169025	2002-08-17	20	A						
USGS	11169025	2002-08-18	20	A						
USGS	11169025	2002-08-19	20	A						
USGS	11169025	2002-08-20	21	A						
USGS	11169025	2002-08-21	22	A						
USGS	11169025	2002-08-22	21	A						
USGS	11169025	2002-08-23	21	A						
USGS	11169025	2002-08-24	22	A						
USGS	11169025	2002-08-25	22	A						
USGS	11169025	2002-08-26	22	A						
USGS	11169025	2002-08-27	21	A						
USGS	11169025	2002-08-28	19	A						
USGS	11169025	2002-08-29	20	A						
USGS	11169025	2002-08-30	28	A						
USGS	11169025	2002-08-31	25	A						
USGS	11169025	2002-09-01	24	A						
USGS	11169025	2002-09-02	23	A						
USGS	11169025	2002-09-03	23	A						
USGS	11169025	2002-09-04	24	A						
USGS	11169025	2002-09-05	23	A						
USGS	11169025	2002-09-06	19	A						
USGS	11169025	2002-09-07	20	A						
USGS	11169025	2002-09-08	20	A						
USGS	11169025	2002-09-09	20	A						
USGS	11169025	2002-09-10	20	A						
USGS	11169025	2002-09-11	27	A						
USGS	11169025	2002-09-12	26	A						
USGS	11169025	2002-09-13	21	A						
USGS	11169025	2002-09-14	19	A						
USGS	11169025	2002-09-15	19	A						
USGS	11169025	2002-09-16	18	A						
USGS	11169025	2002-09-17	18	A						
USGS	11169025	2002-09-18	18	A						
USGS	11169025	2002-09-19	19	A						
USGS	11169025	2002-09-20	23	A						
USGS	11169025	2002-09-21	23	A						
USGS	11169025	2002-09-22	22	A						
USGS	11169025	2002-09-23	22	A						
USGS	11169025	2002-09-24	21	A						
USGS	11169025	2002-09-25	19	A						
USGS	11169025	2002-09-26	18	A						
USGS	11169025	2002-09-27	19	A						
USGS	11169025	2002-09-28	20	A						
USGS	11169025	2002-09-29	20	A						
USGS	11169025	2002-09-30	19	A						
USGS	11169025	2002-10-01	19	A						
USGS	11169025	2002-10-02	19	A						
USGS	11169025	2002-10-03	19	A						
USGS	11169025	2002-10-04	22	A						
USGS	11169025	2002-10-05	20	A						
USGS	11169025	2002-10-06	23	A						
USGS	11169025	2002-10-07	20	A						
USGS	11169025	2002-10-08	20	A						
USGS	11169025	2002-10-09	19	A						
USGS	11169025	2002-10-10	18	A						
USGS	11169025	2002-10-11	17	A						
USGS	11169025	2002-10-12	17	A						
USGS	11169025	2002-10-13	17	A						
USGS	11169025	2002-10-14	18	A						
USGS	11169025	2002-10-15	18	A						
USGS	11169025	2002-10-16	18	A						
USGS	11169025	2002-10-17	18	A						
USGS	11169025	2002-10-18	21	A						
USGS	11169025	2002-10-19	20	A						
USGS	11169025	2002-10-20	21	A						
USGS	11169025	2002-10-21	21	A						
USGS	11169025	2002-10-22	21	A						
USGS	11169025	2002-10-23	20	A						
USGS	11169025	2002-10-24	20	A						
USGS	11169025	2002-10-25	20	A						
USGS	11169025	2002-10-26	20	A						
USGS	11169025	2002-10-27	19	A						
USGS	11169025	2002-10-28	18	A						
USGS	11169025	2002-10-29	18	A						
USGS	11169025	2002-10-30	17	A						
USGS	11169025	2002-10-31	17	A						
USGS	11169025	2002-11-01	17	A	10	A	0.47	A		
USGS	11169025	2002-11-02	17	A	10	A	0.46	A		
USGS	11169025	2002-11-03	17	A	10	A	0.48	A		
USGS	11169025	2002-11-04	18	A	11	A	0.52	A		
USGS	11169025	2002-11-05	18	A	11	A	0.52	A		
USGS	11169025	2002-11-06	18	A	11	A	0.52	A	16.5	A
USGS	11169025	2002-11-07	446	A	304	A	958	A	14.0	A
USGS	11169025	2002-11-08	1020	A	248	A	888	A	17.0	A
USGS	11169025	2002-11-09	117	A	43	A	16	A	16.0	A
USGS	11169025	2002-11-10	54	A	26	A	4.0	A		
USGS	11169025	2002-11-11	39	A	17	A	1.8	A		
USGS	11169025	2002-11-12	34	A	12	A	1.1	A		
USGS	11169025	2002-11-13	25	A	12	A	0.81	A	17.5	A
USGS	11169025	2002-11-14	23	A	13	A	0.79	A		
USGS	11169025	2002-11-15	25	A	16	A	1.0	A	17.5	A
USGS	11169025	2002-11-16	25	A	15	A	1.0	A		
USGS	11169025	2002-11-17	24	A	14	A	0.89	A	17.0	A
USGS	11169025	2002-11-18	24	A	11	A	0.72	A		
USGS	11169025	2002-11-19	21	A	9	A	0.48	A	17.5	A
USGS	11169025	2002-11-20	21	A	9	A	0.53	A		
USGS	11169025	2002-11-21	20	A	11	A	0.58	A	17.0	A
USGS	11169025	2002-11-22	20	A	10	A	0.51	A		
USGS	11169025	2002-11-23	19	A	9	A	0.45	A	16.0	A
USGS	11169025	2002-11-24	19	A	11	A	0.56	A		
USGS	11169025	2002-11-25	18	A	14	A	0.66	A	16.5	A
USGS	11169025	2002-11-26	21	A	13	A	0.75	A		
USGS	11169025	2002-11-27	23	A	12	A	0.74	A	16.0	A
USGS	11169025	2002-11-28	19	A	10	A	0.52	A		
USGS	11169025	2002-11-29	20	A	8	A	0.44	A	15.5	A
USGS	11169025	2002-11-30	19	A	9	A	0.44	A		
USGS	11169025	2002-12-01	19	A	9	A	0.47	A	16.0	A
USGS	11169025	2002-12-02	21	A	10	A	0.53	A		
USGS	11169025	2002-12-03	22	A	10	A	0.61	A	15.0	A
USGS	11169025	2002-12-04	22	A	10	A	0.60	A		
USGS	11169025	2002-12-05	19	A	8	A	0.43	A	16.0	A
USGS	11169025	2002-12-06	19	A	8	A	0.40	A		
USGS	11169025	2002-12-07	18	A	8	A	0.41	A	15.5	A
USGS	11169025	2002-12-08	19	A	10	A	0.52	A		
USGS	11169025	2002-12-09	22	A	20	A	1.4	A	14.5	A
USGS	11169025	2002-12-10	20	A	16	A	0.86	A		
USGS	11169025	2002-12-11	18	A	10	A	0.48	A	16.0	A
USGS	11169025	2002-12-12	17	A	10	A	0.47	A	15.5	A
USGS	11169025	2002-12-13	154	A	82	A	83	A	14.5	A
USGS	11169025	2002-12-14	1140	A	198	A	1430	A	14.0	A
USGS	11169025	2002-12-15	483	A	101	A	219	A	13.0	A
USGS	11169025	2002-12-16	1890	A	436	A	3610	A	13.5	A
USGS	11169025	2002-12-17	520	A	159	A	228	A	12.0	A
USGS	11169025	2002-12-18	156	A	106	A	46	A	11.5	A
USGS	11169025	2002-12-19	1140	A	265	A	1590	A	10.0	A
USGS	11169025	2002-12-20	864	A	188	A	485	A	11.0	A
USGS	11169025	2002-12-21	332	A	60	A	56	A	11.5	A
USGS	11169025	2002-12-22	160	A	39	A	17	A	11.5	A
USGS	11169025	2002-12-23	122	A	29	A	9.7	A	11.5	A
USGS	11169025	2002-12-24	104	A	22	A	6.2	A	11.0	A
USGS	11169025	2002-12-25	92	A	20	A	4.9	A		
USGS	11169025	2002-12-26	84	A	18	A	4.1	A	12.0	A
USGS	11169025	2002-12-27	60	A	17	A	2.8	A	14.0	A
USGS	11169025	2002-12-28	553	A	118	A	365	A	12.5	A
USGS	11169025	2002-12-29	386	A	63	A	78	A	11.5	A
USGS	11169025	2002-12-30	265	A	39	A	28	A	11.0	A
USGS	11169025	2002-12-31	581	A	89	A	175	A	12.0	A
USGS	11169025	2003-01-01	284	A	38	A	29	A	11.5	A
USGS	11169025	2003-01-02	234	A	29	A	18	A	12.0	A
USGS	11169025	2003-01-03	125	A	24	A	8.3	A	12.0	A
USGS	11169025	2003-01-04	102	A	17	A	4.8	A	13.0	A
USGS	11169025	2003-01-05	74	A	14	A	2.8	A	14.0	A
USGS	11169025	2003-01-06	69	A	14	A	2.6	A	13.5	A
USGS	11169025	2003-01-07	63	A	13	A	2.2	A		
USGS	11169025	2003-01-08	50	A	11	A	1.5	A		
USGS	11169025	2003-01-09	97	A	31	A	18	A	13.5	A
USGS	11169025	2003-01-10	227	A	61	A	44	A	14.0	A
USGS	11169025	2003-01-11	63	A	18	A	3.2	A		
USGS	11169025	2003-01-12	51	A	6	A	0.78	A	15.0	A
USGS	11169025	2003-01-13	47	A	5	A	0.59	A		
USGS	11169025	2003-01-14	47	A	10	A	1.3	A	16.0	A
USGS	11169025	2003-01-15	44	A	18	A	2.2	A		
USGS	11169025	2003-01-16	47	A	14	A	1.7	A	14.0	A
USGS	11169025	2003-01-17	43	A	12	A	1.4	A		
USGS	11169025	2003-01-18	51	A	10	A	1.4	A	15.0	A
USGS	11169025	2003-01-19	46	A	10	A	1.3	A		
USGS	11169025	2003-01-20	44	A	11	A	1.3	A	12.0	A
USGS	11169025	2003-01-21	42	A	12	A	1.3	A		
USGS	11169025	2003-01-22	39	A	13	A	1.3	A	15.0	A
USGS	11169025	2003-01-23	40	A	12	A	1.3	A		
USGS	11169025	2003-01-24	39	A	13	A	1.4	A	17.0	A
USGS	11169025	2003-01-25	40	A	15	A	1.6	A		
USGS	11169025	2003-01-26	38	A	16	A	1.6	A	15.0	A
USGS	11169025	2003-01-27	38	A	14	A	1.4	A		
USGS	11169025	2003-01-28	39	A	15	A	1.6	A	15.5	A
USGS	11169025	2003-01-29	38	A	22	A	2.3	A		
USGS	11169025	2003-01-30	41	A	21	A	2.3	A	14.0	A
USGS	11169025	2003-01-31	40	A	19	A	2.0	A		
USGS	11169025	2003-02-01	36	A	18	A	1.7	A	15.0	A
USGS	11169025	2003-02-02	35	A	16	A	1.5	A		
USGS	11169025	2003-02-03	38	A	15	A	1.5	A	16.0	A
USGS	11169025	2003-02-04	45	A	16	A	1.9	A		
USGS	11169025	2003-02-05	41	A	17	A	1.9	A	14.5	A
USGS	11169025	2003-02-06	40	A	16	A	1.7	A	14.5	A
USGS	11169025	2003-02-07	38	A	19	A	1.9	A	14.0	A
USGS	11169025	2003-02-08	35	A	17	A	1.6	A		
USGS	11169025	2003-02-09	35	A	14	A	1.3	A	14.5	A
USGS	11169025	2003-02-10	35	A	18	A	1.7	A		
USGS	11169025	2003-02-11	36	A	23	A	2.2	A	10.5	A
USGS	11169025	2003-02-12	97	A	69	A	24	A	13.0	A
USGS	11169025	2003-02-13	46	A	26	A	3.3	A	14.0	A
USGS	11169025	2003-02-14	39	A	25	A	2.6	A		
USGS	11169025	2003-02-15	38	A	23	A	2.4	A	14.0	A
USGS	11169025	2003-02-16	197	A	80	A	77	A		
USGS	11169025	2003-02-17	41	A	15	A	1.7	A	15.5	A
USGS	11169025	2003-02-18	36	A	12	A	1.2	A		
USGS	11169025	2003-02-19	42	A	15	A	1.7	A	12.5	A
USGS	11169025	2003-02-20	36	A	13	A	1.3	A		
USGS	11169025	2003-02-21	33	A	14	A	1.2	A	15.5	A
USGS	11169025	2003-02-22	32	A	15	A	1.3	A		
USGS	11169025	2003-02-23	32	A	15	A	1.3	A	16.0	A
USGS	11169025	2003-02-24	48	A	25	A	6.5	A	15.5	A
USGS	11169025	2003-02-25	237	A	49	A	46	A	13.5	A
USGS	11169025	2003-02-26	41	A	19	A	2.1	A		
USGS	11169025	2003-02-27	134	A	39	A	18	A	13.5	A
USGS	11169025	2003-02-28	41	A	18	A	2.0	A		
USGS	11169025	2003-03-01	36	A	12	A	1.2	A	14.0	A
USGS	11169025	2003-03-02	35	A	15	A	1.4	A		
USGS	11169025	2003-03-03	34	A	18	A	1.6	A	14.0	A
USGS	11169025	2003-03-04	34	A	19	A	1.8	A		
USGS	11169025	2003-03-05	33	A	20	A	1.8	A	15.0	A
USGS	11169025	2003-03-06	33	A	22	A	2.0	A		
USGS	11169025	2003-03-07	32	A	26	A	2.3	A	14.5	A
USGS	11169025	2003-03-08	32	A	20	A	1.7	A		
USGS	11169025	2003-03-09	31	A	10	A	0.85	A	16.0	A
USGS	11169025	2003-03-10	31	A	8	A	0.71	A		
USGS	11169025	2003-03-11	31	A	9	A	0.73	A	16.0	A
USGS	11169025	2003-03-12	32	A	12	A	1.0	A		
USGS	11169025	2003-03-13	32	A	15	A	1.3	A	16.5	A
USGS	11169025	2003-03-14	39	A	19	A	2.4	A		
USGS	11169025	2003-03-15	560	A:e	102	A	232	A:e	15.5	A
USGS	11169025	2003-03-16	82	A	19	A	4.3	A	15.0	A
USGS	11169025	2003-03-17	54	A	12	A	1.7	A	14.0	A
USGS	11169025	2003-03-18	44	A	10	A	1.2	A		
USGS	11169025	2003-03-19	42	A	9	A	1.1	A	15.5	A
USGS	11169025	2003-03-20	41	A	9	A	0.99	A		
USGS	11169025	2003-03-21	37	A	9	A	0.87	A	16.0	A
USGS	11169025	2003-03-22	34	A	10	A	0.91	A		
USGS	11169025	2003-03-23	42	A	9	A	1.0	A	18.0	A
USGS	11169025	2003-03-24	35	A	7	A	0.63	A		
USGS	11169025	2003-03-25	32	A	6	A	0.56	A	15.0	A
USGS	11169025	2003-03-26	32	A	7	A	0.62	A		
USGS	11169025	2003-03-27	31	A	9	A	0.76	A	16.5	A
USGS	11169025	2003-03-28	31	A	11	A	0.90	A		
USGS	11169025	2003-03-29	30	A	10	A	0.78	A	16.0	A
USGS	11169025	2003-03-30	29	A	9	A	0.71	A		
USGS	11169025	2003-03-31	30	A	9	A	0.71	A	19.0	A
USGS	11169025	2003-04-01	29	A	12	A	0.93	A		
USGS	11169025	2003-04-02	38	A	20	A	2.2	A	14.5	A
USGS	11169025	2003-04-03	38	A	20	A	2.1	A		
USGS	11169025	2003-04-04	108	A	48	A	20	A	14.5	A
USGS	11169025	2003-04-05	34	A	13	A	1.2	A	15.0	A
USGS	11169025	2003-04-06	29	A	16	A	1.3	A		
USGS	11169025	2003-04-07	29	A	19	A	1.5	A	15.0	A
USGS	11169025	2003-04-08	30	A	16	A	1.3	A		
USGS	11169025	2003-04-09	30	A	14	A	1.2	A	16.0	A
USGS	11169025	2003-04-10	34	A	15	A	1.4	A		
USGS	11169025	2003-04-11	33	A	16	A	1.4	A		
USGS	11169025	2003-04-12	316	A	80	A	153	A	15.5	A
USGS	11169025	2003-04-13	767	A	132	A	345	A	12.5	A
USGS	11169025	2003-04-14	98	A	46	A	13	A		
USGS	11169025	2003-04-15	63	A	14	A	2.5	A	16.0	A
USGS	11169025	2003-04-16	91	A	18	A	12	A		
USGS	11169025	2003-04-17	85	A	28	A	9.4	A	14.5	A
USGS	11169025	2003-04-18	54	A	16	A	2.3	A		
USGS	11169025	2003-04-19	42	A	12	A	1.4	A	16.5	A
USGS	11169025	2003-04-20	40	A	12	A	1.3	A		
USGS	11169025	2003-04-21	54	A	21	A	3.5	A	15.0	A
USGS	11169025	2003-04-22	55	A	22	A	3.3	A		
USGS	11169025	2003-04-23	38	A	13	A	1.3	A	19.5	A
USGS	11169025	2003-04-24	92	A	59	A	20	A		
USGS	11169025	2003-04-25	65	A	63	A	11	A	16.0	A
USGS	11169025	2003-04-26	53	A	29	A	4.3	A		
USGS	11169025	2003-04-27	40	A	8	A	0.90	A	15.5	A
USGS	11169025	2003-04-28	169	A	76	A	45	A	14.5	A
USGS	11169025	2003-04-29	63	A	22	A	4.4	A	18.0	A
USGS	11169025	2003-04-30	47	A	33	A	4.3	A		
