# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 14:21:18 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11179000 ALAMEDA C NR NILES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11179000
#            TS   parameter     statistic     Description
#          9028       00010     00001     Temperature, water, degrees Celsius (Maximum)
#          9029       00010     00002     Temperature, water, degrees Celsius (Minimum)
#          9030       00010     00008     Temperature, water, degrees Celsius (Median)
#          9031       00010     00011     Temperature, water, degrees Celsius (Instantaneous)
#          9032       00060     00003     Discharge, cubic feet per second (Mean)
#          9033       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#          9034       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#          9038       80225     00003     Bedload sediment discharge, short tons per day (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9028_00010_00001	9028_00010_00001_cd	9029_00010_00002	9029_00010_00002_cd	9030_00010_00008	9030_00010_00008_cd	9031_00010_00011	9031_00010_00011_cd	9032_00060_00003	9032_00060_00003_cd	9033_80154_00003	9033_80154_00003_cd	9034_80155_00003	9034_80155_00003_cd	9038_80225_00003	9038_80225_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	11179000	1999-01-01									41	A						
USGS	11179000	1999-01-02									34	A						
USGS	11179000	1999-01-03									36	A						
USGS	11179000	1999-01-04									35	A						
USGS	11179000	1999-01-05									31	A						
USGS	11179000	1999-01-06									23	A						
USGS	11179000	1999-01-07									23	A						
USGS	11179000	1999-01-08									24	A						
USGS	11179000	1999-01-09									26	A						
USGS	11179000	1999-01-10									27	A						
USGS	11179000	1999-01-11									55	A						
USGS	11179000	1999-01-12									72	A						
USGS	11179000	1999-01-13									73	A						
USGS	11179000	1999-01-14									49	A						
USGS	11179000	1999-01-15									82	A						
USGS	11179000	1999-01-16									96	A						
USGS	11179000	1999-01-17									42	A						
USGS	11179000	1999-01-18									166	A						
USGS	11179000	1999-01-19									567	A						
USGS	11179000	1999-01-20									1100	A						
USGS	11179000	1999-01-21									322	A						
USGS	11179000	1999-01-22									145	A						
USGS	11179000	1999-01-23									264	A						
USGS	11179000	1999-01-24									216	A						
USGS	11179000	1999-01-25									129	A						
USGS	11179000	1999-01-26									254	A						
USGS	11179000	1999-01-27									349	A						
USGS	11179000	1999-01-28									130	A						
USGS	11179000	1999-01-29									106	A						
USGS	11179000	1999-01-30									95	A						
USGS	11179000	1999-01-31									331	A						
USGS	11179000	1999-02-01									164	A						
USGS	11179000	1999-02-02									106	A						
USGS	11179000	1999-02-03									89	A						
USGS	11179000	1999-02-04									80	A						
USGS	11179000	1999-02-05									76	A						
USGS	11179000	1999-02-06									126	A						
USGS	11179000	1999-02-07									1450	A						
USGS	11179000	1999-02-08									743	A						
USGS	11179000	1999-02-09									2260	A						
USGS	11179000	1999-02-10									861	A						
USGS	11179000	1999-02-11									380	A						
USGS	11179000	1999-02-12									252	A						
USGS	11179000	1999-02-13									198	A						
USGS	11179000	1999-02-14									206	A						
USGS	11179000	1999-02-15									148	A						
USGS	11179000	1999-02-16									157	A						
USGS	11179000	1999-02-17									653	A						
USGS	11179000	1999-02-18									349	A						
USGS	11179000	1999-02-19									291	A						
USGS	11179000	1999-02-20									315	A						
USGS	11179000	1999-02-21									1180	A						
USGS	11179000	1999-02-22									446	A						
USGS	11179000	1999-02-23									294	A						
USGS	11179000	1999-02-24									233	A						
USGS	11179000	1999-02-25									397	A						
USGS	11179000	1999-02-26									233	A						
USGS	11179000	1999-02-27									185	A						
USGS	11179000	1999-02-28									159	A						
USGS	11179000	1999-03-01									146	A						
USGS	11179000	1999-03-02									133	A						
USGS	11179000	1999-03-03									165	A						
USGS	11179000	1999-03-04									123	A						
USGS	11179000	1999-03-05									114	A						
USGS	11179000	1999-03-06									111	A						
USGS	11179000	1999-03-07									108	A						
USGS	11179000	1999-03-08									107	A						
USGS	11179000	1999-03-09									416	A						
USGS	11179000	1999-03-10									168	A						
USGS	11179000	1999-03-11									133	A						
USGS	11179000	1999-03-12									118	A						
USGS	11179000	1999-03-13									112	A						
USGS	11179000	1999-03-14									107	A						
USGS	11179000	1999-03-15									197	A						
USGS	11179000	1999-03-16									124	A						
