# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 14:08:42 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11181040 SAN LORENZO C A SAN LORENZO CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11181040
#            TS   parameter     statistic     Description
#          9070       00060     00003     Discharge, cubic feet per second (Mean)
#          9071       00010     00003     Temperature, water, degrees Celsius (Mean)
#          9072       00010     00011     Temperature, water, degrees Celsius (Instantaneous)
#          9073       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#          9074       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9070_00060_00003	9070_00060_00003_cd	9072_00010_00011	9072_00010_00011_cd	9073_80154_00003	9073_80154_00003_cd	9074_80155_00003	9074_80155_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	11181040	1999-01-01	3.9	A						
USGS	11181040	1999-01-02	3.5	A						
USGS	11181040	1999-01-03	3.5	A						
USGS	11181040	1999-01-04	3.4	A						
USGS	11181040	1999-01-05	3.3	A						
USGS	11181040	1999-01-06	3.6	A						
USGS	11181040	1999-01-07	3.4	A						
USGS	11181040	1999-01-08	3.4	A						
USGS	11181040	1999-01-09	3.2	A						
USGS	11181040	1999-01-10	3.0	A						
USGS	11181040	1999-01-11	3.3	A						
USGS	11181040	1999-01-12	3.2	A						
USGS	11181040	1999-01-13	3.3	A						
USGS	11181040	1999-01-14	3.4	A						
USGS	11181040	1999-01-15	29	A						
USGS	11181040	1999-01-16	45	A						
USGS	11181040	1999-01-17	9.4	A						
USGS	11181040	1999-01-18	128	A						
USGS	11181040	1999-01-19	189	A						
USGS	11181040	1999-01-20	179	A						
USGS	11181040	1999-01-21	40	A						
USGS	11181040	1999-01-22	28	A						
USGS	11181040	1999-01-23	130	A						
USGS	11181040	1999-01-24	48	A						
USGS	11181040	1999-01-25	38	A						
USGS	11181040	1999-01-26	82	A						
USGS	11181040	1999-01-27	44	A						
USGS	11181040	1999-01-28	36	A						
USGS	11181040	1999-01-29	33	A						
USGS	11181040	1999-01-30	31	A						
USGS	11181040	1999-01-31	81	A						
USGS	11181040	1999-02-01	29	A						
USGS	11181040	1999-02-02	26	A						
USGS	11181040	1999-02-03	25	A						
USGS	11181040	1999-02-04	24	A						
USGS	11181040	1999-02-05	23	A						
USGS	11181040	1999-02-06	93	A						
USGS	11181040	1999-02-07	934	A						
USGS	11181040	1999-02-08	118	A						
USGS	11181040	1999-02-09	647	A						
USGS	11181040	1999-02-10	89	A						
USGS	11181040	1999-02-11	53	A						
USGS	11181040	1999-02-12	42	A						
USGS	11181040	1999-02-13	42	A						
USGS	11181040	1999-02-14	37	A						
USGS	11181040	1999-02-15	32	A						
USGS	11181040	1999-02-16	129	A						
USGS	11181040	1999-02-17	424	A						
USGS	11181040	1999-02-18	94	A						
USGS	11181040	1999-02-19	60	A						
USGS	11181040	1999-02-20	177	A						
USGS	11181040	1999-02-21	214	A						
USGS	11181040	1999-02-22	73	A						
USGS	11181040	1999-02-23	59	A						
USGS	11181040	1999-02-24	52	A						
USGS	11181040	1999-02-25	78	A						
USGS	11181040	1999-02-26	48	A						
USGS	11181040	1999-02-27	44	A						
USGS	11181040	1999-02-28	42	A						
USGS	11181040	1999-03-01	41	A						
USGS	11181040	1999-03-02	39	A						
USGS	11181040	1999-03-03	54	A						
USGS	11181040	1999-03-04	38	A						
USGS	11181040	1999-03-05	37	A						
USGS	11181040	1999-03-06	37	A						
USGS	11181040	1999-03-07	36	A						
USGS	11181040	1999-03-08	42	A						
USGS	11181040	1999-03-09	107	A						
USGS	11181040	1999-03-10	43	A						
