# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 14:13:44 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11458000 NAPA R NR NAPA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11458000
#            TS   parameter     statistic     Description
#         11270       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11270_00060_00003	11270_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11458000	1999-01-01	37	A
USGS	11458000	1999-01-02	36	A
USGS	11458000	1999-01-03	36	A
USGS	11458000	1999-01-04	34	A
USGS	11458000	1999-01-05	32	A
USGS	11458000	1999-01-06	30	A
USGS	11458000	1999-01-07	29	A
USGS	11458000	1999-01-08	29	A
USGS	11458000	1999-01-09	27	A
USGS	11458000	1999-01-10	26	A
USGS	11458000	1999-01-11	27	A
USGS	11458000	1999-01-12	26	A
USGS	11458000	1999-01-13	26	A
USGS	11458000	1999-01-14	25	A
USGS	11458000	1999-01-15	25	A
USGS	11458000	1999-01-16	33	A
USGS	11458000	1999-01-17	31	A
USGS	11458000	1999-01-18	130	A
USGS	11458000	1999-01-19	125	A
USGS	11458000	1999-01-20	507	A
USGS	11458000	1999-01-21	346	A
USGS	11458000	1999-01-22	204	A
USGS	11458000	1999-01-23	495	A
USGS	11458000	1999-01-24	319	A
USGS	11458000	1999-01-25	213	A
USGS	11458000	1999-01-26	180	A
USGS	11458000	1999-01-27	157	A
USGS	11458000	1999-01-28	132	A
USGS	11458000	1999-01-29	118	A
USGS	11458000	1999-01-30	109	A
USGS	11458000	1999-01-31	249	A
USGS	11458000	1999-02-01	222	A
USGS	11458000	1999-02-02	168	A
USGS	11458000	1999-02-03	146	A
USGS	11458000	1999-02-04	132	A
USGS	11458000	1999-02-05	117	A
USGS	11458000	1999-02-06	852	A
USGS	11458000	1999-02-07	5960	A
USGS	11458000	1999-02-08	2090	A
USGS	11458000	1999-02-09	5690	A
USGS	11458000	1999-02-10	1890	A
USGS	11458000	1999-02-11	1130	A
USGS	11458000	1999-02-12	846	A
USGS	11458000	1999-02-13	681	A
USGS	11458000	1999-02-14	602	A
USGS	11458000	1999-02-15	515	A
USGS	11458000	1999-02-16	791	A
USGS	11458000	1999-02-17	2400	A
USGS	11458000	1999-02-18	1310	A
USGS	11458000	1999-02-19	1110	A
USGS	11458000	1999-02-20	945	A
USGS	11458000	1999-02-21	1680	A
USGS	11458000	1999-02-22	1120	A
USGS	11458000	1999-02-23	886	A
USGS	11458000	1999-02-24	747	A
USGS	11458000	1999-02-25	1290	A
USGS	11458000	1999-02-26	942	A
USGS	11458000	1999-02-27	767	A
USGS	11458000	1999-02-28	712	A
USGS	11458000	1999-03-01	904	A
USGS	11458000	1999-03-02	697	A
USGS	11458000	1999-03-03	650	A
USGS	11458000	1999-03-04	568	A
USGS	11458000	1999-03-05	503	A
USGS	11458000	1999-03-06	455	A
USGS	11458000	1999-03-07	414	A
USGS	11458000	1999-03-08	515	A
USGS	11458000	1999-03-09	929	A
USGS	11458000	1999-03-10	663	A
USGS	11458000	1999-03-11	557	A
USGS	11458000	1999-03-12	481	A
USGS	11458000	1999-03-13	437	A
USGS	11458000	1999-03-14	422	A
USGS	11458000	1999-03-15	485	A
USGS	11458000	1999-03-16	412	A
USGS	11458000	1999-03-17	367	A
USGS	11458000	1999-03-18	333	A
USGS	11458000	1999-03-19	325	A
USGS	11458000	1999-03-20	344	A
USGS	11458000	1999-03-21	308	A
USGS	11458000	1999-03-22	287	A
USGS	11458000	1999-03-23	281	A
USGS	11458000	1999-03-24	347	A
USGS	11458000	1999-03-25	1210	A
USGS	11458000	1999-03-26	783	A
USGS	11458000	1999-03-27	601	A
USGS	11458000	1999-03-28	500	A
USGS	11458000	1999-03-29	435	A
USGS	11458000	1999-03-30	395	A
USGS	11458000	1999-03-31	438	A
USGS	11458000	1999-04-01	362	A
USGS	11458000	1999-04-02	327	A
USGS	11458000	1999-04-03	294	A
USGS	11458000	1999-04-04	272	A
USGS	11458000	1999-04-05	302	A
USGS	11458000	1999-04-06	326	A
USGS	11458000	1999-04-07	282	A
USGS	11458000	1999-04-08	453	A
USGS	11458000	1999-04-09	448	A
USGS	11458000	1999-04-10	370	A
USGS	11458000	1999-04-11	1230	A:e
USGS	11458000	1999-04-12	938	A
USGS	11458000	1999-04-13	654	A
USGS	11458000	1999-04-14	540	A
USGS	11458000	1999-04-15	454	A
USGS	11458000	1999-04-16	394	A
USGS	11458000	1999-04-17	350	A
USGS	11458000	1999-04-18	311	A
USGS	11458000	1999-04-19	281	A
USGS	11458000	1999-04-20	257	A
USGS	11458000	1999-04-21	239	A
USGS	11458000	1999-04-22	223	A
USGS	11458000	1999-04-23	209	A
USGS	11458000	1999-04-24	190	A
USGS	11458000	1999-04-25	178	A
USGS	11458000	1999-04-26	171	A
USGS	11458000	1999-04-27	159	A
USGS	11458000	1999-04-28	146	A
USGS	11458000	1999-04-29	135	A
USGS	11458000	1999-04-30	127	A
USGS	11458000	1999-05-01	117	A
USGS	11458000	1999-05-02	113	A
USGS	11458000	1999-05-03	113	A
USGS	11458000	1999-05-04	108	A
USGS	11458000	1999-05-05	97	A
USGS	11458000	1999-05-06	96	A
USGS	11458000	1999-05-07	92	A
USGS	11458000	1999-05-08	88	A
USGS	11458000	1999-05-09	82	A
USGS	11458000	1999-05-10	80	A
USGS	11458000	1999-05-11	75	A
USGS	11458000	1999-05-12	73	A
USGS	11458000	1999-05-13	68	A
USGS	11458000	1999-05-14	65	A
USGS	11458000	1999-05-15	81	A
USGS	11458000	1999-05-16	70	A
USGS	11458000	1999-05-17	69	A
USGS	11458000	1999-05-18	65	A
USGS	11458000	1999-05-19	63	A
USGS	11458000	1999-05-20	62	A
USGS	11458000	1999-05-21	62	A
USGS	11458000	1999-05-22	59	A
USGS	11458000	1999-05-23	54	A
USGS	11458000	1999-05-24	53	A
USGS	11458000	1999-05-25	51	A
USGS	11458000	1999-05-26	49	A
USGS	11458000	1999-05-27	47	A
USGS	11458000	1999-05-28	47	A
USGS	11458000	1999-05-29	47	A
USGS	11458000	1999-05-30	46	A
USGS	11458000	1999-05-31	45	A
USGS	11458000	1999-06-01	43	A
USGS	11458000	1999-06-02	42	A
USGS	11458000	1999-06-03	42	A
USGS	11458000	1999-06-04	42	A
USGS	11458000	1999-06-05	40	A
USGS	11458000	1999-06-06	39	A
USGS	11458000	1999-06-07	36	A
USGS	11458000	1999-06-08	33	A
USGS	11458000	1999-06-09	31	A
USGS	11458000	1999-06-10	30	A
USGS	11458000	1999-06-11	29	A
USGS	11458000	1999-06-12	28	A
USGS	11458000	1999-06-13	28	A
USGS	11458000	1999-06-14	27	A
USGS	11458000	1999-06-15	27	A
USGS	11458000	1999-06-16	25	A
USGS	11458000	1999-06-17	23	A
USGS	11458000	1999-06-18	23	A
USGS	11458000	1999-06-19	21	A
USGS	11458000	1999-06-20	21	A
USGS	11458000	1999-06-21	20	A
