# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-01-18 14:15:14 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11458500 SONOMA C A AGUA CALIENTE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11458500
#            TS   parameter     statistic     Description
#         11295       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11295_00060_00003	11295_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11458500	2001-10-01	0.27	A
USGS	11458500	2001-10-02	0.27	A
USGS	11458500	2001-10-03	0.20	A
USGS	11458500	2001-10-04	0.18	A
USGS	11458500	2001-10-05	0.19	A
USGS	11458500	2001-10-06	0.20	A
USGS	11458500	2001-10-07	0.24	A
USGS	11458500	2001-10-08	0.31	A
USGS	11458500	2001-10-09	0.40	A
USGS	11458500	2001-10-10	0.36	A
USGS	11458500	2001-10-11	0.29	A
USGS	11458500	2001-10-12	0.19	A
USGS	11458500	2001-10-13	0.11	A
USGS	11458500	2001-10-14	0.07	A
USGS	11458500	2001-10-15	0.08	A
USGS	11458500	2001-10-16	0.10	A
USGS	11458500	2001-10-17	0.10	A
USGS	11458500	2001-10-18	0.29	A
USGS	11458500	2001-10-19	0.31	A
USGS	11458500	2001-10-20	0.28	A
USGS	11458500	2001-10-21	0.29	A
USGS	11458500	2001-10-22	0.42	A
USGS	11458500	2001-10-23	0.49	A
USGS	11458500	2001-10-24	0.26	A
USGS	11458500	2001-10-25	0.32	A
USGS	11458500	2001-10-26	0.31	A
USGS	11458500	2001-10-27	0.32	A
USGS	11458500	2001-10-28	0.41	A
USGS	11458500	2001-10-29	0.52	A
USGS	11458500	2001-10-30	3.8	A
USGS	11458500	2001-10-31	2.0	A
USGS	11458500	2001-11-01	1.4	A
USGS	11458500	2001-11-02	0.99	A
USGS	11458500	2001-11-03	0.85	A
USGS	11458500	2001-11-04	0.77	A
USGS	11458500	2001-11-05	0.77	A
USGS	11458500	2001-11-06	0.77	A
USGS	11458500	2001-11-07	0.77	A
USGS	11458500	2001-11-08	0.79	A
USGS	11458500	2001-11-09	0.79	A
USGS	11458500	2001-11-10	1.0	A
USGS	11458500	2001-11-11	7.9	A
USGS	11458500	2001-11-12	49	A
USGS	11458500	2001-11-13	13	A
USGS	11458500	2001-11-14	6.6	A
USGS	11458500	2001-11-15	4.3	A
USGS	11458500	2001-11-16	2.9	A
USGS	11458500	2001-11-17	2.9	A
USGS	11458500	2001-11-18	2.5	A
USGS	11458500	2001-11-19	2.0	A
USGS	11458500	2001-11-20	2.0	A
USGS	11458500	2001-11-21	9.8	A
USGS	11458500	2001-11-22	87	A
USGS	11458500	2001-11-23	15	A
USGS	11458500	2001-11-24	145	A
USGS	11458500	2001-11-25	40	A
USGS	11458500	2001-11-26	17	A
USGS	11458500	2001-11-27	11	A
USGS	11458500	2001-11-28	76	A
USGS	11458500	2001-11-29	825	A
USGS	11458500	2001-11-30	94	A
USGS	11458500	2001-12-01	1830	A
USGS	11458500	2001-12-02	1590	A
USGS	11458500	2001-12-03	390	A
USGS	11458500	2001-12-04	195	A
USGS	11458500	2001-12-05	197	A
USGS	11458500	2001-12-06	339	A
USGS	11458500	2001-12-07	211	A
USGS	11458500	2001-12-08	133	A
USGS	11458500	2001-12-09	107	A
USGS	11458500	2001-12-10	83	A
USGS	11458500	2001-12-11	64	A
USGS	11458500	2001-12-12	52	A
USGS	11458500	2001-12-13	52	A
USGS	11458500	2001-12-14	374	A
USGS	11458500	2001-12-15	133	A
USGS	11458500	2001-12-16	93	A
USGS	11458500	2001-12-17	264	A
USGS	11458500	2001-12-18	165	A
USGS	11458500	2001-12-19	131	A
USGS	11458500	2001-12-20	607	A
USGS	11458500	2001-12-21	401	A
