# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-03-06 14:10:12 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11460000 CORTE MADERA C A ROSS CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11460000
#            TS   parameter     statistic     Description
#         11304       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11304_00060_00003	11304_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11460000	2009-11-01	1.8	A:e
USGS	11460000	2009-11-02	1.8	A:e
USGS	11460000	2009-11-03	1.9	A:e
USGS	11460000	2009-11-04	1.9	A:e
USGS	11460000	2009-11-05	1.9	A:e
USGS	11460000	2009-11-06	1.9	A:e
USGS	11460000	2009-11-07	1.9	A:e
USGS	11460000	2009-11-08	1.8	A:e
USGS	11460000	2009-11-09	1.8	A:e
USGS	11460000	2009-11-10	1.7	A:e
USGS	11460000	2009-11-11	1.7	A:e
USGS	11460000	2009-11-12	1.7	A:e
USGS	11460000	2009-11-13	1.6	A
USGS	11460000	2009-11-14	1.7	A
USGS	11460000	2009-11-15	1.8	A
USGS	11460000	2009-11-16	1.8	A
USGS	11460000	2009-11-17	1.8	A
USGS	11460000	2009-11-18	2.0	A
USGS	11460000	2009-11-19	1.9	A
USGS	11460000	2009-11-20	4.9	A
USGS	11460000	2009-11-21	2.2	A
USGS	11460000	2009-11-22	1.5	A
USGS	11460000	2009-11-23	1.4	A
USGS	11460000	2009-11-24	1.4	A
USGS	11460000	2009-11-25	1.4	A
USGS	11460000	2009-11-26	1.4	A
USGS	11460000	2009-11-27	1.5	A
USGS	11460000	2009-11-28	1.9	A
USGS	11460000	2009-11-29	2.2	A
USGS	11460000	2009-11-30	2.3	A
USGS	11460000	2009-12-01	2.4	A
USGS	11460000	2009-12-02	2.4	A
USGS	11460000	2009-12-03	2.2	A
USGS	11460000	2009-12-04	2.3	A
USGS	11460000	2009-12-05	2.4	A
USGS	11460000	2009-12-06	2.4	A
USGS	11460000	2009-12-07	3.7	A
USGS	11460000	2009-12-08	1.4	A
USGS	11460000	2009-12-09	1.3	A
USGS	11460000	2009-12-10	1.4	A
USGS	11460000	2009-12-11	3.2	A
USGS	11460000	2009-12-12	36	A
USGS	11460000	2009-12-13	60	A
USGS	11460000	2009-12-14	21	A
USGS	11460000	2009-12-15	7.0	A
USGS	11460000	2009-12-16	16	A
USGS	11460000	2009-12-17	12	A
USGS	11460000	2009-12-18	7.7	A
USGS	11460000	2009-12-19	5.9	A
USGS	11460000	2009-12-20	5.1	A
USGS	11460000	2009-12-21	5.2	A
USGS	11460000	2009-12-22	5.2	A
USGS	11460000	2009-12-23	4.5	A
USGS	11460000	2009-12-24	4.3	A
USGS	11460000	2009-12-25	4.0	A
USGS	11460000	2009-12-26	3.8	A
USGS	11460000	2009-12-27	17	A
USGS	11460000	2009-12-28	8.1	A
USGS	11460000	2009-12-29	6.4	A
USGS	11460000	2009-12-30	12	A
USGS	11460000	2009-12-31	9.4	A
USGS	11460000	2010-01-01	7.7	A
USGS	11460000	2010-01-02	6.8	A
USGS	11460000	2010-01-03	6.2	A
USGS	11460000	2010-01-04	5.9	A
USGS	11460000	2010-01-05	5.5	A
USGS	11460000	2010-01-06	5.4	A
USGS	11460000	2010-01-07	5.4	A
USGS	11460000	2010-01-08	5.4	A
USGS	11460000	2010-01-09	5.5	A
USGS	11460000	2010-01-10	5.6	A
USGS	11460000	2010-01-11	5.8	A
USGS	11460000	2010-01-12	35	A
USGS	11460000	2010-01-13	42	A
USGS	11460000	2010-01-14	20	A
USGS	11460000	2010-01-15	14	A
USGS	11460000	2010-01-16	18	A
USGS	11460000	2010-01-17	30	A
USGS	11460000	2010-01-18	370	A
USGS	11460000	2010-01-19	608	A
USGS	11460000	2010-01-20	710	A
USGS	11460000	2010-01-21	441	A
USGS	11460000	2010-01-22	354	A
USGS	11460000	2010-01-23	232	A
USGS	11460000	2010-01-24	144	A
USGS	11460000	2010-01-25	279	A
USGS	11460000	2010-01-26	302	A
USGS	11460000	2010-01-27	175	A
USGS	11460000	2010-01-28	115	A
USGS	11460000	2010-01-29	98	A
USGS	11460000	2010-01-30	86	A
USGS	11460000	2010-01-31	67	A
USGS	11460000	2010-02-01	58	A
USGS	11460000	2010-02-02	51	A
USGS	11460000	2010-02-03	46	A
USGS	11460000	2010-02-04	177	A
USGS	11460000	2010-02-05	202	A
USGS	11460000	2010-02-06	329	A
USGS	11460000	2010-02-07	167	A
USGS	11460000	2010-02-08	109	A
USGS	11460000	2010-02-09	105	A
USGS	11460000	2010-02-10	77	A
USGS	11460000	2010-02-11	63	A
USGS	11460000	2010-02-12	74	A
USGS	11460000	2010-02-13	67	A
USGS	11460000	2010-02-14	59	A
USGS	11460000	2010-02-15	52	A
USGS	11460000	2010-02-16	46	A
USGS	11460000	2010-02-17	41	A
USGS	11460000	2010-02-18	37	A
USGS	11460000	2010-02-19	34	A
USGS	11460000	2010-02-20	31	A
USGS	11460000	2010-02-21	35	A
USGS	11460000	2010-02-22	30	A
USGS	11460000	2010-02-23	143	A
USGS	11460000	2010-02-24	393	A
USGS	11460000	2010-02-25	172	A
USGS	11460000	2010-02-26	229	A
USGS	11460000	2010-02-27	239	A
USGS	11460000	2010-02-28	153	A
USGS	11460000	2010-03-01	112	A
USGS	11460000	2010-03-02	278	A
USGS	11460000	2010-03-03	282	A
USGS	11460000	2010-03-04	142	A
USGS	11460000	2010-03-05	89	A
USGS	11460000	2010-03-06	64	A
USGS	11460000	2010-03-07	48	A
USGS	11460000	2010-03-08	39	A
USGS	11460000	2010-03-09	31	A
USGS	11460000	2010-03-10	33	A
USGS	11460000	2010-03-11	24	A
USGS	11460000	2010-03-12	63	A
USGS	11460000	2010-03-13	50	A
USGS	11460000	2010-03-14	37	A
USGS	11460000	2010-03-15	31	A
USGS	11460000	2010-03-16	26	A
USGS	11460000	2010-03-17	22	A
USGS	11460000	2010-03-18	20	A
USGS	11460000	2010-03-19	17	A
USGS	11460000	2010-03-20	15	A
USGS	11460000	2010-03-21	13	A
USGS	11460000	2010-03-22	12	A
USGS	11460000	2010-03-23	11	A
USGS	11460000	2010-03-24	12	A
USGS	11460000	2010-03-25	13	A
USGS	11460000	2010-03-26	10	A
USGS	11460000	2010-03-27	9.2	A
USGS	11460000	2010-03-28	8.6	A
USGS	11460000	2010-03-29	9.8	A
USGS	11460000	2010-03-30	17	A
USGS	11460000	2010-03-31	37	A
USGS	11460000	2010-04-01	31	A
USGS	11460000	2010-04-02	63	A
USGS	11460000	2010-04-03	59	A
USGS	11460000	2010-04-04	227	A
USGS	11460000	2010-04-05	156	A
USGS	11460000	2010-04-06	73	A
USGS	11460000	2010-04-07	50	A
USGS	11460000	2010-04-08	39	A
USGS	11460000	2010-04-09	32	A
USGS	11460000	2010-04-10	27	A
USGS	11460000	2010-04-11	312	A
USGS	11460000	2010-04-12	246	A
USGS	11460000	2010-04-13	118	A
USGS	11460000	2010-04-14	74	A
USGS	11460000	2010-04-15	54	A
USGS	11460000	2010-04-16	44	A
USGS	11460000	2010-04-17	36	A
USGS	11460000	2010-04-18	31	A
USGS	11460000	2010-04-19	27	A
USGS	11460000	2010-04-20	36	A
USGS	11460000	2010-04-21	25	A
USGS	11460000	2010-04-22	20	A
USGS	11460000	2010-04-23	17	A
USGS	11460000	2010-04-24	15	A
USGS	11460000	2010-04-25	13	A
USGS	11460000	2010-04-26	11	A
USGS	11460000	2010-04-27	32	A
USGS	11460000	2010-04-28	21	A
USGS	11460000	2010-04-29	17	A
USGS	11460000	2010-04-30	14	A
USGS	11460000	2010-05-01	13	A
USGS	11460000	2010-05-02	11	A
USGS	11460000	2010-05-03	10	A
USGS	11460000	2010-05-04	8.7	A
USGS	11460000	2010-05-05	7.9	A
USGS	11460000	2010-05-06	7.3	A
USGS	11460000	2010-05-07	6.9	A
USGS	11460000	2010-05-08	6.3	A
USGS	11460000	2010-05-09	6.3	A
USGS	11460000	2010-05-10	8.9	A
USGS	11460000	2010-05-11	6.5	A
USGS	11460000	2010-05-12	5.6	A
USGS	11460000	2010-05-13	5.2	A
USGS	11460000	2010-05-14	5.1	A
USGS	11460000	2010-05-15	4.8	A
USGS	11460000	2010-05-16	4.7	A
USGS	11460000	2010-05-17	6.8	A
USGS	11460000	2010-05-18	5.7	A
USGS	11460000	2010-05-19	4.8	A
USGS	11460000	2010-05-20	4.4	A
USGS	11460000	2010-05-21	4.1	A
USGS	11460000	2010-05-22	4.0	A
USGS	11460000	2010-05-23	3.9	A
USGS	11460000	2010-05-24	3.9	A
USGS	11460000	2010-05-25	4.6	A
USGS	11460000	2010-05-26	4.9	A
USGS	11460000	2010-05-27	9.2	A
USGS	11460000	2010-05-28	4.8	A
USGS	11460000	2010-05-29	4.3	A
USGS	11460000	2010-05-30	3.9	A
USGS	11460000	2010-05-31	3.7	A
USGS	11460000	2010-06-01		
USGS	11460000	2010-06-02		
USGS	11460000	2010-06-03		
USGS	11460000	2010-06-04		
USGS	11460000	2010-06-05		
USGS	11460000	2010-06-06		
USGS	11460000	2010-06-07		
USGS	11460000	2010-06-08		
USGS	11460000	2010-06-09		
USGS	11460000	2010-06-10		
USGS	11460000	2010-06-11		
USGS	11460000	2010-06-12		
USGS	11460000	2010-06-13		
USGS	11460000	2010-06-14		
USGS	11460000	2010-06-15		
USGS	11460000	2010-06-16		
USGS	11460000	2010-06-17		
USGS	11460000	2010-06-18		
USGS	11460000	2010-06-19		
USGS	11460000	2010-06-20		
USGS	11460000	2010-06-21		
USGS	11460000	2010-06-22		
USGS	11460000	2010-06-23		
USGS	11460000	2010-06-24		
USGS	11460000	2010-06-25		
USGS	11460000	2010-06-26		
USGS	11460000	2010-06-27		
USGS	11460000	2010-06-28		
USGS	11460000	2010-06-29		
USGS	11460000	2010-06-30		
USGS	11460000	2010-07-01		
USGS	11460000	2010-07-02		
USGS	11460000	2010-07-03		
USGS	11460000	2010-07-04		
USGS	11460000	2010-07-05		
USGS	11460000	2010-07-06		
USGS	11460000	2010-07-07		
USGS	11460000	2010-07-08		
USGS	11460000	2010-07-09		
USGS	11460000	2010-07-10		
USGS	11460000	2010-07-11		
USGS	11460000	2010-07-12		
USGS	11460000	2010-07-13		
USGS	11460000	2010-07-14		
USGS	11460000	2010-07-15		
USGS	11460000	2010-07-16		
USGS	11460000	2010-07-17		
USGS	11460000	2010-07-18		
USGS	11460000	2010-07-19		
USGS	11460000	2010-07-20		
USGS	11460000	2010-07-21		
USGS	11460000	2010-07-22		
USGS	11460000	2010-07-23		
USGS	11460000	2010-07-24		
USGS	11460000	2010-07-25		
USGS	11460000	2010-07-26		
USGS	11460000	2010-07-27		
USGS	11460000	2010-07-28		
USGS	11460000	2010-07-29		
USGS	11460000	2010-07-30		
USGS	11460000	2010-07-31		
USGS	11460000	2010-08-01		
USGS	11460000	2010-08-02		
USGS	11460000	2010-08-03		
USGS	11460000	2010-08-04		
USGS	11460000	2010-08-05		
USGS	11460000	2010-08-06		
USGS	11460000	2010-08-07		
USGS	11460000	2010-08-08		
USGS	11460000	2010-08-09		
USGS	11460000	2010-08-10		
USGS	11460000	2010-08-11		
USGS	11460000	2010-08-12		
USGS	11460000	2010-08-13		
USGS	11460000	2010-08-14		
USGS	11460000	2010-08-15		
USGS	11460000	2010-08-16		
USGS	11460000	2010-08-17		
USGS	11460000	2010-08-18		
USGS	11460000	2010-08-19		
USGS	11460000	2010-08-20		
USGS	11460000	2010-08-21		
USGS	11460000	2010-08-22		
USGS	11460000	2010-08-23		
USGS	11460000	2010-08-24		
USGS	11460000	2010-08-25		
USGS	11460000	2010-08-26		
USGS	11460000	2010-08-27		
USGS	11460000	2010-08-28		
USGS	11460000	2010-08-29		
USGS	11460000	2010-08-30		
USGS	11460000	2010-08-31		
USGS	11460000	2010-09-01		
USGS	11460000	2010-09-02		
USGS	11460000	2010-09-03		
USGS	11460000	2010-09-04		
USGS	11460000	2010-09-05		
USGS	11460000	2010-09-06		
USGS	11460000	2010-09-07		
USGS	11460000	2010-09-08		
USGS	11460000	2010-09-09		
USGS	11460000	2010-09-10		
USGS	11460000	2010-09-11		
USGS	11460000	2010-09-12		
USGS	11460000	2010-09-13		
USGS	11460000	2010-09-14		
USGS	11460000	2010-09-15		
USGS	11460000	2010-09-16		
USGS	11460000	2010-09-17		
USGS	11460000	2010-09-18		
USGS	11460000	2010-09-19		
USGS	11460000	2010-09-20		
USGS	11460000	2010-09-21		
USGS	11460000	2010-09-22		
USGS	11460000	2010-09-23		
USGS	11460000	2010-09-24		
USGS	11460000	2010-09-25		
USGS	11460000	2010-09-26		
USGS	11460000	2010-09-27		
USGS	11460000	2010-09-28		
USGS	11460000	2010-09-29		
USGS	11460000	2010-09-30		
USGS	11460000	2010-10-01		
USGS	11460000	2010-10-02		
USGS	11460000	2010-10-03		
USGS	11460000	2010-10-04		
USGS	11460000	2010-10-05		
USGS	11460000	2010-10-06		
USGS	11460000	2010-10-07		
USGS	11460000	2010-10-08		
USGS	11460000	2010-10-09		
USGS	11460000	2010-10-10		
USGS	11460000	2010-10-11		
USGS	11460000	2010-10-12		
USGS	11460000	2010-10-13		
USGS	11460000	2010-10-14		
USGS	11460000	2010-10-15		
USGS	11460000	2010-10-16		
USGS	11460000	2010-10-17		
USGS	11460000	2010-10-18		
USGS	11460000	2010-10-19		
USGS	11460000	2010-10-20		
USGS	11460000	2010-10-21		
USGS	11460000	2010-10-22		
USGS	11460000	2010-10-23		
USGS	11460000	2010-10-24		
USGS	11460000	2010-10-25		
USGS	11460000	2010-10-26		
USGS	11460000	2010-10-27		
USGS	11460000	2010-10-28		
USGS	11460000	2010-10-29		
USGS	11460000	2010-10-30		
USGS	11460000	2010-10-31		
USGS	11460000	2010-11-01	2.3	A
USGS	11460000	2010-11-02	2.2	A
USGS	11460000	2010-11-03	2.1	A
USGS	11460000	2010-11-04	2.0	A
USGS	11460000	2010-11-05	2.0	A
USGS	11460000	2010-11-06	2.0	A
USGS	11460000	2010-11-07	18	A
USGS	11460000	2010-11-08	7.6	A
USGS	11460000	2010-11-09	4.4	A
USGS	11460000	2010-11-10	3.6	A
USGS	11460000	2010-11-11	2.8	A
USGS	11460000	2010-11-12	2.6	A
USGS	11460000	2010-11-13	2.4	A
USGS	11460000	2010-11-14	2.3	A
USGS	11460000	2010-11-15	2.2	A
USGS	11460000	2010-11-16	2.2	A
USGS	11460000	2010-11-17	2.4	A
USGS	11460000	2010-11-18	2.3	A
USGS	11460000	2010-11-19	5.1	A
USGS	11460000	2010-11-20	24	A
USGS	11460000	2010-11-21	10	A
USGS	11460000	2010-11-22	6.4	A
USGS	11460000	2010-11-23	16	A
USGS	11460000	2010-11-24	7.5	A
USGS	11460000	2010-11-25	4.7	A
USGS	11460000	2010-11-26	3.6	A
USGS	11460000	2010-11-27	23	A
USGS	11460000	2010-11-28	11	A
USGS	11460000	2010-11-29	6.6	A
USGS	11460000	2010-11-30	4.8	A
USGS	11460000	2010-12-01	3.9	A
USGS	11460000	2010-12-02	3.4	A
USGS	11460000	2010-12-03	3.5	A
USGS	11460000	2010-12-04	3.0	A
USGS	11460000	2010-12-05	35	A
USGS	11460000	2010-12-06	40	A
USGS	11460000	2010-12-07	16	A
USGS	11460000	2010-12-08	41	A
USGS	11460000	2010-12-09	34	A
USGS	11460000	2010-12-10	21	A
USGS	11460000	2010-12-11	14	A
USGS	11460000	2010-12-12	10	A
USGS	11460000	2010-12-13	8.3	A
USGS	11460000	2010-12-14	13	A
USGS	11460000	2010-12-15	9.9	A
USGS	11460000	2010-12-16	7.7	A
USGS	11460000	2010-12-17	65	A
USGS	11460000	2010-12-18	241	A
USGS	11460000	2010-12-19	270	A
USGS	11460000	2010-12-20	120	A
USGS	11460000	2010-12-21	102	A
USGS	11460000	2010-12-22	291	A
USGS	11460000	2010-12-23	101	A
USGS	11460000	2010-12-24	61	A
USGS	11460000	2010-12-25	174	A
USGS	11460000	2010-12-26	140	A
USGS	11460000	2010-12-27	78	A
USGS	11460000	2010-12-28	250	A
USGS	11460000	2010-12-29	474	A
USGS	11460000	2010-12-30	138	A
USGS	11460000	2010-12-31	80	A
USGS	11460000	2011-01-01	136	A
USGS	11460000	2011-01-02	261	A
USGS	11460000	2011-01-03	145	A
USGS	11460000	2011-01-04	86	A
USGS	11460000	2011-01-05	61	A
USGS	11460000	2011-01-06	47	A
USGS	11460000	2011-01-07	38	A
USGS	11460000	2011-01-08	31	A
USGS	11460000	2011-01-09	26	A
USGS	11460000	2011-01-10	22	A
USGS	11460000	2011-01-11	19	A
USGS	11460000	2011-01-12	16	A
USGS	11460000	2011-01-13	19	A
USGS	11460000	2011-01-14	14	A
USGS	11460000	2011-01-15	13	A
USGS	11460000	2011-01-16	11	A
USGS	11460000	2011-01-17	11	A
USGS	11460000	2011-01-18	9.8	A
USGS	11460000	2011-01-19	8.9	A
USGS	11460000	2011-01-20	7.9	A
USGS	11460000	2011-01-21	7.3	A
USGS	11460000	2011-01-22	7.0	A
USGS	11460000	2011-01-23	6.2	A
USGS	11460000	2011-01-24	5.7	A
USGS	11460000	2011-01-25	5.5	A
USGS	11460000	2011-01-26	5.2	A
USGS	11460000	2011-01-27	4.8	A
USGS	11460000	2011-01-28	4.7	A
USGS	11460000	2011-01-29	6.1	A
USGS	11460000	2011-01-30	23	A
USGS	11460000	2011-01-31	9.5	A
USGS	11460000	2011-02-01	7.3	A
USGS	11460000	2011-02-02	6.0	A
USGS	11460000	2011-02-03	5.3	A
USGS	11460000	2011-02-04	5.1	A
USGS	11460000	2011-02-05	4.9	A
USGS	11460000	2011-02-06	4.7	A
USGS	11460000	2011-02-07	4.6	A
USGS	11460000	2011-02-08	4.4	A
USGS	11460000	2011-02-09	4.1	A
USGS	11460000	2011-02-10	4.1	A
USGS	11460000	2011-02-11	3.9	A
USGS	11460000	2011-02-12	3.8	A
USGS	11460000	2011-02-13	3.6	A
USGS	11460000	2011-02-14	27	A
USGS	11460000	2011-02-15	59	A
USGS	11460000	2011-02-16	200	A
USGS	11460000	2011-02-17	325	A
USGS	11460000	2011-02-18	222	A
USGS	11460000	2011-02-19	241	A
USGS	11460000	2011-02-20	124	A
USGS	11460000	2011-02-21	79	A
USGS	11460000	2011-02-22	51	A
USGS	11460000	2011-02-23	37	A
