CCOSTAC1
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1     14.0208
1999/ 1/ 2     12.3265
1999/ 1/ 3     13.7192
1999/ 1/ 4     14.2982
1999/ 1/ 5     13.8680
1999/ 1/ 6     13.3025
1999/ 1/ 7     12.7451
1999/ 1/ 8     10.4905
1999/ 1/ 9     10.7838
1999/ 1/10     11.1777
1999/ 1/11     10.2682
1999/ 1/12      8.9500
1999/ 1/13      9.3942
1999/ 1/14      9.7120
1999/ 1/15      9.9948
1999/ 1/16     87.4335
1999/ 1/17     58.0640
1999/ 1/18    170.6068
1999/ 1/19    302.3083
1999/ 1/20    315.4783
1999/ 1/21     93.5689
1999/ 1/22     42.2666
1999/ 1/23    209.7391
1999/ 1/24     87.6861
1999/ 1/25     35.2054
1999/ 1/26    106.5004
1999/ 1/27     82.8133
1999/ 1/28     45.7613
1999/ 1/29     27.7703
1999/ 1/30     26.5514
1999/ 1/31    651.5040
1999/ 2/ 1     65.2478
1999/ 2/ 2     33.9467
1999/ 2/ 3     26.2325
1999/ 2/ 4     23.4155
1999/ 2/ 5     21.7672
1999/ 2/ 6     25.7259
1999/ 2/ 7   1032.8180
1999/ 2/ 8    345.4275
1999/ 2/ 9   2351.0010
1999/ 2/10    248.2499
1999/ 2/11    166.9675
1999/ 2/12    131.5050
1999/ 2/13    106.5565
1999/ 2/14    121.0423
1999/ 2/15    101.4059
1999/ 2/16    129.4268
1999/ 2/17    721.4730
1999/ 2/18    134.1732
1999/ 2/19    627.7122
1999/ 2/20    209.3101
1999/ 2/21    782.7601
1999/ 2/22    224.2892
1999/ 2/23    171.7668
1999/ 2/24    145.4248
1999/ 2/25    427.7551
1999/ 2/26    171.8057
1999/ 2/27    133.6694
1999/ 2/28    119.7246
1999/ 3/ 1     94.8200
1999/ 3/ 2     78.2850
1999/ 3/ 3     74.7561
1999/ 3/ 4     63.9085
1999/ 3/ 5     61.6393
1999/ 3/ 6     58.8971
1999/ 3/ 7     52.4103
1999/ 3/ 8     61.2074
1999/ 3/ 9    277.1594
1999/ 3/10     91.4783
1999/ 3/11     51.3811
1999/ 3/12     40.9666
1999/ 3/13     38.9125
1999/ 3/14     47.8465
1999/ 3/15     88.4796
1999/ 3/16     65.6231
1999/ 3/17     39.3622
1999/ 3/18     39.7301
1999/ 3/19     38.5229
1999/ 3/20    278.5270
1999/ 3/21     62.0574
1999/ 3/22     35.7496
1999/ 3/23     31.0694
1999/ 3/24     30.3344
1999/ 3/25    474.4171
1999/ 3/26     68.3946
1999/ 3/27     37.9921
1999/ 3/28     29.3783
1999/ 3/29     26.0868
1999/ 3/30     25.2769
1999/ 3/31     22.4354
1999/ 4/ 1     21.2266
1999/ 4/ 2     18.7881
1999/ 4/ 3     18.9111
1999/ 4/ 4     18.8685
1999/ 4/ 5     27.8137
1999/ 4/ 6    386.6729
1999/ 4/ 7     93.5859
1999/ 4/ 8    252.8272
1999/ 4/ 9     79.2343
1999/ 4/10     48.0520
1999/ 4/11    507.9783
1999/ 4/12    118.5584
1999/ 4/13     69.9878
1999/ 4/14     42.3234
1999/ 4/15     34.4593
1999/ 4/16     31.0984
1999/ 4/17     28.5694
1999/ 4/18     26.4193
1999/ 4/19     24.8712
1999/ 4/20     24.5662
