CCOSTAC
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      4.3536
1999/ 1/ 2      5.0859
1999/ 1/ 3      6.0758
1999/ 1/ 4      6.4295
1999/ 1/ 5      6.2218
1999/ 1/ 6      5.9385
1999/ 1/ 7      5.6591
1999/ 1/ 8      4.4773
1999/ 1/ 9      4.6288
1999/ 1/10      4.8474
1999/ 1/11      4.3792
1999/ 1/12      3.6852
1999/ 1/13      3.9212
1999/ 1/14      4.1032
1999/ 1/15      4.5143
1999/ 1/16     20.8789
1999/ 1/17     14.1654
1999/ 1/18     34.5968
1999/ 1/19     57.4584
1999/ 1/20     67.8392
1999/ 1/21     35.1185
1999/ 1/22     15.3870
1999/ 1/23     42.1363
1999/ 1/24     28.9567
1999/ 1/25     12.0521
1999/ 1/26     27.8007
1999/ 1/27     21.7280
1999/ 1/28     13.2325
1999/ 1/29      9.5037
1999/ 1/30      9.5791
1999/ 1/31    126.6329
1999/ 2/ 1     32.7715
1999/ 2/ 2     13.5464
1999/ 2/ 3      9.4633
1999/ 2/ 4      8.1865
1999/ 2/ 5      7.4792
1999/ 2/ 6      9.0069
1999/ 2/ 7    196.7216
1999/ 2/ 8     92.5029
1999/ 2/ 9    605.3577
1999/ 2/10    109.2013
1999/ 2/11     64.4919
1999/ 2/12     47.6962
1999/ 2/13     38.3394
1999/ 2/14     40.3238
1999/ 2/15     33.6391
1999/ 2/16     38.8336
1999/ 2/17    155.9424
1999/ 2/18     54.6936
1999/ 2/19    116.3219
1999/ 2/20     95.3891
1999/ 2/21    153.8512
1999/ 2/22    106.4027
1999/ 2/23     61.8648
1999/ 2/24     47.0324
1999/ 2/25     94.2479
1999/ 2/26     60.9841
1999/ 2/27     41.2075
1999/ 2/28     34.8211
1999/ 3/ 1     26.0475
1999/ 3/ 2     20.1806
1999/ 3/ 3     19.4925
1999/ 3/ 4     15.4665
1999/ 3/ 5     14.1385
1999/ 3/ 6     13.2135
1999/ 3/ 7     11.1206
1999/ 3/ 8     13.1995
1999/ 3/ 9     51.4620
1999/ 3/10     26.1591
1999/ 3/11     11.4938
1999/ 3/12      8.0532
1999/ 3/13      7.6060
1999/ 3/14      9.8769
1999/ 3/15     19.1943
1999/ 3/16     14.1830
1999/ 3/17      7.9331
1999/ 3/18      8.1989
1999/ 3/19      7.9636
1999/ 3/20     52.6684
1999/ 3/21     18.0428
1999/ 3/22      8.0997
1999/ 3/23      6.7898
1999/ 3/24      6.2760
1999/ 3/25     88.3460
1999/ 3/26     25.2735
1999/ 3/27      9.8260
1999/ 3/28      6.2736
1999/ 3/29      5.1809
1999/ 3/30      5.1512
1999/ 3/31      4.1950
1999/ 4/ 1      3.6074
1999/ 4/ 2      2.7599
1999/ 4/ 3      2.9813
1999/ 4/ 4      2.7169
1999/ 4/ 5      5.4291
