EBAYC
RCHRES3
FLOW

Date          DSN 1001
1999/ 1/ 1      1.6700
1999/ 1/ 2      1.0303
1999/ 1/ 3      1.0341
1999/ 1/ 4      1.2138
1999/ 1/ 5      1.2765
1999/ 1/ 6      1.2959
1999/ 1/ 7      1.2994
1999/ 1/ 8      1.0053
1999/ 1/ 9      1.0127
1999/ 1/10      1.1933
1999/ 1/11      1.1439
1999/ 1/12      0.9371
1999/ 1/13      1.0143
1999/ 1/14      1.1920
1999/ 1/15      1.5117
1999/ 1/16     47.8976
1999/ 1/17     26.0588
1999/ 1/18     37.7618
1999/ 1/19    110.1225
1999/ 1/20    255.3250
1999/ 1/21     86.8966
1999/ 1/22     44.1146
1999/ 1/23    115.9413
1999/ 1/24     50.0956
1999/ 1/25     20.7229
1999/ 1/26     18.5486
1999/ 1/27     17.2015
1999/ 1/28     11.1632
1999/ 1/29      6.2137
1999/ 1/30      4.8115
1999/ 1/31      4.1100
1999/ 2/ 1     39.7859
1999/ 2/ 2     37.0365
1999/ 2/ 3     15.7780
1999/ 2/ 4      7.6134
1999/ 2/ 5      4.4556
1999/ 2/ 6      3.9080
1999/ 2/ 7      3.9815
1999/ 2/ 8    171.4710
1999/ 2/ 9    478.1495
1999/ 2/10     71.8239
1999/ 2/11     36.2613
1999/ 2/12     18.4132
1999/ 2/13     10.8558
1999/ 2/14      8.1231
1999/ 2/15      6.6580
1999/ 2/16     10.8500
1999/ 2/17    462.8188
1999/ 2/18     91.5120
1999/ 2/19     49.1247
1999/ 2/20     30.1198
1999/ 2/21     16.7711
1999/ 2/22    161.2415
1999/ 2/23     73.8435
1999/ 2/24     34.4571
1999/ 2/25     38.3549
1999/ 2/26     24.4686
1999/ 2/27     16.1240
1999/ 2/28     11.4537
1999/ 3/ 1      9.1185
1999/ 3/ 2      7.0790
1999/ 3/ 3     19.5212
1999/ 3/ 4     18.3801
1999/ 3/ 5     10.5364
1999/ 3/ 6      7.6261
1999/ 3/ 7      6.0206
1999/ 3/ 8      6.1734
1999/ 3/ 9    131.9353
1999/ 3/10     69.3115
1999/ 3/11     29.7909
1999/ 3/12     14.1517
1999/ 3/13      8.4181
1999/ 3/14      7.2507
1999/ 3/15     62.5453
1999/ 3/16     57.1672
1999/ 3/17     25.1204
1999/ 3/18     13.3342
1999/ 3/19      8.9010
1999/ 3/20      6.2305
1999/ 3/21      4.4823
1999/ 3/22      9.7647
1999/ 3/23     55.6992
1999/ 3/24     25.4091
1999/ 3/25     81.3411
1999/ 3/26     37.2514
1999/ 3/27     16.4412
