EBAYN
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      2.1764
1999/ 1/ 2      1.1105
1999/ 1/ 3      1.1647
1999/ 1/ 4      1.1620
1999/ 1/ 5      1.1594
1999/ 1/ 6      1.1569
1999/ 1/ 7      1.1544
1999/ 1/ 8      1.1051
1999/ 1/ 9      1.1581
1999/ 1/10      1.1557
1999/ 1/11      1.1346
1999/ 1/12      1.1166
1999/ 1/13      1.1589
1999/ 1/14      1.1565
1999/ 1/15     21.0593
1999/ 1/16      4.9911
1999/ 1/17     10.4678
1999/ 1/18     97.7176
1999/ 1/19     66.2825
1999/ 1/20     38.7978
1999/ 1/21      1.9333
1999/ 1/22     17.8811
1999/ 1/23     44.7259
1999/ 1/24      2.1913
1999/ 1/25      1.9608
1999/ 1/26     11.5435
1999/ 1/27      1.9349
1999/ 1/28      1.9442
1999/ 1/29      2.0746
1999/ 1/30      2.2015
1999/ 1/31     71.8225
1999/ 2/ 1      2.5478
1999/ 2/ 2      2.2265
1999/ 2/ 3      2.1013
1999/ 2/ 4      2.0418
1999/ 2/ 5      2.0028
1999/ 2/ 6    130.4777
1999/ 2/ 7    150.0816
1999/ 2/ 8     60.6786
1999/ 2/ 9     52.0319
1999/ 2/10      7.5957
1999/ 2/11      5.6994
1999/ 2/12      5.3541
1999/ 2/13     11.4116
1999/ 2/14      5.1132
1999/ 2/15      4.5334
1999/ 2/16    136.6060
1999/ 2/17     61.1460
1999/ 2/18     28.5106
1999/ 2/19      7.9599
1999/ 2/20     69.8910
1999/ 2/21     16.8219
1999/ 2/22      8.1716
1999/ 2/23      7.3957
1999/ 2/24      7.1099
1999/ 2/25     57.6755
1999/ 2/26      7.3199
1999/ 2/27      6.6676
1999/ 2/28      6.6212
1999/ 3/ 1      5.2655
1999/ 3/ 2      5.2227
1999/ 3/ 3     12.5199
1999/ 3/ 4      4.7575
1999/ 3/ 5      4.8321
1999/ 3/ 6      4.8812
1999/ 3/ 7      4.0128
1999/ 3/ 8     39.8450
1999/ 3/ 9     16.0068
1999/ 3/10      4.7349
1999/ 3/11      3.9150
1999/ 3/12      3.8130
1999/ 3/13      3.8900
1999/ 3/14     41.1615
1999/ 3/15     12.2678
1999/ 3/16      4.4029
1999/ 3/17      3.8251
1999/ 3/18      4.3394
1999/ 3/19      5.9910
1999/ 3/20      3.2182
1999/ 3/21      3.0984
1999/ 3/22      3.1178
1999/ 3/23      5.6944
1999/ 3/24     32.3084
1999/ 3/25     15.0615
1999/ 3/26      3.3941
1999/ 3/27      2.9939
1999/ 3/28      2.8453
1999/ 3/29      2.7589
1999/ 3/30      6.8096
1999/ 3/31      5.4131
1999/ 4/ 1      2.5818
1999/ 4/ 2      2.5030
1999/ 4/ 3      2.6887
1999/ 4/ 4      2.3768
1999/ 4/ 5     49.8550
1999/ 4/ 6     11.6669
1999/ 4/ 7      3.4654
1999/ 4/ 8     25.9009
1999/ 4/ 9      2.6732
1999/ 4/10      6.0848
1999/ 4/11     68.8349
1999/ 4/12      3.3916
1999/ 4/13      2.8957
1999/ 4/14      2.4309
1999/ 4/15      2.3093
1999/ 4/16      2.3531
1999/ 4/17      2.1786
1999/ 4/18      2.1411
1999/ 4/19      2.2437
1999/ 4/20      2.2022
1999/ 4/21      2.1521
1999/ 4/22      2.2008
1999/ 4/23      2.2786
1999/ 4/24      2.5029
1999/ 4/25      2.9307
1999/ 4/26      2.7010
1999/ 4/27      2.4628
1999/ 4/28      2.5106
1999/ 4/29      2.5618
1999/ 4/30      2.7842
1999/ 5/ 1      3.2723
1999/ 5/ 2      3.5832
1999/ 5/ 3      3.3488
1999/ 5/ 4      2.5315
1999/ 5/ 5      2.4559
1999/ 5/ 6      2.5731
1999/ 5/ 7      2.4824
1999/ 5/ 8      2.5288
1999/ 5/ 9      2.5701
1999/ 5/10      2.7497
1999/ 5/11      2.6328
1999/ 5/12      3.1091
1999/ 5/13      2.6930
1999/ 5/14      2.7211
1999/ 5/15      2.7477
1999/ 5/16      2.7748
1999/ 5/17      2.9545
1999/ 5/18      2.8307
1999/ 5/19      3.4681
1999/ 5/20      3.4585
1999/ 5/21      2.7969
1999/ 5/22      2.8261
1999/ 5/23      3.0136
1999/ 5/24      3.1900
1999/ 5/25      3.1869
1999/ 5/26      3.3493
1999/ 5/27      3.8363
1999/ 5/28      3.9817
1999/ 5/29      4.1020
1999/ 5/30      2.9651
1999/ 5/31      2.8111
1999/ 6/ 1      3.6068
1999/ 6/ 2      2.9466
1999/ 6/ 3      3.2510
1999/ 6/ 4      2.9588
1999/ 6/ 5      2.8994
1999/ 6/ 6      2.6189
1999/ 6/ 7      2.6277
1999/ 6/ 8      2.6350
1999/ 6/ 9      2.6387
1999/ 6/10      2.7717
1999/ 6/11      2.7941
1999/ 6/12      2.6440
1999/ 6/13      2.6417
1999/ 6/14      3.2323
1999/ 6/15      3.0695
1999/ 6/16      2.9117
1999/ 6/17      2.7445
1999/ 6/18      2.7619
1999/ 6/19      2.7547
1999/ 6/20      2.6004
1999/ 6/21      2.6119
1999/ 6/22      2.5866
1999/ 6/23      2.6017
1999/ 6/24      2.8868
1999/ 6/25      2.7222
1999/ 6/26      2.5586
1999/ 6/27      2.5405
1999/ 6/28      2.5447
1999/ 6/29      2.5472
1999/ 6/30      2.5485
1999/ 7/ 1      2.5655
1999/ 7/ 2      2.5804
1999/ 7/ 3      2.5712
1999/ 7/ 4      2.5264
1999/ 7/ 5      2.4992
1999/ 7/ 6      2.9364
1999/ 7/ 7      2.4756
1999/ 7/ 8      2.4642
1999/ 7/ 9      2.6065
1999/ 7/10      2.5954
1999/ 7/11      2.4409
1999/ 7/12      2.4412
1999/ 7/13      2.3547
1999/ 7/14      2.4318
1999/ 7/15      2.5492
1999/ 7/16      3.0395
1999/ 7/17      2.6245
1999/ 7/18      2.4619
1999/ 7/19      2.7244
1999/ 7/20      2.4572
1999/ 7/21      2.4007
1999/ 7/22      2.4976
1999/ 7/23      2.6083
1999/ 7/24      2.5848
1999/ 7/25      2.5569
1999/ 7/26      2.5435
1999/ 7/27      2.5177
1999/ 7/28      2.3995
1999/ 7/29      2.1483
1999/ 7/30      2.2612
1999/ 7/31      2.3626
1999/ 8/ 1      2.2403
1999/ 8/ 2      2.2180
1999/ 8/ 3      2.4196
1999/ 8/ 4      2.8305
1999/ 8/ 5      3.1787
1999/ 8/ 6      2.4416
1999/ 8/ 7      2.2861
1999/ 8/ 8      2.2372
1999/ 8/ 9      2.5599
1999/ 8/10      2.7927
1999/ 8/11      2.2600
1999/ 8/12      2.2607
1999/ 8/13      2.0509
1999/ 8/14      1.8660
1999/ 8/15      1.8525
1999/ 8/16      1.8573
1999/ 8/17      1.9407
1999/ 8/18      2.5581
1999/ 8/19      1.9054
1999/ 8/20      1.9857
1999/ 8/21      1.7400
1999/ 8/22      1.7397
1999/ 8/23      1.7630
1999/ 8/24      1.8274
1999/ 8/25      1.7416
1999/ 8/26      1.9322
1999/ 8/27      1.8857
1999/ 8/28      2.0226
1999/ 8/29      2.0966
1999/ 8/30      1.8676
1999/ 8/31      1.9279
1999/ 9/ 1      1.9344
1999/ 9/ 2      1.9216
1999/ 9/ 3      1.9891
1999/ 9/ 4      1.9135
1999/ 9/ 5      1.8962
1999/ 9/ 6      1.8987
1999/ 9/ 7      1.9623
1999/ 9/ 8      1.9678
1999/ 9/ 9      2.1134
1999/ 9/10      2.0224
1999/ 9/11      2.0055
1999/ 9/12      1.9896
1999/ 9/13      2.0451
1999/ 9/14      2.1212
1999/ 9/15      2.0262
1999/ 9/16      2.0091
1999/ 9/17      1.9376
1999/ 9/18      2.0012
1999/ 9/19      1.9407
1999/ 9/20      1.9071
1999/ 9/21      1.8403
1999/ 9/22      2.0318
1999/ 9/23      1.9261
1999/ 9/24      1.8451
1999/ 9/25      1.7763
1999/ 9/26      1.7674
1999/ 9/27      1.7683
1999/ 9/28      1.7679
1999/ 9/29      1.7648
