PENINSUL
R2
FLOW
Simulated flow (cfs)
Date          DSN 1001
1999/ 1/ 1      2.5974
1999/ 1/ 2      1.7815
1999/ 1/ 3      2.1257
1999/ 1/ 4      2.1266
1999/ 1/ 5      2.0764
1999/ 1/ 6      2.0280
1999/ 1/ 7      1.9821
1999/ 1/ 8      1.5891
1999/ 1/ 9      1.8565
1999/ 1/10      1.8637
1999/ 1/11      1.6962
1999/ 1/12      1.5187
1999/ 1/13      1.7260
1999/ 1/14      1.7370
1999/ 1/15      4.9570
1999/ 1/16     20.6508
1999/ 1/17      2.4484
1999/ 1/18    127.9912
1999/ 1/19     73.3955
1999/ 1/20    125.3988
1999/ 1/21      5.3862
1999/ 1/22      2.5360
1999/ 1/23     71.9840
1999/ 1/24      4.1191
1999/ 1/25      2.0625
1999/ 1/26     29.3803
1999/ 1/27      3.3138
1999/ 1/28      1.9300
1999/ 1/29      2.1115
1999/ 1/30      3.0185
1999/ 1/31     38.6667
1999/ 2/ 1      2.4629
1999/ 2/ 2      1.7629
1999/ 2/ 3      1.6905
1999/ 2/ 4      1.6353
1999/ 2/ 5      1.5845
1999/ 2/ 6     32.2752
1999/ 2/ 7    132.8038
1999/ 2/ 8     22.4406
1999/ 2/ 9    153.7072
1999/ 2/10      8.3484
1999/ 2/11      4.8657
1999/ 2/12      4.2730
1999/ 2/13      9.0088
1999/ 2/14     15.5630
1999/ 2/15      4.0259
1999/ 2/16     37.6150
1999/ 2/17     56.7777
1999/ 2/18     20.1556
1999/ 2/19      7.3986
1999/ 2/20      4.4813
1999/ 2/21     22.6186
1999/ 2/22     23.2170
1999/ 2/23      5.6020
1999/ 2/24      5.2433
1999/ 2/25     40.8381
1999/ 2/26      4.2610
1999/ 2/27      2.9819
1999/ 2/28      3.0797
1999/ 3/ 1      2.2793
1999/ 3/ 2      2.1739
1999/ 3/ 3      3.4422
1999/ 3/ 4      1.8849
1999/ 3/ 5      1.9901
1999/ 3/ 6      2.0212
1999/ 3/ 7      1.8718
1999/ 3/ 8     29.0329
1999/ 3/ 9     52.9265
1999/ 3/10      3.3388
1999/ 3/11      1.9839
1999/ 3/12      1.8246
1999/ 3/13      1.9139
1999/ 3/14     35.8844
1999/ 3/15     46.9067
1999/ 3/16      3.0911
1999/ 3/17      2.2629
1999/ 3/18      2.7299
1999/ 3/19      2.6066
1999/ 3/20      1.9093
1999/ 3/21     46.8054
1999/ 3/22      5.5851
1999/ 3/23     19.7229
1999/ 3/24     19.4873
1999/ 3/25     57.0590
1999/ 3/26      3.0550
1999/ 3/27      2.2488
1999/ 3/28      1.9911
1999/ 3/29      1.9344
1999/ 3/30      2.4269
1999/ 3/31      9.1476
1999/ 4/ 1      2.2920
1999/ 4/ 2      1.3562
1999/ 4/ 3      1.4525
1999/ 4/ 4      1.2877
1999/ 4/ 5     40.1046
1999/ 4/ 6     55.6867
1999/ 4/ 7      2.4707
1999/ 4/ 8     50.9002
1999/ 4/ 9      3.4832
1999/ 4/10      2.5298
1999/ 4/11     80.3495
1999/ 4/12      3.9980
1999/ 4/13      2.1512
1999/ 4/14      1.7514
1999/ 4/15      1.5973
1999/ 4/16      1.5266
1999/ 4/17      1.4220
1999/ 4/18      1.3724
1999/ 4/19      1.4047
1999/ 4/20      1.4546
1999/ 4/21      1.4342
1999/ 4/22      1.3716
1999/ 4/23      1.3636
1999/ 4/24      1.5602
1999/ 4/25      1.7687
1999/ 4/26      1.7992
1999/ 4/27      1.6139
1999/ 4/28      1.5659
1999/ 4/29      1.4750
1999/ 4/30      1.5060
1999/ 5/ 1      1.7382
1999/ 5/ 2      2.3046
1999/ 5/ 3      2.1252
1999/ 5/ 4      1.3788
1999/ 5/ 5      1.3550
1999/ 5/ 6      1.3593
1999/ 5/ 7      1.2713
1999/ 5/ 8      1.2821
1999/ 5/ 9      1.2994
1999/ 5/10      1.3763
1999/ 5/11      1.2953
1999/ 5/12      1.3115
1999/ 5/13      1.3325
1999/ 5/14      1.3290
1999/ 5/15      1.3269
1999/ 5/16      1.2989
1999/ 5/17      1.3094
1999/ 5/18      1.3173
1999/ 5/19      1.4172
1999/ 5/20      1.3515
1999/ 5/21      1.2671
1999/ 5/22      1.1715
1999/ 5/23      1.2759
1999/ 5/24      1.2829
1999/ 5/25      1.2724
1999/ 5/26      1.2544
1999/ 5/27      1.2644
1999/ 5/28      1.2435
1999/ 5/29      1.2836
1999/ 5/30      1.2519
1999/ 5/31      1.2455
1999/ 6/ 1      1.2851
1999/ 6/ 2      1.3162
1999/ 6/ 3     27.6166
1999/ 6/ 4      1.8518
1999/ 6/ 5      1.1802
1999/ 6/ 6      1.1441
1999/ 6/ 7      1.1389
1999/ 6/ 8      1.1447
1999/ 6/ 9      1.1329
1999/ 6/10      1.0701
1999/ 6/11      1.0293
1999/ 6/12      1.1076
1999/ 6/13      1.0583
1999/ 6/14      1.0221
1999/ 6/15      1.0749
1999/ 6/16      1.0718
1999/ 6/17      1.0685
1999/ 6/18      1.0605
1999/ 6/19      1.0561
1999/ 6/20      1.0176
1999/ 6/21      0.9879
1999/ 6/22      0.9534
1999/ 6/23      1.0074
1999/ 6/24      1.0118
1999/ 6/25      1.0238
1999/ 6/26      0.9860
1999/ 6/27      0.9761
1999/ 6/28      0.9630
1999/ 6/29      0.9809
1999/ 6/30      0.9694
1999/ 7/ 1      0.9717
1999/ 7/ 2      0.9831
1999/ 7/ 3      0.9974
1999/ 7/ 4      1.0133
1999/ 7/ 5      0.9327
1999/ 7/ 6      0.9421
1999/ 7/ 7      0.9631
1999/ 7/ 8      0.9303
1999/ 7/ 9      0.9312
1999/ 7/10      0.9400
1999/ 7/11      0.9175
1999/ 7/12      0.9093
1999/ 7/13      1.0210
1999/ 7/14      1.0024
1999/ 7/15      1.0252
1999/ 7/16      1.0152
1999/ 7/17      0.9088
1999/ 7/18      0.9241
1999/ 7/19      0.9859
1999/ 7/20      0.9706
1999/ 7/21      0.9241
1999/ 7/22      0.9323
1999/ 7/23      0.9599
1999/ 7/24      0.9712
1999/ 7/25      0.9065
1999/ 7/26      0.8828
1999/ 7/27      0.9156
1999/ 7/28      0.8931
1999/ 7/29      0.8863
1999/ 7/30      0.9148
1999/ 7/31      0.9183
1999/ 8/ 1      0.8774
1999/ 8/ 2      0.8293
1999/ 8/ 3      0.8501
1999/ 8/ 4      0.8886
1999/ 8/ 5      0.9254
1999/ 8/ 6      1.0399
1999/ 8/ 7      0.9303
1999/ 8/ 8      0.9150
1999/ 8/ 9      0.9950
1999/ 8/10      0.9606
1999/ 8/11      1.1349
1999/ 8/12      0.8709
1999/ 8/13      0.8400
1999/ 8/14      0.7995
1999/ 8/15      0.8204
1999/ 8/16      0.8222
1999/ 8/17      0.8206
1999/ 8/18      0.8402
1999/ 8/19      0.8233
1999/ 8/20      0.8160
1999/ 8/21      0.8358
1999/ 8/22      0.8142
1999/ 8/23      0.7890
1999/ 8/24      0.8088
1999/ 8/25      0.8124
1999/ 8/26      1.1254
1999/ 8/27      0.8229
1999/ 8/28      0.7896
1999/ 8/29      0.7946
1999/ 8/30      0.7663
1999/ 8/31      0.7902
1999/ 9/ 1      0.8017
1999/ 9/ 2      0.7945
1999/ 9/ 3      0.7934
1999/ 9/ 4      0.7911
1999/ 9/ 5      0.7924
1999/ 9/ 6      0.7816
1999/ 9/ 7      0.7933
1999/ 9/ 8      0.8710
1999/ 9/ 9     15.6301
1999/ 9/10      1.1426
1999/ 9/11      0.8793
1999/ 9/12      0.8508
1999/ 9/13      0.8231
1999/ 9/14      0.8380
1999/ 9/15      0.9150
1999/ 9/16      0.9157
1999/ 9/17      0.9123
1999/ 9/18      0.9085
1999/ 9/19      0.9049
1999/ 9/20      0.9011
1999/ 9/21      0.9020
1999/ 9/22      1.1855
1999/ 9/23      0.9195
1999/ 9/24      0.8889
1999/ 9/25      0.8869
1999/ 9/26      0.7702
1999/ 9/27      0.7175
1999/ 9/28      0.7610
1999/ 9/29      0.8166
1999/ 9/30      0.8639
1999/10/ 1      0.8584
1999/10/ 2      0.8807
1999/10/ 3      0.8843
1999/10/ 4      0.9215
1999/10/ 5      0.9303
1999/10/ 6      1.0666
1999/10/ 7      0.7885
1999/10/ 8      0.8609
1999/10/ 9      0.8429
1999/10/10      0.9014
1999/10/11      0.8522
1999/10/12      0.8988
1999/10/13      0.9131
1999/10/14      0.9103
1999/10/15      0.7327
1999/10/16      0.7151
1999/10/17      0.8695
1999/10/18      0.9327
1999/10/19      0.9372
1999/10/20      0.9051
1999/10/21      0.9563
1999/10/22      0.9333
1999/10/23      0.9253
1999/10/24      0.9213
1999/10/25      0.9182
1999/10/26      0.9700
1999/10/27     18.6312
1999/10/28     23.0040
1999/10/29      1.2363
1999/10/30      1.0224
1999/10/31      0.9661
1999/11/ 1      0.8180
1999/11/ 2      0.8586
1999/11/ 3      0.9090
1999/11/ 4      1.0224
1999/11/ 5      0.9444
1999/11/ 6      1.0210
1999/11/ 7     52.1894
1999/11/ 8     28.8426
1999/11/ 9      1.5564
1999/11/10      1.2210
1999/11/11      1.1098
1999/11/12      1.0812
1999/11/13      1.0666
1999/11/14      1.2235
