CCOSTAW
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      2.9572
1999/ 1/ 2      3.0140
1999/ 1/ 3      3.4376
1999/ 1/ 4      3.5415
1999/ 1/ 5      3.4553
1999/ 1/ 6      3.3555
1999/ 1/ 7      3.2592
1999/ 1/ 8      2.7482
1999/ 1/ 9      2.9185
1999/ 1/10      2.9981
1999/ 1/11      2.7840
1999/ 1/12      2.5049
1999/ 1/13      2.6704
1999/ 1/14      2.7314
1999/ 1/15      9.9893
1999/ 1/16     25.3772
1999/ 1/17     13.4990
1999/ 1/18    113.7713
1999/ 1/19     80.1427
1999/ 1/20     74.0888
1999/ 1/21     23.7139
1999/ 1/22     17.6043
1999/ 1/23     87.7629
1999/ 1/24     23.4744
1999/ 1/25     15.6428
1999/ 1/26     26.5241
1999/ 1/27     16.9035
1999/ 1/28     13.2028
1999/ 1/29     12.9708
1999/ 1/30     13.3896
1999/ 1/31    105.5809
1999/ 2/ 1     22.6279
1999/ 2/ 2     15.5506
1999/ 2/ 3     13.3660
1999/ 2/ 4     12.1190
1999/ 2/ 5     11.1293
1999/ 2/ 6    164.0182
1999/ 2/ 7    412.5507
1999/ 2/ 8    149.1938
1999/ 2/ 9    181.8884
1999/ 2/10     68.1380
1999/ 2/11     55.4371
1999/ 2/12     49.1534
1999/ 2/13     46.4180
1999/ 2/14     46.1035
1999/ 2/15     35.7995
1999/ 2/16    193.8796
1999/ 2/17    257.8234
1999/ 2/18    112.4674
1999/ 2/19     67.2599
1999/ 2/20    139.3280
1999/ 2/21    107.8180
1999/ 2/22     65.3271
1999/ 2/23     56.3206
1999/ 2/24     49.9253
1999/ 2/25    126.4925
1999/ 2/26     49.3871
1999/ 2/27     41.5714
1999/ 2/28     37.7505
1999/ 3/ 1     30.1038
1999/ 3/ 2     25.6501
1999/ 3/ 3     34.5069
1999/ 3/ 4     22.9967
1999/ 3/ 5     20.7766
1999/ 3/ 6     19.4384
1999/ 3/ 7     16.3729
1999/ 3/ 8     46.9710
1999/ 3/ 9     53.8882
1999/ 3/10     25.0341
1999/ 3/11     17.7876
1999/ 3/12     15.0054
1999/ 3/13     14.2911
1999/ 3/14     49.1214
1999/ 3/15     47.1031
1999/ 3/16     22.9259
1999/ 3/17     17.5879
1999/ 3/18     17.6184
1999/ 3/19     19.8171
1999/ 3/20     13.9810
1999/ 3/21     10.8019
1999/ 3/22      9.9290
1999/ 3/23     14.5995
1999/ 3/24     23.7750
1999/ 3/25     51.6180
1999/ 3/26     16.7236
1999/ 3/27     11.6537
1999/ 3/28      9.5766
1999/ 3/29      8.5380
1999/ 3/30      9.9690
1999/ 3/31     15.8726
1999/ 4/ 1      8.2340
1999/ 4/ 2      6.1791
1999/ 4/ 3      6.0096
1999/ 4/ 4      5.3666
1999/ 4/ 5     57.4830
1999/ 4/ 6     29.7272
1999/ 4/ 7     11.3375
1999/ 4/ 8     31.6294
1999/ 4/ 9     13.9915
1999/ 4/10     13.9277
1999/ 4/11    107.7270
1999/ 4/12     22.4912
1999/ 4/13     13.2244
1999/ 4/14     10.0052
1999/ 4/15      8.4539
1999/ 4/16      7.5545
1999/ 4/17      6.7970
1999/ 4/18      6.1728
1999/ 4/19      5.7102
1999/ 4/20      5.5127
1999/ 4/21      5.2332
1999/ 4/22      4.8341
1999/ 4/23      4.3318
1999/ 4/24      4.8608
1999/ 4/25      5.1752
1999/ 4/26      5.3883
1999/ 4/27      4.9603
1999/ 4/28      4.7297
1999/ 4/29      4.3656
1999/ 4/30      4.3370
1999/ 5/ 1      4.8326
1999/ 5/ 2      6.4321
1999/ 5/ 3      6.3410
1999/ 5/ 4      4.4917
1999/ 5/ 5      4.1611
1999/ 5/ 6      3.9838
1999/ 5/ 7      3.6221
1999/ 5/ 8      3.6113
1999/ 5/ 9      3.7000
1999/ 5/10      4.0538
1999/ 5/11      3.8078
1999/ 5/12      3.8288
1999/ 5/13      3.9135
1999/ 5/14      3.9176
1999/ 5/15      3.9606
1999/ 5/16      3.9152
1999/ 5/17      3.9204
1999/ 5/18      4.0092
1999/ 5/19      4.3794
1999/ 5/20      4.1803
1999/ 5/21      3.8795
1999/ 5/22      3.4961
1999/ 5/23      3.6613
1999/ 5/24      3.8438
1999/ 5/25      3.8071
1999/ 5/26      3.7466
1999/ 5/27      3.7310
1999/ 5/28      3.6428
1999/ 5/29      3.7070
1999/ 5/30      3.6016
1999/ 5/31      3.5163
1999/ 6/ 1      3.6575
1999/ 6/ 2      3.8617
1999/ 6/ 3      4.1646
1999/ 6/ 4      3.4663
1999/ 6/ 5      3.1500
1999/ 6/ 6      2.9880
1999/ 6/ 7      2.9286
1999/ 6/ 8      2.9379
1999/ 6/ 9      2.9016
1999/ 6/10      2.7443
1999/ 6/11      2.5810
1999/ 6/12      2.6494
1999/ 6/13      2.6563
1999/ 6/14      2.5274
1999/ 6/15      2.6033
1999/ 6/16      2.6490
1999/ 6/17      2.5759
1999/ 6/18      2.6003
1999/ 6/19      2.5270
1999/ 6/20      2.4900
1999/ 6/21      2.3471
1999/ 6/22      2.2492
1999/ 6/23      2.3145
1999/ 6/24      2.3216
