EBAYC
RCHRES3
FLOW

Date          DSN 1001
1999/ 1/ 1      2.6539
1999/ 1/ 2      1.5829
1999/ 1/ 3      1.4534
1999/ 1/ 4      1.5945
1999/ 1/ 5      1.6347
1999/ 1/ 6      1.6381
1999/ 1/ 7      1.6284
1999/ 1/ 8      1.2985
1999/ 1/ 9      1.2998
1999/ 1/10      1.4880
1999/ 1/11      1.4267
1999/ 1/12      1.1976
1999/ 1/13      1.2763
1999/ 1/14      1.4619
1999/ 1/15      1.7794
1999/ 1/16     76.2446
1999/ 1/17     40.6755
1999/ 1/18     59.5549
1999/ 1/19    209.6513
1999/ 1/20    426.8654
1999/ 1/21    109.5725
1999/ 1/22     55.6963
1999/ 1/23    212.9227
1999/ 1/24     58.3597
1999/ 1/25     25.7107
1999/ 1/26     26.7672
1999/ 1/27     26.7225
1999/ 1/28     17.9921
1999/ 1/29     10.3575
1999/ 1/30      8.0621
1999/ 1/31      6.8964
1999/ 2/ 1     67.7972
1999/ 2/ 2     56.6986
1999/ 2/ 3     24.6870
1999/ 2/ 4     12.3013
1999/ 2/ 5      7.4505
1999/ 2/ 6      6.4686
1999/ 2/ 7      6.4417
1999/ 2/ 8    301.4168
1999/ 2/ 9    801.2043
1999/ 2/10     86.7344
1999/ 2/11     48.5648
1999/ 2/12     26.7987
1999/ 2/13     17.1137
1999/ 2/14     13.4651
1999/ 2/15     11.3254
1999/ 2/16     17.5243
1999/ 2/17    806.8125
1999/ 2/18    121.1773
1999/ 2/19     64.5026
1999/ 2/20     43.7232
1999/ 2/21     25.8916
1999/ 2/22    312.9024
1999/ 2/23     88.9157
1999/ 2/24     44.3030
1999/ 2/25     57.4850
1999/ 2/26     38.2020
1999/ 2/27     25.9871
1999/ 2/28     18.7481
1999/ 3/ 1     14.8702
1999/ 3/ 2     11.8229
1999/ 3/ 3     31.2254
1999/ 3/ 4     29.6071
1999/ 3/ 5     17.2756
1999/ 3/ 6     12.5464
1999/ 3/ 7      9.9919
1999/ 3/ 8     10.0264
1999/ 3/ 9    259.5565
1999/ 3/10     81.4603
1999/ 3/11     37.0256
1999/ 3/12     19.1625
1999/ 3/13     12.4437
1999/ 3/14     11.2271
1999/ 3/15    132.3255
1999/ 3/16     71.2734
1999/ 3/17     33.1129
1999/ 3/18     18.9097
1999/ 3/19     13.4192
1999/ 3/20      9.8822
1999/ 3/21      7.4562
1999/ 3/22     15.7227
1999/ 3/23     89.4043
1999/ 3/24     40.6388
1999/ 3/25    147.6877
1999/ 3/26     49.2242
1999/ 3/27     23.2082
1999/ 3/28     12.5858
1999/ 3/29      8.2773
1999/ 3/30      6.6782
1999/ 3/31      6.5685
1999/ 4/ 1      5.4353
1999/ 4/ 2      4.2481
1999/ 4/ 3      3.7858
1999/ 4/ 4      3.4714
1999/ 4/ 5      4.8336
1999/ 4/ 6    187.7851
1999/ 4/ 7     45.0882
1999/ 4/ 8     20.7484
1999/ 4/ 9     23.2543
1999/ 4/10     19.6662
1999/ 4/11     92.0621
1999/ 4/12     46.1005
1999/ 4/13     20.2618
1999/ 4/14      9.3208
1999/ 4/15      4.6683
1999/ 4/16      3.0546
1999/ 4/17      2.2871
1999/ 4/18      1.8221
1999/ 4/19      1.7585
1999/ 4/20      1.8325
1999/ 4/21      1.7840
1999/ 4/22      1.6032
1999/ 4/23      1.4895
1999/ 4/24      2.0048
1999/ 4/25      2.9668
1999/ 4/26      3.5162
1999/ 4/27      3.1400
1999/ 4/28      2.7609
1999/ 4/29      2.4013
1999/ 4/30      2.4533
1999/ 5/ 1      3.4426
1999/ 5/ 2      4.8948
1999/ 5/ 3      6.1578
1999/ 5/ 4      4.7523
1999/ 5/ 5      3.4651
1999/ 5/ 6      2.9445
1999/ 5/ 7      2.6261
1999/ 5/ 8      2.4504
1999/ 5/ 9      2.4915
1999/ 5/10      2.8078
1999/ 5/11      2.8368
1999/ 5/12      3.0616
1999/ 5/13      3.0592
1999/ 5/14      3.0033
1999/ 5/15      3.0218
1999/ 5/16      3.0211
1999/ 5/17      3.1105
1999/ 5/18      3.3364
1999/ 5/19      4.0536
1999/ 5/20      4.5387
1999/ 5/21      3.8620
1999/ 5/22      3.1143
1999/ 5/23      3.1220
1999/ 5/24      3.4796
1999/ 5/25      3.5925
1999/ 5/26      3.6394
1999/ 5/27      3.9313
1999/ 5/28      4.2439
1999/ 5/29      4.5504
1999/ 5/30      4.0899
1999/ 5/31      3.4053
