EBAYN
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      1.9447
1999/ 1/ 2      1.1723
1999/ 1/ 3      1.2391
1999/ 1/ 4      1.2341
1999/ 1/ 5      1.2293
1999/ 1/ 6      1.2246
1999/ 1/ 7      1.2201
1999/ 1/ 8      1.1547
1999/ 1/ 9      1.2176
1999/ 1/10      1.2134
1999/ 1/11      1.1856
1999/ 1/12      1.1604
1999/ 1/13      1.2088
1999/ 1/14      1.2050
1999/ 1/15     15.6603
1999/ 1/16      4.1875
1999/ 1/17      8.0554
1999/ 1/18     71.2758
1999/ 1/19     48.7880
1999/ 1/20     28.8675
1999/ 1/21      2.1325
1999/ 1/22     13.4607
1999/ 1/23     34.3251
1999/ 1/24      2.4414
1999/ 1/25      2.2052
1999/ 1/26      9.4498
1999/ 1/27      2.1705
1999/ 1/28      2.1756
1999/ 1/29      2.3215
1999/ 1/30      2.4609
1999/ 1/31     53.2651
1999/ 2/ 1      2.7031
1999/ 2/ 2      2.4120
1999/ 2/ 3      2.2822
1999/ 2/ 4      2.2079
1999/ 2/ 5      2.1528
1999/ 2/ 6     96.4534
1999/ 2/ 7    113.4499
1999/ 2/ 8     47.0183
1999/ 2/ 9     41.6947
1999/ 2/10      8.2519
1999/ 2/11      6.5164
1999/ 2/12      6.1582
1999/ 2/13     10.3065
1999/ 2/14      5.8177
1999/ 2/15      5.1207
1999/ 2/16    102.7231
1999/ 2/17     50.0080
1999/ 2/18     25.0080
1999/ 2/19      9.1862
1999/ 2/20     54.4648
1999/ 2/21     16.3161
1999/ 2/22      9.4578
1999/ 2/23      8.5653
1999/ 2/24      8.1365
1999/ 2/25     45.3685
1999/ 2/26      8.2542
1999/ 2/27      7.4784
1999/ 2/28      7.3234
1999/ 3/ 1      5.8371
1999/ 3/ 2      5.7135
1999/ 3/ 3     10.8985
1999/ 3/ 4      5.0782
1999/ 3/ 5      5.1048
1999/ 3/ 6      5.1134
1999/ 3/ 7      4.1666
1999/ 3/ 8     29.9905
1999/ 3/ 9     13.8860
1999/ 3/10      4.9552
1999/ 3/11      4.0639
1999/ 3/12      3.9289
1999/ 3/13      3.9755
1999/ 3/14     31.3010
1999/ 3/15     10.6429
1999/ 3/16      4.5501
1999/ 3/17      3.9274
1999/ 3/18      4.4266
1999/ 3/19      5.5389
1999/ 3/20      3.2288
1999/ 3/21      3.0898
1999/ 3/22      3.0917
1999/ 3/23      4.9390
1999/ 3/24     24.2044
1999/ 3/25     12.6116
1999/ 3/26      3.4170
1999/ 3/27      3.0106
1999/ 3/28      2.8475
1999/ 3/29      2.7462
1999/ 3/30      5.5332
1999/ 3/31      4.8191
1999/ 4/ 1      2.5211
1999/ 4/ 2      2.4366
1999/ 4/ 3      2.6075
1999/ 4/ 4      2.3003
1999/ 4/ 5     36.7797
1999/ 4/ 6      9.0697
1999/ 4/ 7      3.4602
1999/ 4/ 8     19.5940
1999/ 4/ 9      2.7087
1999/ 4/10      5.2584
1999/ 4/11     51.8166
1999/ 4/12      3.4956
1999/ 4/13      2.9901
1999/ 4/14      2.4943
1999/ 4/15      2.3491
1999/ 4/16      2.3758
1999/ 4/17      2.1870
1999/ 4/18      2.1389
1999/ 4/19      2.2177
1999/ 4/20      2.1446
1999/ 4/21      2.0681
1999/ 4/22      2.0824
1999/ 4/23      2.1243
1999/ 4/24      2.3017
1999/ 4/25      2.6600
1999/ 4/26      2.4456
1999/ 4/27      2.2223
1999/ 4/28      2.2464
1999/ 4/29      2.2720
1999/ 4/30      2.4448
1999/ 5/ 1      2.8390
1999/ 5/ 2      3.0930
1999/ 5/ 3      2.8955
1999/ 5/ 4      2.2174
1999/ 5/ 5      2.1546
1999/ 5/ 6      2.2485
1999/ 5/ 7      2.1650
1999/ 5/ 8      2.1942
1999/ 5/ 9      2.2199
1999/ 5/10      2.3576
1999/ 5/11      2.2559
1999/ 5/12      2.6307
1999/ 5/13      2.2941
1999/ 5/14      2.3113
1999/ 5/15      2.3276
1999/ 5/16      2.3444
1999/ 5/17      2.4802
1999/ 5/18      2.3830
1999/ 5/19      2.8787
1999/ 5/20      2.8717
1999/ 5/21      2.3460
1999/ 5/22      2.3652
1999/ 5/23      2.5080
1999/ 5/24      2.6441
1999/ 5/25      2.6381
1999/ 5/26      2.7604
1999/ 5/27      3.1360
1999/ 5/28      3.2485
1999/ 5/29      3.3411
1999/ 5/30      2.4610
1999/ 5/31      2.3401
1999/ 6/ 1      2.9565
1999/ 6/ 2      2.4447
1999/ 6/ 3      2.6895
1999/ 6/ 4      2.4555
1999/ 6/ 5      2.4091
1999/ 6/ 6      2.1920
1999/ 6/ 7      2.1974
1999/ 6/ 8      2.2017
1999/ 6/ 9      2.2035
1999/ 6/10      2.3008
1999/ 6/11      2.3211
1999/ 6/12      2.2031
1999/ 6/13      2.1990
1999/ 6/14      2.6540
1999/ 6/15      2.5284
1999/ 6/16      2.4067
1999/ 6/17      2.2733
1999/ 6/18      2.2901
1999/ 6/19      2.2842
1999/ 6/20      2.1638
1999/ 6/21      2.1753
1999/ 6/22      2.1492
1999/ 6/23      2.1629
1999/ 6/24      2.3827
1999/ 6/25      2.2550
1999/ 6/26      2.1266
1999/ 6/27      2.1080
1999/ 6/28      2.1106
1999/ 6/29      2.1119
1999/ 6/30      2.1124
1999/ 7/ 1      2.1293
1999/ 7/ 2      2.1462
1999/ 7/ 3      2.1407
1999/ 7/ 4      2.0994
1999/ 7/ 5      2.0743
1999/ 7/ 6      2.4173
1999/ 7/ 7      2.0579
1999/ 7/ 8      2.0475
1999/ 7/ 9      2.1591
1999/ 7/10      2.1506
1999/ 7/11      2.0295
1999/ 7/12      2.0310
1999/ 7/13      1.9791
1999/ 7/14      2.0300
1999/ 7/15      2.1216
1999/ 7/16      2.4990
1999/ 7/17      2.1820
1999/ 7/18      2.0536
1999/ 7/19      2.2636
1999/ 7/20      2.0609
1999/ 7/21      2.0096
1999/ 7/22      2.0828
1999/ 7/23      2.1709
1999/ 7/24      2.1535
