NNAPA
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1     25.6410
1999/ 1/ 2     54.0867
1999/ 1/ 3     70.2923
1999/ 1/ 4     78.5225
1999/ 1/ 5     78.6121
1999/ 1/ 6     74.8864
1999/ 1/ 7     69.5629
1999/ 1/ 8     60.3951
1999/ 1/ 9     53.8675
1999/ 1/10     50.4923
1999/ 1/11     45.5791
1999/ 1/12     39.5043
1999/ 1/13     35.7716
1999/ 1/14     33.6721
1999/ 1/15     31.1623
1999/ 1/16     28.6860
1999/ 1/17     30.8072
1999/ 1/18     32.0665
1999/ 1/19     32.1785
1999/ 1/20     62.5943
1999/ 1/21     95.6940
1999/ 1/22     79.8809
1999/ 1/23     68.5450
1999/ 1/24     72.1106
1999/ 1/25     69.9969
1999/ 1/26     66.7816
1999/ 1/27     62.5282
1999/ 1/28     51.4496
1999/ 1/29     45.3550
1999/ 1/30     42.8143
1999/ 1/31     90.9338
1999/ 2/ 1     82.7812
1999/ 2/ 2     66.6455
1999/ 2/ 3     54.3208
1999/ 2/ 4     45.2673
1999/ 2/ 5     38.5194
1999/ 2/ 6     41.0888
1999/ 2/ 7   9021.8640
1999/ 2/ 8   1692.6870
1999/ 2/ 9   6137.9770
1999/ 2/10   2622.4130
1999/ 2/11    854.4788
1999/ 2/12    546.9905
1999/ 2/13    385.0696
1999/ 2/14    335.5000
1999/ 2/15    256.4950
1999/ 2/16    289.9006
1999/ 2/17    580.8829
1999/ 2/18   2710.2040
1999/ 2/19    719.5168
1999/ 2/20    621.6078
1999/ 2/21   2202.0280
1999/ 2/22   1043.2750
1999/ 2/23    503.2423
1999/ 2/24    378.5510
1999/ 2/25   2465.9390
1999/ 2/26    634.4849
1999/ 2/27    402.8198
1999/ 2/28    327.2529
1999/ 3/ 1    434.2185
1999/ 3/ 2    413.3489
1999/ 3/ 3    276.8647
1999/ 3/ 4    192.6234
1999/ 3/ 5    155.6425
1999/ 3/ 6    125.1533
1999/ 3/ 7    106.0042
1999/ 3/ 8     96.4110
1999/ 3/ 9   1164.1760
1999/ 3/10    361.0956
1999/ 3/11    183.6252
1999/ 3/12    134.5826
1999/ 3/13    112.1221
1999/ 3/14    104.9736
1999/ 3/15    118.5714
1999/ 3/16    125.6736
1999/ 3/17     99.5841
1999/ 3/18     89.4796
1999/ 3/19     78.7575
1999/ 3/20     78.0557
1999/ 3/21     86.6052
1999/ 3/22     76.0743
1999/ 3/23     66.1332
1999/ 3/24     56.5347
1999/ 3/25   2597.3520
1999/ 3/26    399.3614
1999/ 3/27    192.8180
1999/ 3/28    138.1234
1999/ 3/29    109.7183
1999/ 3/30     93.8663
1999/ 3/31    103.1137
1999/ 4/ 1    123.5812
1999/ 4/ 2     93.5790
1999/ 4/ 3     75.5654
1999/ 4/ 4     59.6646
1999/ 4/ 5     53.1870
1999/ 4/ 6     73.1945
1999/ 4/ 7     74.1742
1999/ 4/ 8    355.6438
1999/ 4/ 9    262.8681
1999/ 4/10    223.0336
1999/ 4/11   1989.2590
1999/ 4/12    778.9480
1999/ 4/13    401.6528
1999/ 4/14    242.9814
1999/ 4/15    162.2667
1999/ 4/16    123.5793
1999/ 4/17     97.0799
1999/ 4/18     82.2130
1999/ 4/19     70.6510
1999/ 4/20     62.5061
1999/ 4/21     56.0565
1999/ 4/22     50.7745
1999/ 4/23     45.8143
1999/ 4/24     45.4055
1999/ 4/25     47.1360
1999/ 4/26     46.5336
1999/ 4/27     43.3206
1999/ 4/28     39.9673
1999/ 4/29     37.2551
1999/ 4/30     36.2226
1999/ 5/ 1     37.4541
1999/ 5/ 2     41.1732
1999/ 5/ 3     40.1623
1999/ 5/ 4     31.0698
1999/ 5/ 5     23.3325
1999/ 5/ 6     20.3776
1999/ 5/ 7     19.3142
1999/ 5/ 8     19.9458
1999/ 5/ 9     21.4737
1999/ 5/10     23.7470
1999/ 5/11     24.5742
1999/ 5/12     25.3390
1999/ 5/13     26.4404
1999/ 5/14     26.7675
1999/ 5/15     26.7618
1999/ 5/16     26.6046
1999/ 5/17     26.3686
1999/ 5/18     26.5378
1999/ 5/19     27.5722
1999/ 5/20     27.2200
1999/ 5/21     25.5389
1999/ 5/22     23.4981
1999/ 5/23     23.5252
1999/ 5/24     24.1845
1999/ 5/25     23.9565
1999/ 5/26     23.5357
1999/ 5/27     23.1551
1999/ 5/28     22.6984
1999/ 5/29     22.6768
1999/ 5/30     22.1835
1999/ 5/31     21.2017
1999/ 6/ 1     21.1546
1999/ 6/ 2     21.3801
1999/ 6/ 3     29.0486
1999/ 6/ 4     26.2574
1999/ 6/ 5     22.2121
1999/ 6/ 6     19.5860
1999/ 6/ 7     18.2145
1999/ 6/ 8     17.6781
1999/ 6/ 9     17.3327
1999/ 6/10     16.8497
1999/ 6/11     16.1774
1999/ 6/12     16.0215
1999/ 6/13     16.1162
1999/ 6/14     15.6713
1999/ 6/15     15.5175
1999/ 6/16     15.6453
1999/ 6/17     15.1455
1999/ 6/18     15.0743
1999/ 6/19     14.4605
1999/ 6/20     14.0677
1999/ 6/21     13.2839
