PENINSUL
R2
FLOW
Simulated flow (cfs)
Date          DSN 1001
1999/ 1/ 1      2.5974
1999/ 1/ 2      1.7815
1999/ 1/ 3      2.1257
1999/ 1/ 4      2.1266
1999/ 1/ 5      2.0763
1999/ 1/ 6      2.0280
1999/ 1/ 7      1.9821
1999/ 1/ 8      1.5891
1999/ 1/ 9      1.8565
1999/ 1/10      1.8637
1999/ 1/11      1.6962
1999/ 1/12      1.5187
1999/ 1/13      1.7260
1999/ 1/14      1.7369
1999/ 1/15      4.9569
1999/ 1/16     20.6508
1999/ 1/17      2.4484
1999/ 1/18    127.3399
1999/ 1/19     74.0058
1999/ 1/20    125.4363
1999/ 1/21      5.3865
1999/ 1/22      2.5362
1999/ 1/23     71.9841
1999/ 1/24      4.1192
1999/ 1/25      2.0445
1999/ 1/26     30.0415
1999/ 1/27      3.3427
1999/ 1/28      1.9328
1999/ 1/29      2.1138
1999/ 1/30      2.9081
1999/ 1/31     38.7786
1999/ 2/ 1      2.4675
1999/ 2/ 2      1.7644
1999/ 2/ 3      1.6916
1999/ 2/ 4      1.6361
1999/ 2/ 5      1.5852
1999/ 2/ 6     32.2760
1999/ 2/ 7    129.3418
1999/ 2/ 8     21.7527
1999/ 2/ 9    153.9677
1999/ 2/10      8.1916
1999/ 2/11      4.7800
1999/ 2/12      4.2187
1999/ 2/13      8.9746
1999/ 2/14     15.5326
1999/ 2/15      4.0031
1999/ 2/16     37.5888
1999/ 2/17     56.7528
1999/ 2/18     20.1262
1999/ 2/19      7.3772
1999/ 2/20      4.3644
1999/ 2/21     21.9657
1999/ 2/22     21.8875
1999/ 2/23      5.4484
1999/ 2/24      3.5338
1999/ 2/25     37.1219
1999/ 2/26      4.1024
1999/ 2/27      2.8716
1999/ 2/28      2.9765
1999/ 3/ 1      2.2056
1999/ 3/ 2      2.1087
1999/ 3/ 3      3.3823
1999/ 3/ 4      1.8344
1999/ 3/ 5      1.9391
1999/ 3/ 6      1.9732
1999/ 3/ 7      1.8326
1999/ 3/ 8     28.3883
1999/ 3/ 9     53.4209
1999/ 3/10      3.2778
1999/ 3/11      1.9276
1999/ 3/12      1.7749
1999/ 3/13      1.8666
1999/ 3/14     35.8142
1999/ 3/15     46.8570
1999/ 3/16      3.0454
1999/ 3/17      2.2244
1999/ 3/18      2.6870
1999/ 3/19      2.5693
1999/ 3/20      1.8825
1999/ 3/21     46.7796
1999/ 3/22      5.5591
1999/ 3/23     19.6972
1999/ 3/24     18.8730
1999/ 3/25     57.6062
1999/ 3/26      3.0276
1999/ 3/27      2.2262
1999/ 3/28      1.9733
1999/ 3/29      1.9190
1999/ 3/30      2.4134
1999/ 3/31      9.1362
1999/ 4/ 1      2.2813
1999/ 4/ 2      1.3485
1999/ 4/ 3      1.4453
1999/ 4/ 4      1.2813
1999/ 4/ 5     40.0934
1999/ 4/ 6     55.6709
1999/ 4/ 7      2.4581
1999/ 4/ 8     50.8821
1999/ 4/ 9      3.4699
1999/ 4/10      2.5167
1999/ 4/11     80.3125
1999/ 4/12      3.9721
1999/ 4/13      2.1349
1999/ 4/14      1.7413
1999/ 4/15      1.5892
1999/ 4/16      1.5200
1999/ 4/17      1.4170
1999/ 4/18      1.3679
1999/ 4/19      1.3997
1999/ 4/20      1.4488
1999/ 4/21      1.4283
1999/ 4/22      1.3656
1999/ 4/23      1.3573
1999/ 4/24      1.5614
1999/ 4/25      1.7608
1999/ 4/26      1.7901
1999/ 4/27      1.6054
1999/ 4/28      1.5580
1999/ 4/29      1.4677
1999/ 4/30      1.4985
1999/ 5/ 1      1.7294
1999/ 5/ 2      2.2947
1999/ 5/ 3      2.1169
1999/ 5/ 4      1.3731
1999/ 5/ 5      1.3495
1999/ 5/ 6      1.3540
1999/ 5/ 7      1.2665
1999/ 5/ 8      1.2771
1999/ 5/ 9      1.3063
1999/ 5/10      1.3720
1999/ 5/11      1.2901
1999/ 5/12      1.3062
1999/ 5/13      1.3272
1999/ 5/14      1.3238
1999/ 5/15      1.3217
1999/ 5/16      1.2939
1999/ 5/17      1.3045
1999/ 5/18      1.3122
1999/ 5/19      1.4113
1999/ 5/20      1.3459
1999/ 5/21      1.2621
1999/ 5/22      1.1669
1999/ 5/23      1.2709
1999/ 5/24      1.2777
1999/ 5/25      1.2672
1999/ 5/26      1.2492
1999/ 5/27      1.2592
1999/ 5/28      1.2384
1999/ 5/29      1.2781
1999/ 5/30      1.2467
1999/ 5/31      1.2404
1999/ 6/ 1      1.2799
1999/ 6/ 2      1.3107
1999/ 6/ 3     27.6110
1999/ 6/ 4      1.8468
1999/ 6/ 5      1.1757
1999/ 6/ 6      1.1399
1999/ 6/ 7      1.1347
1999/ 6/ 8      1.1404
1999/ 6/ 9      1.1287
1999/ 6/10      1.0662
1999/ 6/11      1.0257
1999/ 6/12      1.1038
1999/ 6/13      1.0546
1999/ 6/14      1.0186
1999/ 6/15      1.0712
1999/ 6/16      1.0682
1999/ 6/17      1.0650
1999/ 6/18      1.0570
1999/ 6/19      1.0527
1999/ 6/20      1.0143
1999/ 6/21      0.9847
1999/ 6/22      0.9503
1999/ 6/23      1.0042
1999/ 6/24      1.0088
1999/ 6/25      1.0206
1999/ 6/26      0.9830
1999/ 6/27      0.9732
1999/ 6/28      0.9603
1999/ 6/29      0.9782
1999/ 6/30      0.9667
1999/ 7/ 1      0.9690
1999/ 7/ 2      0.9805
1999/ 7/ 3      0.9948
1999/ 7/ 4      1.0107
1999/ 7/ 5      0.9303
1999/ 7/ 6      0.9397
1999/ 7/ 7      0.9609
1999/ 7/ 8      0.9282
1999/ 7/ 9      0.9291
1999/ 7/10      0.9379
1999/ 7/11      0.9156
1999/ 7/12      0.9074
1999/ 7/13      1.0186
1999/ 7/14      1.0002
1999/ 7/15      1.0230
1999/ 7/16      1.0130
1999/ 7/17      0.9069
1999/ 7/18      0.9224
1999/ 7/19      0.9839
1999/ 7/20      0.9687
1999/ 7/21      0.9223
1999/ 7/22      0.9305
1999/ 7/23      0.9580
1999/ 7/24      0.9693
1999/ 7/25      0.9047
1999/ 7/26      0.8811
1999/ 7/27      0.9139
1999/ 7/28      0.8914
1999/ 7/29      0.8847
1999/ 7/30      0.9131
1999/ 7/31      0.9166
1999/ 8/ 1      0.8757
1999/ 8/ 2      0.8276
1999/ 8/ 3      0.8484
1999/ 8/ 4      0.8868
1999/ 8/ 5      0.9234
1999/ 8/ 6      1.0379
1999/ 8/ 7      0.9285
1999/ 8/ 8      0.9131
1999/ 8/ 9      0.9931
1999/ 8/10      0.9589
1999/ 8/11      1.0501
1999/ 8/12      0.8601
1999/ 8/13      0.8387
1999/ 8/14      0.7983
1999/ 8/15      0.8192
1999/ 8/16      0.8211
1999/ 8/17      0.8196
1999/ 8/18      0.8392
1999/ 8/19      0.8223
1999/ 8/20      0.8151
1999/ 8/21      0.8349
1999/ 8/22      0.8134
1999/ 8/23      0.7882
1999/ 8/24      0.8080
1999/ 8/25      0.8117
1999/ 8/26      1.1245
1999/ 8/27      0.8222
1999/ 8/28      0.7890
1999/ 8/29      0.7939
1999/ 8/30      0.7656
1999/ 8/31      0.7894
1999/ 9/ 1      0.8009
1999/ 9/ 2      0.7937
1999/ 9/ 3      0.7925
1999/ 9/ 4      0.7902
1999/ 9/ 5      0.7915
1999/ 9/ 6      0.7808
1999/ 9/ 7      0.7924
1999/ 9/ 8      0.8700
1999/ 9/ 9     15.6290
1999/ 9/10      1.1416
1999/ 9/11      0.8783
1999/ 9/12      0.8498
1999/ 9/13      0.8221
1999/ 9/14      0.8370
1999/ 9/15      0.9139
1999/ 9/16      0.9146
1999/ 9/17      0.9112
1999/ 9/18      0.9075
1999/ 9/19      0.9038
1999/ 9/20      0.9000
1999/ 9/21      0.9009
1999/ 9/22      1.1843
1999/ 9/23      0.9184
1999/ 9/24      0.8878
1999/ 9/25      0.8858
1999/ 9/26      0.7693
1999/ 9/27      0.7167
1999/ 9/28      0.7600
1999/ 9/29      0.8155
1999/ 9/30      0.8627
1999/10/ 1      0.8573
1999/10/ 2      0.8795
1999/10/ 3      0.8831
1999/10/ 4      0.9203
1999/10/ 5      0.9291
1999/10/ 6      1.0653
1999/10/ 7      0.7875
1999/10/ 8      0.8598
1999/10/ 9      0.8419
1999/10/10      0.9002
1999/10/11      0.8512
1999/10/12      0.8977
1999/10/13      0.9120
1999/10/14      0.9092
1999/10/15      0.7317
1999/10/16      0.7143
1999/10/17      0.8684
1999/10/18      0.9316
1999/10/19      0.9362
1999/10/20      0.9041
1999/10/21      0.9553
1999/10/22      0.9322
1999/10/23      0.9243
1999/10/24      0.9203
1999/10/25      0.9172
1999/10/26      0.9689
1999/10/27     18.6299
1999/10/28     23.0030
1999/10/29      1.2352
1999/10/30      1.0213
1999/10/31      0.9650
1999/11/ 1      0.8170
1999/11/ 2      0.8577
1999/11/ 3      0.9080
1999/11/ 4      1.0215
1999/11/ 5      0.9435
1999/11/ 6      1.0201
1999/11/ 7     52.1885
1999/11/ 8     28.8414
1999/11/ 9      1.5553
1999/11/10      1.2199
1999/11/11      1.1088
1999/11/12      1.0803
1999/11/13      1.0657
1999/11/14      1.2226
