SCLARAVW
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      4.7511
1999/ 1/ 2      5.5022
1999/ 1/ 3      6.5838
1999/ 1/ 4      6.9620
1999/ 1/ 5      6.7271
1999/ 1/ 6      6.4127
1999/ 1/ 7      6.1040
1999/ 1/ 8      4.7877
1999/ 1/ 9      4.9604
1999/ 1/10      5.1970
1999/ 1/11      4.6731
1999/ 1/12      3.9009
1999/ 1/13      4.1607
1999/ 1/14      4.4454
1999/ 1/15     15.6243
1999/ 1/16     29.9008
1999/ 1/17     18.2247
1999/ 1/18    173.1049
1999/ 1/19    211.4142
1999/ 1/20     50.1819
1999/ 1/21     13.7508
1999/ 1/22      7.0435
1999/ 1/23     60.2664
1999/ 1/24     25.4048
1999/ 1/25     72.4217
1999/ 1/26     32.1164
1999/ 1/27     24.3624
1999/ 1/28     12.0806
1999/ 1/29      6.2063
1999/ 1/30      6.0361
1999/ 1/31    101.8495
1999/ 2/ 1     24.6782
1999/ 2/ 2      7.7996
1999/ 2/ 3      4.7166
1999/ 2/ 4      3.9519
1999/ 2/ 5      3.6052
1999/ 2/ 6      4.7222
1999/ 2/ 7    117.1491
1999/ 2/ 8     76.7727
1999/ 2/ 9    368.5501
1999/ 2/10     77.6855
1999/ 2/11     33.7075
1999/ 2/12     19.7464
1999/ 2/13     13.8351
1999/ 2/14     25.7658
1999/ 2/15     18.0798
1999/ 2/16     13.0079
1999/ 2/17     96.9260
1999/ 2/18     32.7617
1999/ 2/19     34.2524
1999/ 2/20     23.9330
1999/ 2/21    123.3786
1999/ 2/22     49.9892
1999/ 2/23     24.0562
1999/ 2/24     14.7176
1999/ 2/25     67.3257
1999/ 2/26     24.1032
1999/ 2/27     13.5087
1999/ 2/28     11.6846
1999/ 3/ 1      8.6621
1999/ 3/ 2      6.8037
1999/ 3/ 3     14.8130
1999/ 3/ 4      7.2053
1999/ 3/ 5      5.8577
1999/ 3/ 6      5.6504
1999/ 3/ 7      4.5734
1999/ 3/ 8      6.2166
1999/ 3/ 9     33.4390
1999/ 3/10     11.7382
1999/ 3/11      5.0378
1999/ 3/12      3.0087
1999/ 3/13      3.0804
1999/ 3/14      4.7805
1999/ 3/15    183.5847
1999/ 3/16     40.2459
1999/ 3/17     12.8806
1999/ 3/18      8.6782
1999/ 3/19      7.3275
1999/ 3/20      4.9671
1999/ 3/21      3.9742
1999/ 3/22      3.2941
1999/ 3/23     34.0928
1999/ 3/24     10.7993
1999/ 3/25     35.8520
1999/ 3/26      9.7898
1999/ 3/27      3.7456
1999/ 3/28      2.4046
1999/ 3/29      2.1611
1999/ 3/30      2.2714
1999/ 3/31     12.8961
1999/ 4/ 1      7.6554
1999/ 4/ 2      1.9191
1999/ 4/ 3      1.4860
1999/ 4/ 4      1.2971
1999/ 4/ 5      2.7041
1999/ 4/ 6     99.9038
1999/ 4/ 7     20.5166
1999/ 4/ 8     33.1778
1999/ 4/ 9     15.7760
1999/ 4/10      7.1630
1999/ 4/11     50.2097
1999/ 4/12     17.4858
1999/ 4/13      4.1309
1999/ 4/14      2.0216
1999/ 4/15      1.8759
1999/ 4/16      1.7368
1999/ 4/17      1.6134
1999/ 4/18      1.5033
1999/ 4/19      1.4182
1999/ 4/20      1.4010
1999/ 4/21      1.3434
1999/ 4/22      1.2352
1999/ 4/23      1.1336
1999/ 4/24      1.2984
1999/ 4/25      1.4178
1999/ 4/26      1.4182
1999/ 4/27      1.2861
1999/ 4/28      1.2259
1999/ 4/29      1.1375
1999/ 4/30      1.1531
1999/ 5/ 1      1.2849
1999/ 5/ 2      1.7674
1999/ 5/ 3      1.9421
1999/ 5/ 4      1.0425
1999/ 5/ 5      1.0532
1999/ 5/ 6      1.0479
1999/ 5/ 7      0.9795
1999/ 5/ 8      0.9987
1999/ 5/ 9      1.0027
1999/ 5/10      1.0813
1999/ 5/11      1.0010
1999/ 5/12      1.0030
1999/ 5/13      1.0015
1999/ 5/14      0.9988
1999/ 5/15      0.9973
1999/ 5/16      0.9945
1999/ 5/17      0.9938
1999/ 5/18      0.9911
1999/ 5/19      1.0890
1999/ 5/20      0.9709
1999/ 5/21      0.9528
1999/ 5/22      0.8702
1999/ 5/23      0.9225
1999/ 5/24      0.9737
1999/ 5/25      0.9692
1999/ 5/26      0.9655
1999/ 5/27      0.9630
1999/ 5/28      0.9597
1999/ 5/29      0.9557
1999/ 5/30      0.9461
1999/ 5/31      0.9408
1999/ 6/ 1      0.9462
1999/ 6/ 2      1.0052
1999/ 6/ 3     42.8858
1999/ 6/ 4      8.7154
1999/ 6/ 5      1.3335
1999/ 6/ 6      0.8971
1999/ 6/ 7      0.9061
1999/ 6/ 8      0.9023
1999/ 6/ 9      0.8979
1999/ 6/10      0.8254
1999/ 6/11      0.7599
1999/ 6/12      0.8290
1999/ 6/13      0.8262
1999/ 6/14      0.7706
1999/ 6/15      0.8221
1999/ 6/16      0.8118
1999/ 6/17      0.8110
1999/ 6/18      0.8013
1999/ 6/19      0.8011
1999/ 6/20      0.7927
1999/ 6/21      0.7280
1999/ 6/22      0.7136
1999/ 6/23      0.7412
1999/ 6/24      0.7243
1999/ 6/25      0.7201
1999/ 6/26      0.7116
1999/ 6/27      0.7056
1999/ 6/28      0.7016
1999/ 6/29      0.7001
1999/ 6/30      0.7112
1999/ 7/ 1      0.7266
1999/ 7/ 2      0.7155
1999/ 7/ 3      0.6900
1999/ 7/ 4      0.6535
1999/ 7/ 5      0.6407
1999/ 7/ 6      0.6362
1999/ 7/ 7      0.6341
1999/ 7/ 8      0.6440
1999/ 7/ 9      0.6437
1999/ 7/10      0.6416
1999/ 7/11      0.6386
1999/ 7/12      0.6381
1999/ 7/13      0.7731
1999/ 7/14      0.7376
1999/ 7/15      0.7128
1999/ 7/16      0.7317
1999/ 7/17      0.6504
1999/ 7/18      0.6540
1999/ 7/19      0.7173
1999/ 7/20      0.7418
1999/ 7/21      0.6809
1999/ 7/22      0.6830
1999/ 7/23      0.7332
1999/ 7/24      0.7347
1999/ 7/25      0.6546
1999/ 7/26      0.6131
1999/ 7/27      0.6332
1999/ 7/28      0.6292
1999/ 7/29      0.6256
1999/ 7/30      0.6553
1999/ 7/31      0.7030
1999/ 8/ 1      0.7026
1999/ 8/ 2      0.6462
1999/ 8/ 3      0.6496
1999/ 8/ 4      0.6986
1999/ 8/ 5      0.6948
1999/ 8/ 6      0.6695
1999/ 8/ 7      0.6855
1999/ 8/ 8      0.6932
1999/ 8/ 9      0.6864
1999/ 8/10      0.6782
1999/ 8/11      0.8198
1999/ 8/12      0.6607
1999/ 8/13      0.6583
1999/ 8/14      0.6345
1999/ 8/15      0.6549
1999/ 8/16      0.6525
1999/ 8/17      0.6504
1999/ 8/18      0.6487
1999/ 8/19      0.6459
1999/ 8/20      0.6442
1999/ 8/21      0.6429
1999/ 8/22      0.6183
