UALAMEDA
RCHRES8
FLOW

Date          DSN 1001
1999/ 1/ 1      9.0673
1999/ 1/ 2     28.7124
1999/ 1/ 3     43.2376
1999/ 1/ 4     54.2770
1999/ 1/ 5     59.1885
1999/ 1/ 6     59.7773
1999/ 1/ 7     58.2798
1999/ 1/ 8     54.8010
1999/ 1/ 9     48.8139
1999/ 1/10     47.4733
1999/ 1/11     46.3738
1999/ 1/12     43.0702
1999/ 1/13     39.4064
1999/ 1/14     38.9643
1999/ 1/15     46.1141
1999/ 1/16    147.6877
1999/ 1/17    135.4590
1999/ 1/18    466.7086
1999/ 1/19    586.4413
1999/ 1/20   1422.8170
1999/ 1/21    659.6766
1999/ 1/22    289.0927
1999/ 1/23    700.4777
1999/ 1/24    440.4871
1999/ 1/25    267.8776
1999/ 1/26    982.5088
1999/ 1/27    600.2998
1999/ 1/28    338.3860
1999/ 1/29    301.5102
1999/ 1/30    295.4067
1999/ 1/31    731.4203
1999/ 2/ 1    454.3660
1999/ 2/ 2    290.2790
1999/ 2/ 3    249.8037
1999/ 2/ 4    218.4505
1999/ 2/ 5    193.9231
1999/ 2/ 6    239.6591
1999/ 2/ 7   1371.6410
1999/ 2/ 8   1296.5320
1999/ 2/ 9   3546.8140
1999/ 2/10   1846.4630
1999/ 2/11    834.6513
1999/ 2/12    667.4742
1999/ 2/13    535.9669
1999/ 2/14    500.5760
1999/ 2/15    413.5779
1999/ 2/16    403.2985
1999/ 2/17    660.9172
1999/ 2/18    668.8759
1999/ 2/19    474.3218
1999/ 2/20    552.5385
1999/ 2/21   1744.5430
1999/ 2/22    767.3202
1999/ 2/23    486.8509
1999/ 2/24    423.8354
1999/ 2/25    857.4275
1999/ 2/26    641.4024
1999/ 2/27    425.4021
1999/ 2/28    371.8033
1999/ 3/ 1    305.3492
1999/ 3/ 2    242.5349
1999/ 3/ 3    231.8141
1999/ 3/ 4    196.5616
1999/ 3/ 5    178.8935
1999/ 3/ 6    165.1694
1999/ 3/ 7    147.4888
1999/ 3/ 8    159.4137
1999/ 3/ 9    475.1544
1999/ 3/10    322.9197
1999/ 3/11    194.8733
1999/ 3/12    151.2310
1999/ 3/13    132.7048
1999/ 3/14    150.4931
1999/ 3/15    285.6730
1999/ 3/16    233.5075
1999/ 3/17    159.9789
1999/ 3/18    146.8806
1999/ 3/19    156.1545
1999/ 3/20    160.9272
1999/ 3/21    125.3050
1999/ 3/22    103.0277
1999/ 3/23     95.6370
1999/ 3/24     89.6014
1999/ 3/25     97.9779
1999/ 3/26    102.5264
1999/ 3/27     84.8840
1999/ 3/28     70.0857
1999/ 3/29     58.8672
1999/ 3/30     52.5886
1999/ 3/31    160.4240
1999/ 4/ 1    165.7603
1999/ 4/ 2    105.5630
1999/ 4/ 3     84.5691
1999/ 4/ 4     70.6407
1999/ 4/ 5    203.5272
1999/ 4/ 6    232.1659
