USANLORZ
RCHRES2
FLOW

Date          DSN 1001
1999/ 1/ 1      4.1717
1999/ 1/ 2      5.1815
1999/ 1/ 3      5.9893
1999/ 1/ 4      6.2641
1999/ 1/ 5      6.1230
1999/ 1/ 6      5.9250
1999/ 1/ 7      5.7271
1999/ 1/ 8      4.8382
1999/ 1/ 9      4.9829
1999/ 1/10      5.1412
1999/ 1/11      4.7812
1999/ 1/12      4.2592
1999/ 1/13      4.4483
1999/ 1/14      4.5701
1999/ 1/15      4.7633
1999/ 1/16     61.8001
1999/ 1/17     12.4029
1999/ 1/18     41.9400
1999/ 1/19    147.9888
1999/ 1/20    267.5009
1999/ 1/21     73.9596
1999/ 1/22     41.4423
1999/ 1/23    213.6208
1999/ 1/24     53.4014
1999/ 1/25     43.7946
1999/ 1/26     64.4182
1999/ 1/27     52.1465
1999/ 1/28     40.3310
1999/ 1/29     40.0189
1999/ 1/30     40.6362
1999/ 1/31     34.3508
1999/ 2/ 1    120.7031
1999/ 2/ 2     43.3717
1999/ 2/ 3     35.8947
1999/ 2/ 4     32.2223
1999/ 2/ 5     28.8781
1999/ 2/ 6     31.3262
1999/ 2/ 7     31.1463
1999/ 2/ 8    466.6592
1999/ 2/ 9   1051.4200
1999/ 2/10    160.5455
1999/ 2/11    111.3681
1999/ 2/12     93.8971
1999/ 2/13     76.8186
1999/ 2/14     72.5620
1999/ 2/15     61.5538
1999/ 2/16     77.7494
1999/ 2/17   1316.8740
1999/ 2/18    165.8035
1999/ 2/19    135.8493
1999/ 2/20    114.6174
1999/ 2/21     91.3758
1999/ 2/22    592.7217
1999/ 2/23    141.0389
1999/ 2/24    109.7189
1999/ 2/25    142.9558
1999/ 2/26    102.8546
1999/ 2/27     84.4721
1999/ 2/28     78.0680
1999/ 3/ 1     56.3825
1999/ 3/ 2     51.8005
1999/ 3/ 3     76.7070
1999/ 3/ 4     50.1389
1999/ 3/ 5     46.3593
1999/ 3/ 6     43.1170
1999/ 3/ 7     34.1976
1999/ 3/ 8     40.6642
1999/ 3/ 9    361.0062
1999/ 3/10     72.1437
1999/ 3/11     47.4620
1999/ 3/12     40.2012
1999/ 3/13     37.0792
1999/ 3/14     43.1468
1999/ 3/15    207.8726
1999/ 3/16     62.1914
1999/ 3/17     44.0705
1999/ 3/18     45.1636
1999/ 3/19     38.6644
1999/ 3/20     30.2009
1999/ 3/21     24.9511
1999/ 3/22     44.5172
1999/ 3/23     85.3913
1999/ 3/24     40.7921
1999/ 3/25    174.8635
1999/ 3/26     48.0825
1999/ 3/27     37.3191
1999/ 3/28     31.0358
1999/ 3/29     26.1386
1999/ 3/30     24.2701
1999/ 3/31     21.6041
1999/ 4/ 1     18.3275
1999/ 4/ 2     14.9420
1999/ 4/ 3     13.3850
1999/ 4/ 4     12.1565
1999/ 4/ 5     15.6594
1999/ 4/ 6    133.5981
1999/ 4/ 7     19.3246
1999/ 4/ 8     18.2045
1999/ 4/ 9     26.2609
1999/ 4/10     23.2162
1999/ 4/11    113.4240
1999/ 4/12     31.9894
1999/ 4/13     23.4204
1999/ 4/14     18.5569
1999/ 4/15     15.5733
1999/ 4/16     13.6500
1999/ 4/17     12.1388
1999/ 4/18     10.9362
1999/ 4/19      9.9962
1999/ 4/20      9.4009
1999/ 4/21      8.7641
1999/ 4/22      7.9742
1999/ 4/23      6.9412
1999/ 4/24      7.4230
1999/ 4/25      7.6644
1999/ 4/26      7.8455
1999/ 4/27      7.1860
1999/ 4/28      6.7114
1999/ 4/29      6.0378
1999/ 4/30      5.7863
1999/ 5/ 1      6.2133
1999/ 5/ 2      7.7382
1999/ 5/ 3      8.0428
1999/ 5/ 4      5.9697
1999/ 5/ 5      5.4037
1999/ 5/ 6      5.1071
1999/ 5/ 7      4.5833
1999/ 5/ 8      4.4412
1999/ 5/ 9      4.4356
1999/ 5/10      4.7593
1999/ 5/11      4.4337
1999/ 5/12      4.3445
1999/ 5/13      4.3615
1999/ 5/14      4.3234
1999/ 5/15      4.3013
1999/ 5/16      4.2025
1999/ 5/17      4.1614
1999/ 5/18      4.1938
1999/ 5/19      4.5385
1999/ 5/20      4.3171
1999/ 5/21      3.9987
1999/ 5/22      3.5687
1999/ 5/23      3.6104
1999/ 5/24      3.8118
1999/ 5/25      3.7816
1999/ 5/26      3.7017
1999/ 5/27      3.6714
1999/ 5/28      3.5773
1999/ 5/29      3.6420
1999/ 5/30      3.5467
1999/ 5/31      3.4520
1999/ 6/ 1      3.5394
1999/ 6/ 2      3.7459
1999/ 6/ 3      4.0710
1999/ 6/ 4      3.4784
1999/ 6/ 5      3.1419
1999/ 6/ 6      2.9330
1999/ 6/ 7      2.8386
1999/ 6/ 8      2.8296
1999/ 6/ 9      2.7792
1999/ 6/10      2.6177
1999/ 6/11      2.4229
1999/ 6/12      2.4509
1999/ 6/13      2.4731
1999/ 6/14      2.3331
1999/ 6/15      2.3807
1999/ 6/16      2.4519
1999/ 6/17      2.3557
1999/ 6/18      2.3936
1999/ 6/19      2.2909
1999/ 6/20      2.2606
1999/ 6/21      2.1035
1999/ 6/22      1.9834
1999/ 6/23      2.0480
1999/ 6/24      2.0574
1999/ 6/25      2.1555
1999/ 6/26      2.1017
1999/ 6/27      1.9952
1999/ 6/28      1.9045
1999/ 6/29      1.8515
1999/ 6/30      1.7994
1999/ 7/ 1      1.8008
1999/ 7/ 2      1.8866
1999/ 7/ 3      1.9413
1999/ 7/ 4      2.0253
1999/ 7/ 5      1.8442
1999/ 7/ 6      1.8322
1999/ 7/ 7      1.8638
1999/ 7/ 8      1.7190
1999/ 7/ 9      1.7091
1999/ 7/10      1.7711
1999/ 7/11      1.6960
1999/ 7/12      1.6368
1999/ 7/13      2.0562
1999/ 7/14      2.0803
1999/ 7/15      2.1679
1999/ 7/16      2.1295
1999/ 7/17      1.9223
1999/ 7/18      1.8184
1999/ 7/19      1.9486
1999/ 7/20      1.9990
1999/ 7/21      1.8860
1999/ 7/22      1.7660
1999/ 7/23      1.8387
1999/ 7/24      1.8706
1999/ 7/25      1.7446
1999/ 7/26      1.6005
1999/ 7/27      1.6165
1999/ 7/28      1.6255
1999/ 7/29      1.5764
1999/ 7/30      1.6118
1999/ 7/31      1.6620
1999/ 8/ 1      1.6254
1999/ 8/ 2      1.5312
1999/ 8/ 3      1.4859
1999/ 8/ 4      1.5841
1999/ 8/ 5      1.7158
1999/ 8/ 6      2.1487
1999/ 8/ 7      1.8507
1999/ 8/ 8      1.6973
1999/ 8/ 9      1.6987
1999/ 8/10      1.7283
1999/ 8/11      2.0970
1999/ 8/12      1.6708
1999/ 8/13      1.4132
1999/ 8/14      1.2811
1999/ 8/15      1.2803
1999/ 8/16      1.2752
1999/ 8/17      1.2365
1999/ 8/18      1.2543
1999/ 8/19      1.2470
1999/ 8/20      1.1904
1999/ 8/21      1.2085
1999/ 8/22      1.1999
1999/ 8/23      1.1413
1999/ 8/24      1.1202
1999/ 8/25      1.1349
1999/ 8/26      1.5960
1999/ 8/27      1.3655
1999/ 8/28      1.1665
1999/ 8/29      1.1635
1999/ 8/30      1.0841
1999/ 8/31      1.1135
1999/ 9/ 1      1.1909
1999/ 9/ 2      1.2061
1999/ 9/ 3      1.1995
1999/ 9/ 4      1.1891
1999/ 9/ 5      1.1467
1999/ 9/ 6      1.0672
1999/ 9/ 7      1.0455
1999/ 9/ 8      1.1438
1999/ 9/ 9      1.2864
1999/ 9/10      1.2293
1999/ 9/11      1.3164
1999/ 9/12      1.3040
1999/ 9/13      1.2576
1999/ 9/14      1.2550
1999/ 9/15      1.3914
1999/ 9/16      1.4223
1999/ 9/17      1.4168
1999/ 9/18      1.4053
1999/ 9/19      1.3918
1999/ 9/20      1.3784
1999/ 9/21      1.3669
1999/ 9/22      1.6363
1999/ 9/23      1.4867
1999/ 9/24      1.3354
1999/ 9/25      1.3029
1999/ 9/26      1.0092
1999/ 9/27      0.8376
1999/ 9/28      0.8767
1999/ 9/29      1.0674
1999/ 9/30      1.1828
1999/10/ 1      1.2695
1999/10/ 2      1.3196
1999/10/ 3      1.3345
1999/10/ 4      1.3844
1999/10/ 5      1.4278
1999/10/ 6      1.5735
1999/10/ 7      1.2694
1999/10/ 8      1.2574
1999/10/ 9      1.2542
1999/10/10      1.3149
1999/10/11      1.2948
1999/10/12      1.3099
1999/10/13      1.3611
1999/10/14      1.3612
