Date	Flow(cfs)
2018/01/01	0.4101
2018/01/02	0.4081
2018/01/03	0.2343
2018/01/04	3.4733
2018/01/05	1.2069
2018/01/06	2.0366
2018/01/07	0.8701
2018/01/08	1.2672
2018/01/09	185.8349
2018/01/10	21.422
2018/01/11	5.633
2018/01/12	2.298
2018/01/13	1.3433
2018/01/14	0.9937
2018/01/15	0.9274
2018/01/16	0.9039
2018/01/17	0.9047
2018/01/18	0.8855
2018/01/19	1.8716
2018/01/20	0.9496
2018/01/21	0.7427
2018/01/22	1.0007
2018/01/23	1.5772
2018/01/24	1.0454
2018/01/25	5.8515
2018/01/26	2.1947
2018/01/27	1.0594
2018/01/28	0.7874
2018/01/29	0.7623
2018/01/30	0.6947
2018/01/31	0.74
2018/02/01	0.7196
2018/02/02	0.707
2018/02/03	0.7083
2018/02/04	0.6932
2018/02/05	0.6701
2018/02/06	0.6228
2018/02/07	0.5484
2018/02/08	0.6037
2018/02/09	0.6012
2018/02/10	0.5743
2018/02/11	0.5329
2018/02/12	0.518
2018/02/13	0.5157
2018/02/14	0.5362
2018/02/15	0.5392
2018/02/16	0.5337
2018/02/17	0.5277
2018/02/18	0.5053
2018/02/19	0.0956
2018/02/20	0.3986
2018/02/21	0.415
2018/02/22	0.4756
2018/02/23	0.4406
2018/02/24	0.5671
2018/02/25	0.4875
2018/02/26	0.6342
2018/02/27	2.077
2018/02/28	0.6849
2018/03/01	4.7805
2018/03/02	42.4522
2018/03/03	37.6274
2018/03/04	34.438
2018/03/05	5.9749
2018/03/06	2.2394
2018/03/07	1.4327
2018/03/08	1.6119
2018/03/09	1.3455
2018/03/10	1.1217
2018/03/11	1.0638
2018/03/12	1.0243
2018/03/13	1.267
2018/03/14	3.2527
2018/03/15	3.3213
2018/03/16	18.3503
2018/03/17	7.7879
2018/03/18	3.7414
2018/03/19	2.1118
2018/03/20	1.6074
2018/03/21	19.5809
2018/03/22	48.4313
2018/03/23	18.0511
2018/03/24	59.9508
2018/03/25	18.2718
2018/03/26	6.29
2018/03/27	3.649
2018/03/28	2.9253
2018/03/29	2.6446
2018/03/30	2.4737
2018/03/31	2.3493
2018/04/01	2.2519
2018/04/02	2.1523
2018/04/03	2.0679
2018/04/04	1.9936
2018/04/05	1.8174
2018/04/06	4.2933
2018/04/07	119.969
2018/04/08	23.6675
2018/04/09	8.2961
2018/04/10	4.5641
2018/04/11	3.8168
2018/04/12	5.4358
2018/04/13	3.7949
2018/04/14	3.2404
2018/04/15	3.0346
2018/04/16	3.3835
2018/04/17	4.5198
2018/04/18	3.2642
2018/04/19	2.8592
2018/04/20	2.6609
2018/04/21	2.5322
2018/04/22	2.412
2018/04/23	2.2835
2018/04/24	2.189
2018/04/25	2.1116
2018/04/26	1.9899
2018/04/27	1.9447
2018/04/28	1.8543
2018/04/29	1.7398
2018/04/30	1.7171
2018/05/01	1.6563
2018/05/02	1.6104
2018/05/03	1.5443
2018/05/04	1.4894
2018/05/05	1.3718
2018/05/06	1.3328
2018/05/07	1.2645
2018/05/08	1.2052
2018/05/09	1.21
2018/05/10	1.1552
2018/05/11	1.1165
2018/05/12	0.9795
2018/05/13	1.0477
2018/05/14	1.0583
2018/05/15	1.0225
2018/05/16	0.9542
2018/05/17	0.9709
2018/05/18	0.8838
2018/05/19	0.8521
2018/05/20	0.8614
2018/05/21	0.8976
2018/05/22	0.8059
2018/05/23	0.8001
2018/05/24	0.7923
2018/05/25	0.6924
2018/05/26	0.7708
2018/05/27	0.7354
2018/05/28	0.6871
2018/05/29	0.5477
2018/05/30	0.3938
2018/05/31	0.5181
2018/06/01	0.6274
2018/06/02	0.571
2018/06/03	0.4634
2018/06/04	0.3335
2018/06/05	0.3861
2018/06/06	0.4829
2018/06/07	0.5018
2018/06/08	0.4424
2018/06/09	0.3888
2018/06/10	0.2599
2018/06/11	0.3238
2018/06/12	0.3865
2018/06/13	0.2327
2018/06/14	0.2496
2018/06/15	0.3964
2018/06/16	0.424
2018/06/17	0.436
2018/06/18	0.3866
2018/06/19	0.299
2018/06/20	0.2512
2018/06/21	0.3162
2018/06/22	0.3078
2018/06/23	0.2013
2018/06/24	0.1735
2018/06/25	0.2303
2018/06/26	0.2533
2018/06/27	0.2262
2018/06/28	0.2507
2018/06/29	0.1914
2018/06/30	0.218
2018/07/01	0.1895
2018/07/02	0.1484
2018/07/03	0.1281
2018/07/04	0.2384
2018/07/05	0.2821
2018/07/06	0.0829
2018/07/07	0.1137
2018/07/08	0.1144
2018/07/09	0.0879
2018/07/10	0.1206
2018/07/11	0.1932
2018/07/12	0.1678
2018/07/13	0.0265
2018/07/14	0.0692
2018/07/15	0.0557
2018/07/16	0.1285
2018/07/17	0.1146
2018/07/18	0.1383
2018/07/19	0.0812
2018/07/20	0.1016
2018/07/21	0.0703
2018/07/22	0.0642
2018/07/23	0.0797
2018/07/24	0.0644
2018/07/25	0.0722
2018/07/26	0.0343
2018/07/27	0.0665
2018/07/28	0.1058
2018/07/29	0.0876
2018/07/30	0.0971
2018/07/31	0.0954
2018/08/01	0.0386
2018/08/02	0.0638
2018/08/03	0.1668
2018/08/04	0.1421
2018/08/05	0.1317
2018/08/06	0.171
2018/08/07	0.1067
2018/08/08	0.0946
2018/08/09	0.098
2018/08/10	0.0691
2018/08/11	0.0214
2018/08/12	0.0822
2018/08/13	0.0806
2018/08/14	0.1123
2018/08/15	0.1624
2018/08/16	0.1714
2018/08/17	0.1161
2018/08/18	0.1198
2018/08/19	0.1254
2018/08/20	0.1738
2018/08/21	0.2198
2018/08/22	0.2409
2018/08/23	0.2469
2018/08/24	0.2464
2018/08/25	0.2587
2018/08/26	0.2404
2018/08/27	0.2288
2018/08/28	0.2253
2018/08/29	0.2234
2018/08/30	0.2552
2018/08/31	0.2477
2018/09/01	0.1988
2018/09/02	0.2089
2018/09/03	0.1569
2018/09/04	0.1651
2018/09/05	0.1544
2018/09/06	0.2063
2018/09/07	0.2187
2018/09/08	0.1451
2018/09/09	0.1998
2018/09/10	0.2141
2018/09/11	0.1505
2018/09/12	0.1137
2018/09/13	0.2089
2018/09/14	0.2551
2018/09/15	0.0736
2018/09/16	0.2258
2018/09/17	0.2492
2018/09/18	0.2444
2018/09/19	0.2451
2018/09/20	0.1895
2018/09/21	0.1948
2018/09/22	0.1973
2018/09/23	0.2277
2018/09/24	0.2484
2018/09/25	0.211
2018/09/26	0.1868
2018/09/27	0.1587
2018/09/28	0.1015
2018/09/29	0.2092
2018/09/30	0.2566
2018/10/01	0.1572
2018/10/02	0.2104
2018/10/03	0.3492
2018/10/04	0.1651
2018/10/05	0.249
2018/10/06	0.1727
2018/10/07	0.055
2018/10/08	0.0064
2018/10/09	0.1661
2018/10/10	0.2107
2018/10/11	0.2299
2018/10/12	0.2042
2018/10/13	0.1323
2018/10/14	0.1885
2018/10/15	0.0688
2018/10/16	0.0999
2018/10/17	0.1751
2018/10/18	0.2186
2018/10/19	0.2252
2018/10/20	0.2186
2018/10/21	0.2139
2018/10/22	0.2233
2018/10/23	0.2396
2018/10/24	0.2452
2018/10/25	0.2088
2018/10/26	0.189
2018/10/27	0.2008
2018/10/28	0.1932
2018/10/29	0.17
2018/10/30	0.1875
2018/10/31	0.2035
2018/11/01	0.1409
2018/11/02	0.1658
2018/11/03	0.2024
2018/11/04	0.1638
2018/11/05	0.2024
2018/11/06	0.2043
2018/11/07	0.1982
2018/11/08	0.1937
2018/11/09	0.0307
2018/11/10	0.092
2018/11/11	0.1298
2018/11/12	0.0231
2018/11/13	0.0944
2018/11/14	0.0704
2018/11/15	0.1422
2018/11/16	0.1926
2018/11/17	0.2083
2018/11/18	0.2352
2018/11/19	0.2379
2018/11/20	0.2289
2018/11/21	0.1853
2018/11/22	5.0256
2018/11/23	5.9096
2018/11/24	16.4391
2018/11/25	2.7374
2018/11/26	0.5468
2018/11/27	0.274
2018/11/28	1.039
2018/11/29	93.6574
2018/11/30	112.427
2018/12/01	11.6893
2018/12/02	10.6772
2018/12/03	3.0634
2018/12/04	0.8443
2018/12/05	2.9595
2018/12/06	1.9493
2018/12/07	0.7898
2018/12/08	0.6276
2018/12/09	0.5674
2018/12/10	0.5426
2018/12/11	0.5228
2018/12/12	0.4961
2018/12/13	0.4675
2018/12/14	0.4136
2018/12/15	0.4674
2018/12/16	0.4134
2018/12/17	13.8797
2018/12/18	11.6563
2018/12/19	11.2067
2018/12/20	2.7257
2018/12/21	1.3467
2018/12/22	1.3315
2018/12/23	2.3014
2018/12/24	0.9521
2018/12/25	17.7637
2018/12/26	5.5222
2018/12/27	1.4684
2018/12/28	0.7022
2018/12/29	0.7269
2018/12/30	0.7532
2018/12/31	0.6584
2019/01/01	0.2461
2019/01/02	0.5698
2019/01/03	0.6249
2019/01/04	0.6241
2019/01/05	0.5371
2019/01/06	1.7937
2019/01/07	90.5522
2019/01/08	13.8215
2019/01/09	6.0261
2019/01/10	42.098
2019/01/11	5.9645
2019/01/12	5.1715
2019/01/13	2.8248
2019/01/14	1.5778
2019/01/15	1.6294
2019/01/16	16.3329
2019/01/17	202.8259
2019/01/18	102.8764
2019/01/19	31.3544
2019/01/20	11.5173
2019/01/21	23.7904
2019/01/22	10.7731
2019/01/23	6.1654
2019/01/24	4.9866
2019/01/25	4.3908
2019/01/26	3.9845
2019/01/27	3.652
2019/01/28	3.5925
2019/01/29	3.4453
2019/01/30	3.3051
2019/01/31	3.6732
2019/02/01	3.3346
2019/02/02	7.7268
2019/02/03	13.7254
2019/02/04	22.6341
2019/02/05	52.745
2019/02/06	14.8409
2019/02/07	8.2983
2019/02/08	6.5018
2019/02/09	12.4284
2019/02/10	39.0145
2019/02/11	17.1182
2019/02/12	8.68
2019/02/13	96.1781
2019/02/14	308.7682
2019/02/15	209.3485
2019/02/16	70.4024
2019/02/17	38.4052
2019/02/18	32.306
2019/02/19	21.3005
2019/02/20	17.6921
2019/02/21	15.7719
2019/02/22	14.4669
2019/02/23	13.9336
2019/02/24	13.3386
2019/02/25	12.619
2019/02/26	16.7548
2019/02/27	92.561
2019/02/28	58.0037
2019/03/01	24.6766
2019/03/02	36.4201
2019/03/03	58.4523
2019/03/04	24.1696
2019/03/05	19.2804
2019/03/06	57.5774
2019/03/07	62.9785
2019/03/08	28.4412
2019/03/09	21.1392
2019/03/10	18.4221
2019/03/11	19.2442
2019/03/12	16.6777
2019/03/13	14.2263
2019/03/14	13.2974
2019/03/15	12.4216
2019/03/16	11.5375
2019/03/17	10.7076
2019/03/18	9.9808
2019/03/19	9.3241
2019/03/20	10.2788
2019/03/21	10.3285
2019/03/22	10.1072
2019/03/23	15.7098
2019/03/24	12.2292
2019/03/25	10.2998
2019/03/26	20.7947
2019/03/27	15.9446
2019/03/28	13.021
2019/03/29	15.4596
2019/03/30	10.9615
2019/03/31	9.3966
2019/04/01	9.2835
2019/04/02	9.2957
2019/04/03	9.1623
2019/04/04	8.0436
2019/04/05	7.7083
2019/04/06	7.9862
2019/04/07	7.9174
2019/04/08	6.103
2019/04/09	5.0467
2019/04/10	4.6847
2019/04/11	4.6769
2019/04/12	4.4792
2019/04/13	4.1907
2019/04/14	3.9604
2019/04/15	4.0223
2019/04/16	4.423
2019/04/17	3.6167
2019/04/18	3.3246
2019/04/19	3.1397
2019/04/20	2.9202
2019/04/21	2.8077
2019/04/22	2.7131
2019/04/23	2.586
2019/04/24	2.4331
2019/04/25	2.3366
2019/04/26	2.2911
2019/04/27	2.2227
2019/04/28	2.1443
2019/04/29	2.0679
2019/04/30	1.9977
2019/05/01	1.9258
2019/05/02	1.8182
2019/05/03	1.77
2019/05/04	1.7438
2019/05/05	1.7069
2019/05/06	1.6482
2019/05/07	1.6045
2019/05/08	1.5378
2019/05/09	1.4844
2019/05/10	1.4286
2019/05/11	1.3197
2019/05/12	1.3245
2019/05/13	1.299
2019/05/14	1.2079
2019/05/15	1.0982
2019/05/16	4.7013
2019/05/17	8.3522
2019/05/18	3.346
2019/05/19	15.9971
2019/05/20	35.3285
2019/05/21	7.2688
2019/05/22	3.7559
2019/05/23	3.1789
2019/05/24	2.8976
2019/05/25	2.7204
2019/05/26	2.2699
2019/05/27	2.6175
2019/05/28	2.4464
2019/05/29	2.2704
2019/05/30	2.1177
2019/05/31	2.0762
2019/06/01	1.9593
2019/06/02	1.8648
2019/06/03	1.8123
2019/06/04	1.7213
2019/06/05	1.5854
2019/06/06	1.4252
2019/06/07	1.4251
2019/06/08	1.4034
2019/06/09	1.3309
2019/06/10	1.1811
2019/06/11	1.1596
2019/06/12	1.0547
2019/06/13	1.0292
2019/06/14	1.1792
2019/06/15	1.2245
2019/06/16	1.2614
2019/06/17	1.1758
2019/06/18	1.1327
2019/06/19	1.0292
2019/06/20	0.9013
2019/06/21	0.9901
2019/06/22	0.921
2019/06/23	0.9337
2019/06/24	0.8005
2019/06/25	0.5875
2019/06/26	0.6851
2019/06/27	0.815
2019/06/28	0.6487
2019/06/29	0.8265
2019/06/30	0.8167
2019/07/01	0.7668
2019/07/02	0.7348
2019/07/03	0.5793
2019/07/04	0.6864
2019/07/05	0.6714
2019/07/06	0.5695
2019/07/07	0.5266
2019/07/08	0.6029
2019/07/09	0.6442
2019/07/10	0.5575
2019/07/11	0.5373
2019/07/12	0.4808
2019/07/13	0.4786
2019/07/14	0.4171
2019/07/15	0.3742
2019/07/16	0.3324
2019/07/17	0.4847
2019/07/18	0.4264
2019/07/19	0.491
2019/07/20	0.5109
2019/07/21	0.4919
2019/07/22	0.3049
2019/07/23	0.332
2019/07/24	0.4524
2019/07/25	0.2909
2019/07/26	0.3073
2019/07/27	0.4507
2019/07/28	0.3583
2019/07/29	0.2181
2019/07/30	0.4148
2019/07/31	0.4784
2019/08/01	0.4249
2019/08/02	0.4042
2019/08/03	0.4154
2019/08/04	0.4063
2019/08/05	0.4049
2019/08/06	0.3169
2019/08/07	0.3927
2019/08/08	0.4052
2019/08/09	0.3074
2019/08/10	0.4072
2019/08/11	0.4635
2019/08/12	0.353
2019/08/13	0.3672
2019/08/14	0.3434
2019/08/15	0.2927
2019/08/16	0.2423
2019/08/17	0.2273
2019/08/18	0.419
2019/08/19	0.4879
2019/08/20	0.4885
2019/08/21	0.4328
2019/08/22	0.3021
2019/08/23	0.2983
2019/08/24	0.3226
2019/08/25	0.2373
2019/08/26	0.2666
2019/08/27	0.2163
2019/08/28	0.1394
2019/08/29	0.2731
2019/08/30	0.4048
2019/08/31	0.4035
2019/09/01	0.3373
2019/09/02	0.2966
2019/09/03	0.3301
2019/09/04	0.3451
2019/09/05	0.2279
2019/09/06	0.3574
2019/09/07	0.4138
2019/09/08	0.4323
2019/09/09	0.3656
2019/09/10	0.3641
2019/09/11	0.4157
2019/09/12	0.3998
2019/09/13	0.3179
2019/09/14	0.2712
2019/09/15	0.3065
2019/09/16	0.2489
2019/09/17	0.7764
2019/09/18	0.424
2019/09/19	0.4053
2019/09/20	0.4162
2019/09/21	0.3696
2019/09/22	0.3659
2019/09/23	0.3586
2019/09/24	0.311
2019/09/25	0.204
2019/09/26	0.1303
2019/09/27	0.2997
2019/09/28	0.3471
2019/09/29	0.2838
2019/09/30	0.2643
2019/10/01	0.4006
2019/10/02	0.3925
2019/10/03	0.3569
2019/10/04	0.3339
2019/10/05	0.3672
2019/10/06	0.2892
2019/10/07	0.1443
2019/10/08	0.287
2019/10/09	0.2302
2019/10/10	0.0662
2019/10/11	0.0973
2019/10/12	0.2674
2019/10/13	0.3362
2019/10/14	0.3728
2019/10/15	0.3877
2019/10/16	0.3689
2019/10/17	0.2429
2019/10/18	0.3177
2019/10/19	0.3828
2019/10/20	0.3901
2019/10/21	0.337
2019/10/22	0.2721
2019/10/23	0.2672
2019/10/24	0.0435
2019/10/25	0.0244
2019/10/26	0.185
2019/10/27	0.1614
2019/10/28	0.0432
2019/10/29	0.2444
2019/10/30	0.2403
2019/10/31	0.1467
2019/11/01	0.2233
2019/11/02	0.2789
2019/11/03	0.3116
2019/11/04	0.3193
2019/11/05	0.341
2019/11/06	0.3548
2019/11/07	0.365
2019/11/08	0.3713
2019/11/09	0.3642
2019/11/10	0.3676
2019/11/11	0.3551
2019/11/12	0.3157
2019/11/13	0.3198
2019/11/14	0.3277
2019/11/15	0.3058
2019/11/16	0.3629
2019/11/17	0.3517
2019/11/18	0.3498
2019/11/19	0.327
2019/11/20	0.2569
2019/11/21	0.3109
2019/11/22	0.3568
2019/11/23	0.3563
2019/11/24	0.3218
2019/11/25	0.3316
2019/11/26	0.2675
2019/11/27	4.2478
2019/11/28	4.5658
2019/11/29	1.0791
2019/11/30	0.3868
2019/12/01	1.4176
2019/12/02	8.6328
2019/12/03	7.2247
2019/12/04	6.263
2019/12/05	5.7691
2019/12/06	1.9521
2019/12/07	4.7052
2019/12/08	32.3951
2019/12/09	20.3235
2019/12/10	4.2435
2019/12/11	4.3366
2019/12/12	2.5656
2019/12/13	3.1626
2019/12/14	1.3984
2019/12/15	0.9004
2019/12/16	0.7335
2019/12/17	0.4153
2019/12/18	0.8526
2019/12/19	5.1427
2019/12/20	3.0945
2019/12/21	1.0663
2019/12/22	0.7984
2019/12/23	5.7199
2019/12/24	4.1041
2019/12/25	3.7003
2019/12/26	3.5415
2019/12/27	3.9406
2019/12/28	1.2357
2019/12/29	0.8548
2019/12/30	26.8472
2019/12/31	6.8112
