Date	Flow(cfs)
2018/01/01	0.3281
2018/01/02	0.3233
2018/01/03	0.1815
2018/01/04	1.0669
2018/01/05	9.0118
2018/01/06	12.0144
2018/01/07	4.6547
2018/01/08	16.2886
2018/01/09	924.6581
2018/01/10	42.4706
2018/01/11	10.1872
2018/01/12	3.9635
2018/01/13	2.3846
2018/01/14	1.8407
2018/01/15	1.6457
2018/01/16	1.553
2018/01/17	1.477
2018/01/18	1.3923
2018/01/19	3.4051
2018/01/20	6.1778
2018/01/21	1.7736
2018/01/22	11.755
2018/01/23	17.247
2018/01/24	6.6428
2018/01/25	32.4349
2018/01/26	36.7557
2018/01/27	7.578
2018/01/28	2.0613
2018/01/29	1.2972
2018/01/30	1.1042
2018/01/31	1.1238
2018/02/01	1.0716
2018/02/02	1.0313
2018/02/03	1.0026
2018/02/04	0.9653
2018/02/05	0.9389
2018/02/06	0.8796
2018/02/07	0.7829
2018/02/08	0.8192
2018/02/09	0.8113
2018/02/10	0.7685
2018/02/11	0.7213
2018/02/12	0.6758
2018/02/13	0.6633
2018/02/14	0.6892
2018/02/15	0.6615
2018/02/16	0.6547
2018/02/17	0.6455
2018/02/18	0.6133
2018/02/19	0.268
2018/02/20	0.5599
2018/02/21	0.5962
2018/02/22	0.5619
2018/02/23	0.4492
2018/02/24	0.545
2018/02/25	0.5489
2018/02/26	2.5078
2018/02/27	5.1553
2018/02/28	3.1597
2018/03/01	43.7549
2018/03/02	195.1986
2018/03/03	179.5017
2018/03/04	32.8262
2018/03/05	6.2336
2018/03/06	2.3202
2018/03/07	1.6134
2018/03/08	9.1689
2018/03/09	3.3892
2018/03/10	1.6754
2018/03/11	1.4197
2018/03/12	1.3708
2018/03/13	6.6593
2018/03/14	41.3759
2018/03/15	14.9197
2018/03/16	179.3203
2018/03/17	19.3671
2018/03/18	9.0441
2018/03/19	4.0272
2018/03/20	2.5396
2018/03/21	157.4477
2018/03/22	324.0312
2018/03/23	25.741
2018/03/24	114.582
2018/03/25	15.2989
2018/03/26	6.8334
2018/03/27	4.7532
2018/03/28	4.164
2018/03/29	3.8205
2018/03/30	3.5505
2018/03/31	3.3492
2018/04/01	3.1775
