Date	Flow(cfs)
2018/01/01	2.3936
2018/01/02	2.3104
2018/01/03	1.4071
2018/01/04	81.4244
2018/01/05	20.7631
2018/01/06	33.0876
2018/01/07	14.7538
2018/01/08	17.955
2018/01/09	647.032
2018/01/10	560.5852
2018/01/11	275.3121
2018/01/12	129.1271
2018/01/13	100.6906
2018/01/14	81.6917
2018/01/15	68.4674
2018/01/16	58.2904
2018/01/17	51.1702
2018/01/18	44.268
2018/01/19	110.0074
2018/01/20	51.1215
2018/01/21	38.0396
2018/01/22	36.1593
2018/01/23	47.2476
2018/01/24	40.4021
2018/01/25	120.3951
2018/01/26	79.9688
2018/01/27	54.3792
2018/01/28	42.5837
2018/01/29	39.8764
2018/01/30	37.5566
2018/01/31	37.1802
2018/02/01	35.7748
2018/02/02	34.5136
2018/02/03	33.8983
2018/02/04	33.5349
2018/02/05	32.826
2018/02/06	30.6028
2018/02/07	29.6865
2018/02/08	29.7029
2018/02/09	28.5038
2018/02/10	26.2826
2018/02/11	24.4449
2018/02/12	24.2237
2018/02/13	24.1169
2018/02/14	22.867
2018/02/15	22.1236
2018/02/16	21.5648
2018/02/17	20.2365
2018/02/18	19.1918
2018/02/19	17.6559
2018/02/20	17.0935
2018/02/21	16.2446
2018/02/22	15.5685
2018/02/23	15.6454
2018/02/24	13.5379
2018/02/25	11.8073
2018/02/26	10.3517
2018/02/27	76.2211
2018/02/28	23.4677
2018/03/01	38.6741
2018/03/02	148.4777
2018/03/03	237.2726
2018/03/04	164.9575
2018/03/05	87.9833
2018/03/06	67.6101
2018/03/07	59.5279
2018/03/08	57.6524
2018/03/09	53.8585
2018/03/10	51.2435
2018/03/11	50.6649
2018/03/12	48.9776
2018/03/13	97.8382
2018/03/14	128.8058
2018/03/15	96.0782
2018/03/16	171.2479
2018/03/17	160.9032
2018/03/18	113.0269
2018/03/19	81.7005
2018/03/20	72.2768
2018/03/21	101.2913
2018/03/22	179.7671
2018/03/23	531.401
2018/03/24	129.9669
2018/03/25	97.0872
