Date	Flow(cfs)
2018/01/01	0.0497
2018/01/02	0.0576
2018/01/03	0.0157
2018/01/04	14.2853
2018/01/05	3.52
2018/01/06	9.6884
2018/01/07	2.6395
2018/01/08	10.1018
2018/01/09	164.0236
2018/01/10	23.777
2018/01/11	12.1572
2018/01/12	8.6863
2018/01/13	6.87
2018/01/14	5.6954
2018/01/15	4.822
2018/01/16	4.1499
2018/01/17	3.6215
2018/01/18	3.1268
2018/01/19	7.9044
2018/01/20	3.3109
2018/01/21	2.115
2018/01/22	6.8038
2018/01/23	6.3893
2018/01/24	2.2099
2018/01/25	12.1537
2018/01/26	6.2133
2018/01/27	2.2072
2018/01/28	1.2856
2018/01/29	1.0688
2018/01/30	0.9258
2018/01/31	0.8404
2018/02/01	0.7503
2018/02/02	0.6727
2018/02/03	0.6085
2018/02/04	0.5556
2018/02/05	0.5049
2018/02/06	0.4537
2018/02/07	0.3752
2018/02/08	0.3698
2018/02/09	0.3596
2018/02/10	0.3266
2018/02/11	0.2649
2018/02/12	0.2123
2018/02/13	0.1852
2018/02/14	0.2166
2018/02/15	0.244
2018/02/16	0.2407
2018/02/17	0.2325
2018/02/18	0.2205
2018/02/19	0.0759
2018/02/20	0.1179
2018/02/21	0.1247
2018/02/22	0.1679
2018/02/23	0.1091
2018/02/24	0.1448
2018/02/25	0.1763
2018/02/26	3.6398
2018/02/27	6.6747
2018/02/28	1.4705
2018/03/01	7.7158
2018/03/02	20.4437
2018/03/03	19.2872
2018/03/04	13.2235
2018/03/05	4.4608
2018/03/06	2.1996
2018/03/07	1.6211
2018/03/08	3.3714
2018/03/09	1.6703
2018/03/10	1.1167
2018/03/11	0.9616
2018/03/12	0.8577
2018/03/13	6.3863
2018/03/14	9.1469
2018/03/15	3.8915
2018/03/16	14.8239
2018/03/17	7.2932
2018/03/18	4.6922
2018/03/19	1.8558
2018/03/20	1.1722
2018/03/21	17.3753
2018/03/22	49.0118
2018/03/23	12.83
2018/03/24	12.3568
2018/03/25	6.562
2018/03/26	5.9369
2018/03/27	3.5425
2018/03/28	2.8992
2018/03/29	2.5224
2018/03/30	2.217
2018/03/31	1.9528
2018/04/01	1.7367
2018/04/02	1.5489
2018/04/03	1.3995
2018/04/04	1.2308
2018/04/05	1.0321
2018/04/06	8.5865
2018/04/07	252.0115
2018/04/08	22.4817
2018/04/09	13.3053
2018/04/10	9.5957
2018/04/11	7.8069
2018/04/12	10.9064
2018/04/13	6.4658
2018/04/14	5.0959
2018/04/15	4.3556
2018/04/16	6.605
2018/04/17	5.848
2018/04/18	3.3814
2018/04/19	2.7751
2018/04/20	2.4587
2018/04/21	2.1898
2018/04/22	1.953
2018/04/23	1.7467
2018/04/24	1.5611
2018/04/25	1.4156
2018/04/26	1.2632
2018/04/27	1.1654
2018/04/28	1.0644
2018/04/29	0.972
2018/04/30	0.9101
2018/05/01	0.837
2018/05/02	0.7826
2018/05/03	0.7307
2018/05/04	0.6891
2018/05/05	0.61
2018/05/06	0.5633
2018/05/07	0.5321
2018/05/08	0.4781
2018/05/09	0.4748
2018/05/10	0.4638
2018/05/11	0.433
2018/05/12	0.3859
2018/05/13	0.3902
2018/05/14	0.3955
2018/05/15	0.3714
2018/05/16	0.3602
2018/05/17	0.3633
2018/05/18	0.3404
2018/05/19	0.3256
2018/05/20	0.3067
2018/05/21	0.3242
2018/05/22	0.2906
2018/05/23	0.2798
2018/05/24	0.2692
2018/05/25	0.2208
2018/05/26	0.2678
2018/05/27	0.2627
2018/05/28	0.2365
2018/05/29	0.1853
2018/05/30	0.1046
2018/05/31	0.1579
2018/06/01	0.2093
2018/06/02	0.1957
2018/06/03	0.1493
2018/06/04	0.075
2018/06/05	0.0962
2018/06/06	0.1488
2018/06/07	0.166
2018/06/08	0.1397
2018/06/09	0.1187
2018/06/10	0.0838
2018/06/11	0.0818
2018/06/12	0.1111
2018/06/13	0.0429
2018/06/14	0.0543
2018/06/15	0.1118
2018/06/16	0.1334
2018/06/17	0.1469
2018/06/18	0.1215
2018/06/19	0.0675
2018/06/20	0.0543
2018/06/21	0.0839
2018/06/22	0.0882
2018/06/23	0.0402
2018/06/24	0.0395
2018/06/25	0.0504
2018/06/26	0.0426
2018/06/27	0.0481
2018/06/28	0.0719
2018/06/29	0.0589
2018/06/30	0.0567
2018/07/01	0.0463
2018/07/02	0.0275
2018/07/03	0.0179
2018/07/04	0.0493
2018/07/05	0.0788
2018/07/06	0.021
2018/07/07	0.0112
2018/07/08	0.005
2018/07/09	0.0093
2018/07/10	0.0111
2018/07/11	0.0392
2018/07/12	0.0272
2018/07/13	0.0061
2018/07/14	0.0097
2018/07/15	0.0109
2018/07/16	0.0115
2018/07/17	0.0115
2018/07/18	0.0081
2018/07/19	0.0047
2018/07/20	0.0077
2018/07/21	0.0035
2018/07/22	0.0057
2018/07/23	0.0097
2018/07/24	0.0028
2018/07/25	0.0008
2018/07/26	0.0002
2018/07/27	0.001
2018/07/28	0.0082
2018/07/29	0.0042
2018/07/30	0.0031
2018/07/31	0.003
2018/08/01	0.0008
2018/08/02	0.0039
2018/08/03	0.0166
2018/08/04	0.0129
2018/08/05	0.0094
2018/08/06	0.0144
2018/08/07	0.0043
2018/08/08	0.0021
2018/08/09	0.0021
2018/08/10	0.0006
2018/08/11	0.0001
2018/08/12	0.0003
