Date	Flow(cfs)
2018/01/01	0.0678
2018/01/02	0.0629
2018/01/03	0.0227
2018/01/04	1.2992
2018/01/05	5.3041
2018/01/06	6.7172
2018/01/07	1.1681
2018/01/08	8.1794
2018/01/09	192.3646
2018/01/10	30.7602
2018/01/11	19.739
2018/01/12	14.7541
2018/01/13	11.9381
2018/01/14	9.9617
2018/01/15	8.4324
2018/01/16	7.191
2018/01/17	6.1413
2018/01/18	5.24
2018/01/19	7.369
2018/01/20	4.4076
2018/01/21	3.3512
2018/01/22	7.6188
2018/01/23	7.4943
2018/01/24	2.9274
2018/01/25	9.0196
2018/01/26	12.4258
2018/01/27	4.3837
2018/01/28	2.7626
2018/01/29	2.1974
2018/01/30	1.8361
2018/01/31	1.5915
2018/02/01	1.3729
2018/02/02	1.1946
2018/02/03	1.0439
2018/02/04	0.9089
2018/02/05	0.7978
2018/02/06	0.6963
2018/02/07	0.5927
2018/02/08	0.5441
2018/02/09	0.4873
2018/02/10	0.4347
2018/02/11	0.3857
2018/02/12	0.3253
2018/02/13	0.2923
2018/02/14	0.2836
2018/02/15	0.269
2018/02/16	0.2502
2018/02/17	0.2329
2018/02/18	0.2099
2018/02/19	0.0826
2018/02/20	1.2706
2018/02/21	0.2818
2018/02/22	0.1743
2018/02/23	0.0995
2018/02/24	0.1473
2018/02/25	0.1549
2018/02/26	1.2171
2018/02/27	3.5409
2018/02/28	1.2099
2018/03/01	12.0355
2018/03/02	47.6628
2018/03/03	38.1146
2018/03/04	15.0777
2018/03/05	7.4643
2018/03/06	5.5463
2018/03/07	4.5382
2018/03/08	6.6569
2018/03/09	5.563
2018/03/10	3.138
2018/03/11	2.5195
2018/03/12	2.1645
2018/03/13	4.8232
2018/03/14	14.3789
2018/03/15	7.2397
2018/03/16	37.3923
2018/03/17	11.0256
2018/03/18	7.9175
2018/03/19	4.5139
2018/03/20	3.4773
2018/03/21	32.4851
2018/03/22	74.6118
2018/03/23	19.3223
2018/03/24	35.5473
2018/03/25	12.6685
2018/03/26	9.562
2018/03/27	7.4868
2018/03/28	6.3259
2018/03/29	5.4216
2018/03/30	4.6678
2018/03/31	4.0334
2018/04/01	3.4946
2018/04/02	3.0332
2018/04/03	2.6404
2018/04/04	2.3004
2018/04/05	1.994
2018/04/06	6.8342
2018/04/07	229.8242
2018/04/08	48.5118
2018/04/09	14.3107
2018/04/10	10.2041
2018/04/11	8.4763
2018/04/12	9.4917
2018/04/13	6.822
2018/04/14	5.3513
2018/04/15	4.5725
2018/04/16	6.0191
2018/04/17	6.1108
2018/04/18	3.205
2018/04/19	2.6518
2018/04/20	2.3048
2018/04/21	2.0165
2018/04/22	1.7714
2018/04/23	1.5548
2018/04/24	1.3794
2018/04/25	1.2246
2018/04/26	1.0849
2018/04/27	0.9751
2018/04/28	0.8778
2018/04/29	0.778
2018/04/30	0.7152
2018/05/01	0.6483
2018/05/02	0.6015
2018/05/03	0.555
2018/05/04	0.5077
2018/05/05	0.4589
2018/05/06	0.4262
2018/05/07	0.3929
2018/05/08	0.3662
2018/05/09	0.354
2018/05/10	0.3289
2018/05/11	0.3097
2018/05/12	0.2742
2018/05/13	0.2823
2018/05/14	0.2727
2018/05/15	0.2569
2018/05/16	0.2436
2018/05/17	0.2379
2018/05/18	0.2196
2018/05/19	0.2066
2018/05/20	0.202
2018/05/21	0.2102
2018/05/22	0.1923
2018/05/23	0.2036
2018/05/24	0.1978
2018/05/25	0.1746
2018/05/26	0.1708
2018/05/27	0.1669
2018/05/28	0.1587
2018/05/29	0.1322
2018/05/30	0.104
2018/05/31	0.1272
2018/06/01	0.1429
