Date	Flow(cfs)
2018/01/01	0.2952
2018/01/02	0.3383
2018/01/03	1.0768
2018/01/04	37.5214
2018/01/05	3.5595
2018/01/06	13.1509
2018/01/07	1.4514
2018/01/08	61.6576
2018/01/09	297.2751
2018/01/10	49.8433
2018/01/11	23.5883
2018/01/12	17.4443
2018/01/13	13.7683
2018/01/14	11.2541
2018/01/15	9.4034
2018/01/16	7.9688
2018/01/17	6.9588
2018/01/18	6.5072
2018/01/19	19.3196
2018/01/20	6.8429
2018/01/21	4.2203
2018/01/22	11.2341
2018/01/23	6.4907
2018/01/24	3.3113
2018/01/25	39.2976
2018/01/26	8.9786
2018/01/27	2.8684
2018/01/28	2.0882
2018/01/29	1.8788
2018/01/30	1.6498
2018/01/31	1.5706
2018/02/01	1.4185
2018/02/02	1.2888
2018/02/03	1.203
2018/02/04	1.1419
2018/02/05	1.0634
2018/02/06	0.9646
2018/02/07	0.727
2018/02/08	0.8522
2018/02/09	0.838
2018/02/10	0.6564
2018/02/11	0.4905
2018/02/12	0.6231
2018/02/13	0.5338
2018/02/14	0.6538
2018/02/15	0.6896
2018/02/16	0.6754
2018/02/17	0.6597
2018/02/18	0.6125
2018/02/19	0.1407
2018/02/20	0.5372
2018/02/21	0.4955
2018/02/22	1.1381
2018/02/23	0.8815
2018/02/24	0.5969
2018/02/25	0.5601
2018/02/26	10.51
2018/02/27	28.89
2018/02/28	2.3318
2018/03/01	20.5111
2018/03/02	29.0881
2018/03/03	28.7639
2018/03/04	20.5433
2018/03/05	3.7231
2018/03/06	2.0777
2018/03/07	1.614
2018/03/08	4.6157
2018/03/09	1.7545
2018/03/10	1.3097
2018/03/11	1.266
2018/03/12	1.1818
2018/03/13	14.025
2018/03/14	16.6011
2018/03/15	6.6001
2018/03/16	16.4684
2018/03/17	12.1636
2018/03/18	5.2002
2018/03/19	1.6748
2018/03/20	2.9141
2018/03/21	14.3026
2018/03/22	44.0788
2018/03/23	9.9011
2018/03/24	25.3616
2018/03/25	7.4365
2018/03/26	3.7575
2018/03/27	2.1999
2018/03/28	2.0181
2018/03/29	1.8858
2018/03/30	1.7681
2018/03/31	1.5952
2018/04/01	1.5595
2018/04/02	1.4912
2018/04/03	1.4507
2018/04/04	1.1252
2018/04/05	0.6553
2018/04/06	20.7043
2018/04/07	234.4237
2018/04/08	26.3676
2018/04/09	15.1646
2018/04/10	10.4965
2018/04/11	8.7783
2018/04/12	23.3021
