Date	Flow(cfs)
2018/01/01	2.9007
2018/01/02	2.7733
2018/01/03	2.5163
2018/01/04	4.8312
2018/01/05	14.2439
2018/01/06	21.0102
2018/01/07	5.7702
2018/01/08	123.0196
2018/01/09	905.0047
2018/01/10	250.1672
2018/01/11	95.5666
2018/01/12	52.4343
2018/01/13	35.9745
2018/01/14	29.7683
2018/01/15	26.6919
2018/01/16	29.5003
2018/01/17	24.2776
2018/01/18	22.7828
2018/01/19	28.7303
2018/01/20	23.2574
2018/01/21	17.6701
2018/01/22	141.0893
2018/01/23	41.1975
2018/01/24	28.1323
2018/01/25	109.6851
2018/01/26	41.1871
2018/01/27	27.3384
2018/01/28	22.1578
2018/01/29	19.1563
2018/01/30	17.5754
2018/01/31	16.8501
2018/02/01	15.6689
2018/02/02	14.7273
2018/02/03	13.8832
2018/02/04	13.1616
2018/02/05	12.6
2018/02/06	11.8716
2018/02/07	11.1789
2018/02/08	10.8846
2018/02/09	10.5326
2018/02/10	10.1284
2018/02/11	9.8438
2018/02/12	9.3128
2018/02/13	8.9528
2018/02/14	9.0245
2018/02/15	8.6227
2018/02/16	8.4289
2018/02/17	8.2508
2018/02/18	7.7228
2018/02/19	6.3953
2018/02/20	7.0933
2018/02/21	7.1991
2018/02/22	6.7669
2018/02/23	6.2545
2018/02/24	6.5898
2018/02/25	6.489
2018/02/26	11.1285
2018/02/27	8.6089
2018/02/28	7.4996
2018/03/01	140.0904
2018/03/02	283.6981
2018/03/03	195.0457
2018/03/04	136.2396
2018/03/05	49.6172
2018/03/06	35.7198
2018/03/07	30.4473
2018/03/08	36.502
2018/03/09	25.8986
2018/03/10	22.8877
2018/03/11	20.6453
2018/03/12	20.1482
2018/03/13	35.8729
2018/03/14	66.6034
2018/03/15	31.6316
2018/03/16	274.4617
2018/03/17	70.367
2018/03/18	67.8435
2018/03/19	37.4545
2018/03/20	32.9099
2018/03/21	228.9623
2018/03/22	1048.8088
2018/03/23	211.1872
2018/03/24	210.3281
2018/03/25	126.141
2018/03/26	93.1338
2018/03/27	79.1416
2018/03/28	69.3046
2018/03/29	61.0718
2018/03/30	54.5632
2018/03/31	49.746
2018/04/01	45.0157
2018/04/02	41.1721
2018/04/03	37.1336
2018/04/04	34.9652
2018/04/05	34.1126
2018/04/06	54.754
2018/04/07	748.2155
2018/04/08	141.3432
2018/04/09	78.0021
2018/04/10	60.8795
2018/04/11	54.9658
2018/04/12	60.0651
2018/04/13	43.8163
2018/04/14	39.5823
2018/04/15	39.3885
2018/04/16	44.313
2018/04/17	37.7559
2018/04/18	32.6649
2018/04/19	29.1221
2018/04/20	26.4796
2018/04/21	24.908
2018/04/22	23.3463
2018/04/23	22.0752
2018/04/24	21.0259
2018/04/25	19.9939
2018/04/26	18.8605
2018/04/27	17.8696
2018/04/28	16.9379
2018/04/29	16.0794
2018/04/30	15.2859
2018/05/01	14.6146
2018/05/02	14.2746
2018/05/03	13.7798
2018/05/04	13.2206
2018/05/05	12.8671
2018/05/06	12.4498
2018/05/07	11.6503
2018/05/08	11.0527
2018/05/09	10.7242
2018/05/10	10.4407
2018/05/11	9.9335
2018/05/12	9.3996
