Date	Flow(cfs)
2018/01/01	0.9436
2018/01/02	0.9031
2018/01/03	0.9267
2018/01/04	2.9245
2018/01/05	8.6834
2018/01/06	10.6735
2018/01/07	2.008
2018/01/08	170.8967
2018/01/09	402.5596
2018/01/10	72.3177
2018/01/11	27.3188
2018/01/12	13.6727
2018/01/13	7.9579
2018/01/14	5.9916
2018/01/15	5.3285
2018/01/16	5.9878
2018/01/17	5.1905
2018/01/18	6.661
2018/01/19	6.4488
2018/01/20	5.9228
2018/01/21	4.3336
2018/01/22	63.6891
2018/01/23	16.6416
2018/01/24	14.4844
2018/01/25	31.8819
2018/01/26	14.5306
2018/01/27	7.7372
2018/01/28	5.7447
2018/01/29	4.9549
2018/01/30	4.6342
2018/01/31	4.5323
2018/02/01	4.2786
2018/02/02	4.0908
2018/02/03	3.8963
2018/02/04	3.7186
2018/02/05	3.5957
2018/02/06	3.3883
2018/02/07	3.1985
2018/02/08	3.1444
2018/02/09	3.0582
2018/02/10	2.9477
2018/02/11	2.9119
2018/02/12	2.7514
2018/02/13	2.6477
2018/02/14	2.7052
2018/02/15	2.5768
2018/02/16	2.5054
2018/02/17	2.4568
2018/02/18	2.3112
2018/02/19	1.9329
2018/02/20	2.1613
2018/02/21	2.1637
2018/02/22	2.0469
2018/02/23	1.905
2018/02/24	2.0164
2018/02/25	1.9677
2018/02/26	4.1731
2018/02/27	4.8361
2018/02/28	3.3339
2018/03/01	98.5866
2018/03/02	176.3512
2018/03/03	76.3734
2018/03/04	52.5016
2018/03/05	16.5393
2018/03/06	9.5552
2018/03/07	7.2257
2018/03/08	11.3618
2018/03/09	7.3629
2018/03/10	5.8202
2018/03/11	5.2106
2018/03/12	5.2499
2018/03/13	13.3937
2018/03/14	35.41
2018/03/15	14.8751
2018/03/16	61.0692
2018/03/17	24.5032
2018/03/18	20.6657
2018/03/19	9.9978
2018/03/20	8.0373
2018/03/21	126.3559
2018/03/22	226.3464
2018/03/23	64.0772
2018/03/24	95.6416
2018/03/25	26.9273
2018/03/26	16.8048
2018/03/27	13.1046
2018/03/28	11.5614
2018/03/29	10.5373
2018/03/30	9.808
2018/03/31	9.3976
2018/04/01	8.9477
2018/04/02	8.5438
2018/04/03	8.0375
2018/04/04	7.829
2018/04/05	7.8833
2018/04/06	23.1119
2018/04/07	359.8183
2018/04/08	54.908
2018/04/09	27.7511
2018/04/10	16.7364
2018/04/11	13.5023
2018/04/12	21.7551
2018/04/13	12.4375
2018/04/14	10.1778
2018/04/15	9.9996
2018/04/16	12.7948
2018/04/17	10.1844
2018/04/18	9.8656
2018/04/19	7.8024
2018/04/20	7.1689
2018/04/21	6.8023
2018/04/22	6.419
2018/04/23	6.1412
2018/04/24	5.8949
2018/04/25	5.6385
2018/04/26	5.3414
2018/04/27	5.0603
2018/04/28	4.8251
2018/04/29	4.5625
2018/04/30	4.3095
2018/05/01	4.1229
2018/05/02	4.033
2018/05/03	3.9079
2018/05/04	3.7603
2018/05/05	3.7112
2018/05/06	3.5835
2018/05/07	3.34
2018/05/08	3.1786
2018/05/09	3.0919
2018/05/10	3.0044
2018/05/11	2.8493
2018/05/12	2.6863
2018/05/13	2.7277
2018/05/14	2.6757
2018/05/15	2.5948
2018/05/16	2.5379
2018/05/17	2.436
2018/05/18	2.3283
2018/05/19	2.2749
2018/05/20	2.2301
2018/05/21	2.1546
2018/05/22	2.0926
2018/05/23	2.0735
2018/05/24	2.0063
2018/05/25	2.4489
2018/05/26	2.5157
2018/05/27	1.9076
2018/05/28	1.7886
2018/05/29	1.7007
2018/05/30	1.6781
2018/05/31	1.6655
2018/06/01	1.6299
2018/06/02	1.5693
2018/06/03	1.5316
2018/06/04	1.5096
2018/06/05	1.4928
2018/06/06	1.4707
2018/06/07	1.4419
2018/06/08	1.4219
2018/06/09	1.3703
2018/06/10	1.3338
2018/06/11	1.3063
2018/06/12	1.3121
2018/06/13	1.2756
2018/06/14	1.2912
2018/06/15	1.2871
2018/06/16	1.2705
2018/06/17	1.2534
2018/06/18	1.2297
2018/06/19	1.1986
2018/06/20	1.1849
2018/06/21	1.1914
2018/06/22	1.1753
2018/06/23	1.142
2018/06/24	1.1331
2018/06/25	1.1199
2018/06/26	1.1193
2018/06/27	1.1033
2018/06/28	1.0808
2018/06/29	1.065
2018/06/30	1.057
2018/07/01	1.0495
2018/07/02	1.0266
2018/07/03	1.0209
2018/07/04	1.0219
2018/07/05	1.024
2018/07/06	0.9333
2018/07/07	0.9555
2018/07/08	0.9598
2018/07/09	0.9584
2018/07/10	0.9432
2018/07/11	0.9569
2018/07/12	0.9495
2018/07/13	0.8718
2018/07/14	0.8747
2018/07/15	0.889
2018/07/16	0.8951
2018/07/17	0.892
2018/07/18	0.8857
2018/07/19	0.872
2018/07/20	0.8692
2018/07/21	0.8091
2018/07/22	0.7875
2018/07/23	0.7851
2018/07/24	0.7953
2018/07/25	0.8117
2018/07/26	0.8112
2018/07/27	0.8268
2018/07/28	0.8302
2018/07/29	0.8235
2018/07/30	0.8096
2018/07/31	0.8047
2018/08/01	0.8046
2018/08/02	0.8097
2018/08/03	0.8101
2018/08/04	0.7835
2018/08/05	0.801
2018/08/06	0.8064
2018/08/07	0.7841
2018/08/08	0.7779
2018/08/09	0.769
2018/08/10	0.758
2018/08/11	0.7331
2018/08/12	0.7517
2018/08/13	0.7598
2018/08/14	0.7599
2018/08/15	0.7525
2018/08/16	0.7374
2018/08/17	0.7337
2018/08/18	0.7467
2018/08/19	0.7537
2018/08/20	0.7501
2018/08/21	0.7455
2018/08/22	0.7443
2018/08/23	0.7403
2018/08/24	0.7358
2018/08/25	0.7313
2018/08/26	0.7269
2018/08/27	0.7177
2018/08/28	0.7076
2018/08/29	0.7127
2018/08/30	0.7095
2018/08/31	0.7054
2018/09/01	0.7012
2018/09/02	0.6971
2018/09/03	0.693
2018/09/04	0.689
2018/09/05	0.685
2018/09/06	0.681
2018/09/07	0.6771
2018/09/08	0.6732
2018/09/09	0.6694
2018/09/10	0.6656
2018/09/11	0.6618
2018/09/12	0.6574
2018/09/13	0.6511
2018/09/14	0.6471
2018/09/15	0.6162
2018/09/16	0.6411
2018/09/17	0.6397
2018/09/18	0.6363
2018/09/19	0.6315
2018/09/20	0.6228
2018/09/21	0.6254
2018/09/22	0.6224
2018/09/23	0.619
2018/09/24	0.6157
2018/09/25	0.6117
2018/09/26	0.6038
2018/09/27	0.5916
2018/09/28	0.5813
2018/09/29	0.5978
2018/09/30	0.6436
2018/10/01	0.5824
2018/10/02	17.8334
2018/10/03	15.7462
2018/10/04	5.2213
2018/10/05	0.9445
2018/10/06	0.6288
2018/10/07	0.5727
2018/10/08	0.4751
2018/10/09	0.5671
2018/10/10	0.5867
2018/10/11	0.5859
2018/10/12	0.5759
2018/10/13	0.5641
2018/10/14	0.5959
2018/10/15	0.5854
2018/10/16	0.5512
2018/10/17	0.5801
2018/10/18	0.5933
2018/10/19	0.5975
2018/10/20	0.5974
2018/10/21	0.598
2018/10/22	0.5915
2018/10/23	0.5913
2018/10/24	0.5845
2018/10/25	0.561
2018/10/26	0.5616
2018/10/27	0.566
2018/10/28	0.5622
2018/10/29	0.5559
2018/10/30	0.5495
2018/10/31	0.5573
2018/11/01	0.5594
2018/11/02	0.5571
2018/11/03	0.572
2018/11/04	0.5796
2018/11/05	0.5678
2018/11/06	0.5781
2018/11/07	0.5843
2018/11/08	0.5668
2018/11/09	0.4648
2018/11/10	0.5314
2018/11/11	0.5606
2018/11/12	0.4593
2018/11/13	0.5361
2018/11/14	0.5156
2018/11/15	0.5531
2018/11/16	0.5689
2018/11/17	0.5934
2018/11/18	0.6265
2018/11/19	0.6159
2018/11/20	0.6085
2018/11/21	10.8881
2018/11/22	4.9033
2018/11/23	63.5154
2018/11/24	71.5642
2018/11/25	6.5804
2018/11/26	2.2285
2018/11/27	1.3712
2018/11/28	3.7304
2018/11/29	199.9716
2018/11/30	73.5834
2018/12/01	26.9504
2018/12/02	16.9666
2018/12/03	5.2768
2018/12/04	2.5729
2018/12/05	12.4085
2018/12/06	5.2635
2018/12/07	4.2821
2018/12/08	2.4043
2018/12/09	2.0792
2018/12/10	2.055
2018/12/11	2.1391
2018/12/12	1.833
2018/12/13	1.7227
2018/12/14	1.946
2018/12/15	6.0512
2018/12/16	4.3081
2018/12/17	57.8977
2018/12/18	18.0852
2018/12/19	8.6959
2018/12/20	4.0552
2018/12/21	13.446
2018/12/22	10.174
2018/12/23	4.9649
2018/12/24	20.0698
2018/12/25	94.6154
2018/12/26	11.1419
2018/12/27	5.4303
2018/12/28	3.8006
2018/12/29	3.449
2018/12/30	3.2921
2018/12/31	2.8471
2019/01/01	2.613
2019/01/02	2.7443
2019/01/03	2.6902
2019/01/04	2.6253
2019/01/05	6.934
2019/01/06	217.6734
2019/01/07	562.1464
2019/01/08	138.6286
2019/01/09	116.7813
2019/01/10	42.3468
2019/01/11	38.4992
2019/01/12	100.029
2019/01/13	26.1123
