Date	Flow(cfs)
2018/01/01	7.9928
2018/01/02	7.8064
2018/01/03	4.5138
2018/01/04	58.6751
2018/01/05	25.9904
2018/01/06	70.2665
2018/01/07	25.2508
2018/01/08	131.6868
2018/01/09	4848.4291
2018/01/10	429.4603
2018/01/11	231.5354
2018/01/12	150.809
2018/01/13	104.9413
2018/01/14	80.4423
2018/01/15	67.8214
2018/01/16	63.6007
2018/01/17	60.7158
2018/01/18	50.7849
2018/01/19	136.9666
2018/01/20	82.0332
2018/01/21	44.1571
2018/01/22	680.8622
2018/01/23	156.8381
2018/01/24	89.8319
2018/01/25	390.1059
2018/01/26	337.8744
2018/01/27	116.8194
2018/01/28	81.4813
2018/01/29	66.8435
2018/01/30	57.6943
2018/01/31	52.8242
2018/02/01	45.0213
2018/02/02	40.2669
2018/02/03	33.3945
2018/02/04	33.1016
2018/02/05	34.1433
2018/02/06	29.0778
2018/02/07	23.8056
2018/02/08	26.2938
2018/02/09	28.0091
2018/02/10	23.8844
2018/02/11	14.9238
2018/02/12	18.8027
2018/02/13	14.8872
2018/02/14	19.292
2018/02/15	19.5265
2018/02/16	18.3963
2018/02/17	18.7485
2018/02/18	18.6241
2018/02/19	16.1878
2018/02/20	19.0811
2018/02/21	18.6555
2018/02/22	17.8732
2018/02/23	17.3326
2018/02/24	17.6719
2018/02/25	16.5925
2018/02/26	20.9762
2018/02/27	29.3112
2018/02/28	20.735
2018/03/01	227.9875
2018/03/02	715.3464
2018/03/03	686.1131
2018/03/04	364.8156
2018/03/05	127.645
2018/03/06	88.4697
2018/03/07	73.9146
2018/03/08	90.6157
2018/03/09	65.943
2018/03/10	56.5508
2018/03/11	52.0035
2018/03/12	48.7778
2018/03/13	92.2254
2018/03/14	247.4718
2018/03/15	138.0299
2018/03/16	830.2642
2018/03/17	294.1211
2018/03/18	172.1558
2018/03/19	113.8818
2018/03/20	98.415
2018/03/21	409.9156
2018/03/22	3980.7389
2018/03/23	678.3699
2018/03/24	764.8678
2018/03/25	345.5306
2018/03/26	265.2381
2018/03/27	207.7451
2018/03/28	183.1633
2018/03/29	164.9764
2018/03/30	153.1267
2018/03/31	139.86
2018/04/01	127.2027
2018/04/02	117.3764
2018/04/03	108.9662
2018/04/04	101.2817
2018/04/05	94.6395
2018/04/06	232.685
2018/04/07	6648.3921
2018/04/08	608.749
2018/04/09	380.7648
2018/04/10	279.9827
2018/04/11	244.9513
2018/04/12	247.4421
2018/04/13	195.3499
2018/04/14	172.8411
2018/04/15	161.3503
2018/04/16	188.8045
2018/04/17	203.5803
2018/04/18	142.4518
2018/04/19	132.6122
2018/04/20	121.8629
2018/04/21	113.8092
2018/04/22	107.0149
2018/04/23	99.5269
2018/04/24	94.7326
2018/04/25	90.579
2018/04/26	84.3401
2018/04/27	82.1785
2018/04/28	78.9256
2018/04/29	76.2675
2018/04/30	73.0699
2018/05/01	68.2791
2018/05/02	64.9223
2018/05/03	61.4724
2018/05/04	59.4684
2018/05/05	54.4185
2018/05/06	51.1896
2018/05/07	50.7891
2018/05/08	47.6181
2018/05/09	45.3784
2018/05/10	45.2194
2018/05/11	41.6005
2018/05/12	34.5104
2018/05/13	37.5327
2018/05/14	38.8755
2018/05/15	37.5394
2018/05/16	36.2074
2018/05/17	36.7883
2018/05/18	34.3969
2018/05/19	31.3204
2018/05/20	30.8907
2018/05/21	32.0559
2018/05/22	29.9549
2018/05/23	28.455
2018/05/24	28.0631
