Date	Flow(cfs)
2018/01/01	0.4302
2018/01/02	0.43
2018/01/03	0.2435
2018/01/04	13.2441
2018/01/05	30.524
2018/01/06	26.589
2018/01/07	4.6116
2018/01/08	27.9272
2018/01/09	1149.1387
2018/01/10	60.8041
2018/01/11	36.418
2018/01/12	25.6238
2018/01/13	20.346
2018/01/14	16.7207
2018/01/15	14.1711
2018/01/16	12.2489
2018/01/17	10.6805
2018/01/18	9.2933
2018/01/19	56.5236
2018/01/20	16.7659
2018/01/21	7.0133
2018/01/22	21.2665
2018/01/23	14.8006
2018/01/24	6.2331
2018/01/25	80.05
2018/01/26	26.9716
2018/01/27	6.5313
2018/01/28	3.7771
2018/01/29	3.1334
2018/01/30	2.7514
2018/01/31	2.5869
2018/02/01	2.2542
2018/02/02	2.1129
2018/02/03	1.9466
2018/02/04	1.7636
2018/02/05	1.6932
2018/02/06	1.5333
2018/02/07	1.2578
2018/02/08	1.3248
2018/02/09	1.2829
2018/02/10	0.988
2018/02/11	0.789
2018/02/12	0.6752
2018/02/13	0.6201
2018/02/14	0.6923
2018/02/15	0.8045
2018/02/16	0.7851
2018/02/17	0.8299
2018/02/18	0.804
2018/02/19	1.1611
2018/02/20	1.2164
2018/02/21	0.5009
2018/02/22	0.5676
2018/02/23	0.2586
2018/02/24	0.4403
2018/02/25	0.5696
2018/02/26	6.8019
2018/02/27	12.7186
2018/02/28	1.7432
2018/03/01	25.0517
2018/03/02	73.4696
2018/03/03	113.5553
2018/03/04	29.8089
2018/03/05	8.3186
2018/03/06	4.8446
2018/03/07	3.8036
2018/03/08	7.0429
2018/03/09	3.6392
2018/03/10	2.84
2018/03/11	2.5563
2018/03/12	2.3707
2018/03/13	17.0134
2018/03/14	48.772
2018/03/15	9.2788
2018/03/16	36.5515
2018/03/17	54.1072
2018/03/18	73.8054
2018/03/19	9.0446
2018/03/20	4.1712
2018/03/21	39.454
2018/03/22	236.2337
2018/03/23	84.1363
2018/03/24	49.0917
2018/03/25	27.8845
2018/03/26	13.3048
2018/03/27	8.9243
2018/03/28	7.4112
2018/03/29	6.4701
2018/03/30	5.7649
2018/03/31	5.1214
2018/04/01	4.6767
2018/04/02	4.2777
2018/04/03	3.9546
2018/04/04	3.5389
2018/04/05	3.0937
2018/04/06	18.4416
2018/04/07	386.0131
2018/04/08	25.4237
2018/04/09	13.3104
2018/04/10	8.7969
2018/04/11	7.4487
2018/04/12	16.8193
2018/04/13	7.3228
2018/04/14	5.6482
2018/04/15	4.981
2018/04/16	9.527
2018/04/17	11.7094
2018/04/18	5.4863
2018/04/19	4.0406
2018/04/20	3.737
2018/04/21	3.504
2018/04/22	3.2611
2018/04/23	3.1004
2018/04/24	2.952
2018/04/25	2.7786
2018/04/26	2.5867
2018/04/27	2.5133
2018/04/28	2.4262
2018/04/29	2.2905
2018/04/30	2.1773
2018/05/01	2.0407
2018/05/02	2.0731
2018/05/03	1.9928
2018/05/04	1.8768
2018/05/05	1.7013
2018/05/06	1.7124
2018/05/07	1.6516
2018/05/08	1.5085
2018/05/09	1.5489
2018/05/10	1.5122
2018/05/11	1.4073
2018/05/12	1.2189
2018/05/13	1.3674
2018/05/14	1.3666
2018/05/15	1.3216
2018/05/16	1.3199
2018/05/17	1.3232
2018/05/18	1.2627
2018/05/19	1.1981
2018/05/20	1.1389
2018/05/21	1.184
2018/05/22	1.1178
2018/05/23	1.1153
2018/05/24	1.0791
2018/05/25	0.9844
2018/05/26	1.1449
2018/05/27	1.0263
2018/05/28	0.9029
2018/05/29	0.7443
2018/05/30	0.5843
2018/05/31	0.7302
2018/06/01	0.8534
2018/06/02	0.7557
2018/06/03	0.6524
2018/06/04	0.4466
2018/06/05	0.5909
2018/06/06	0.7283
2018/06/07	0.7736
2018/06/08	0.6774
2018/06/09	0.6213
2018/06/10	0.4385
2018/06/11	0.4035
2018/06/12	0.5471
2018/06/13	0.3218
2018/06/14	0.4809
2018/06/15	0.6484
2018/06/16	0.6628
2018/06/17	0.6712
2018/06/18	0.61
2018/06/19	0.4473
2018/06/20	0.4441
2018/06/21	0.5277
2018/06/22	0.5119
2018/06/23	0.3013
2018/06/24	0.3714
