Date	Flow(cfs)
2018/01/01	3.0789
2018/01/02	3.0382
2018/01/03	2.2864
2018/01/04	3.1502
2018/01/05	13.3035
2018/01/06	25.4447
2018/01/07	9.0177
2018/01/08	644.1847
2018/01/09	2477.1758
2018/01/10	134.4409
2018/01/11	67.4459
2018/01/12	47.449
2018/01/13	38.1601
2018/01/14	32.537
2018/01/15	29.659
2018/01/16	36.627
2018/01/17	27.4261
2018/01/18	25.4202
2018/01/19	101.404
2018/01/20	37.3152
2018/01/21	19.9546
2018/01/22	710.3087
2018/01/23	41.2674
2018/01/24	167.9683
2018/01/25	515.4675
2018/01/26	153.6529
2018/01/27	40.9869
2018/01/28	30.2854
2018/01/29	26.096
2018/01/30	23.1463
2018/01/31	21.4442
2018/02/01	19.2684
2018/02/02	17.7478
2018/02/03	16.2186
2018/02/04	15.2045
2018/02/05	14.2666
2018/02/06	12.8648
2018/02/07	11.861
2018/02/08	11.6478
2018/02/09	11.1525
2018/02/10	9.8755
2018/02/11	9.3394
2018/02/12	9.0282
2018/02/13	8.507
2018/02/14	8.7796
2018/02/15	8.4069
2018/02/16	8.1913
2018/02/17	8.0016
2018/02/18	7.5016
2018/02/19	5.7777
2018/02/20	6.7022
2018/02/21	6.807
2018/02/22	6.7279
2018/02/23	6.0275
2018/02/24	6.2921
2018/02/25	6.2121
2018/02/26	12.1261
2018/02/27	8.908
2018/02/28	7.4191
2018/03/01	210.9753
2018/03/02	456.3312
2018/03/03	213.6078
2018/03/04	188.7901
2018/03/05	47.9213
2018/03/06	31.9794
2018/03/07	27.7036
2018/03/08	32.6268
2018/03/09	23.6228
2018/03/10	20.8976
2018/03/11	18.9487
2018/03/12	18.5836
2018/03/13	32.1909
2018/03/14	79.5485
2018/03/15	43.3489
2018/03/16	475.2911
2018/03/17	168.2037
2018/03/18	52.3139
2018/03/19	33.4061
2018/03/20	30.0284
2018/03/21	197.932
2018/03/22	2114.3491
2018/03/23	154.6406
2018/03/24	166.6965
2018/03/25	109.4324
2018/03/26	84.2464
2018/03/27	72.0272
2018/03/28	63.5746
2018/03/29	56.2279
2018/03/30	50.2271
2018/03/31	44.9149
2018/04/01	40.4793
2018/04/02	36.7128
2018/04/03	33.5291
2018/04/04	31.0066
2018/04/05	29.1661
2018/04/06	1550.0683
2018/04/07	3166.4841
2018/04/08	143.9959
2018/04/09	100.3568
2018/04/10	83.6404
2018/04/11	76.5919
2018/04/12	73.3221
2018/04/13	60.4175
2018/04/14	52.9668
2018/04/15	54.4113
2018/04/16	83.0837
2018/04/17	77.1004
2018/04/18	43.9749
2018/04/19	37.8159
2018/04/20	34.4119
2018/04/21	31.7219
2018/04/22	29.243
2018/04/23	27.1626
2018/04/24	25.588
2018/04/25	24.1093
2018/04/26	22.548
2018/04/27	21.3952
2018/04/28	20.1957
2018/04/29	19.0205
2018/04/30	17.7843
2018/05/01	16.6913
2018/05/02	16.0769
2018/05/03	15.3591
2018/05/04	14.5531
2018/05/05	13.6976
2018/05/06	13.3705
2018/05/07	12.6349
2018/05/08	11.7293
2018/05/09	11.3122
2018/05/10	10.9684
2018/05/11	10.3029
2018/05/12	9.4559
2018/05/13	9.9066
2018/05/14	9.8191
2018/05/15	9.5442
2018/05/16	9.2958
2018/05/17	9.0074
2018/05/18	8.5841
2018/05/19	8.1819
2018/05/20	8.092
2018/05/21	8.0163
2018/05/22	7.7536
2018/05/23	7.609
2018/05/24	7.4256
2018/05/25	16.0937
2018/05/26	11.978
2018/05/27	10.7097
2018/05/28	6.8989
2018/05/29	6.0973
2018/05/30	5.79
2018/05/31	6.0956
2018/06/01	6.2479
2018/06/02	5.841
2018/06/03	5.5773
2018/06/04	5.1085
2018/06/05	5.4305
2018/06/06	5.609
2018/06/07	5.5066
2018/06/08	5.2187
2018/06/09	4.8075
2018/06/10	4.2314
2018/06/11	4.3025
2018/06/12	4.4861
2018/06/13	4.1009
2018/06/14	4.476
2018/06/15	4.8257
2018/06/16	4.852
2018/06/17	4.8388
2018/06/18	4.6563
2018/06/19	4.1096
2018/06/20	3.9482
2018/06/21	4.2517
2018/06/22	3.999
2018/06/23	3.5706
2018/06/24	3.648
2018/06/25	3.8759
2018/06/26	3.6731
2018/06/27	3.693
2018/06/28	3.8646
2018/06/29	3.625
2018/06/30	3.3512
2018/07/01	3.1477
2018/07/02	3.1654
2018/07/03	3.0891
2018/07/04	3.5327
2018/07/05	3.7134
2018/07/06	2.8412
2018/07/07	2.7811
2018/07/08	2.5752
2018/07/09	2.7906
2018/07/10	2.5291
2018/07/11	3.1278
2018/07/12	3.1254
2018/07/13	2.422
2018/07/14	2.3751
2018/07/15	2.4412
2018/07/16	2.5948
2018/07/17	2.5105
2018/07/18	2.4138
2018/07/19	2.4346
2018/07/20	2.6416
2018/07/21	2.4399
2018/07/22	2.1851
2018/07/23	2.0534
2018/07/24	1.972
2018/07/25	1.9513
2018/07/26	1.8969
2018/07/27	2.1329
2018/07/28	2.2328
2018/07/29	2.1117
2018/07/30	2.0636
2018/07/31	2.1275
2018/08/01	2.0409
2018/08/02	2.2017
2018/08/03	2.424
2018/08/04	2.0999
2018/08/05	2.3258
2018/08/06	2.3328
2018/08/07	2.2185
2018/08/08	2.2441
2018/08/09	2.1744
2018/08/10	1.9681
2018/08/11	1.7308
2018/08/12	1.9788
2018/08/13	2.1561
2018/08/14	2.3589
2018/08/15	2.5598
2018/08/16	2.5478
2018/08/17	2.273
2018/08/18	2.1221
2018/08/19	2.0596
2018/08/20	2.3535
2018/08/21	2.6318
2018/08/22	2.6914
2018/08/23	2.7446
2018/08/24	2.7323
2018/08/25	2.6874
2018/08/26	2.5237
2018/08/27	2.5794
2018/08/28	2.6531
2018/08/29	2.6485
2018/08/30	2.7172
2018/08/31	2.612
2018/09/01	2.5193
2018/09/02	2.3446
2018/09/03	2.191
2018/09/04	2.1051
2018/09/05	2.0964
2018/09/06	2.3735
2018/09/07	2.1581
2018/09/08	1.85
2018/09/09	2.123
2018/09/10	2.123
2018/09/11	1.7632
2018/09/12	1.811
2018/09/13	2.2686
2018/09/14	2.4775
2018/09/15	1.8514
2018/09/16	2.325
2018/09/17	2.4563
2018/09/18	2.4395
2018/09/19	2.2371
2018/09/20	1.949
2018/09/21	2.0508
2018/09/22	1.9738
2018/09/23	2.034
2018/09/24	2.1632
2018/09/25	1.9892
2018/09/26	1.9234
2018/09/27	1.8381
2018/09/28	1.5959
2018/09/29	2.1978
2018/09/30	3.5772
2018/10/01	2.3128
2018/10/02	10.8347
2018/10/03	94.4278
2018/10/04	6.5503
2018/10/05	2.8128
2018/10/06	1.9607
2018/10/07	1.4378
2018/10/08	1.1388
2018/10/09	1.8573
2018/10/10	2.1814
2018/10/11	2.2269
2018/10/12	1.921
2018/10/13	1.8015
2018/10/14	1.8262
2018/10/15	1.4575
2018/10/16	1.5343
2018/10/17	1.802
2018/10/18	1.9528
2018/10/19	2.1287
2018/10/20	2.1519
2018/10/21	2.1571
2018/10/22	2.1545
2018/10/23	2.2335
2018/10/24	2.2101
2018/10/25	1.8901
2018/10/26	1.8053
2018/10/27	1.927
2018/10/28	1.91
2018/10/29	1.6248
2018/10/30	1.6864
2018/10/31	1.7242
2018/11/01	1.6635
2018/11/02	1.7883
2018/11/03	1.8496
2018/11/04	1.796
2018/11/05	1.737
2018/11/06	1.8645
2018/11/07	1.9171
2018/11/08	1.7214
2018/11/09	1.2708
2018/11/10	1.77
2018/11/11	1.835
2018/11/12	1.4011
2018/11/13	1.6463
2018/11/14	1.6297
2018/11/15	1.8959
2018/11/16	2.0607
2018/11/17	2.1629
2018/11/18	2.2677
2018/11/19	2.2605
2018/11/20	2.2052
2018/11/21	13.7247
2018/11/22	21.8313
2018/11/23	324.5706
2018/11/24	643.6867
2018/11/25	20.4443
2018/11/26	9.7881
2018/11/27	47.6056
2018/11/28	111.0962
2018/11/29	1761.7286
2018/11/30	785.9818
2018/12/01	658.3375
2018/12/02	130.372
2018/12/03	43.8249
2018/12/04	31.8237
2018/12/05	71.4498
2018/12/06	37.1858
2018/12/07	27.4804
2018/12/08	22.6287
2018/12/09	19.8035
2018/12/10	18.0425
2018/12/11	16.1802
2018/12/12	14.1931
2018/12/13	12.6213
2018/12/14	17.5892
2018/12/15	51.879
2018/12/16	128.1523
2018/12/17	1177.0188
2018/12/18	87.8745
2018/12/19	72.357
2018/12/20	30.8595
2018/12/21	188.5372
2018/12/22	50.6685
2018/12/23	28.602
2018/12/24	192.222
2018/12/25	977.1785
2018/12/26	37.9398
2018/12/27	28.9168
2018/12/28	24.6872
2018/12/29	23.1773
2018/12/30	21.6641
2018/12/31	18.5423
2019/01/01	16.0532
2019/01/02	16.3318
2019/01/03	15.6666
2019/01/04	14.6779
2019/01/05	16.2351
2019/01/06	930.8718
2019/01/07	4819.6748
2019/01/08	286.2037
2019/01/09	971.1256
2019/01/10	511.4708
2019/01/11	258.1807
2019/01/12	481.2847
2019/01/13	116.435
2019/01/14	97.9903
2019/01/15	162.7384
2019/01/16	2096.6232
2019/01/17	5529.7377
2019/01/18	669.5028
2019/01/19	259.6495
2019/01/20	339.6202
2019/01/21	794.3806
2019/01/22	190.5378
2019/01/23	161.2481
2019/01/24	140.8909
2019/01/25	124.6722
2019/01/26	110.8336
2019/01/27	99.3027
2019/01/28	90.4962
2019/01/29	81.7571
2019/01/30	75.4761
2019/01/31	81.3954
2019/02/01	68.4268
2019/02/02	1148.614
2019/02/03	500.9213
2019/02/04	1183.1557
2019/02/05	640.4261
2019/02/06	191.067
2019/02/07	159.1316
2019/02/08	145.3883
2019/02/09	162.3347
2019/02/10	552.1662
2019/02/11	135.547
2019/02/12	118.3596
2019/02/13	2185.5475
2019/02/14	4044.1622
2019/02/15	995.8731
2019/02/16	862.2692
2019/02/17	397.5031
2019/02/18	294.8357
2019/02/19	254.3647
2019/02/20	223.6033
2019/02/21	197.026
2019/02/22	177.6295
2019/02/23	161.939
2019/02/24	146.61
2019/02/25	177.8025
2019/02/26	4129.7904
2019/02/27	5704.5327
2019/02/28	571.3704
2019/03/01	412.1475
2019/03/02	882.6112
2019/03/03	539.5815
2019/03/04	316.635
2019/03/05	330.7134
2019/03/06	1222.8667
2019/03/07	1019.6374
2019/03/08	280.7229
2019/03/09	327.4425
2019/03/10	603.6838
2019/03/11	320.3502
2019/03/12	201.7956
2019/03/13	175.5906
2019/03/14	157.6016
2019/03/15	141.7369
2019/03/16	127.5611
2019/03/17	115.4631
2019/03/18	104.6944
2019/03/19	96.0726
2019/03/20	125.2774
2019/03/21	116.5755
2019/03/22	254.9476
2019/03/23	658.3862
2019/03/24	94.3347
2019/03/25	88.2238
2019/03/26	108.7829
2019/03/27	423.7743
2019/03/28	414.2712
2019/03/29	1019.9019
2019/03/30	120.9609
2019/03/31	99.413
2019/04/01	93.3467
2019/04/02	86.7477
2019/04/03	81.354
2019/04/04	79.5628
2019/04/05	80.559
2019/04/06	96.5885
2019/04/07	78.8151
2019/04/08	63.0059
2019/04/09	56.2099
2019/04/10	49.3481
2019/04/11	48.1845
2019/04/12	44.2731
2019/04/13	41.7753
2019/04/14	39.218
2019/04/15	40.8402
2019/04/16	48.6144
2019/04/17	34.7621
2019/04/18	31.9399
2019/04/19	30.3938
2019/04/20	28.8182
2019/04/21	26.7758
2019/04/22	24.7851
2019/04/23	23.0518
2019/04/24	21.8883
2019/04/25	21.0385
2019/04/26	20.424
2019/04/27	19.8018
2019/04/28	19.1921
2019/04/29	18.3502
2019/04/30	17.6496
2019/05/01	16.7054
2019/05/02	15.4874
2019/05/03	15.1004
2019/05/04	14.8822
2019/05/05	14.5285
2019/05/06	13.9467
2019/05/07	13.5166
2019/05/08	12.9512
2019/05/09	12.3446
2019/05/10	11.6621
2019/05/11	11.232
2019/05/12	10.7204
2019/05/13	10.4434
2019/05/14	10.5154
2019/05/15	25.7888
2019/05/16	429.229
2019/05/17	634.3615
2019/05/18	222.6528
2019/05/19	1419.4545
2019/05/20	127.7056
2019/05/21	178.0724
2019/05/22	69.9847
2019/05/23	56.0431
2019/05/24	49.2161
2019/05/25	43.8841
2019/05/26	41.0685
2019/05/27	39.2537
2019/05/28	35.4032
2019/05/29	29.8782
2019/05/30	27.3115
2019/05/31	25.2826
2019/06/01	23.1235
2019/06/02	21.4176
2019/06/03	19.986
2019/06/04	18.2566
2019/06/05	16.2784
2019/06/06	15.0613
2019/06/07	13.9604
2019/06/08	12.9917
2019/06/09	12.2379
2019/06/10	11.7695
2019/06/11	10.9871
2019/06/12	10.4726
2019/06/13	10.297
2019/06/14	10.5802
2019/06/15	10.5055
2019/06/16	10.2917
2019/06/17	9.5705
2019/06/18	9.0028
2019/06/19	8.5972
2019/06/20	8.2932
2019/06/21	7.9408
2019/06/22	7.6559
2019/06/23	7.6524
2019/06/24	7.2452
2019/06/25	6.765
2019/06/26	6.683
2019/06/27	7.0444
2019/06/28	6.567
2019/06/29	6.8905
2019/06/30	6.8345
2019/07/01	6.7385
2019/07/02	6.5279
2019/07/03	5.8776
2019/07/04	6.0271
2019/07/05	5.7908
2019/07/06	5.6124
2019/07/07	4.935
2019/07/08	5.2077
2019/07/09	5.5725
2019/07/10	5.4145
2019/07/11	5.1524
2019/07/12	5.0124
2019/07/13	5.0139
2019/07/14	4.8359
2019/07/15	4.1405
2019/07/16	4.3204
2019/07/17	4.8896
2019/07/18	4.7236
2019/07/19	4.8666
2019/07/20	4.8708
2019/07/21	4.751
2019/07/22	4.1726
2019/07/23	4.2707
2019/07/24	4.4797
2019/07/25	3.9276
2019/07/26	4.0149
2019/07/27	4.3832
2019/07/28	3.9692
2019/07/29	3.7744
2019/07/30	4.2325
2019/07/31	4.4113
2019/08/01	4.2933
2019/08/02	4.1258
2019/08/03	3.9887
2019/08/04	3.9336
2019/08/05	3.9624
2019/08/06	3.6626
2019/08/07	3.9674
2019/08/08	3.9849
2019/08/09	3.2942
2019/08/10	3.7546
2019/08/11	3.8663
2019/08/12	3.4266
2019/08/13	3.3673
2019/08/14	3.327
2019/08/15	3.2502
2019/08/16	3.1012
2019/08/17	3.0864
2019/08/18	3.7033
2019/08/19	3.9547
2019/08/20	3.9158
2019/08/21	3.5768
2019/08/22	2.7558
2019/08/23	2.9468
2019/08/24	3.1463
2019/08/25	2.8544
2019/08/26	2.7952
2019/08/27	2.5651
2019/08/28	2.4565
2019/08/29	3.0491
2019/08/30	3.4724
2019/08/31	3.4852
2019/09/01	3.0631
2019/09/02	2.931
2019/09/03	3.1678
2019/09/04	3.2309
2019/09/05	2.9747
2019/09/06	3.3213
2019/09/07	3.4841
2019/09/08	3.4174
2019/09/09	2.9917
2019/09/10	3.183
2019/09/11	3.2478
2019/09/12	3.1286
2019/09/13	2.9353
2019/09/14	2.7481
2019/09/15	2.8737
2019/09/16	3.0461
2019/09/17	3.1198
2019/09/18	2.9881
2019/09/19	3.6572
2019/09/20	3.3377
2019/09/21	2.8114
2019/09/22	2.7667
2019/09/23	2.8082
2019/09/24	2.5165
2019/09/25	2.2024
2019/09/26	2.2739
2019/09/27	2.8137
2019/09/28	2.9935
2019/09/29	2.7042
2019/09/30	2.7022
2019/10/01	2.9347
2019/10/02	2.8052
2019/10/03	2.6071
2019/10/04	2.4408
2019/10/05	2.5217
2019/10/06	2.4104
2019/10/07	2.1272
2019/10/08	2.3642
2019/10/09	2.1557
2019/10/10	1.6532
2019/10/11	1.9766
2019/10/12	2.5005
2019/10/13	2.567
2019/10/14	2.8199
2019/10/15	2.8375
2019/10/16	2.5414
2019/10/17	2.3258
2019/10/18	2.4593
2019/10/19	2.6594
2019/10/20	2.5235
2019/10/21	2.4671
2019/10/22	2.313
2019/10/23	2.2403
2019/10/24	1.2671
2019/10/25	1.4378
2019/10/26	1.9728
2019/10/27	1.6483
2019/10/28	1.307
2019/10/29	2.2407
2019/10/30	2.287
2019/10/31	1.9475
2019/11/01	2.3191
2019/11/02	2.5703
2019/11/03	2.5922
2019/11/04	2.6159
2019/11/05	2.6398
2019/11/06	2.5702
2019/11/07	2.757
2019/11/08	2.875
2019/11/09	2.7727
2019/11/10	2.7319
2019/11/11	2.5077
2019/11/12	2.4017
2019/11/13	2.5904
2019/11/14	2.6166
2019/11/15	2.8386
2019/11/16	2.8122
2019/11/17	2.5023
2019/11/18	2.662
2019/11/19	2.3524
2019/11/20	1.9482
2019/11/21	2.2326
2019/11/22	2.6948
2019/11/23	2.7063
2019/11/24	2.5922
2019/11/25	2.4257
2019/11/26	8.1107
2019/11/27	46.0943
2019/11/28	6.9325
2019/11/29	3.2876
2019/11/30	2.619
2019/12/01	259.2745
2019/12/02	1441.7742
2019/12/03	164.0376
2019/12/04	193.9818
2019/12/05	227.8079
2019/12/06	83.1203
2019/12/07	1167.8795
2019/12/08	1038.0703
2019/12/09	101.0077
2019/12/10	74.0738
2019/12/11	99.0744
2019/12/12	321.605
2019/12/13	89.3586
2019/12/14	73.4737
2019/12/15	50.0245
2019/12/16	42.3392
2019/12/17	36.2631
2019/12/18	218.0371
2019/12/19	498.4603
2019/12/20	70.9848
2019/12/21	55.6478
2019/12/22	285.8493
2019/12/23	522.8736
2019/12/24	76.4794
2019/12/25	388.962
2019/12/26	71.5198
