Date	Flow(cfs)
2018/01/01	4.5234
2018/01/02	4.3773
2018/01/03	3.8565
2018/01/04	54.6725
2018/01/05	26.0286
2018/01/06	43.3636
2018/01/07	17.6983
2018/01/08	15.743
2018/01/09	967.1683
2018/01/10	409.3265
2018/01/11	191.0784
2018/01/12	142.313
2018/01/13	124.0953
2018/01/14	110.4787
2018/01/15	100.0311
2018/01/16	91.7492
2018/01/17	84.8147
2018/01/18	78.0349
2018/01/19	106.8114
2018/01/20	77.9168
2018/01/21	65.8221
2018/01/22	59.8386
2018/01/23	59.6433
2018/01/24	54.6912
2018/01/25	112.3552
2018/01/26	89.4205
2018/01/27	53.7922
2018/01/28	46.7656
2018/01/29	43.76
2018/01/30	40.9276
2018/01/31	39.3832
2018/02/01	37.1536
2018/02/02	35.2303
2018/02/03	33.7262
2018/02/04	32.1604
2018/02/05	30.7916
2018/02/06	28.9602
2018/02/07	27.494
2018/02/08	26.6163
2018/02/09	25.3809
2018/02/10	23.4771
2018/02/11	22.0205
2018/02/12	21.4346
2018/02/13	20.8021
2018/02/14	19.634
2018/02/15	18.9666
2018/02/16	18.2929
2018/02/17	17.341
2018/02/18	16.6923
2018/02/19	15.2814
2018/02/20	14.8098
2018/02/21	14.4162
2018/02/22	14.0837
2018/02/23	15.6988
2018/02/24	13.9973
2018/02/25	12.6822
2018/02/26	12.1313
2018/02/27	69.6785
2018/02/28	19.9977
2018/03/01	69.4009
2018/03/02	181.2383
2018/03/03	307.4725
2018/03/04	168.7253
2018/03/05	78.8569
2018/03/06	66.66
2018/03/07	60.5781
2018/03/08	57.3589
2018/03/09	53.9263
2018/03/10	50.6472
2018/03/11	47.983
2018/03/12	45.4042
2018/03/13	123.9344
2018/03/14	204.4523
2018/03/15	118.5933
2018/03/16	280.4229
2018/03/17	148.9876
2018/03/18	158.7069
2018/03/19	106.4584
2018/03/20	97.8353
2018/03/21	105.2575
2018/03/22	497.0676
2018/03/23	303.9092
2018/03/24	301.3415
2018/03/25	261.4886
2018/03/26	198.6664
2018/03/27	180.0772
2018/03/28	166.0408
2018/03/29	153.4569
2018/03/30	142.8526
2018/03/31	132.9777
2018/04/01	124.1045
2018/04/02	116.66
2018/04/03	109.8802
2018/04/04	102.8286
2018/04/05	96.0154
2018/04/06	123.4454
2018/04/07	277.8395
2018/04/08	123.788
2018/04/09	103.9474
2018/04/10	94.7517
2018/04/11	90.2945
2018/04/12	101.4916
2018/04/13	89.9947
2018/04/14	79.3834
2018/04/15	75.0903
2018/04/16	75.1472
2018/04/17	96.201
2018/04/18	72.8774
2018/04/19	64.5213
2018/04/20	61.3256
2018/04/21	58.5454
2018/04/22	55.963
2018/04/23	53.7318
2018/04/24	51.8552
2018/04/25	49.969
2018/04/26	47.9888
2018/04/27	46.5241
2018/04/28	44.8705
2018/04/29	43.2819
2018/04/30	41.914
2018/05/01	40.4921
2018/05/02	39.0806
2018/05/03	37.4965
2018/05/04	35.9101
2018/05/05	33.9635
2018/05/06	33.0701
2018/05/07	31.8966
2018/05/08	30.5446
2018/05/09	29.399
2018/05/10	28.4051
2018/05/11	27.6035
2018/05/12	25.6606
2018/05/13	25.1782
2018/05/14	24.6216
2018/05/15	23.7088
2018/05/16	22.9432
2018/05/17	22.1526
2018/05/18	21.2829
2018/05/19	20.2623
2018/05/20	19.6773
2018/05/21	19.2423
2018/05/22	18.5293
2018/05/23	17.8278
2018/05/24	17.211
2018/05/25	16.3664
2018/05/26	16.6085
2018/05/27	15.9846
2018/05/28	14.9712
2018/05/29	14.0997
2018/05/30	13.4288
2018/05/31	13.2672
2018/06/01	13.1218
2018/06/02	12.4768
2018/06/03	11.866
2018/06/04	11.1055
2018/06/05	10.6972
2018/06/06	10.9229
2018/06/07	10.8198
2018/06/08	10.3459
2018/06/09	9.7823
2018/06/10	9.0693
2018/06/11	8.3572
2018/06/12	8.2393
2018/06/13	8.0772
2018/06/14	7.9707
2018/06/15	8.2285
2018/06/16	8.2336
2018/06/17	8.0893
2018/06/18	7.9552
2018/06/19	7.266
2018/06/20	6.7878
2018/06/21	6.7749
2018/06/22	6.5983
2018/06/23	5.9758
2018/06/24	5.7448
2018/06/25	6.0106
2018/06/26	5.8864
2018/06/27	5.5947
2018/06/28	5.696
2018/06/29	5.7226
2018/06/30	5.3626
2018/07/01	4.9404
2018/07/02	4.843
2018/07/03	4.8905
2018/07/04	5.0773
2018/07/05	5.2329
2018/07/06	4.6186
2018/07/07	3.8497
2018/07/08	3.543
2018/07/09	3.4703
2018/07/10	3.4125
2018/07/11	3.6328
2018/07/12	3.8815
2018/07/13	3.6677
2018/07/14	3.5008
2018/07/15	3.3682
2018/07/16	3.2059
2018/07/17	3.1452
2018/07/18	2.9991
