Date	Flow(cfs)
2018/01/01	0.781
2018/01/02	0.7598
2018/01/03	0.4969
2018/01/04	10.5637
2018/01/05	4.9314
2018/01/06	20.1167
2018/01/07	5.8208
2018/01/08	4.3092
2018/01/09	603.8103
2018/01/10	63.4766
2018/01/11	34.8028
2018/01/12	21.8061
2018/01/13	16.2028
2018/01/14	13.1575
2018/01/15	11.3778
2018/01/16	10.0743
2018/01/17	9.2078
2018/01/18	8.2107
2018/01/19	18.6899
2018/01/20	11.0218
2018/01/21	6.6502
2018/01/22	6.2918
2018/01/23	17.3611
2018/01/24	8.8979
2018/01/25	35.4545
2018/01/26	23.9332
2018/01/27	8.0881
2018/01/28	4.6188
2018/01/29	3.8804
2018/01/30	3.45
2018/01/31	3.424
2018/02/01	3.193
2018/02/02	2.9787
2018/02/03	2.8305
2018/02/04	2.6872
2018/02/05	2.6312
2018/02/06	2.474
2018/02/07	2.1865
2018/02/08	2.2262
2018/02/09	2.2033
2018/02/10	2.023
2018/02/11	1.8606
2018/02/12	1.9275
2018/02/13	1.848
2018/02/14	1.7303
2018/02/15	1.7394
2018/02/16	1.6978
2018/02/17	1.6375
2018/02/18	1.6186
2018/02/19	1.3029
2018/02/20	1.4238
2018/02/21	1.4205
2018/02/22	1.4543
2018/02/23	2.2627
2018/02/24	1.6087
2018/02/25	1.399
2018/02/26	1.6435
2018/02/27	9.8997
2018/02/28	3.1011
2018/03/01	17.4966
2018/03/02	95.3162
2018/03/03	162.234
2018/03/04	38.7407
2018/03/05	12.8901
2018/03/06	6.9545
2018/03/07	5.4496
2018/03/08	5.9996
2018/03/09	5.032
2018/03/10	4.2897
2018/03/11	4.0879
2018/03/12	3.8793
2018/03/13	14.0448
2018/03/14	58.2066
2018/03/15	26.0365
2018/03/16	123.1526
2018/03/17	37.2018
2018/03/18	35.6186
2018/03/19	14.3033
2018/03/20	9.5226
2018/03/21	12.6529
2018/03/22	308.6206
2018/03/23	135.3029
2018/03/24	49.7936
2018/03/25	64.055
2018/03/26	28.2805
2018/03/27	20.7064
2018/03/28	17.7781
2018/03/29	15.9057
2018/03/30	14.4183
2018/03/31	13.2342
2018/04/01	12.4244
2018/04/02	11.8329
2018/04/03	10.9857
2018/04/04	9.9529
2018/04/05	9.3088
2018/04/06	14.2936
2018/04/07	185.154
2018/04/08	30.1196
2018/04/09	17.7465
2018/04/10	13.6642
2018/04/11	12.5519
2018/04/12	15.0202
2018/04/13	11.7854
2018/04/14	10.1749
2018/04/15	9.5999
2018/04/16	10.5555
2018/04/17	13.5576
2018/04/18	9.5977
2018/04/19	8.3622
2018/04/20	7.3965
2018/04/21	6.9467
2018/04/22	6.4687
2018/04/23	6.0759
2018/04/24	5.7868
2018/04/25	5.5094
2018/04/26	5.2668
2018/04/27	5.0894
2018/04/28	4.8474
2018/04/29	4.7748
2018/04/30	4.5872
2018/05/01	4.3998
2018/05/02	4.2193
2018/05/03	3.923
2018/05/04	3.6431
2018/05/05	3.3291
2018/05/06	3.3046
2018/05/07	3.1642
2018/05/08	2.9686
2018/05/09	2.8712
2018/05/10	2.8153
2018/05/11	2.7405
2018/05/12	2.4081
2018/05/13	2.457
2018/05/14	2.4802
2018/05/15	2.409
2018/05/16	2.3427
2018/05/17	2.2722
2018/05/18	2.1916
2018/05/19	2.1232
2018/05/20	2.1075
2018/05/21	2.0634
2018/05/22	1.9904
2018/05/23	2.0434
2018/05/24	1.9451
2018/05/25	1.8
2018/05/26	2.2951
2018/05/27	1.9112
2018/05/28	1.6728
2018/05/29	1.4574
2018/05/30	1.3898
2018/05/31	1.4753
2018/06/01	1.5191
2018/06/02	1.3985
2018/06/03	1.2743
2018/06/04	1.1174
2018/06/05	1.2249
2018/06/06	1.3531
2018/06/07	1.3474
2018/06/08	1.2691
2018/06/09	1.1922
2018/06/10	1.0214
2018/06/11	0.8573
2018/06/12	0.9643
2018/06/13	0.8595
2018/06/14	0.9857
2018/06/15	1.1334
2018/06/16	1.1268
2018/06/17	1.1301
2018/06/18	1.098
2018/06/19	0.9242
2018/06/20	0.9102
2018/06/21	0.9654
2018/06/22	0.9246
2018/06/23	0.6565
2018/06/24	0.6697
2018/06/25	0.8306
2018/06/26	0.8531
2018/06/27	0.8853
2018/06/28	0.9001
2018/06/29	0.8784
2018/06/30	0.7776
2018/07/01	0.6639
2018/07/02	0.687
2018/07/03	0.7131
2018/07/04	0.7831
2018/07/05	0.8327
2018/07/06	0.5226
2018/07/07	0.3063
2018/07/08	0.3437
2018/07/09	0.4665
2018/07/10	0.4707
2018/07/11	0.6428
2018/07/12	0.6733
2018/07/13	0.455
2018/07/14	0.4849
2018/07/15	0.5155
2018/07/16	0.5409
2018/07/17	0.5608
2018/07/18	0.5304
2018/07/19	0.5686
2018/07/20	0.5898
2018/07/21	0.437
2018/07/22	0.4321
2018/07/23	0.4644
2018/07/24	0.2944
2018/07/25	0.289
2018/07/26	0.1664
2018/07/27	0.3368
2018/07/28	0.4665
2018/07/29	0.438
2018/07/30	0.3977
2018/07/31	0.3877
2018/08/01	0.3398
2018/08/02	0.3904
2018/08/03	0.5364
2018/08/04	0.4167
2018/08/05	0.4445
2018/08/06	0.4951
2018/08/07	0.4185
2018/08/08	0.4241
2018/08/09	0.4555
2018/08/10	0.385
2018/08/11	0.3125
2018/08/12	0.3596
2018/08/13	0.4676
2018/08/14	0.5237
2018/08/15	0.544
2018/08/16	0.5311
2018/08/17	0.4749
2018/08/18	0.3923
2018/08/19	0.387
2018/08/20	0.4486
2018/08/21	0.5547
2018/08/22	0.6037
2018/08/23	0.6063
2018/08/24	0.6067
2018/08/25	0.6023
2018/08/26	0.5849
2018/08/27	0.5835
2018/08/28	0.5631
2018/08/29	0.5766
2018/08/30	0.5659
2018/08/31	0.5969
2018/09/01	0.5823
2018/09/02	0.557
2018/09/03	0.5105
2018/09/04	0.4881
2018/09/05	0.4704
2018/09/06	0.5184
2018/09/07	0.508
2018/09/08	0.3533
2018/09/09	0.399
2018/09/10	0.4515
2018/09/11	0.4025
2018/09/12	0.3934
2018/09/13	0.5006
2018/09/14	0.5378
2018/09/15	0.2496
2018/09/16	0.4424
2018/09/17	0.528
2018/09/18	0.5313
2018/09/19	0.5385
2018/09/20	0.3911
2018/09/21	0.3811
2018/09/22	0.4694
2018/09/23	0.4685
2018/09/24	0.4985
2018/09/25	0.465
2018/09/26	0.3991
2018/09/27	0.3397
2018/09/28	0.3616
2018/09/29	0.4864
2018/09/30	0.5203
2018/10/01	0.4342
2018/10/02	0.3918
2018/10/03	0.4065
2018/10/04	0.5974
2018/10/05	0.551
2018/10/06	0.3961
2018/10/07	0.1944
2018/10/08	0.0789
2018/10/09	0.2764
2018/10/10	0.4126
2018/10/11	0.4624
2018/10/12	0.3649
2018/10/13	0.2915
2018/10/14	0.3487
2018/10/15	0.213
2018/10/16	0.1693
2018/10/17	0.282
2018/10/18	0.3815
2018/10/19	0.4097
2018/10/20	0.3917
2018/10/21	0.3891
2018/10/22	0.4319
2018/10/23	0.456
2018/10/24	0.4558
2018/10/25	0.3538
2018/10/26	0.3395
2018/10/27	0.3833
2018/10/28	0.4192
2018/10/29	0.3622
2018/10/30	0.343
2018/10/31	0.3114
2018/11/01	0.293
2018/11/02	0.2919
2018/11/03	0.3258
2018/11/04	0.2637
2018/11/05	0.2914
2018/11/06	0.3395
2018/11/07	0.2881
2018/11/08	0.2609
2018/11/09	0.0909
2018/11/10	0.1756
2018/11/11	0.1872
2018/11/12	0.1123
2018/11/13	0.2399
2018/11/14	0.173
2018/11/15	0.2077
2018/11/16	0.2401
2018/11/17	0.3263
2018/11/18	0.4279
2018/11/19	0.4487
2018/11/20	0.4315
2018/11/21	0.5634
2018/11/22	9.4487
2018/11/23	37.9232
2018/11/24	82.2392
2018/11/25	10.0124
2018/11/26	2.8522
2018/11/27	1.3873
2018/11/28	4.0945
2018/11/29	150.6109
2018/11/30	80.2481
2018/12/01	86.4691
2018/12/02	14.4719
2018/12/03	11.0519
2018/12/04	4.5292
2018/12/05	10.0892
2018/12/06	16.1792
2018/12/07	6.6036
2018/12/08	3.3263
2018/12/09	2.7142
2018/12/10	2.5008
2018/12/11	2.3802
2018/12/12	2.2617
2018/12/13	2.1031
2018/12/14	1.9198
2018/12/15	2.055
2018/12/16	2.0859
2018/12/17	179.7701
2018/12/18	18.3369
2018/12/19	8.5897
2018/12/20	6.1359
2018/12/21	5.0258
2018/12/22	4.435
2018/12/23	4.0836
2018/12/24	3.9003
2018/12/25	37.4449
2018/12/26	9.1794
2018/12/27	4.2161
2018/12/28	2.9335
2018/12/29	2.8456
2018/12/30	2.9004
2018/12/31	2.7507
2019/01/01	1.9664
2019/01/02	2.1944
2019/01/03	2.2849
2019/01/04	2.2438
2019/01/05	2.195
2019/01/06	5.0621
2019/01/07	176.6243
2019/01/08	19.1327
2019/01/09	34.8407
2019/01/10	83.314
2019/01/11	19.4098
2019/01/12	26.2577
2019/01/13	17.0245
2019/01/14	10.3657
2019/01/15	12.0025
2019/01/16	123.2223
2019/01/17	1011.2082
2019/01/18	160.5945
2019/01/19	59.4044
2019/01/20	42.9544
2019/01/21	80.5964
2019/01/22	37.3616
2019/01/23	30.5105
2019/01/24	27.3259
2019/01/25	24.3975
2019/01/26	21.7894
2019/01/27	19.4061
2019/01/28	17.906
2019/01/29	16.2982
2019/01/30	15.0481
2019/01/31	42.3791
2019/02/01	18.8302
2019/02/02	124.3137
2019/02/03	613.3749
2019/02/04	424.8855
2019/02/05	310.139
2019/02/06	96.4636
2019/02/07	71.2732
2019/02/08	60.4644
2019/02/09	80.898
2019/02/10	240.1614
2019/02/11	75.6502
2019/02/12	57.2354
2019/02/13	64.5653
2019/02/14	822.1213
2019/02/15	448.7991
2019/02/16	347.5465
2019/02/17	216.4181
2019/02/18	122.3042
2019/02/19	99.6653
2019/02/20	87.1817
2019/02/21	76.9042
2019/02/22	68.5602
2019/02/23	62.4836
2019/02/24	56.6968
2019/02/25	50.7827
2019/02/26	46.5755
2019/02/27	231.4172
2019/02/28	192.4615
2019/03/01	66.2353
2019/03/02	106.8117
2019/03/03	194.5969
2019/03/04	114.9692
2019/03/05	64.3322
2019/03/06	300.5787
2019/03/07	274.7046
2019/03/08	97.6589
2019/03/09	72.2748
2019/03/10	157.4373
2019/03/11	76.4892
2019/03/12	59.0839
2019/03/13	51.6129
2019/03/14	46.4952
2019/03/15	42.2813
2019/03/16	38.5037
2019/03/17	35.1085
2019/03/18	32.3469
2019/03/19	30.1259
2019/03/20	35.8278
2019/03/21	30.1024
2019/03/22	27.0323
2019/03/23	58.2471
2019/03/24	28.1787
2019/03/25	24.4181
2019/03/26	42.7528
2019/03/27	30.7
2019/03/28	43.5243
2019/03/29	46.6599
2019/03/30	25.363
2019/03/31	20.5082
2019/04/01	18.9248
2019/04/02	20.3218
2019/04/03	19.1324
2019/04/04	17.6485
2019/04/05	16.1226
2019/04/06	16.8937
2019/04/07	14.809
2019/04/08	11.9158
2019/04/09	10.4421
2019/04/10	9.4611
2019/04/11	9.0819
2019/04/12	9.0942
2019/04/13	8.2968
2019/04/14	7.7932
2019/04/15	7.5809
2019/04/16	10.8522
2019/04/17	7.7711
2019/04/18	6.467
2019/04/19	5.9704
2019/04/20	5.7793
2019/04/21	5.602
2019/04/22	5.2143
2019/04/23	4.7963
2019/04/24	4.4706
2019/04/25	4.2401
2019/04/26	4.1516
2019/04/27	4.0044
2019/04/28	3.8924
2019/04/29	3.787
2019/04/30	3.6354
2019/05/01	3.4758
2019/05/02	3.1595
2019/05/03	3.0107
2019/05/04	3.0099
2019/05/05	2.9763
2019/05/06	3.4156
2019/05/07	2.9128
2019/05/08	2.6644
2019/05/09	2.511
2019/05/10	2.4456
2019/05/11	2.3465
2019/05/12	2.2314
2019/05/13	2.159
2019/05/14	2.0795
2019/05/15	1.8763
2019/05/16	12.582
2019/05/17	23.364
2019/05/18	14.9672
2019/05/19	58.0612
2019/05/20	84.5313
2019/05/21	21.3781
2019/05/22	24.0681
2019/05/23	11.8823
2019/05/24	7.7945
2019/05/25	6.6384
2019/05/26	7.0251
2019/05/27	7.2425
2019/05/28	6.3168
2019/05/29	5.2646
2019/05/30	4.6377
2019/05/31	4.4372
2019/06/01	4.1269
2019/06/02	3.8604
2019/06/03	3.6733
2019/06/04	3.438
2019/06/05	3.1064
2019/06/06	2.9459
2019/06/07	2.8714
2019/06/08	2.6385
2019/06/09	2.4422
2019/06/10	2.1848
2019/06/11	2.1218
2019/06/12	2.107
2019/06/13	2.1163
2019/06/14	2.2546
2019/06/15	2.3093
2019/06/16	2.2957
2019/06/17	2.1884
2019/06/18	2.0501
2019/06/19	1.9306
2019/06/20	1.8712
2019/06/21	1.9063
2019/06/22	1.7824
2019/06/23	1.6855
2019/06/24	1.5606
2019/06/25	1.467
2019/06/26	1.5559
2019/06/27	1.6235
2019/06/28	1.3488
2019/06/29	1.4917
2019/06/30	1.5254
2019/07/01	1.5563
2019/07/02	1.5265
2019/07/03	1.3591
2019/07/04	1.4376
2019/07/05	1.3861
2019/07/06	1.3376
2019/07/07	1.3158
2019/07/08	1.315
2019/07/09	1.2978
2019/07/10	1.2186
2019/07/11	1.1256
2019/07/12	1.0588
2019/07/13	1.0718
2019/07/14	0.9962
2019/07/15	0.8283
2019/07/16	0.8563
2019/07/17	1.0435
2019/07/18	1.0797
2019/07/19	1.0584
2019/07/20	1.0573
2019/07/21	1.0535
2019/07/22	0.8963
2019/07/23	0.9029
2019/07/24	0.8979
2019/07/25	0.6901
2019/07/26	0.7614
2019/07/27	0.9283
2019/07/28	0.8404
2019/07/29	0.8066
2019/07/30	0.9231
2019/07/31	0.9806
2019/08/01	0.9713
2019/08/02	0.9094
2019/08/03	0.8601
2019/08/04	0.8525
2019/08/05	0.8339
2019/08/06	0.7504
2019/08/07	0.8309
2019/08/08	0.8728
2019/08/09	0.7629
2019/08/10	0.7777
2019/08/11	0.8174
2019/08/12	0.6664
2019/08/13	0.6091
2019/08/14	0.574
2019/08/15	0.4782
2019/08/16	0.4906
2019/08/17	0.6259
2019/08/18	0.7905
2019/08/19	0.8447
2019/08/20	0.8479
2019/08/21	0.7797
2019/08/22	0.6241
2019/08/23	0.5447
2019/08/24	0.5907
2019/08/25	0.5226
2019/08/26	0.4448
2019/08/27	0.3946
2019/08/28	0.389
2019/08/29	0.5456
2019/08/30	0.7096
2019/08/31	0.7096
2019/09/01	0.5305
2019/09/02	0.4399
2019/09/03	0.5748
2019/09/04	0.6149
2019/09/05	0.5789
2019/09/06	0.6515
2019/09/07	0.7076
2019/09/08	0.7443
2019/09/09	0.6963
2019/09/10	0.6636
2019/09/11	0.6781
2019/09/12	0.5912
2019/09/13	0.4377
2019/09/14	0.3866
2019/09/15	0.5396
2019/09/16	0.9706
2019/09/17	2.747
2019/09/18	1.1793
2019/09/19	0.7466
2019/09/20	0.6571
2019/09/21	0.5109
2019/09/22	0.4793
2019/09/23	0.5733
2019/09/24	0.4647
2019/09/25	0.3246
2019/09/26	0.2438
2019/09/27	0.4809
2019/09/28	0.6282
2019/09/29	0.5635
2019/09/30	0.7914
2019/10/01	0.6275
2019/10/02	0.5355
2019/10/03	0.4476
2019/10/04	0.5052
2019/10/05	0.4394
2019/10/06	0.3129
2019/10/07	0.184
2019/10/08	0.3054
2019/10/09	0.337
2019/10/10	0.1766
2019/10/11	0.0733
2019/10/12	0.2511
2019/10/13	0.3723
2019/10/14	0.5117
2019/10/15	0.5422
2019/10/16	0.4995
2019/10/17	0.4503
2019/10/18	0.4744
2019/10/19	0.5113
2019/10/20	0.4957
2019/10/21	0.4506
2019/10/22	0.3629
2019/10/23	0.3144
2019/10/24	0.103
2019/10/25	0.0393
2019/10/26	0.195
2019/10/27	0.2131
2019/10/28	0.0557
2019/10/29	0.1909
2019/10/30	0.2433
2019/10/31	0.2106
2019/11/01	0.2676
2019/11/02	0.3029
2019/11/03	0.3363
2019/11/04	0.3412
2019/11/05	0.3703
2019/11/06	0.4058
2019/11/07	0.4664
2019/11/08	0.5125
2019/11/09	0.4886
2019/11/10	0.4712
2019/11/11	0.4533
2019/11/12	0.3805
2019/11/13	0.3794
2019/11/14	0.4316
2019/11/15	0.6018
2019/11/16	0.5648
2019/11/17	0.4292
2019/11/18	0.3767
2019/11/19	0.4001
2019/11/20	0.6078
2019/11/21	0.4867
2019/11/22	0.4941
2019/11/23	0.4854
2019/11/24	0.4313
2019/11/25	0.4312
2019/11/26	0.3335
2019/11/27	23.5147
2019/11/28	18.0004
2019/11/29	3.7594
2019/11/30	1.5515
2019/12/01	9.8163
2019/12/02	172.3989
2019/12/03	109.5198
2019/12/04	22.5828
2019/12/05	94.8297
2019/12/06	16.665
2019/12/07	32.607
2019/12/08	210.9617
2019/12/09	55.1236
2019/12/10	18.7294
2019/12/11	14.8987
2019/12/12	11.773
2019/12/13	9.7322
2019/12/14	8.5814
2019/12/15	10.5397
2019/12/16	7.7189
2019/12/17	5.9014
2019/12/18	8.0349
2019/12/19	66.1467
2019/12/20	14.7522
2019/12/21	7.1065
2019/12/22	12.2226
2019/12/23	86.5178
2019/12/24	20.8794
2019/12/25	11.9223
2019/12/26	13.2932
2019/12/27	7.8371
2019/12/28	6.2901
2019/12/29	5.8853
2019/12/30	14.2035
2019/12/31	12.0315
