Date	Flow(cfs)
2018/01/01	1.6388
2018/01/02	1.7046
2018/01/03	0.87
2018/01/04	16.8578
2018/01/05	6.4651
2018/01/06	10.0371
2018/01/07	4.4359
2018/01/08	18.3807
2018/01/09	946.6643
2018/01/10	113.1981
2018/01/11	67.6633
2018/01/12	47.1427
2018/01/13	35.0596
2018/01/14	28.1645
2018/01/15	23.5828
2018/01/16	19.9326
2018/01/17	17.4746
2018/01/18	15.1907
2018/01/19	25.7388
2018/01/20	15.0851
2018/01/21	11.1894
2018/01/22	51.1714
2018/01/23	32.9914
2018/01/24	16.5768
2018/01/25	59.2885
2018/01/26	41.9683
2018/01/27	20.7292
2018/01/28	14.2534
2018/01/29	11.8008
2018/01/30	10.0367
2018/01/31	8.9145
2018/02/01	7.6988
2018/02/02	6.8543
2018/02/03	5.9788
2018/02/04	5.6481
2018/02/05	5.448
2018/02/06	4.6761
2018/02/07	3.7863
2018/02/08	4.073
2018/02/09	4.1327
2018/02/10	3.6285
2018/02/11	2.3173
2018/02/12	2.7525
2018/02/13	1.983
2018/02/14	2.8142
2018/02/15	2.9054
2018/02/16	2.8203
2018/02/17	2.7806
2018/02/18	2.6807
2018/02/19	1.9365
2018/02/20	2.547
2018/02/21	2.4264
2018/02/22	2.4493
2018/02/23	2.8176
2018/02/24	3.0668
2018/02/25	2.4665
2018/02/26	3.6789
2018/02/27	7.8866
2018/02/28	3.2691
2018/03/01	29.798
2018/03/02	152.3682
2018/03/03	163.5366
2018/03/04	115.3676
2018/03/05	37.1417
2018/03/06	27.4794
2018/03/07	21.9908
2018/03/08	20.4858
2018/03/09	16.6776
2018/03/10	13.5619
2018/03/11	11.8007
2018/03/12	10.4587
2018/03/13	14.7571
2018/03/14	31.2389
2018/03/15	22.8172
2018/03/16	95.2306
2018/03/17	34.4915
2018/03/18	25.4786
2018/03/19	16.3438
2018/03/20	12.9399
2018/03/21	106.713
2018/03/22	316.2085
2018/03/23	83.5966
2018/03/24	154.3782
2018/03/25	56.9497
2018/03/26	41.8986
2018/03/27	30.997
2018/03/28	26.3235
2018/03/29	23.0403
2018/03/30	20.4422
2018/03/31	18.2152
2018/04/01	16.2447
2018/04/02	14.5328
2018/04/03	13.4049
2018/04/04	11.7764
2018/04/05	9.9393
2018/04/06	29.3561
2018/04/07	1401.7967
2018/04/08	197.5086
2018/04/09	112.1254
2018/04/10	72.8197
2018/04/11	54.1435
2018/04/12	51.1966
2018/04/13	35.4895
2018/04/14	30.2931
2018/04/15	25.6096
2018/04/16	27.5473
2018/04/17	36.0044
2018/04/18	21.5446
2018/04/19	18.4797
2018/04/20	16.8429
2018/04/21	15.4037
2018/04/22	14.1974
2018/04/23	13.0727
2018/04/24	12.071
2018/04/25	11.3133
2018/04/26	10.1588
2018/04/27	9.8641
2018/04/28	9.2531
2018/04/29	8.8096
2018/04/30	8.515
2018/05/01	8.0109
2018/05/02	7.599
2018/05/03	7.0729
2018/05/04	6.9011
2018/05/05	6.0333
2018/05/06	5.4799
2018/05/07	5.4543
2018/05/08	5.0085
2018/05/09	4.9392
2018/05/10	5.0578
2018/05/11	4.9056
2018/05/12	3.6845
2018/05/13	3.8917
2018/05/14	4.2998
2018/05/15	4.2156
2018/05/16	3.9726
2018/05/17	4.2865
2018/05/18	3.9339
2018/05/19	3.5439
2018/05/20	3.5882
2018/05/21	3.9704
2018/05/22	3.5269
2018/05/23	3.3492
2018/05/24	3.3259
2018/05/25	2.7352
2018/05/26	4.0219
2018/05/27	3.4564
2018/05/28	2.787
2018/05/29	2.2574
2018/05/30	1.2243
2018/05/31	1.8984
2018/06/01	2.649
2018/06/02	2.3455
2018/06/03	1.8495
2018/06/04	1.1705
2018/06/05	1.0966
2018/06/06	1.7715
2018/06/07	1.9265
2018/06/08	1.538
2018/06/09	1.0509
2018/06/10	1.1357
2018/06/11	1.2718
2018/06/12	1.375
2018/06/13	0.8563
2018/06/14	0.5787
2018/06/15	1.2124
2018/06/16	1.5508
2018/06/17	1.7625
2018/06/18	1.3778
2018/06/19	0.9915
2018/06/20	0.6375
2018/06/21	1.0999
2018/06/22	1.0659
2018/06/23	0.5657
2018/06/24	0.5354
2018/06/25	0.5207
2018/06/26	0.5453
2018/06/27	0.4154
2018/06/28	0.7683
2018/06/29	0.5438
2018/06/30	0.5236
2018/07/01	0.341
2018/07/02	0.1572
2018/07/03	0.1329
2018/07/04	0.3779
2018/07/05	0.7504
2018/07/06	0.2502
2018/07/07	0.2901
