Date	Flow(cfs)
2018/01/01	0.8768
2018/01/02	0.9319
2018/01/03	0.9461
2018/01/04	22.6794
2018/01/05	11.1729
2018/01/06	6.0071
2018/01/07	3.0629
2018/01/08	79.032
2018/01/09	772.8165
2018/01/10	121.336
2018/01/11	72.78
2018/01/12	55.959
2018/01/13	45.6586
2018/01/14	38.2234
2018/01/15	32.3765
2018/01/16	27.9388
2018/01/17	24.6743
2018/01/18	22.0954
2018/01/19	25.9954
2018/01/20	18.5389
2018/01/21	14.2407
2018/01/22	64.763
2018/01/23	33.9835
2018/01/24	23.874
2018/01/25	45.153
2018/01/26	38.7184
2018/01/27	16.0908
2018/01/28	11.1959
2018/01/29	9.5462
2018/01/30	8.2934
2018/01/31	7.3516
2018/02/01	6.4274
2018/02/02	5.6663
2018/02/03	4.6858
2018/02/04	4.4258
2018/02/05	4.2121
2018/02/06	3.5501
2018/02/07	2.8884
2018/02/08	2.9708
2018/02/09	2.9241
2018/02/10	2.7174
2018/02/11	1.8079
2018/02/12	1.9913
2018/02/13	1.5812
2018/02/14	1.8855
2018/02/15	1.9065
2018/02/16	1.8176
2018/02/17	1.7958
2018/02/18	1.7374
2018/02/19	1.5674
2018/02/20	1.6962
2018/02/21	1.534
2018/02/22	1.5254
2018/02/23	1.9045
2018/02/24	1.8006
2018/02/25	1.566
2018/02/26	7.3818
2018/02/27	14.6281
2018/02/28	5.175
2018/03/01	95.9239
2018/03/02	259.2068
2018/03/03	128.6554
2018/03/04	66.1667
2018/03/05	37.1903
2018/03/06	29.4221
2018/03/07	25.1957
2018/03/08	23.5342
2018/03/09	19.9701
2018/03/10	16.3883
2018/03/11	14.035
2018/03/12	12.2272
2018/03/13	12.8587
2018/03/14	21.8814
2018/03/15	26.4913
2018/03/16	58.1436
2018/03/17	21.7995
2018/03/18	12.6498
2018/03/19	8.5185
2018/03/20	8.1609
2018/03/21	85.2115
2018/03/22	250.3753
2018/03/23	60.772
2018/03/24	68.103
2018/03/25	33.9761
2018/03/26	26.2557
2018/03/27	20.772
2018/03/28	17.4376
2018/03/29	15.4169
2018/03/30	13.7647
2018/03/31	12.2683
2018/04/01	10.912
2018/04/02	9.7054
2018/04/03	8.768
2018/04/04	7.7349
2018/04/05	6.451
2018/04/06	97.3923
2018/04/07	931.7137
2018/04/08	173.3103
2018/04/09	100.2624
2018/04/10	72.6812
2018/04/11	57.8764
2018/04/12	52.0991
2018/04/13	41.2453
2018/04/14	34.7484
2018/04/15	29.9356
2018/04/16	33.1831
2018/04/17	40.1571
2018/04/18	24.8743
2018/04/19	19.8536
2018/04/20	17.2363
2018/04/21	15.3021
2018/04/22	13.7168
2018/04/23	12.2374
2018/04/24	11.0457
2018/04/25	10.0473
2018/04/26	8.9956
2018/04/27	8.238
2018/04/28	7.5708
2018/04/29	7.0383
2018/04/30	6.5036
2018/05/01	6.0837
2018/05/02	5.6969
2018/05/03	5.3006
2018/05/04	5.0221
2018/05/05	4.5144
2018/05/06	4.0219
2018/05/07	3.8951
2018/05/08	3.7426
2018/05/09	3.5439
2018/05/10	3.4923
2018/05/11	3.3031
2018/05/12	2.1951
2018/05/13	2.4638
2018/05/14	2.7258
2018/05/15	2.6854
2018/05/16	2.6022
