Date	Flow(cfs)
2018/01/01	0.4177
2018/01/02	0.5173
2018/01/03	0.2692
2018/01/04	3.1946
2018/01/05	1.0391
2018/01/06	1.7289
2018/01/07	1.0083
2018/01/08	2.7259
2018/01/09	1109.2746
2018/01/10	80.6836
2018/01/11	45.1042
2018/01/12	35.414
2018/01/13	29.574
2018/01/14	25.4625
2018/01/15	21.6473
2018/01/16	18.4105
2018/01/17	15.76
2018/01/18	13.4387
2018/01/19	13.8361
2018/01/20	11.1787
2018/01/21	8.811
2018/01/22	10.1639
2018/01/23	7.8603
2018/01/24	6.3182
2018/01/25	8.593
2018/01/26	18.4091
2018/01/27	7.1668
2018/01/28	4.5981
2018/01/29	3.8076
2018/01/30	3.2784
2018/01/31	2.8767
2018/02/01	2.4935
2018/02/02	2.1979
2018/02/03	1.9642
2018/02/04	1.7623
2018/02/05	1.569
2018/02/06	1.3936
2018/02/07	1.2548
2018/02/08	1.1445
2018/02/09	1.0491
2018/02/10	0.9502
2018/02/11	0.7666
2018/02/12	0.7848
2018/02/13	0.7379
2018/02/14	0.7311
2018/02/15	0.6956
2018/02/16	0.6628
2018/02/17	0.6345
2018/02/18	0.5964
2018/02/19	0.5199
2018/02/20	0.5858
2018/02/21	0.4837
2018/02/22	0.5478
2018/02/23	0.7885
2018/02/24	0.6297
2018/02/25	0.5173
2018/02/26	0.6351
2018/02/27	1.9763
2018/02/28	0.6784
2018/03/01	3.5209
2018/03/02	52.8598
2018/03/03	85.4659
2018/03/04	38.2855
2018/03/05	12.7152
2018/03/06	8.0571
2018/03/07	6.3808
2018/03/08	5.4926
2018/03/09	4.6028
2018/03/10	3.9742
2018/03/11	3.4528
2018/03/12	2.9984
2018/03/13	2.9025
2018/03/14	4.6127
2018/03/15	3.8625
2018/03/16	63.5169
2018/03/17	9.9037
2018/03/18	7.7041
2018/03/19	4.7726
2018/03/20	3.0318
2018/03/21	88.771
2018/03/22	233.4405
2018/03/23	27.9333
2018/03/24	46.5291
2018/03/25	20.5005
2018/03/26	15.8218
2018/03/27	13.018
2018/03/28	11.0202
2018/03/29	9.4172
2018/03/30	8.0713
2018/03/31	6.937
2018/04/01	5.9762
2018/04/02	5.1526
2018/04/03	4.4661
2018/04/04	3.7702
2018/04/05	3.0908
2018/04/06	5.592
2018/04/07	589.4189
2018/04/08	31.2261
2018/04/09	23.356
2018/04/10	18.9988
2018/04/11	16.0139
2018/04/12	14.1905
2018/04/13	12.0243
2018/04/14	9.9561
2018/04/15	8.3143
2018/04/16	7.6387
2018/04/17	7.0763
2018/04/18	6.3527
2018/04/19	4.7695
2018/04/20	4.0433
2018/04/21	3.5007
2018/04/22	3.0522
2018/04/23	2.6521
2018/04/24	2.3229
2018/04/25	2.0398
2018/04/26	1.7508
2018/04/27	1.5336
2018/04/28	1.3804
2018/04/29	1.2436
2018/04/30	1.0456
2018/05/01	1.0055
2018/05/02	0.8901
2018/05/03	0.8095
2018/05/04	0.7595
2018/05/05	0.6223
2018/05/06	0.5456
2018/05/07	0.4747
2018/05/08	0.475
2018/05/09	0.4402
2018/05/10	0.4157
2018/05/11	0.3939
2018/05/12	0.2732
2018/05/13	0.2879
2018/05/14	0.3244
2018/05/15	0.2906
2018/05/16	0.2009
2018/05/17	0.5163
2018/05/18	0.2841
2018/05/19	0.2134
2018/05/20	0.1761
2018/05/21	0.2567
2018/05/22	0.1838
2018/05/23	0.197
2018/05/24	0.2102
2018/05/25	0.0795
2018/05/26	0.3879
2018/05/27	0.2519
2018/05/28	0.1572
2018/05/29	0.0797
2018/05/30	0.0305
2018/05/31	0.0904
2018/06/01	0.1635
2018/06/02	0.1001
2018/06/03	0.0333
2018/06/04	0.0122
2018/06/05	0.0299
2018/06/06	0.101
2018/06/07	0.0823
2018/06/08	0.0977
2018/06/09	0.0404
2018/06/10	0.0461
2018/06/11	0.0172
2018/06/12	0.021
2018/06/13	0.0083
2018/06/14	0.0047
2018/06/15	0.0596
2018/06/16	0.0978
2018/06/17	0.1024
2018/06/18	0.0716
2018/06/19	0.0184
2018/06/20	0.0073
2018/06/21	0.0559
2018/06/22	0.0181
2018/06/23	0.005
2018/06/24	0.002
2018/06/25	0.0064
2018/06/26	0.0132
2018/06/27	0.0043
2018/06/28	0.0501
2018/06/29	0.0147
2018/06/30	0.0062
2018/07/01	0.0019
2018/07/02	0.0015
2018/07/03	0.002
2018/07/04	0.0065
2018/07/05	0.0361
2018/07/06	0.0059
2018/07/07	0.0011
2018/07/08	0.0006
2018/07/09	0.0003
2018/07/10	0.0032
2018/07/11	0.0046
2018/07/12	0.0021
2018/07/13	0.0025
2018/07/14	0.0009
2018/07/15	0.0001
2018/07/16	0.0014
2018/07/17	0.0008
2018/07/18	0.0007
2018/07/19	0.0004
2018/07/20	0.0008
2018/07/21	0.0002
2018/07/22	0.0
2018/07/23	0.0004
2018/07/24	0.0002
2018/07/25	0.0002
2018/07/26	0.0
2018/07/27	0.0002
2018/07/28	0.0018
2018/07/29	0.0008
2018/07/30	0.0006
2018/07/31	0.0013
2018/08/01	0.0004
2018/08/02	0.0003
2018/08/03	0.0047
2018/08/04	0.0021
2018/08/05	0.0023
2018/08/06	0.0042
2018/08/07	0.0014
2018/08/08	0.0013
2018/08/09	0.0013
2018/08/10	0.0007
2018/08/11	0.0001
2018/08/12	0.0005
2018/08/13	0.0004
2018/08/14	0.0014
2018/08/15	0.0037
2018/08/16	0.0037
2018/08/17	0.0018
2018/08/18	0.002
2018/08/19	0.0008
2018/08/20	0.0033
2018/08/21	0.0055
2018/08/22	0.0183
2018/08/23	0.0083
2018/08/24	0.0392
2018/08/25	0.0586
2018/08/26	0.0139
2018/08/27	0.0107
2018/08/28	0.0181
2018/08/29	0.0262
2018/08/30	0.0611
2018/08/31	0.0682
2018/09/01	0.0382
2018/09/02	0.02
2018/09/03	0.0049
2018/09/04	0.004
2018/09/05	0.0026
2018/09/06	0.0083
2018/09/07	0.0056
2018/09/08	0.0014
2018/09/09	0.0028
2018/09/10	0.0049
2018/09/11	0.0037
2018/09/12	0.001
2018/09/13	0.0245
2018/09/14	0.0618
2018/09/15	0.0108
2018/09/16	0.07
2018/09/17	0.0755
2018/09/18	0.0679
2018/09/19	0.0739
2018/09/20	0.0172
2018/09/21	0.004
2018/09/22	0.0041
2018/09/23	0.0066
2018/09/24	0.0217
2018/09/25	0.0062
2018/09/26	0.0037
2018/09/27	0.002
2018/09/28	0.0005
2018/09/29	0.0501
2018/09/30	0.1205
2018/10/01	0.0241
2018/10/02	0.1427
2018/10/03	0.2024
2018/10/04	0.1134
2018/10/05	0.1485
2018/10/06	0.0391
2018/10/07	0.0076
2018/10/08	0.0011
2018/10/09	0.0127
2018/10/10	0.0902
2018/10/11	0.1062
2018/10/12	0.0378
2018/10/13	0.0185
2018/10/14	0.0152
2018/10/15	0.0044
2018/10/16	0.0034
2018/10/17	0.0042
2018/10/18	0.0348
2018/10/19	0.0513
2018/10/20	0.0518
2018/10/21	0.0556
2018/10/22	0.078
2018/10/23	0.1016
2018/10/24	0.1258
2018/10/25	0.087
2018/10/26	0.0471
2018/10/27	0.0524
2018/10/28	0.0899
2018/10/29	0.098
2018/10/30	0.0612
2018/10/31	0.0157
2018/11/01	0.0029
2018/11/02	0.0559
2018/11/03	0.0815
