Date	Flow(cfs)
2018/01/01	2.6728
2018/01/02	2.7121
2018/01/03	1.4431
2018/01/04	2.1604
2018/01/05	9.347
2018/01/06	17.9673
2018/01/07	14.001
2018/01/08	34.0537
2018/01/09	3668.2535
2018/01/10	301.8739
2018/01/11	55.5957
2018/01/12	35.8315
2018/01/13	28.2358
2018/01/14	23.2234
2018/01/15	20.7044
2018/01/16	28.8439
2018/01/17	25.0511
2018/01/18	18.832
2018/01/19	217.9341
2018/01/20	45.1374
2018/01/21	17.0687
2018/01/22	1289.7753
2018/01/23	93.0181
2018/01/24	31.3049
2018/01/25	690.7677
2018/01/26	348.4402
2018/01/27	49.8669
2018/01/28	26.3033
2018/01/29	21.6433
2018/01/30	18.8058
2018/01/31	17.5721
2018/02/01	15.4213
2018/02/02	14.1369
2018/02/03	12.3941
2018/02/04	12.056
2018/02/05	11.9867
2018/02/06	10.2152
2018/02/07	8.8909
2018/02/08	9.5867
2018/02/09	9.6618
2018/02/10	7.7642
2018/02/11	5.7335
2018/02/12	6.9033
2018/02/13	5.8416
2018/02/14	7.1109
2018/02/15	6.9071
2018/02/16	6.7313
2018/02/17	6.6529
2018/02/18	6.467
2018/02/19	5.1561
2018/02/20	6.1521
2018/02/21	6.0854
2018/02/22	5.9442
2018/02/23	5.4415
2018/02/24	5.7363
2018/02/25	5.4877
2018/02/26	7.7238
2018/02/27	7.3267
2018/02/28	7.0242
2018/03/01	311.2018
2018/03/02	934.6117
2018/03/03	687.0232
2018/03/04	278.689
2018/03/05	60.2355
2018/03/06	30.9592
2018/03/07	25.8663
2018/03/08	36.6708
2018/03/09	24.8394
2018/03/10	20.67
2018/03/11	18.7374
2018/03/12	17.7837
2018/03/13	32.1726
2018/03/14	266.9312
2018/03/15	79.1923
2018/03/16	1321.6133
2018/03/17	274.6284
2018/03/18	68.0028
2018/03/19	36.2299
2018/03/20	31.3581
2018/03/21	170.5142
2018/03/22	4199.4141
2018/03/23	347.2589
2018/03/24	332.8186
2018/03/25	128.1279
2018/03/26	78.2786
2018/03/27	62.9441
2018/03/28	56.3044
2018/03/29	51.235
2018/03/30	47.5411
2018/03/31	43.1207
2018/04/01	39.384
2018/04/02	36.4297
2018/04/03	33.9579
2018/04/04	31.4541
2018/04/05	29.5561
2018/04/06	143.4374
2018/04/07	4891.7103
2018/04/08	272.8217
2018/04/09	98.4188
2018/04/10	77.8967
2018/04/11	72.9432
2018/04/12	73.5125
2018/04/13	61.4198
2018/04/14	53.4493
2018/04/15	51.0894
2018/04/16	64.9808
2018/04/17	60.0257
2018/04/18	46.0588
2018/04/19	41.6374
2018/04/20	37.3657
2018/04/21	34.4937
2018/04/22	31.9519
2018/04/23	29.4838
2018/04/24	27.7952
2018/04/25	26.292
2018/04/26	24.5305
2018/04/27	23.5072
2018/04/28	22.3092
2018/04/29	21.221
2018/04/30	19.885
2018/05/01	18.3179
2018/05/02	17.3716
2018/05/03	16.4528
2018/05/04	15.6017
2018/05/05	14.0916
2018/05/06	13.4405
2018/05/07	13.048
2018/05/08	11.9654
2018/05/09	11.4475
2018/05/10	11.1618
2018/05/11	10.3245
2018/05/12	8.7196
2018/05/13	9.4944
2018/05/14	9.8272
2018/05/15	9.5882
2018/05/16	9.2768
2018/05/17	9.213
2018/05/18	8.6733
2018/05/19	7.8859
2018/05/20	7.8469
2018/05/21	8.0715
2018/05/22	7.6712
2018/05/23	7.3582
2018/05/24	7.2905
2018/05/25	7.1273
2018/05/26	9.1184
2018/05/27	7.9989
2018/05/28	6.0038
2018/05/29	5.106
2018/05/30	4.3362
2018/05/31	5.2219
2018/06/01	5.7864
