Date	Flow(cfs)
2018/01/01	8.0332
2018/01/02	7.7482
2018/01/03	9.8882
2018/01/04	82.1833
2018/01/05	41.807
2018/01/06	51.3058
2018/01/07	27.4579
2018/01/08	112.7679
2018/01/09	4808.6468
2018/01/10	656.6186
2018/01/11	270.3143
2018/01/12	191.9354
2018/01/13	156.5727
2018/01/14	130.0966
2018/01/15	110.9023
2018/01/16	95.4252
2018/01/17	84.5351
2018/01/18	77.9804
2018/01/19	127.9454
2018/01/20	72.9701
2018/01/21	55.9921
2018/01/22	76.5699
2018/01/23	66.711
2018/01/24	50.8899
2018/01/25	142.0494
2018/01/26	117.6571
2018/01/27	56.5325
2018/01/28	37.831
2018/01/29	33.1682
2018/01/30	28.9969
2018/01/31	26.8802
2018/02/01	24.5308
2018/02/02	21.6431
2018/02/03	20.0152
2018/02/04	19.1103
2018/02/05	18.2
2018/02/06	16.5378
2018/02/07	14.1685
2018/02/08	13.8512
2018/02/09	14.0111
2018/02/10	12.5337
2018/02/11	9.8153
2018/02/12	9.0299
2018/02/13	9.8424
2018/02/14	10.1522
2018/02/15	10.4552
2018/02/16	10.5455
2018/02/17	10.2939
2018/02/18	10.0429
2018/02/19	7.6305
2018/02/20	7.528
2018/02/21	9.2229
2018/02/22	9.5245
2018/02/23	9.309
2018/02/24	9.2734
2018/02/25	9.2531
2018/02/26	20.7513
2018/02/27	105.59
2018/02/28	34.2106
2018/03/01	50.9328
2018/03/02	280.3222
2018/03/03	714.3777
2018/03/04	451.7307
2018/03/05	108.2434
2018/03/06	62.1534
2018/03/07	47.9549
2018/03/08	49.2753
2018/03/09	40.7004
2018/03/10	32.592
2018/03/11	29.4666
2018/03/12	28.4377
2018/03/13	44.3201
2018/03/14	98.1957
2018/03/15	91.9197
2018/03/16	523.5403
2018/03/17	249.6572
2018/03/18	342.5922
2018/03/19	82.6025
2018/03/20	58.5786
2018/03/21	528.7578
2018/03/22	826.0289
2018/03/23	308.7151
2018/03/24	707.2951
2018/03/25	214.4711
2018/03/26	119.6136
2018/03/27	81.6692
2018/03/28	69.3728
2018/03/29	61.7544
2018/03/30	55.1149
2018/03/31	49.2003
2018/04/01	44.0361
2018/04/02	39.9502
2018/04/03	36.9537
2018/04/04	32.8227
2018/04/05	27.0505
2018/04/06	75.6575
2018/04/07	2616.2852
2018/04/08	339.815
2018/04/09	139.3767
2018/04/10	96.2471
2018/04/11	80.1736
2018/04/12	119.9663
2018/04/13	74.9925
2018/04/14	60.005
2018/04/15	50.9358
2018/04/16	69.5293
2018/04/17	92.3327
2018/04/18	53.6167
2018/04/19	41.667
2018/04/20	38.4794
2018/04/21	35.8836
2018/04/22	33.349
2018/04/23	30.9057
2018/04/24	28.4849
2018/04/25	27.2822
2018/04/26	25.037
2018/04/27	23.5244
2018/04/28	22.7603
2018/04/29	21.8041
2018/04/30	21.206
2018/05/01	20.4235
