Date	Flow(cfs)
2018/01/01	0.9089
2018/01/02	0.9375
2018/01/03	0.5521
2018/01/04	30.19
2018/01/05	10.7968
2018/01/06	30.0529
2018/01/07	12.3572
2018/01/08	24.0927
2018/01/09	995.1623
2018/01/10	75.5704
2018/01/11	28.3459
2018/01/12	17.7513
2018/01/13	11.7296
2018/01/14	8.6976
2018/01/15	7.2555
2018/01/16	6.2786
2018/01/17	5.7644
2018/01/18	5.313
2018/01/19	21.6814
2018/01/20	9.3617
2018/01/21	4.6817
2018/01/22	9.5393
2018/01/23	26.389
2018/01/24	9.5472
2018/01/25	55.8036
2018/01/26	40.0271
2018/01/27	13.3547
2018/01/28	5.5707
2018/01/29	3.9935
2018/01/30	3.4107
2018/01/31	3.317
2018/02/01	3.1516
2018/02/02	2.9811
2018/02/03	2.8613
2018/02/04	2.7924
2018/02/05	2.6951
2018/02/06	2.5012
2018/02/07	2.1583
2018/02/08	2.2092
2018/02/09	2.2771
2018/02/10	2.1334
2018/02/11	1.8176
2018/02/12	1.7825
2018/02/13	1.797
2018/02/14	1.8739
2018/02/15	1.8729
2018/02/16	1.8591
2018/02/17	1.8372
2018/02/18	1.7773
2018/02/19	0.8578
2018/02/20	1.3595
2018/02/21	1.5392
2018/02/22	1.5963
2018/02/23	1.3362
2018/02/24	1.5452
2018/02/25	1.5728
2018/02/26	4.7712
2018/02/27	17.376
2018/02/28	7.5685
2018/03/01	10.5283
2018/03/02	81.19
2018/03/03	133.5471
2018/03/04	105.5794
2018/03/05	23.5174
2018/03/06	9.3987
2018/03/07	5.6531
2018/03/08	6.9918
2018/03/09	4.9292
2018/03/10	3.9022
2018/03/11	3.6595
2018/03/12	3.4989
2018/03/13	12.5082
2018/03/14	12.8341
2018/03/15	19.9393
2018/03/16	78.9946
2018/03/17	63.2306
2018/03/18	31.3803
2018/03/19	14.6262
2018/03/20	7.6651
2018/03/21	77.1475
2018/03/22	252.6025
2018/03/23	76.4353
2018/03/24	88.9939
2018/03/25	24.1312
2018/03/26	19.9432
2018/03/27	12.4398
2018/03/28	9.7573
2018/03/29	8.656
2018/03/30	7.9331
2018/03/31	7.3553
2018/04/01	6.9357
2018/04/02	6.5868
2018/04/03	6.3094
2018/04/04	5.817
2018/04/05	5.0549
2018/04/06	12.2573
2018/04/07	1119.4393
2018/04/08	114.6926
2018/04/09	47.1668
2018/04/10	28.8582
2018/04/11	22.2531
2018/04/12	29.7934
2018/04/13	20.2328
2018/04/14	15.8578
2018/04/15	13.6321
2018/04/16	16.8057
2018/04/17	21.3835
2018/04/18	13.9034
2018/04/19	11.5238
2018/04/20	10.4807
2018/04/21	9.7531
2018/04/22	9.0728
2018/04/23	8.4404
2018/04/24	7.8579
2018/04/25	7.4458
2018/04/26	6.8825
2018/04/27	6.6207
2018/04/28	6.298
2018/04/29	6.0119
2018/04/30	5.825
2018/05/01	5.5476
2018/05/02	5.2646
2018/05/03	4.9524
2018/05/04	4.7598
2018/05/05	4.2835
2018/05/06	3.9808
2018/05/07	3.8198
2018/05/08	3.4879
2018/05/09	3.4397
2018/05/10	3.4633
2018/05/11	3.3516
2018/05/12	3.0194
2018/05/13	2.9822
2018/05/14	3.055
2018/05/15	2.9162
2018/05/16	2.7938
2018/05/17	2.864
2018/05/18	2.7221
2018/05/19	2.6046
2018/05/20	2.5338
2018/05/21	2.6667
2018/05/22	2.4009
2018/05/23	2.2907
2018/05/24	2.2579
2018/05/25	1.8845
2018/05/26	2.2019
2018/05/27	2.1852
2018/05/28	1.9369
2018/05/29	1.5536
2018/05/30	0.8778
2018/05/31	1.2438
2018/06/01	1.685
2018/06/02	1.6036
2018/06/03	1.2407
2018/06/04	0.6049
2018/06/05	0.7046
2018/06/06	1.1205
2018/06/07	1.3052
2018/06/08	1.0883
2018/06/09	0.9128
2018/06/10	0.7386
2018/06/11	0.716
2018/06/12	0.872
2018/06/13	0.3766
2018/06/14	0.3747
2018/06/15	0.8103
2018/06/16	1.017
2018/06/17	1.1347
2018/06/18	0.9471
2018/06/19	0.5691
2018/06/20	0.4226
2018/06/21	0.6513
2018/06/22	0.7093
2018/06/23	0.3772
2018/06/24	0.3576
2018/06/25	0.3917
2018/06/26	0.3451
2018/06/27	0.3722
2018/06/28	0.5679
2018/06/29	0.4862
2018/06/30	0.4602
2018/07/01	0.3976
2018/07/02	0.2509
2018/07/03	0.1661
2018/07/04	0.3452
2018/07/05	0.615
2018/07/06	0.221
2018/07/07	0.0955
2018/07/08	0.0672
2018/07/09	0.0671
2018/07/10	0.0924
2018/07/11	0.2769
2018/07/12	0.244
2018/07/13	0.0744
2018/07/14	0.0736
2018/07/15	0.0771
2018/07/16	0.0989
2018/07/17	0.1066
2018/07/18	0.0816
2018/07/19	0.0507
2018/07/20	0.0672
2018/07/21	0.0438
2018/07/22	0.0373
2018/07/23	0.0798
2018/07/24	0.0449
2018/07/25	0.0288
2018/07/26	0.0119
2018/07/27	0.0215
2018/07/28	0.0967
2018/07/29	0.072
2018/07/30	0.0503
2018/07/31	0.0528
2018/08/01	0.0253
2018/08/02	0.0314
2018/08/03	0.1625
2018/08/04	0.161
2018/08/05	0.1108
2018/08/06	0.1563
2018/08/07	0.0843
2018/08/08	0.0521
2018/08/09	0.0543
2018/08/10	0.0363
2018/08/11	0.0114
2018/08/12	0.029
2018/08/13	0.0535
2018/08/14	0.1249
2018/08/15	0.2172
2018/08/16	0.2122
2018/08/17	0.1458
2018/08/18	0.1159
2018/08/19	0.0857
2018/08/20	0.1587
2018/08/21	0.3045
2018/08/22	0.4155
2018/08/23	0.4041
2018/08/24	0.4373
2018/08/25	0.496
2018/08/26	0.4252
2018/08/27	0.3913
2018/08/28	0.4489
2018/08/29	0.4375
2018/08/30	0.4931
2018/08/31	0.569
2018/09/01	0.4722
2018/09/02	0.3972
2018/09/03	0.2239
2018/09/04	0.1627
2018/09/05	0.1846
2018/09/06	0.2999
2018/09/07	0.3362
2018/09/08	0.154
2018/09/09	0.1636
2018/09/10	0.2208
2018/09/11	0.1397
2018/09/12	0.0966
2018/09/13	0.3145
2018/09/14	0.527
2018/09/15	0.2152
2018/09/16	0.4164
2018/09/17	0.5807
2018/09/18	0.5608
2018/09/19	0.5247
2018/09/20	0.3606
2018/09/21	0.2574
2018/09/22	0.2751
2018/09/23	0.3785
2018/09/24	0.5047
2018/09/25	0.397
2018/09/26	0.3136
2018/09/27	0.2183
2018/09/28	0.1041
2018/09/29	0.3016
2018/09/30	0.5571
2018/10/01	0.3573
2018/10/02	0.5581
2018/10/03	1.5795
2018/10/04	0.5228
2018/10/05	0.5426
2018/10/06	0.3943
2018/10/07	0.16
2018/10/08	0.0295
2018/10/09	0.2675
2018/10/10	0.4159
2018/10/11	0.5055
2018/10/12	0.414
2018/10/13	0.2503
2018/10/14	0.2712
2018/10/15	0.1389
2018/10/16	0.1274
2018/10/17	0.2063
2018/10/18	0.3728
2018/10/19	0.4771
2018/10/20	0.4344
2018/10/21	0.4024
2018/10/22	0.4212
2018/10/23	0.5174
2018/10/24	0.5669
2018/10/25	0.4389
2018/10/26	0.3977
2018/10/27	0.437
2018/10/28	0.4436
2018/10/29	0.3362
2018/10/30	0.3948
2018/10/31	0.3758
2018/11/01	0.2992
2018/11/02	0.3086
2018/11/03	0.4132
2018/11/04	0.2866
2018/11/05	0.3603
2018/11/06	0.4076
2018/11/07	0.3663
2018/11/08	0.2926
2018/11/09	0.102
2018/11/10	0.1848
2018/11/11	0.2
2018/11/12	0.0699
2018/11/13	0.1518
2018/11/14	0.135
2018/11/15	0.2291
2018/11/16	0.2736
2018/11/17	0.4016
2018/11/18	0.5495
2018/11/19	0.6024
2018/11/20	0.5339
2018/11/21	0.5233
2018/11/22	48.6675
2018/11/23	50.5959
2018/11/24	243.0992
2018/11/25	23.1063
2018/11/26	6.5786
2018/11/27	2.3218
2018/11/28	13.7658
2018/11/29	124.201
2018/11/30	117.0496
2018/12/01	78.7389
2018/12/02	55.649
2018/12/03	17.1004
2018/12/04	5.0374
2018/12/05	24.3947
2018/12/06	12.9938
2018/12/07	3.457
2018/12/08	2.0068
2018/12/09	1.6851
2018/12/10	1.5534
2018/12/11	1.5237
2018/12/12	1.4638
2018/12/13	1.3884
2018/12/14	1.1678
2018/12/15	1.2582
2018/12/16	1.3569
2018/12/17	109.2312
2018/12/18	18.8852
2018/12/19	4.8666
2018/12/20	2.4783
2018/12/21	1.9153
2018/12/22	3.7407
2018/12/23	2.621
2018/12/24	1.6569
2018/12/25	143.813
2018/12/26	20.899
2018/12/27	6.2403
2018/12/28	2.4983
2018/12/29	2.0653
2018/12/30	2.1297
2018/12/31	2.0224
2019/01/01	0.9427
2019/01/02	1.4399
2019/01/03	1.7242
2019/01/04	1.6825
2019/01/05	1.6201
2019/01/06	5.9133
2019/01/07	271.4754
2019/01/08	34.7445
2019/01/09	11.9171
2019/01/10	29.5249
2019/01/11	12.8077
2019/01/12	6.0338
2019/01/13	4.2794
2019/01/14	3.2166
2019/01/15	2.8876
2019/01/16	33.983
2019/01/17	700.9209
2019/01/18	179.4325
2019/01/19	81.532
2019/01/20	25.0379
2019/01/21	108.3558
2019/01/22	33.6875
2019/01/23	18.4304
2019/01/24	13.4861
2019/01/25	11.1579
2019/01/26	9.7328
2019/01/27	8.6228
2019/01/28	8.204
2019/01/29	7.6687
2019/01/30	7.2647
2019/01/31	8.9901
2019/02/01	8.4697
2019/02/02	31.5444
2019/02/03	59.4213
2019/02/04	135.0202
2019/02/05	260.6711
2019/02/06	46.1524
2019/02/07	24.127
2019/02/08	17.7699
2019/02/09	33.4131
2019/02/10	291.1382
2019/02/11	53.5443
2019/02/12	27.9043
2019/02/13	206.9686
2019/02/14	636.8868
2019/02/15	588.4116
2019/02/16	331.9053
2019/02/17	149.0408
2019/02/18	83.7401
2019/02/19	56.7718
2019/02/20	46.7773
2019/02/21	40.2833
2019/02/22	36.3844
2019/02/23	34.6567
2019/02/24	32.7447
2019/02/25	30.1925
2019/02/26	32.4372
2019/02/27	162.6993
2019/02/28	110.5007
2019/03/01	46.6621
2019/03/02	91.6884
2019/03/03	155.4597
2019/03/04	55.5583
2019/03/05	40.1217
2019/03/06	172.797
2019/03/07	156.5324
2019/03/08	89.8716
2019/03/09	44.3428
2019/03/10	80.8499
2019/03/11	82.9553
2019/03/12	38.9202
2019/03/13	31.8359
2019/03/14	28.9391
2019/03/15	26.9281
2019/03/16	25.1367
2019/03/17	23.3458
2019/03/18	21.7583
2019/03/19	20.3602
2019/03/20	32.5743
2019/03/21	34.6816
2019/03/22	23.8791
2019/03/23	56.9923
2019/03/24	28.8085
2019/03/25	22.9151
2019/03/26	218.6581
2019/03/27	74.5284
2019/03/28	171.8946
2019/03/29	74.7943
2019/03/30	34.5483
2019/03/31	27.7747
2019/04/01	25.224
2019/04/02	26.9621
2019/04/03	30.4105
2019/04/04	25.4043
2019/04/05	22.1719
2019/04/06	24.4862
2019/04/07	23.7151
