# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-28 20:17:08 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11164500 SAN FRANCISQUITO C A STANFORD UNIVERSITY CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11164500
#            TS   parameter     statistic     Description
#          8850       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8850_00060_00003	8850_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11164500	1999-01-01	4.20	A
USGS	11164500	1999-01-02	4.20	A
USGS	11164500	1999-01-03	4.00	A
USGS	11164500	1999-01-04	3.90	A
USGS	11164500	1999-01-05	3.80	A
USGS	11164500	1999-01-06	3.80	A
USGS	11164500	1999-01-07	3.90	A
USGS	11164500	1999-01-08	3.80	A
USGS	11164500	1999-01-09	3.80	A
USGS	11164500	1999-01-10	3.60	A
USGS	11164500	1999-01-11	3.60	A
USGS	11164500	1999-01-12	3.60	A
USGS	11164500	1999-01-13	3.60	A
USGS	11164500	1999-01-14	3.40	A
USGS	11164500	1999-01-15	3.50	A
USGS	11164500	1999-01-16	6.40	A
USGS	11164500	1999-01-17	5.30	A
USGS	11164500	1999-01-18	172	A
USGS	11164500	1999-01-19	208	A
USGS	11164500	1999-01-20	579	A
USGS	11164500	1999-01-21	138	A
USGS	11164500	1999-01-22	46.0	A
USGS	11164500	1999-01-23	203	A
USGS	11164500	1999-01-24	70.0	A
USGS	11164500	1999-01-25	40.0	A
