# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-28 20:18:39 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11169000 GUADALUPE R A SAN JOSE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11169000
#            TS   parameter     statistic     Description
#          8877       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8877_00060_00003	8877_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11169000	1999-01-01	18.0	A
USGS	11169000	1999-01-02	18.0	A
USGS	11169000	1999-01-03	17.0	A
USGS	11169000	1999-01-04	18.0	A
USGS	11169000	1999-01-05	16.0	A
USGS	11169000	1999-01-06	16.0	A
USGS	11169000	1999-01-07	14.0	A
USGS	11169000	1999-01-08	14.0	A
USGS	11169000	1999-01-09	13.0	A
USGS	11169000	1999-01-10	14.0	A
USGS	11169000	1999-01-11	15.0	A
USGS	11169000	1999-01-12	15.0	A
USGS	11169000	1999-01-13	16.0	A
USGS	11169000	1999-01-14	16.0	A
USGS	11169000	1999-01-15	21.0	A
USGS	11169000	1999-01-16	59.0	A
USGS	11169000	1999-01-17	21.0	A
USGS	11169000	1999-01-18	153	A
USGS	11169000	1999-01-19	154	A
USGS	11169000	1999-01-20	185	A
USGS	11169000	1999-01-21	60.0	A
USGS	11169000	1999-01-22	33.0	A
USGS	11169000	1999-01-23	295	A
USGS	11169000	1999-01-24	69.0	A
USGS	11169000	1999-01-25	53.0	A
USGS	11169000	1999-01-26	284	A
USGS	11169000	1999-01-27	70.0	A
USGS	11169000	1999-01-28	47.0	A
USGS	11169000	1999-01-29	26.0	A
USGS	11169000	1999-01-30	25.0	A
USGS	11169000	1999-01-31	315	A
USGS	11169000	1999-02-01	49.0	A
USGS	11169000	1999-02-02	37.0	A
USGS	11169000	1999-02-03	27.0	A
USGS	11169000	1999-02-04	24.0	A
USGS	11169000	1999-02-05	23.0	A
USGS	11169000	1999-02-06	74.0	A
USGS	11169000	1999-02-07	166	A
USGS	11169000	1999-02-08	92.0	A
USGS	11169000	1999-02-09	665	A
USGS	11169000	1999-02-10	175	A
USGS	11169000	1999-02-11	93.0	A
USGS	11169000	1999-02-12	57.0	A
USGS	11169000	1999-02-13	55.0	A
USGS	11169000	1999-02-14	54.0	A
USGS	11169000	1999-02-15	34.0	A
USGS	11169000	1999-02-16	35.0	A
USGS	11169000	1999-02-17	57.0	A
USGS	11169000	1999-02-18	94.0	A
USGS	11169000	1999-02-19	67.0	A
USGS	11169000	1999-02-20	124	A
USGS	11169000	1999-02-21	124	A
USGS	11169000	1999-02-22	44.0	A
USGS	11169000	1999-02-23	36.0	A
USGS	11169000	1999-02-24	32.0	A
USGS	11169000	1999-02-25	80.0	A
USGS	11169000	1999-02-26	31.0	A
USGS	11169000	1999-02-27	28.0	A
USGS	11169000	1999-02-28	27.0	A
USGS	11169000	1999-03-01	27.0	A
USGS	11169000	1999-03-02	28.0	A
USGS	11169000	1999-03-03	44.0	A
USGS	11169000	1999-03-04	29.0	A
USGS	11169000	1999-03-05	27.0	A
USGS	11169000	1999-03-06	28.0	A
USGS	11169000	1999-03-07	26.0	A
USGS	11169000	1999-03-08	38.0	A
USGS	11169000	1999-03-09	104	A
USGS	11169000	1999-03-10	34.0	A
USGS	11169000	1999-03-11	46.0	A
USGS	11169000	1999-03-12	32.0	A
USGS	11169000	1999-03-13	31.0	A
USGS	11169000	1999-03-14	145	A
USGS	11169000	1999-03-15	219	A
USGS	11169000	1999-03-16	47.0	A
USGS	11169000	1999-03-17	37.0	A
USGS	11169000	1999-03-18	35.0	A
USGS	11169000	1999-03-19	52.0	A
USGS	11169000	1999-03-20	39.0	A
USGS	11169000	1999-03-21	35.0	A
USGS	11169000	1999-03-22	36.0	A
USGS	11169000	1999-03-23	56.0	A
USGS	11169000	1999-03-24	51.0	A
USGS	11169000	1999-03-25	134	A
USGS	11169000	1999-03-26	47.0	A
USGS	11169000	1999-03-27	39.0	A
USGS	11169000	1999-03-28	36.0	A
USGS	11169000	1999-03-29	35.0	A
USGS	11169000	1999-03-30	33.0	A
USGS	11169000	1999-03-31	54.0	A
USGS	11169000	1999-04-01	31.0	A
USGS	11169000	1999-04-02	29.0	A
USGS	11169000	1999-04-03	34.0	A
USGS	11169000	1999-04-04	37.0	A
USGS	11169000	1999-04-05	136	A
USGS	11169000	1999-04-06	247	A
USGS	11169000	1999-04-07	55.0	A
USGS	11169000	1999-04-08	208	A
USGS	11169000	1999-04-09	64.0	A
USGS	11169000	1999-04-10	51.0	A
USGS	11169000	1999-04-11	196	A
USGS	11169000	1999-04-12	93.0	A
USGS	11169000	1999-04-13	56.0	A
USGS	11169000	1999-04-14	50.0	A
USGS	11169000	1999-04-15	47.0	A
USGS	11169000	1999-04-16	45.0	A
USGS	11169000	1999-04-17	48.0	A
USGS	11169000	1999-04-18	58.0	A
USGS	11169000	1999-04-19	59.0	A
USGS	11169000	1999-04-20	49.0	A
USGS	11169000	1999-04-21	46.0	A
USGS	11169000	1999-04-22	41.0	A
USGS	11169000	1999-04-23	40.0	A
USGS	11169000	1999-04-24	39.0	A
USGS	11169000	1999-04-25	37.0	A
USGS	11169000	1999-04-26	37.0	A
USGS	11169000	1999-04-27	35.0	A
USGS	11169000	1999-04-28	31.0	A
USGS	11169000	1999-04-29	26.0	A
USGS	11169000	1999-04-30	30.0	A
USGS	11169000	1999-05-01	29.0	A
USGS	11169000	1999-05-02	28.0	A
USGS	11169000	1999-05-03	28.0	A
USGS	11169000	1999-05-04	30.0	A
USGS	11169000	1999-05-05	29.0	A
USGS	11169000	1999-05-06	29.0	A
USGS	11169000	1999-05-07	32.0	A
USGS	11169000	1999-05-08	32.0	A
USGS	11169000	1999-05-09	33.0	A
USGS	11169000	1999-05-10	33.0	A
USGS	11169000	1999-05-11	34.0	A
USGS	11169000	1999-05-12	29.0	A
USGS	11169000	1999-05-13	28.0	A
USGS	11169000	1999-05-14	28.0	A
USGS	11169000	1999-05-15	27.0	A
USGS	11169000	1999-05-16	27.0	A
USGS	11169000	1999-05-17	27.0	A
USGS	11169000	1999-05-18	27.0	A
USGS	11169000	1999-05-19	28.0	A
USGS	11169000	1999-05-20	23.0	A
USGS	11169000	1999-05-21	29.0	A
USGS	11169000	1999-05-22	28.0	A
USGS	11169000	1999-05-23	29.0	A
USGS	11169000	1999-05-24	26.0	A
USGS	11169000	1999-05-25	26.0	A
USGS	11169000	1999-05-26	126	A
USGS	11169000	1999-05-27	26.0	A
USGS	11169000	1999-05-28	23.0	A
USGS	11169000	1999-05-29	24.0	A
USGS	11169000	1999-05-30	29.0	A
USGS	11169000	1999-05-31	32.0	A
USGS	11169000	1999-06-01	33.0	A
USGS	11169000	1999-06-02	30.0	A
USGS	11169000	1999-06-03	51.0	A
USGS	11169000	1999-06-04	29.0	A
USGS	11169000	1999-06-05	29.0	A
USGS	11169000	1999-06-06	27.0	A
USGS	11169000	1999-06-07	28.0	A
USGS	11169000	1999-06-08	31.0	A
USGS	11169000	1999-06-09	34.0	A
USGS	11169000	1999-06-10	30.0	A
USGS	11169000	1999-06-11	24.0	A
USGS	11169000	1999-06-12	24.0	A
USGS	11169000	1999-06-13	25.0	A
USGS	11169000	1999-06-14	23.0	A
USGS	11169000	1999-06-15	27.0	A
USGS	11169000	1999-06-16	25.0	A
USGS	11169000	1999-06-17	22.0	A
USGS	11169000	1999-06-18	21.0	A
USGS	11169000	1999-06-19	21.0	A
USGS	11169000	1999-06-20	22.0	A
USGS	11169000	1999-06-21	23.0	A
USGS	11169000	1999-06-22	23.0	A
USGS	11169000	1999-06-23	29.0	A
USGS	11169000	1999-06-24	25.0	A
USGS	11169000	1999-06-25	23.0	A
USGS	11169000	1999-06-26	19.0	A
USGS	11169000	1999-06-27	19.0	A
USGS	11169000	1999-06-28	19.0	A
USGS	11169000	1999-06-29	22.0	A
USGS	11169000	1999-06-30	20.0	A
USGS	11169000	1999-07-01	19.0	A
USGS	11169000	1999-07-02	18.0	A
USGS	11169000	1999-07-03	19.0	A
USGS	11169000	1999-07-04	18.0	A
USGS	11169000	1999-07-05	18.0	A
USGS	11169000	1999-07-06	18.0	A
USGS	11169000	1999-07-07	18.0	A
USGS	11169000	1999-07-08	19.0	A
USGS	11169000	1999-07-09	20.0	A
USGS	11169000	1999-07-10	21.0	A
USGS	11169000	1999-07-11	21.0	A
USGS	11169000	1999-07-12	21.0	A
USGS	11169000	1999-07-13	22.0	A
USGS	11169000	1999-07-14	20.0	A
USGS	11169000	1999-07-15	19.0	A
USGS	11169000	1999-07-16	25.0	A
USGS	11169000	1999-07-17	24.0	A
USGS	11169000	1999-07-18	25.0	A
USGS	11169000	1999-07-19	25.0	A
USGS	11169000	1999-07-20	22.0	A
USGS	11169000	1999-07-21	19.0	A
USGS	11169000	1999-07-22	18.0	A
USGS	11169000	1999-07-23	17.0	A
USGS	11169000	1999-07-24	17.0	A
USGS	11169000	1999-07-25	20.0	A
USGS	11169000	1999-07-26	20.0	A
USGS	11169000	1999-07-27	20.0	A
USGS	11169000	1999-07-28	20.0	A
USGS	11169000	1999-07-29	18.0	A
USGS	11169000	1999-07-30	19.0	A
USGS	11169000	1999-07-31	20.0	A
USGS	11169000	1999-08-01	21.0	A
USGS	11169000	1999-08-02	21.0	A
USGS	11169000	1999-08-03	19.0	A
USGS	11169000	1999-08-04	19.0	A
USGS	11169000	1999-08-05	25.0	A
USGS	11169000	1999-08-06	20.0	A
USGS	11169000	1999-08-07	19.0	A
USGS	11169000	1999-08-08	19.0	A
USGS	11169000	1999-08-09	20.0	A
USGS	11169000	1999-08-10	21.0	A
USGS	11169000	1999-08-11	19.0	A
USGS	11169000	1999-08-12	18.0	A
USGS	11169000	1999-08-13	16.0	A
USGS	11169000	1999-08-14	16.0	A
USGS	11169000	1999-08-15	16.0	A
USGS	11169000	1999-08-16	16.0	A
USGS	11169000	1999-08-17	15.0	A
USGS	11169000	1999-08-18	15.0	A
USGS	11169000	1999-08-19	13.0	A
USGS	11169000	1999-08-20	13.0	A
USGS	11169000	1999-08-21	13.0	A
USGS	11169000	1999-08-22	11.0	A
USGS	11169000	1999-08-23	12.0	A
USGS	11169000	1999-08-24	12.0	A
USGS	11169000	1999-08-25	12.0	A
USGS	11169000	1999-08-26	14.0	A
USGS	11169000	1999-08-27	14.0	A
USGS	11169000	1999-08-28	14.0	A
USGS	11169000	1999-08-29	25.0	A
USGS	11169000	1999-08-30	17.0	A
USGS	11169000	1999-08-31	15.0	A
USGS	11169000	1999-09-01	14.0	A
USGS	11169000	1999-09-02	14.0	A
USGS	11169000	1999-09-03	14.0	A
USGS	11169000	1999-09-04	14.0	A
USGS	11169000	1999-09-05	14.0	A
USGS	11169000	1999-09-06	16.0	A
USGS	11169000	1999-09-07	16.0	A
USGS	11169000	1999-09-08	16.0	A
USGS	11169000	1999-09-09	14.0	A
USGS	11169000	1999-09-10	13.0	A
USGS	11169000	1999-09-11	14.0	A
USGS	11169000	1999-09-12	14.0	A
USGS	11169000	1999-09-13	14.0	A
USGS	11169000	1999-09-14	16.0	A
USGS	11169000	1999-09-15	15.0	A
USGS	11169000	1999-09-16	16.0	A
USGS	11169000	1999-09-17	15.0	A
USGS	11169000	1999-09-18	16.0	A
USGS	11169000	1999-09-19	16.0	A
USGS	11169000	1999-09-20	16.0	A
USGS	11169000	1999-09-21	17.0	A
USGS	11169000	1999-09-22	17.0	A
USGS	11169000	1999-09-23	17.0	A
USGS	11169000	1999-09-24	16.0	A
USGS	11169000	1999-09-25	17.0	A
USGS	11169000	1999-09-26	16.0	A
USGS	11169000	1999-09-27	15.0	A
USGS	11169000	1999-09-28	15.0	A
USGS	11169000	1999-09-29	15.0	A
USGS	11169000	1999-09-30	15.0	A
USGS	11169000	1999-10-01	16.0	A
USGS	11169000	1999-10-02	16.0	A
USGS	11169000	1999-10-03	16.0	A
USGS	11169000	1999-10-04	16.0	A
USGS	11169000	1999-10-05	16.0	A
USGS	11169000	1999-10-06	16.0	A
USGS	11169000	1999-10-07	16.0	A
USGS	11169000	1999-10-08	20.0	A
USGS	11169000	1999-10-09	16.0	A
USGS	11169000	1999-10-10	15.0	A
USGS	11169000	1999-10-11	15.0	A
USGS	11169000	1999-10-12	15.0	A
USGS	11169000	1999-10-13	16.0	A
USGS	11169000	1999-10-14	19.0	A
USGS	11169000	1999-10-15	20.0	A
USGS	11169000	1999-10-16	18.0	A
USGS	11169000	1999-10-17	18.0	A
USGS	11169000	1999-10-18	15.0	A
USGS	11169000	1999-10-19	20.0	A
USGS	11169000	1999-10-20	19.0	A
USGS	11169000	1999-10-21	17.0	A
USGS	11169000	1999-10-22	18.0	A
USGS	11169000	1999-10-23	16.0	A
USGS	11169000	1999-10-24	16.0	A
USGS	11169000	1999-10-25	17.0	A
USGS	11169000	1999-10-26	18.0	A
USGS	11169000	1999-10-27	18.0	A:e
USGS	11169000	1999-10-28	20.0	A:e
USGS	11169000	1999-10-29	21.0	A:e
USGS	11169000	1999-10-30	21.0	A:e
USGS	11169000	1999-10-31	21.0	A:e
USGS	11169000	1999-11-01	22.0	A:e
USGS	11169000	1999-11-02	22.0	A:e
USGS	11169000	1999-11-03	21.0	A:e
USGS	11169000	1999-11-04	21.0	A:e
USGS	11169000	1999-11-05	19.0	A:e
USGS	11169000	1999-11-06	18.0	A:e
USGS	11169000	1999-11-07	30.0	A:e
USGS	11169000	1999-11-08	150	A:e
USGS	11169000	1999-11-09	55.0	A:e
USGS	11169000	1999-11-10	23.0	A:e
USGS	11169000	1999-11-11	28.0	A:e
USGS	11169000	1999-11-12	25.0	A:e
USGS	11169000	1999-11-13	22.0	A:e
USGS	11169000	1999-11-14	19.0	A:e
USGS	11169000	1999-11-15	25.0	A:e
USGS	11169000	1999-11-16	46.0	A:e
USGS	11169000	1999-11-17	54.0	A:e
USGS	11169000	1999-11-18	25.0	A:e
USGS	11169000	1999-11-19	33.0	A:e
USGS	11169000	1999-11-20	33.0	A:e
USGS	11169000	1999-11-21	26.0	A:e
USGS	11169000	1999-11-22	21.0	A:e
USGS	11169000	1999-11-23	18.0	A:e
USGS	11169000	1999-11-24	16.0	A:e
USGS	11169000	1999-11-25	25.0	A:e
USGS	11169000	1999-11-26	18.0	A:e
USGS	11169000	1999-11-27	18.0	A:e
USGS	11169000	1999-11-28	17.0	A:e
USGS	11169000	1999-11-29	22.0	A:e
USGS	11169000	1999-11-30	30.0	A:e
USGS	11169000	1999-12-01	37.0	A:e
USGS	11169000	1999-12-02	30.0	A:e
USGS	11169000	1999-12-03	20.0	A:e
USGS	11169000	1999-12-04	19.0	A
USGS	11169000	1999-12-05	19.0	A
USGS	11169000	1999-12-06	17.0	A
USGS	11169000	1999-12-07	16.0	A
USGS	11169000	1999-12-08	15.0	A
USGS	11169000	1999-12-09	39.0	A
USGS	11169000	1999-12-10	26.0	A
USGS	11169000	1999-12-11	26.0	A
USGS	11169000	1999-12-12	21.0	A
USGS	11169000	1999-12-13	20.0	A
USGS	11169000	1999-12-14	18.0	A
USGS	11169000	1999-12-15	25.0	A
USGS	11169000	1999-12-16	20.0	A
USGS	11169000	1999-12-17	26.0	A
USGS	11169000	1999-12-18	21.0	A
USGS	11169000	1999-12-19	18.0	A
USGS	11169000	1999-12-20	18.0	A
USGS	11169000	1999-12-21	21.0	A
USGS	11169000	1999-12-22	20.0	A
USGS	11169000	1999-12-23	17.0	A
USGS	11169000	1999-12-24	18.0	A
USGS	11169000	1999-12-25	19.0	A
USGS	11169000	1999-12-26	19.0	A
USGS	11169000	1999-12-27	20.0	A
USGS	11169000	1999-12-28	21.0	A
USGS	11169000	1999-12-29	25.0	A
USGS	11169000	1999-12-30	20.0	A
USGS	11169000	1999-12-31	19.0	A
USGS	11169000	2000-01-01	19.0	A
USGS	11169000	2000-01-02	14.0	A
USGS	11169000	2000-01-03	12.0	A
USGS	11169000	2000-01-04	16.0	A
USGS	11169000	2000-01-05	15.0	A
USGS	11169000	2000-01-06	16.0	A
USGS	11169000	2000-01-07	17.0	A
USGS	11169000	2000-01-08	17.0	A
USGS	11169000	2000-01-09	16.0	A
USGS	11169000	2000-01-10	17.0	A
USGS	11169000	2000-01-11	17.0	A
USGS	11169000	2000-01-12	18.0	A
USGS	11169000	2000-01-13	17.0	A
USGS	11169000	2000-01-14	15.0	A
USGS	11169000	2000-01-15	16.0	A
USGS	11169000	2000-01-16	204	A
USGS	11169000	2000-01-17	31.0	A
USGS	11169000	2000-01-18	370	A
USGS	11169000	2000-01-19	138	A
USGS	11169000	2000-01-20	50.0	A
USGS	11169000	2000-01-21	24.0	A
USGS	11169000	2000-01-22	25.0	A
USGS	11169000	2000-01-23	507	A
USGS	11169000	2000-01-24	1420	A
USGS	11169000	2000-01-25	547	A
USGS	11169000	2000-01-26	98.0	A
USGS	11169000	2000-01-27	110	A
USGS	11169000	2000-01-28	94.0	A
USGS	11169000	2000-01-29	82.0	A
USGS	11169000	2000-01-30	147	A
USGS	11169000	2000-01-31	87.0	A
USGS	11169000	2000-02-01	75.0	A
USGS	11169000	2000-02-02	79.0	A
USGS	11169000	2000-02-03	197	A
USGS	11169000	2000-02-04	114	A
USGS	11169000	2000-02-05	90.0	A
USGS	11169000	2000-02-06	76.0	A
USGS	11169000	2000-02-07	65.0	A
USGS	11169000	2000-02-08	56.0	A
USGS	11169000	2000-02-09	38.0	A
USGS	11169000	2000-02-10	116	A
USGS	11169000	2000-02-11	570	A
USGS	11169000	2000-02-12	644	A
USGS	11169000	2000-02-13	556	A
USGS	11169000	2000-02-14	1260	A
USGS	11169000	2000-02-15	549	A
USGS	11169000	2000-02-16	308	A
USGS	11169000	2000-02-17	178	A
USGS	11169000	2000-02-18	132	A
USGS	11169000	2000-02-19	113	A
USGS	11169000	2000-02-20	182	A
USGS	11169000	2000-02-21	131	A
USGS	11169000	2000-02-22	337	A
USGS	11169000	2000-02-23	913	A
USGS	11169000	2000-02-24	241	A
USGS	11169000	2000-02-25	194	A
USGS	11169000	2000-02-26	221	A
USGS	11169000	2000-02-27	900	A
USGS	11169000	2000-02-28	420	A
USGS	11169000	2000-02-29	477	A
USGS	11169000	2000-03-01	327	A
USGS	11169000	2000-03-02	284	A
USGS	11169000	2000-03-03	244	A
USGS	11169000	2000-03-04	188	A
USGS	11169000	2000-03-05	465	A
USGS	11169000	2000-03-06	254	A
USGS	11169000	2000-03-07	296	A
USGS	11169000	2000-03-08	564	A
USGS	11169000	2000-03-09	692	A
USGS	11169000	2000-03-10	627	A
USGS	11169000	2000-03-11	550	A
USGS	11169000	2000-03-12	378	A
USGS	11169000	2000-03-13	327	A
USGS	11169000	2000-03-14	303	A
USGS	11169000	2000-03-15	286	A
USGS	11169000	2000-03-16	272	A
USGS	11169000	2000-03-17	203	A
USGS	11169000	2000-03-18	198	A
USGS	11169000	2000-03-19	172	A
USGS	11169000	2000-03-20	141	A
USGS	11169000	2000-03-21	137	A
USGS	11169000	2000-03-22	130	A
USGS	11169000	2000-03-23	121	A
USGS	11169000	2000-03-24	106	A
USGS	11169000	2000-03-25	102	A
USGS	11169000	2000-03-26	100	A
USGS	11169000	2000-03-27	108	A
USGS	11169000	2000-03-28	98.0	A
USGS	11169000	2000-03-29	81.0	A
USGS	11169000	2000-03-30	89.0	A
USGS	11169000	2000-03-31	78.0	A
USGS	11169000	2000-04-01	46.0	A
USGS	11169000	2000-04-02	41.0	A
USGS	11169000	2000-04-03	37.0	A
