# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-28 20:20:24 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11169025 GUADALUPE R ABV HWY 101 A SAN JOSE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11169025
#            TS   parameter     statistic     Description
#          8878       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8878_00060_00003	8878_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11169025	2002-05-23	29.4	A
USGS	11169025	2002-05-24	28.1	A
USGS	11169025	2002-05-25	26.2	A
USGS	11169025	2002-05-26	26.0	A
USGS	11169025	2002-05-27	26.0	A
USGS	11169025	2002-05-28	26.5	A
USGS	11169025	2002-05-29	26.3	A
USGS	11169025	2002-05-30	26.4	A
USGS	11169025	2002-05-31	25.5	A
USGS	11169025	2002-06-01	24.9	A
USGS	11169025	2002-06-02	23.5	A
USGS	11169025	2002-06-03	23.9	A
USGS	11169025	2002-06-04	25.8	A
USGS	11169025	2002-06-05	24.1	A
USGS	11169025	2002-06-06	24.0	A
USGS	11169025	2002-06-07	23.9	A
USGS	11169025	2002-06-08	22.5	A
USGS	11169025	2002-06-09	22.5	A
USGS	11169025	2002-06-10	23.5	A
USGS	11169025	2002-06-11	23.6	A
USGS	11169025	2002-06-12	24.1	A
USGS	11169025	2002-06-13	26.9	A
USGS	11169025	2002-06-14	22.6	A
USGS	11169025	2002-06-15	22.5	A
USGS	11169025	2002-06-16	21.4	A
USGS	11169025	2002-06-17	21.6	A
USGS	11169025	2002-06-18	21.6	A
USGS	11169025	2002-06-19	22.2	A
USGS	11169025	2002-06-20	21.9	A
USGS	11169025	2002-06-21	21.7	A
USGS	11169025	2002-06-22	21.5	A
USGS	11169025	2002-06-23	21.5	A
USGS	11169025	2002-06-24	22.0	A
USGS	11169025	2002-06-25	21.7	A
USGS	11169025	2002-06-26	21.9	A
USGS	11169025	2002-06-27	22.0	A
USGS	11169025	2002-06-28	21.6	A
USGS	11169025	2002-06-29	21.7	A
USGS	11169025	2002-06-30	21.2	A
USGS	11169025	2002-07-01	21.1	A
USGS	11169025	2002-07-02	20.9	A
USGS	11169025	2002-07-03	21.3	A
USGS	11169025	2002-07-04	20.7	A
USGS	11169025	2002-07-05	20.7	A
USGS	11169025	2002-07-06	21.0	A
USGS	11169025	2002-07-07	21.0	A
USGS	11169025	2002-07-08	20.9	A
USGS	11169025	2002-07-09	21.0	A
USGS	11169025	2002-07-10	20.9	A
USGS	11169025	2002-07-11	20.6	A
USGS	11169025	2002-07-12	20.0	A
USGS	11169025	2002-07-13	20.9	A
USGS	11169025	2002-07-14	20.2	A
USGS	11169025	2002-07-15	19.9	A
USGS	11169025	2002-07-16	19.5	A
USGS	11169025	2002-07-17	20.1	A
USGS	11169025	2002-07-18	21.0	A
USGS	11169025	2002-07-19	21.1	A
USGS	11169025	2002-07-20	21.0	A
USGS	11169025	2002-07-21	20.7	A
USGS	11169025	2002-07-22	21.2	A
USGS	11169025	2002-07-23	20.2	A
USGS	11169025	2002-07-24	20.6	A
USGS	11169025	2002-07-25	21.8	A
USGS	11169025	2002-07-26	21.7	A
USGS	11169025	2002-07-27	21.4	A
USGS	11169025	2002-07-28	21.0	A
USGS	11169025	2002-07-29	21.0	A
USGS	11169025	2002-07-30	20.3	A
USGS	11169025	2002-07-31	20.0	A
USGS	11169025	2002-08-01	20.0	A
USGS	11169025	2002-08-02	21.7	A
USGS	11169025	2002-08-03	22.2	A
USGS	11169025	2002-08-04	22.6	A
USGS	11169025	2002-08-05	21.9	A
USGS	11169025	2002-08-06	22.0	A
USGS	11169025	2002-08-07	22.0	A
USGS	11169025	2002-08-08	21.5	A
USGS	11169025	2002-08-09	20.5	A
USGS	11169025	2002-08-10	20.2	A
USGS	11169025	2002-08-11	21.3	A
