# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-28 20:20:45 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11172175 COYOTE C AB HWY 237 A MILPITAS CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11172175
#            TS   parameter     statistic     Description
#          8904       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8904_00060_00003	8904_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11172175	1999-01-01	19.0	A:e
USGS	11172175	1999-01-02	19.0	A:e
USGS	11172175	1999-01-03	18.0	A:e
USGS	11172175	1999-01-04	17.0	A:e
USGS	11172175	1999-01-05	18.0	A:e
USGS	11172175	1999-01-06	18.0	A:e
USGS	11172175	1999-01-07	18.0	A:e
USGS	11172175	1999-01-08	17.0	A:e
USGS	11172175	1999-01-09	18.0	A
USGS	11172175	1999-01-10	18.0	A
USGS	11172175	1999-01-11	19.0	A
USGS	11172175	1999-01-12	17.0	A
USGS	11172175	1999-01-13	18.0	A
USGS	11172175	1999-01-14	18.0	A
USGS	11172175	1999-01-15	22.0	A
USGS	11172175	1999-01-16	71.0	A
USGS	11172175	1999-01-17	22.0	A
USGS	11172175	1999-01-18	129	A
USGS	11172175	1999-01-19	229	A
USGS	11172175	1999-01-20	205	A
USGS	11172175	1999-01-21	87.0	A
USGS	11172175	1999-01-22	47.0	A
USGS	11172175	1999-01-23	210	A
USGS	11172175	1999-01-24	83.0	A
USGS	11172175	1999-01-25	56.0	A
USGS	11172175	1999-01-26	228	A
USGS	11172175	1999-01-27	102	A
USGS	11172175	1999-01-28	56.0	A
USGS	11172175	1999-01-29	45.0	A
USGS	11172175	1999-01-30	39.0	A
USGS	11172175	1999-01-31	237	A
USGS	11172175	1999-02-01	71.0	A
USGS	11172175	1999-02-02	54.0	A
USGS	11172175	1999-02-03	45.0	A
USGS	11172175	1999-02-04	41.0	A
USGS	11172175	1999-02-05	38.0	A
USGS	11172175	1999-02-06	81.0	A
USGS	11172175	1999-02-07	206	A
USGS	11172175	1999-02-08	123	A
USGS	11172175	1999-02-09	623	A
USGS	11172175	1999-02-10	238	A
USGS	11172175	1999-02-11	113	A
USGS	11172175	1999-02-12	83.0	A
USGS	11172175	1999-02-13	71.0	A
USGS	11172175	1999-02-14	69.0	A
USGS	11172175	1999-02-15	53.0	A
USGS	11172175	1999-02-16	55.0	A
USGS	11172175	1999-02-17	110	A
USGS	11172175	1999-02-18	98.0	A
USGS	11172175	1999-02-19	93.0	A
USGS	11172175	1999-02-20	110	A
USGS	11172175	1999-02-21	334	A
USGS	11172175	1999-02-22	104	A
USGS	11172175	1999-02-23	79.0	A
USGS	11172175	1999-02-24	67.0	A
USGS	11172175	1999-02-25	112	A
USGS	11172175	1999-02-26	52.0	A
USGS	11172175	1999-02-27	54.0	A
USGS	11172175	1999-02-28	49.0	A
USGS	11172175	1999-03-01	46.0	A
USGS	11172175	1999-03-02	44.0	A
USGS	11172175	1999-03-03	82.0	A
USGS	11172175	1999-03-04	45.0	A
USGS	11172175	1999-03-05	40.0	A
USGS	11172175	1999-03-06	39.0	A
USGS	11172175	1999-03-07	37.0	A
USGS	11172175	1999-03-08	45.0	A
USGS	11172175	1999-03-09	94.0	A
USGS	11172175	1999-03-10	49.0	A
USGS	11172175	1999-03-11	55.0	A
USGS	11172175	1999-03-12	42.0	A
USGS	11172175	1999-03-13	39.0	A
USGS	11172175	1999-03-14	80.0	A
USGS	11172175	1999-03-15	261	A
USGS	11172175	1999-03-16	61.0	A
USGS	11172175	1999-03-17	49.0	A
USGS	11172175	1999-03-18	44.0	A
USGS	11172175	1999-03-19	84.0	A
USGS	11172175	1999-03-20	52.0	A
USGS	11172175	1999-03-21	38.0	A
USGS	11172175	1999-03-22	36.0	A
USGS	11172175	1999-03-23	67.0	A
USGS	11172175	1999-03-24	39.0	A
USGS	11172175	1999-03-25	65.0	A
USGS	11172175	1999-03-26	43.0	A
USGS	11172175	1999-03-27	35.0	A
USGS	11172175	1999-03-28	32.0	A
USGS	11172175	1999-03-29	31.0	A
USGS	11172175	1999-03-30	32.0	A
USGS	11172175	1999-03-31	62.0	A
USGS	11172175	1999-04-01	33.0	A
USGS	11172175	1999-04-02	29.0	A
USGS	11172175	1999-04-03	36.0	A
USGS	11172175	1999-04-04	31.0	A
USGS	11172175	1999-04-05	141	A
USGS	11172175	1999-04-06	163	A
USGS	11172175	1999-04-07	68.0	A
USGS	11172175	1999-04-08	242	A
USGS	11172175	1999-04-09	112	A
USGS	11172175	1999-04-10	76.0	A
USGS	11172175	1999-04-11	132	A
USGS	11172175	1999-04-12	96.0	A
USGS	11172175	1999-04-13	72.0	A
USGS	11172175	1999-04-14	57.0	A
USGS	11172175	1999-04-15	49.0	A
USGS	11172175	1999-04-16	43.0	A
USGS	11172175	1999-04-17	38.0	A
USGS	11172175	1999-04-18	35.0	A
USGS	11172175	1999-04-19	32.0	A
USGS	11172175	1999-04-20	30.0	A:e
USGS	11172175	1999-04-21	29.0	A:e
USGS	11172175	1999-04-22	29.0	A:e
USGS	11172175	1999-04-23	28.0	A:e
USGS	11172175	1999-04-24	28.0	A:e
USGS	11172175	1999-04-25	27.0	A:e
USGS	11172175	1999-04-26	26.0	A:e
USGS	11172175	1999-04-27	26.0	A:e
USGS	11172175	1999-04-28	25.0	A:e
USGS	11172175	1999-04-29	25.0	A:e
USGS	11172175	1999-04-30	24.0	A:e
USGS	11172175	1999-05-01	23.0	A:e
USGS	11172175	1999-05-02	23.0	A:e
USGS	11172175	1999-05-03	22.0	A:e
USGS	11172175	1999-05-04	22.0	A:e
USGS	11172175	1999-05-05	21.0	A:e
USGS	11172175	1999-05-06	21.0	A:e
USGS	11172175	1999-05-07	20.0	A:e
USGS	11172175	1999-05-08	20.0	A:e
USGS	11172175	1999-05-09	19.0	A:e
USGS	11172175	1999-05-10	19.0	A
USGS	11172175	1999-05-11	19.0	A
USGS	11172175	1999-05-12	19.0	A
USGS	11172175	1999-05-13	18.0	A
USGS	11172175	1999-05-14	18.0	A
USGS	11172175	1999-05-15	18.0	A
USGS	11172175	1999-05-16	17.0	A
USGS	11172175	1999-05-17	17.0	A
USGS	11172175	1999-05-18	17.0	A
USGS	11172175	1999-05-19	16.0	A
USGS	11172175	1999-05-20	16.0	A
USGS	11172175	1999-05-21	17.0	A
USGS	11172175	1999-05-22	17.0	A
USGS	11172175	1999-05-23	18.0	A
USGS	11172175	1999-05-24	17.0	A
USGS	11172175	1999-05-25	16.0	A
USGS	11172175	1999-05-26	16.0	A
USGS	11172175	1999-05-27	16.0	A
USGS	11172175	1999-05-28	16.0	A
USGS	11172175	1999-05-29	17.0	A
USGS	11172175	1999-05-30	19.0	A
USGS	11172175	1999-05-31	20.0	A
USGS	11172175	1999-06-01	17.0	A
USGS	11172175	1999-06-02	19.0	A
USGS	11172175	1999-06-03	52.0	A
USGS	11172175	1999-06-04	26.0	A
USGS	11172175	1999-06-05	21.0	A
USGS	11172175	1999-06-06	19.0	A
USGS	11172175	1999-06-07	16.0	A
USGS	11172175	1999-06-08	15.0	A
USGS	11172175	1999-06-09	15.0	A
USGS	11172175	1999-06-10	15.0	A
USGS	11172175	1999-06-11	15.0	A
USGS	11172175	1999-06-12	15.0	A
USGS	11172175	1999-06-13	15.0	A
USGS	11172175	1999-06-14	15.0	A
USGS	11172175	1999-06-15	15.0	A
USGS	11172175	1999-06-16	15.0	A
USGS	11172175	1999-06-17	15.0	A
USGS	11172175	1999-06-18	15.0	A
USGS	11172175	1999-06-19	14.0	A
USGS	11172175	1999-06-20	14.0	A
USGS	11172175	1999-06-21	14.0	A
USGS	11172175	1999-06-22	16.0	A
USGS	11172175	1999-06-23	16.0	A
USGS	11172175	1999-06-24	15.0	A
USGS	11172175	1999-06-25	15.0	A
USGS	11172175	1999-06-26	15.0	A
USGS	11172175	1999-06-27	14.0	A
USGS	11172175	1999-06-28	14.0	A
USGS	11172175	1999-06-29	13.0	A
USGS	11172175	1999-06-30	13.0	A
USGS	11172175	1999-07-01	14.0	A
USGS	11172175	1999-07-02	16.0	A
USGS	11172175	1999-07-03	18.0	A
USGS	11172175	1999-07-04	18.0	A
USGS	11172175	1999-07-05	18.0	A
USGS	11172175	1999-07-06	18.0	A
USGS	11172175	1999-07-07	15.0	A
USGS	11172175	1999-07-08	16.0	A
USGS	11172175	1999-07-09	15.0	A
USGS	11172175	1999-07-10	14.0	A
USGS	11172175	1999-07-11	15.0	A
USGS	11172175	1999-07-12	15.0	A
USGS	11172175	1999-07-13	15.0	A
USGS	11172175	1999-07-14	15.0	A
USGS	11172175	1999-07-15	15.0	A
USGS	11172175	1999-07-16	14.0	A
USGS	11172175	1999-07-17	14.0	A
USGS	11172175	1999-07-18	14.0	A
USGS	11172175	1999-07-19	14.0	A
USGS	11172175	1999-07-20	15.0	A
USGS	11172175	1999-07-21	18.0	A
USGS	11172175	1999-07-22	17.0	A
USGS	11172175	1999-07-23	17.0	A
USGS	11172175	1999-07-24	17.0	A
USGS	11172175	1999-07-25	18.0	A
USGS	11172175	1999-07-26	21.0	A
USGS	11172175	1999-07-27	17.0	A
USGS	11172175	1999-07-28	17.0	A
USGS	11172175	1999-07-29	17.0	A
USGS	11172175	1999-07-30	17.0	A
USGS	11172175	1999-07-31	17.0	A
USGS	11172175	1999-08-01	17.0	A
USGS	11172175	1999-08-02	17.0	A
USGS	11172175	1999-08-03	17.0	A
USGS	11172175	1999-08-04	16.0	A
USGS	11172175	1999-08-05	20.0	A
USGS	11172175	1999-08-06	17.0	A
USGS	11172175	1999-08-07	17.0	A
USGS	11172175	1999-08-08	17.0	A
USGS	11172175	1999-08-09	17.0	A
USGS	11172175	1999-08-10	18.0	A
USGS	11172175	1999-08-11	18.0	A
USGS	11172175	1999-08-12	17.0	A
USGS	11172175	1999-08-13	17.0	A
USGS	11172175	1999-08-14	17.0	A
USGS	11172175	1999-08-15	17.0	A
USGS	11172175	1999-08-16	17.0	A
USGS	11172175	1999-08-17	17.0	A
USGS	11172175	1999-08-18	16.0	A
USGS	11172175	1999-08-19	17.0	A
USGS	11172175	1999-08-20	16.0	A
USGS	11172175	1999-08-21	15.0	A
USGS	11172175	1999-08-22	15.0	A
USGS	11172175	1999-08-23	13.0	A
USGS	11172175	1999-08-24	12.0	A
USGS	11172175	1999-08-25	16.0	A
USGS	11172175	1999-08-26	15.0	A
USGS	11172175	1999-08-27	15.0	A
USGS	11172175	1999-08-28	13.0	A
USGS	11172175	1999-08-29	13.0	A
USGS	11172175	1999-08-30	13.0	A
USGS	11172175	1999-08-31	12.0	A
USGS	11172175	1999-09-01	13.0	A
USGS	11172175	1999-09-02	14.0	A
USGS	11172175	1999-09-03	14.0	A
USGS	11172175	1999-09-04	14.0	A
USGS	11172175	1999-09-05	15.0	A
USGS	11172175	1999-09-06	14.0	A
USGS	11172175	1999-09-07	15.0	A
USGS	11172175	1999-09-08	16.0	A
USGS	11172175	1999-09-09	22.0	A
USGS	11172175	1999-09-10	18.0	A
USGS	11172175	1999-09-11	16.0	A
USGS	11172175	1999-09-12	15.0	A
USGS	11172175	1999-09-13	14.0	A
USGS	11172175	1999-09-14	15.0	A
USGS	11172175	1999-09-15	17.0	A
USGS	11172175	1999-09-16	18.0	A
USGS	11172175	1999-09-17	17.0	A
USGS	11172175	1999-09-18	16.0	A
USGS	11172175	1999-09-19	16.0	A
USGS	11172175	1999-09-20	16.0	A
USGS	11172175	1999-09-21	16.0	A
USGS	11172175	1999-09-22	18.0	A
USGS	11172175	1999-09-23	20.0	A
USGS	11172175	1999-09-24	17.0	A
USGS	11172175	1999-09-25	16.0	A
USGS	11172175	1999-09-26	16.0	A
USGS	11172175	1999-09-27	15.0	A
USGS	11172175	1999-09-28	16.0	A
USGS	11172175	1999-09-29	14.0	A
USGS	11172175	1999-09-30	14.0	A
USGS	11172175	1999-10-01	14.0	A
USGS	11172175	1999-10-02	14.0	A
USGS	11172175	1999-10-03	15.0	A
USGS	11172175	1999-10-04	17.0	A
USGS	11172175	1999-10-05	16.0	A
USGS	11172175	1999-10-06	16.0	A
USGS	11172175	1999-10-07	15.0	A
USGS	11172175	1999-10-08	15.0	A
USGS	11172175	1999-10-09	15.0	A
USGS	11172175	1999-10-10	16.0	A
USGS	11172175	1999-10-11	16.0	A
USGS	11172175	1999-10-12	14.0	A
USGS	11172175	1999-10-13	15.0	A
