# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-28 20:21:16 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11179000 ALAMEDA C NR NILES CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11179000
#            TS   parameter     statistic     Description
#          9032       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	9032_00060_00003	9032_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11179000	1999-01-01	41.0	A
USGS	11179000	1999-01-02	34.0	A
USGS	11179000	1999-01-03	36.0	A
USGS	11179000	1999-01-04	35.0	A
USGS	11179000	1999-01-05	31.0	A
USGS	11179000	1999-01-06	23.0	A
USGS	11179000	1999-01-07	23.0	A
USGS	11179000	1999-01-08	24.0	A
USGS	11179000	1999-01-09	26.0	A
USGS	11179000	1999-01-10	27.0	A
USGS	11179000	1999-01-11	55.0	A
USGS	11179000	1999-01-12	72.0	A
USGS	11179000	1999-01-13	73.0	A
USGS	11179000	1999-01-14	49.0	A
USGS	11179000	1999-01-15	82.0	A
USGS	11179000	1999-01-16	96.0	A
USGS	11179000	1999-01-17	42.0	A
USGS	11179000	1999-01-18	166	A
USGS	11179000	1999-01-19	567	A
USGS	11179000	1999-01-20	1100	A
USGS	11179000	1999-01-21	322	A
USGS	11179000	1999-01-22	145	A
USGS	11179000	1999-01-23	264	A
USGS	11179000	1999-01-24	216	A
USGS	11179000	1999-01-25	129	A
USGS	11179000	1999-01-26	254	A
USGS	11179000	1999-01-27	349	A
USGS	11179000	1999-01-28	130	A
USGS	11179000	1999-01-29	106	A
USGS	11179000	1999-01-30	95.0	A
USGS	11179000	1999-01-31	331	A
USGS	11179000	1999-02-01	164	A
USGS	11179000	1999-02-02	106	A
USGS	11179000	1999-02-03	89.0	A
USGS	11179000	1999-02-04	80.0	A
USGS	11179000	1999-02-05	76.0	A
USGS	11179000	1999-02-06	126	A
USGS	11179000	1999-02-07	1450	A
USGS	11179000	1999-02-08	743	A
USGS	11179000	1999-02-09	2260	A
USGS	11179000	1999-02-10	861	A
USGS	11179000	1999-02-11	380	A
USGS	11179000	1999-02-12	252	A
USGS	11179000	1999-02-13	198	A
USGS	11179000	1999-02-14	206	A
USGS	11179000	1999-02-15	148	A
USGS	11179000	1999-02-16	157	A
USGS	11179000	1999-02-17	653	A
USGS	11179000	1999-02-18	349	A
USGS	11179000	1999-02-19	291	A
USGS	11179000	1999-02-20	315	A
USGS	11179000	1999-02-21	1180	A
USGS	11179000	1999-02-22	446	A
USGS	11179000	1999-02-23	294	A
USGS	11179000	1999-02-24	233	A
USGS	11179000	1999-02-25	397	A
USGS	11179000	1999-02-26	233	A
USGS	11179000	1999-02-27	185	A
USGS	11179000	1999-02-28	159	A
USGS	11179000	1999-03-01	146	A
USGS	11179000	1999-03-02	133	A
USGS	11179000	1999-03-03	165	A
USGS	11179000	1999-03-04	123	A
USGS	11179000	1999-03-05	114	A
USGS	11179000	1999-03-06	111	A
USGS	11179000	1999-03-07	108	A
USGS	11179000	1999-03-08	107	A
USGS	11179000	1999-03-09	416	A
USGS	11179000	1999-03-10	168	A
USGS	11179000	1999-03-11	133	A
USGS	11179000	1999-03-12	118	A
USGS	11179000	1999-03-13	112	A
USGS	11179000	1999-03-14	107	A
USGS	11179000	1999-03-15	197	A
USGS	11179000	1999-03-16	124	A
USGS	11179000	1999-03-17	111	A
USGS	11179000	1999-03-18	104	A
USGS	11179000	1999-03-19	109	A
USGS	11179000	1999-03-20	161	A
USGS	11179000	1999-03-21	132	A
USGS	11179000	1999-03-22	105	A
USGS	11179000	1999-03-23	103	A
USGS	11179000	1999-03-24	93.0	A
USGS	11179000	1999-03-25	190	A
USGS	11179000	1999-03-26	136	A
USGS	11179000	1999-03-27	88.0	A
USGS	11179000	1999-03-28	82.0	A
USGS	11179000	1999-03-29	77.0	A
USGS	11179000	1999-03-30	72.0	A
USGS	11179000	1999-03-31	166	A
USGS	11179000	1999-04-01	79.0	A
USGS	11179000	1999-04-02	71.0	A
USGS	11179000	1999-04-03	78.0	A
USGS	11179000	1999-04-04	77.0	A
USGS	11179000	1999-04-05	187	A
USGS	11179000	1999-04-06	163	A
USGS	11179000	1999-04-07	105	A
USGS	11179000	1999-04-08	318	A
USGS	11179000	1999-04-09	160	A
USGS	11179000	1999-04-10	108	A
USGS	11179000	1999-04-11	260	A
USGS	11179000	1999-04-12	188	A
USGS	11179000	1999-04-13	121	A
USGS	11179000	1999-04-14	168	A
USGS	11179000	1999-04-15	208	A
USGS	11179000	1999-04-16	204	A
USGS	11179000	1999-04-17	199	A
USGS	11179000	1999-04-18	161	A
USGS	11179000	1999-04-19	137	A
USGS	11179000	1999-04-20	125	A
USGS	11179000	1999-04-21	109	A
USGS	11179000	1999-04-22	106	A
USGS	11179000	1999-04-23	89.0	A
USGS	11179000	1999-04-24	82.0	A
USGS	11179000	1999-04-25	77.0	A
USGS	11179000	1999-04-26	69.0	A
USGS	11179000	1999-04-27	77.0	A
USGS	11179000	1999-04-28	76.0	A
USGS	11179000	1999-04-29	75.0	A
USGS	11179000	1999-04-30	72.0	A
USGS	11179000	1999-05-01	82.0	A
USGS	11179000	1999-05-02	89.0	A
USGS	11179000	1999-05-03	97.0	A
USGS	11179000	1999-05-04	81.0	A
USGS	11179000	1999-05-05	58.0	A
USGS	11179000	1999-05-06	51.0	A
USGS	11179000	1999-05-07	47.0	A
USGS	11179000	1999-05-08	53.0	A
USGS	11179000	1999-05-09	55.0	A
USGS	11179000	1999-05-10	52.0	A
USGS	11179000	1999-05-11	52.0	A
USGS	11179000	1999-05-12	64.0	A
USGS	11179000	1999-05-13	63.0	A
USGS	11179000	1999-05-14	51.0	A
USGS	11179000	1999-05-15	71.0	A
USGS	11179000	1999-05-16	75.0	A
USGS	11179000	1999-05-17	64.0	A
USGS	11179000	1999-05-18	48.0	A
