# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-28 20:21:57 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11458000 NAPA R NR NAPA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11458000
#            TS   parameter     statistic     Description
#         11270       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11270_00060_00003	11270_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11458000	1999-01-01	37.0	A
USGS	11458000	1999-01-02	36.0	A
USGS	11458000	1999-01-03	36.0	A
USGS	11458000	1999-01-04	34.0	A
USGS	11458000	1999-01-05	32.0	A
USGS	11458000	1999-01-06	30.0	A
USGS	11458000	1999-01-07	29.0	A
USGS	11458000	1999-01-08	29.0	A
USGS	11458000	1999-01-09	27.0	A
USGS	11458000	1999-01-10	26.0	A
USGS	11458000	1999-01-11	27.0	A
USGS	11458000	1999-01-12	26.0	A
USGS	11458000	1999-01-13	26.0	A
USGS	11458000	1999-01-14	25.0	A
USGS	11458000	1999-01-15	25.0	A
USGS	11458000	1999-01-16	33.0	A
USGS	11458000	1999-01-17	31.0	A
USGS	11458000	1999-01-18	130	A
USGS	11458000	1999-01-19	125	A
USGS	11458000	1999-01-20	507	A
USGS	11458000	1999-01-21	346	A
USGS	11458000	1999-01-22	204	A
USGS	11458000	1999-01-23	495	A
USGS	11458000	1999-01-24	319	A
USGS	11458000	1999-01-25	213	A
