# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-12-28 20:22:35 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11460000 CORTE MADERA C A ROSS CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11460000
#            TS   parameter     statistic     Description
#         11304       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	11304_00060_00003	11304_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11460000	2009-11-01	1.80	A:e
USGS	11460000	2009-11-02	1.80	A:e
USGS	11460000	2009-11-03	1.90	A:e
USGS	11460000	2009-11-04	1.90	A:e
USGS	11460000	2009-11-05	1.90	A:e
USGS	11460000	2009-11-06	1.90	A:e
USGS	11460000	2009-11-07	1.90	A:e
USGS	11460000	2009-11-08	1.80	A:e
USGS	11460000	2009-11-09	1.80	A:e
USGS	11460000	2009-11-10	1.70	A:e
USGS	11460000	2009-11-11	1.70	A:e
USGS	11460000	2009-11-12	1.70	A:e
USGS	11460000	2009-11-13	1.65	A
USGS	11460000	2009-11-14	1.70	A
USGS	11460000	2009-11-15	1.77	A
USGS	11460000	2009-11-16	1.78	A
USGS	11460000	2009-11-17	1.84	A
USGS	11460000	2009-11-18	2.03	A
USGS	11460000	2009-11-19	1.94	A
USGS	11460000	2009-11-20	4.89	A
USGS	11460000	2009-11-21	2.21	A
USGS	11460000	2009-11-22	1.49	A
USGS	11460000	2009-11-23	1.42	A
USGS	11460000	2009-11-24	1.39	A
USGS	11460000	2009-11-25	1.42	A
USGS	11460000	2009-11-26	1.45	A
USGS	11460000	2009-11-27	1.55	A
USGS	11460000	2009-11-28	1.94	A
USGS	11460000	2009-11-29	2.23	A
USGS	11460000	2009-11-30	2.35	A
USGS	11460000	2009-12-01	2.37	A
USGS	11460000	2009-12-02	2.38	A
USGS	11460000	2009-12-03	2.23	A
USGS	11460000	2009-12-04	2.29	A
USGS	11460000	2009-12-05	2.36	A
USGS	11460000	2009-12-06	2.45	A
USGS	11460000	2009-12-07	3.74	A
USGS	11460000	2009-12-08	1.43	A
USGS	11460000	2009-12-09	1.31	A
USGS	11460000	2009-12-10	1.42	A
USGS	11460000	2009-12-11	3.24	A
USGS	11460000	2009-12-12	36.3	A
USGS	11460000	2009-12-13	59.5	A
USGS	11460000	2009-12-14	20.8	A
USGS	11460000	2009-12-15	7.00	A
USGS	11460000	2009-12-16	16.2	A
USGS	11460000	2009-12-17	11.8	A
USGS	11460000	2009-12-18	7.67	A
USGS	11460000	2009-12-19	5.91	A
USGS	11460000	2009-12-20	5.06	A
USGS	11460000	2009-12-21	5.23	A
USGS	11460000	2009-12-22	5.19	A
USGS	11460000	2009-12-23	4.51	A
USGS	11460000	2009-12-24	4.32	A
USGS	11460000	2009-12-25	3.99	A
USGS	11460000	2009-12-26	3.78	A
USGS	11460000	2009-12-27	16.6	A
USGS	11460000	2009-12-28	8.12	A
USGS	11460000	2009-12-29	6.41	A
USGS	11460000	2009-12-30	12.1	A
USGS	11460000	2009-12-31	9.39	A
USGS	11460000	2010-01-01	7.71	A
USGS	11460000	2010-01-02	6.79	A
USGS	11460000	2010-01-03	6.19	A
USGS	11460000	2010-01-04	5.92	A
USGS	11460000	2010-01-05	5.46	A
USGS	11460000	2010-01-06	5.39	A
USGS	11460000	2010-01-07	5.36	A
USGS	11460000	2010-01-08	5.43	A
USGS	11460000	2010-01-09	5.46	A
USGS	11460000	2010-01-10	5.64	A
USGS	11460000	2010-01-11	5.80	A
USGS	11460000	2010-01-12	34.5	A
USGS	11460000	2010-01-13	41.7	A
USGS	11460000	2010-01-14	20.0	A
USGS	11460000	2010-01-15	14.1	A
USGS	11460000	2010-01-16	17.8	A
USGS	11460000	2010-01-17	30.0	A
USGS	11460000	2010-01-18	370	A
USGS	11460000	2010-01-19	608	A
USGS	11460000	2010-01-20	710	A
USGS	11460000	2010-01-21	441	A
USGS	11460000	2010-01-22	354	A
USGS	11460000	2010-01-23	232	A
USGS	11460000	2010-01-24	144	A
USGS	11460000	2010-01-25	279	A
USGS	11460000	2010-01-26	302	A
USGS	11460000	2010-01-27	175	A
USGS	11460000	2010-01-28	115	A
USGS	11460000	2010-01-29	98.0	A
USGS	11460000	2010-01-30	86.1	A
USGS	11460000	2010-01-31	67.3	A
USGS	11460000	2010-02-01	57.7	A
USGS	11460000	2010-02-02	51.0	A
USGS	11460000	2010-02-03	45.7	A
USGS	11460000	2010-02-04	177	A
USGS	11460000	2010-02-05	202	A
USGS	11460000	2010-02-06	329	A
USGS	11460000	2010-02-07	167	A
USGS	11460000	2010-02-08	109	A
USGS	11460000	2010-02-09	105	A
USGS	11460000	2010-02-10	76.5	A
USGS	11460000	2010-02-11	62.8	A
USGS	11460000	2010-02-12	73.6	A
USGS	11460000	2010-02-13	67.4	A
USGS	11460000	2010-02-14	59.0	A
USGS	11460000	2010-02-15	51.7	A
USGS	11460000	2010-02-16	45.7	A
USGS	11460000	2010-02-17	41.0	A
USGS	11460000	2010-02-18	37.2	A
USGS	11460000	2010-02-19	33.9	A
USGS	11460000	2010-02-20	31.2	A
USGS	11460000	2010-02-21	35.4	A
USGS	11460000	2010-02-22	29.9	A
USGS	11460000	2010-02-23	143	A
USGS	11460000	2010-02-24	393	A
USGS	11460000	2010-02-25	172	A
USGS	11460000	2010-02-26	229	A
USGS	11460000	2010-02-27	239	A
USGS	11460000	2010-02-28	153	A
USGS	11460000	2010-03-01	112	A
USGS	11460000	2010-03-02	278	A
USGS	11460000	2010-03-03	282	A
USGS	11460000	2010-03-04	142	A
USGS	11460000	2010-03-05	88.7	A
USGS	11460000	2010-03-06	64.0	A
USGS	11460000	2010-03-07	48.2	A
USGS	11460000	2010-03-08	38.7	A
USGS	11460000	2010-03-09	31.3	A
USGS	11460000	2010-03-10	32.6	A
USGS	11460000	2010-03-11	23.8	A
USGS	11460000	2010-03-12	63.4	A
USGS	11460000	2010-03-13	50.0	A
USGS	11460000	2010-03-14	37.4	A
USGS	11460000	2010-03-15	30.6	A
USGS	11460000	2010-03-16	26.0	A
USGS	11460000	2010-03-17	22.4	A
USGS	11460000	2010-03-18	19.7	A
USGS	11460000	2010-03-19	17.2	A
USGS	11460000	2010-03-20	14.9	A
USGS	11460000	2010-03-21	13.4	A
USGS	11460000	2010-03-22	12.4	A
USGS	11460000	2010-03-23	11.3	A
USGS	11460000	2010-03-24	11.9	A
USGS	11460000	2010-03-25	12.8	A
USGS	11460000	2010-03-26	10.1	A
USGS	11460000	2010-03-27	9.22	A
USGS	11460000	2010-03-28	8.55	A
USGS	11460000	2010-03-29	9.84	A
USGS	11460000	2010-03-30	16.7	A
USGS	11460000	2010-03-31	36.6	A
USGS	11460000	2010-04-01	31.3	A
USGS	11460000	2010-04-02	63.2	A
USGS	11460000	2010-04-03	58.9	A
USGS	11460000	2010-04-04	227	A
USGS	11460000	2010-04-05	156	A
USGS	11460000	2010-04-06	73.0	A
USGS	11460000	2010-04-07	50.2	A
USGS	11460000	2010-04-08	39.1	A
USGS	11460000	2010-04-09	32.0	A
USGS	11460000	2010-04-10	27.0	A
USGS	11460000	2010-04-11	312	A
USGS	11460000	2010-04-12	246	A
USGS	11460000	2010-04-13	118	A
USGS	11460000	2010-04-14	74.0	A
USGS	11460000	2010-04-15	54.5	A
USGS	11460000	2010-04-16	43.6	A
USGS	11460000	2010-04-17	36.2	A
USGS	11460000	2010-04-18	31.1	A
USGS	11460000	2010-04-19	27.2	A
USGS	11460000	2010-04-20	35.8	A
USGS	11460000	2010-04-21	24.8	A
USGS	11460000	2010-04-22	19.9	A
USGS	11460000	2010-04-23	17.4	A
USGS	11460000	2010-04-24	15.1	A
USGS	11460000	2010-04-25	12.8	A
USGS	11460000	2010-04-26	11.0	A
USGS	11460000	2010-04-27	31.7	A
USGS	11460000	2010-04-28	21.2	A
USGS	11460000	2010-04-29	16.6	A
USGS	11460000	2010-04-30	14.4	A
USGS	11460000	2010-05-01	12.8	A
USGS	11460000	2010-05-02	11.4	A
USGS	11460000	2010-05-03	10.1	A
USGS	11460000	2010-05-04	8.74	A
USGS	11460000	2010-05-05	7.93	A
USGS	11460000	2010-05-06	7.35	A
USGS	11460000	2010-05-07	6.85	A
USGS	11460000	2010-05-08	6.31	A
USGS	11460000	2010-05-09	6.30	A
USGS	11460000	2010-05-10	8.91	A
USGS	11460000	2010-05-11	6.48	A
USGS	11460000	2010-05-12	5.60	A
USGS	11460000	2010-05-13	5.24	A
USGS	11460000	2010-05-14	5.07	A
USGS	11460000	2010-05-15	4.85	A
USGS	11460000	2010-05-16	4.74	A
USGS	11460000	2010-05-17	6.84	A
USGS	11460000	2010-05-18	5.72	A
USGS	11460000	2010-05-19	4.84	A
USGS	11460000	2010-05-20	4.36	A
USGS	11460000	2010-05-21	4.15	A
USGS	11460000	2010-05-22	4.04	A
USGS	11460000	2010-05-23	3.93	A
USGS	11460000	2010-05-24	3.86	A
USGS	11460000	2010-05-25	4.58	A
